################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2025-07-16 - July 16, 2025  Evening Service - Ethan Perez Bro.txt
Video ID: tbkhEJCmNpc
Segments: 2065
URL: https://www.youtube.com/watch?v=tbkhEJCmNpc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:41] [Música]
[0:48] [Música]
[0:54] [Música]
[2:18] [Música]
[2:35] [Música]
[2:48] [Música]
[2:57] [Música]
[3:06] [Música]
[3:16] [Música]
[3:25] [Música]
[3:36] [Música]
[3:42] [Música]
[3:52] [Música]
[4:04] [Música]
[4:18] [Música]
[4:31] [Música]
[4:40] [Música]
[4:52] [Música]
[5:04] [Música]
[5:23] [Música]
[5:39] [Música]
[5:51] [Música]
[6:23] [Música]
[6:28] [Música]
[6:35] [Música]
[6:44] [Música]
[6:53] [Música]
[7:23] [Música]
[7:43] [Música]
[8:07] [Música]
[8:17] [Música]
[8:28] [Música]
[8:35] [Música]
[8:50] [Música]
[9:03] [Música]
[9:16] [Música]
[9:41] [Música]
[9:55] [Música]
[10:01] [Música]
[10:10] [Música]
[10:16] [Música]
[10:48] [Música]
[11:07] [Música]
[11:19] [Música]
[11:36] M.
[12:05] [Música]
[12:12] [Música]
[12:38] [Música]
[12:45] [Música]
[12:51] [Música]
[13:12] [Música]
[13:29] [Música]
[14:05] [Música]
[14:15] [Música]
[14:23] [Música]
[14:35] [Música]
[14:40] Yeah.
[14:43] [Música]
[14:58] [Música]
[15:06] [Música]
[15:15] [Música]
[15:41] [Música]
[15:51] [Música]
[16:00] [Música]
[16:08] [Música]
[16:23] [Música]
[16:33] [Música]
[17:14] [Música]
[17:26] [Música]
[18:18] [Música]
[18:34] [Música]
[18:58] [Música]
[19:10] [Música]
[19:27] [Música]
[19:44] [Música]
[20:00] [Música]
[20:17] [Música]
[20:43] [Música]
[20:54] [Música]
[21:07] [Música]
[21:16] [Música]
[21:27] [Música]
[21:35] [Música]
[21:47] [Música]
[21:54] [Música]
[22:18] [Música]
[22:38] [Música]
[23:10] [Música]
