date,status,speaker,title,url,last_checked,language,type,description,duration,church
2022-02-20,Success,Brotherly Kindness,6 9 1991 And To Brotherly Kindness Charity,https://www.youtube.com/watch?v=DcOlVUQABCg,2026-01-04,English,Church Service,,81,Coleman Family Ministries
2022-01-30,Success,Brotherly Kindness,June 7 1991 And To Godliness Brotherly Kindness,https://www.youtube.com/watch?v=EIZCcIe1u2E,2026-01-04,English,Church Service,,78,Coleman Family Ministries
2022-01-30,Success,Unknown Speaker,"June 5, 1991 Follow Me",https://www.youtube.com/watch?v=qroCYMElA6w,2026-01-04,English,Church Service,,46,Coleman Family Ministries
2022-01-30,Success,Unknown Speaker,1 20 1991 But When The Fruit Is Brought Forth The Harvest Is Come,https://www.youtube.com/watch?v=w_UKeNM8nZk,2026-01-04,English,Church Service,,93,Coleman Family Ministries
Unknown Date,No Transcript,Unknown Speaker,"The Voice Of The Archangel, Many Are Called But Few Are Chosen - Excerpt",https://www.youtube.com/watch?v=g4plprQzkT0,2026-01-04,Unknown,Sermon Clip,,4,Coleman Family Ministries
2021-11-28,Success,Unknown Speaker,Identification With The Word,https://www.youtube.com/watch?v=H1iK2tXyfMM,2026-01-04,English,Church Service,Preached on 12/3/1967,72,Coleman Family Ministries
2021-10-09,No Transcript,Joanne,SIs. Joanne's Memorial 10-09-2021,https://www.youtube.com/watch?v=_zCpBO679Wk,2026-01-04,Unknown,Memorial Service,"October 9, 2021",196,Coleman Family Ministries
2021-10-03,Success,Brotherly Kindness,And To Brotherly Kindness Charity,https://www.youtube.com/watch?v=_vAuiuL3WL0,2026-01-04,English,Church Service,"June 9, 1991",81,Coleman Family Ministries
2021-09-19,Success,Unknown Speaker,Come And Dine,https://www.youtube.com/watch?v=d48f4lZgM8U,2026-01-04,English,Church Service,"May 2, 1991",99,Coleman Family Ministries
2021-09-19,Success,Unknown Speaker,To Know Him From The Beginning,https://www.youtube.com/watch?v=687kdjjhrXA,2026-01-04,English,Church Service,"April 28, 1991",103,Coleman Family Ministries
2021-09-19,Success,Unknown Speaker,Then Came Jesus,https://www.youtube.com/watch?v=Uwq_karvs5k,2026-01-04,English,Church Service,"April 7, 1991",119,Coleman Family Ministries
2020-11-07,Success,Unknown Speaker,Special Memories Branham Family Appreciation Dinner (61387),https://www.youtube.com/watch?v=TgKJpdW9F7Q,2026-01-04,Unknown,Church Service,,41,Coleman Family Ministries
2020-06-26,Success,Excerpt,The Ministry of Jesus Christ,https://www.youtube.com/watch?v=wLwDXU81q4Q,2026-01-12,Unknown,Full Sermon,,,Coleman Family Ministries
2020-04-26,Success,Unknown Speaker,"Lovest Thou Me  May, 26 1991",https://www.youtube.com/watch?v=3qIaZOXgICE,2026-01-04,English,Church Service,,90,Coleman Family Ministries
2020-03-29,No Transcript,Joanne,Tribute to Sis. Joanne from the Omega Christian Assembly,https://www.youtube.com/watch?v=G5O3bdaZw0c,2026-01-04,Unknown,Memorial Service,,55,Coleman Family Ministries
2020-03-22,Success,Unknown Speaker,3 3 1991 The Ministry Of The Morning Star,https://www.youtube.com/watch?v=N1nNlpN_bTI,2026-01-04,English,Church Service,,110,Coleman Family Ministries
2020-03-15,Success,Unknown Speaker,11 3 1991 Charity Anointed 7 Virtues By Virtue Power For Service,https://www.youtube.com/watch?v=m1eCsg5u-dg,2026-01-04,English,Church Service,,79,Coleman Family Ministries
2020-03-02,Success,"December 22, 1991",Another Ephesians Is Here For The Bride's Seven Thunder Revival,https://www.youtube.com/watch?v=AdVH7R-9IT0,2026-01-12,Unknown,Full Sermon,,,Coleman Family Ministries
2020-02-16,Success,Unknown Speaker,11 17 1991 The Manifestation Of The Fire Baptism Of Charity,https://www.youtube.com/watch?v=XRqzOApi3h8,2026-01-04,English,Baptism Service,,91,Coleman Family Ministries
2020-01-05,Success,Presentation 1520,A Lived Voice,https://www.youtube.com/watch?v=BXf7fPkRTgw,2026-01-12,Unknown,Full Sermon,,,Coleman Family Ministries
2019-10-27,Success,Perfect,Howbeit We Speak Wisdom Among Them That Are Perfect Excerpt 71104,https://www.youtube.com/watch?v=Xgbtq2zDiBQ,2026-01-04,Unknown,Sermon Clip,,30,Coleman Family Ministries
2019-09-29,Success,Unknown Speaker,Harvest In The Spirit,https://www.youtube.com/watch?v=4K_Ex5CwjW4,2026-01-04,English,Church Service,Preached on 3/14/1971,77,Coleman Family Ministries
2019-09-22,Success,Unknown Speaker,Be Strong And Of Good Courage,https://www.youtube.com/watch?v=TwzlH9lFvoM,2026-01-04,English,Church Service,Preached on 3/28/1976,70,Coleman Family Ministries
2019-09-15,Success,Unknown Speaker,As Thou Hast Believed,https://www.youtube.com/watch?v=fYlqTNv9RMQ,2026-01-04,English,Church Service,Preached on 4/7/1974,60,Coleman Family Ministries
2019-09-08,Success,Unknown Speaker,The Word Test,https://www.youtube.com/watch?v=AZnFGYOBfsY,2026-01-04,English,Church Service,Preached on 6/11/1972,76,Coleman Family Ministries
2019-07-14,Success,Unknown Speaker,Nothing Hid,https://www.youtube.com/watch?v=UyPxAvzHVsg,2026-01-04,English,Church Service,Preached on 8/27/1972,55,Coleman Family Ministries
2019-06-24,Success,Unknown Speaker,Seven Lived Voices,https://www.youtube.com/watch?v=MMlWNtGcOG0,2026-01-04,English,Church Service,"Preached on 2/14/1975 Beaumont, Texas",158,Coleman Family Ministries
2019-05-26,Success,Unknown Speaker,Special Memories Salute to Africa Penn Harris (112986),https://www.youtube.com/watch?v=UUiK3w4cXE8,2026-01-04,Unknown,Church Service,,38,Coleman Family Ministries
2019-04-21,No Transcript,Unknown Speaker,If Thou Canst Believe Presentation,https://www.youtube.com/watch?v=8135DdXrNik,2026-01-04,Unknown,Church Service,Presentation,141,Coleman Family Ministries
2019-03-14,Success,Unknown Speaker,I Am About My Father's Business,https://www.youtube.com/watch?v=SVqz6M8hhRA,2026-01-04,English,Church Service,Preached on 8/7/1966,82,Coleman Family Ministries
2019-03-06,Success,Unknown Speaker,Ask What You Will Excerpt,https://www.youtube.com/watch?v=tRaW_HNrrZw,2026-01-04,English,Sermon Clip,"March 2, 1975",2,Coleman Family Ministries
2019-02-03,Success,Perfect,Perfect In One,https://www.youtube.com/watch?v=jp2kBXSHgoo,2026-01-04,English,Church Service,Preached on 2/6/1968,74,Coleman Family Ministries
2019-01-06,Success,Unknown Speaker,Fruit In Its Season,https://www.youtube.com/watch?v=B8_J9e7Zf0g,2026-01-04,English,Church Service,Preached on 12/12/19,71,Coleman Family Ministries
