################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-08-06 - 21-0806 Youth Bible Study - Unknown Speaker.txt
Video ID: VzVWdmo8cUY
Segments: 2915
URL: https://www.youtube.com/watch?v=VzVWdmo8cUY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[3:16] you
[3:20] [Music]
[3:30] is
[3:34] [Music]
[3:46] [Applause]
[3:51] [Music]
[3:58] is
[4:00] [Music]
[4:12] me
[4:19] [Music]
[4:26] is
[4:31] [Music]
[4:40] is
[4:49] [Applause]
[4:50] [Music]
[4:54] my
[4:56] [Music]
[5:03] my sins are awake
[5:08] oh
[5:10] [Music]
[5:20] [Music]
[5:33] [Applause]
[5:36] is
[5:37] [Music]
[5:47] [Music]
[5:50] is
[5:54] [Applause]
[5:59] lift it up
[6:13] [Music]
[6:18] oh
[6:20] [Music]
[6:35] [Music]
[6:46] is
[6:48] [Music]
[7:00] is
[7:28] so
[7:42] so
[7:56] so
[8:10] so
[8:24] so
[8:35] [Music]
[8:38] so
[8:52] so
[9:20] so
[9:30] [Music]
[9:34] so
[10:02] so
[10:30] so
[10:58] do
[11:12] so
[11:26] so
[11:40] so
[11:54] so
[12:08] so
[12:22] foreign
[12:36] so
[12:50] so
[13:04] so
[13:18] um
[13:32] do
[13:46] so
[14:00] so
[14:02] [Music]
[14:14] um so so
[14:56] so
[15:24] so
[15:34] [Music]
[15:38] so
[15:52] foreign
[16:06] so
[16:20] um
[16:48] so
[17:02] so
[17:30] so
[17:58] so
[18:26] so
[18:40] so
[18:54] so
[19:08] so
[19:22] so
[19:36] so
[19:50] so
[20:04] so
[20:32] so
[20:46] so
[21:00] so
[21:14] so
[21:28] so
[21:42] so
[21:56] so
[22:10] so
[22:24] so
[22:38] ah
[22:52] foreign
[23:06] so
[23:20] so
[23:34] so
[23:48] so
[24:02] so
[24:16] so
[24:30] so
[24:44] so
[24:58] so
[25:12] so
[25:26] so
[25:40] so
[25:54] so
[26:08] so
[26:22] so
[26:36] so
[26:50] so
[27:04] so
[27:18] so
[27:32] so
[27:46] so
[28:00] so
[28:14] so
[28:28] um
[28:42] so
[28:56] so
[29:10] so
[29:24] so
[29:38] so
[29:52] so
[30:06] so
[30:20] so
[30:34] so
[30:48] so
[31:02] so
[31:16] so
[31:30] so
[31:44] so
[31:58] so
[32:12] so
[32:26] so
[32:54] so
[33:08] so
[33:22] so
[33:36] so
[33:50] so
[34:04] so
[34:18] so
[34:32] so
[34:46] so
[35:00] so
[35:14] so
[35:28] so
[35:42] so
[35:56] so
[36:10] so
[36:24] so
[36:38] so
[36:52] so
[37:06] do
[37:20] so
[37:34] so
[37:48] so
[38:02] so
[38:16] so
[38:30] so
[38:44] so
[38:58] so
[39:12] so
[39:26] so
[39:40] so
[39:54] so
[40:08] so
[40:22] so
[40:36] so
[40:50] so
[41:04] so
[41:18] so
[41:32] so
[41:46] so
[42:00] so
[42:14] so
[42:28] so
[42:42] so
[42:56] so
[43:10] so
[43:24] so
[43:38] so
[43:52] so
[44:06] so
[44:20] so
[44:34] so
[44:48] so
[45:02] so
[45:16] so
[45:30] so
[45:44] so
[45:58] so
[46:12] so
[46:26] so
[46:40] so
[46:54] so
[47:08] so
[47:22] so
[47:36] so
[47:50] do
[48:04] so
[48:18] so
[48:32] so
[48:46] so
[49:00] so
[49:14] so
[49:28] so
[49:42] so
[49:53] [Music]
[49:56] so
[50:10] so
[50:24] so
[50:38] so
[50:52] so
[51:06] so
[51:20] so
[51:34] so
[51:48] so
[52:02] so
[52:16] so
[52:30] so
[52:44] so
[52:58] so
[53:12] so
[53:40] so
[53:54] so
[54:08] so
[54:22] so
[54:36] so
[54:50] so
[55:04] so
[55:18] so
[55:32] so
[55:46] so
[56:00] so
[56:14] so
[56:28] so
[56:42] so
[56:56] so
[57:10] so
[57:24] so
[57:38] so
[57:52] so
[58:02] [Applause]
[58:06] so
[58:20] so
[58:34] so
[58:48] so
[59:02] so
[59:16] so
[59:30] so
[59:44] so
[59:58] so
[1:00:12] so
[1:00:26] so
[1:00:40] so
[1:00:54] so
[1:01:08] so
[1:01:22] so
[1:01:36] so
[1:01:50] so
[1:02:04] uh
[1:02:11] thank you
[1:02:32] is
[1:02:46] it
[1:03:28] uh
[1:03:56] um
[1:04:09] that's why went to the woman
[1:04:14] and seduced her
[1:04:22] someone wants to add on that
[1:04:38] read for me and rather than
[1:04:42] say that the serpent was close to human
[1:04:52] beings
[1:05:05] it was between the chimpanzees
[1:05:18] and then because it was
[1:05:46] that's how the supremacy
[1:05:56] do you have something you want to say
[1:06:16] yes
[1:06:29] by jesus
[1:06:44] ezekiel
[1:06:59] feel knowledgeable so
[1:07:03] they therefore saturn
[1:07:07] used use the serpent
[1:07:10] to bring uh to bring
[1:07:13] to bring his seed in the human race
[1:07:18] because therefore there is no way he was
[1:07:20] going to produce himself
[1:07:22] because he's also a spirit so he had to
[1:07:25] use
[1:07:26] something that is physical
[1:07:35] okay now i would like us uh to
[1:07:38] understand this
[1:07:39] part very clearly because it seems to me
[1:07:43] that people either not understand this
[1:07:47] part
[1:07:48] or their understanding of which is not
[1:07:51] food
[1:07:52] okay you need to have a full
[1:07:55] understanding
[1:07:56] of the good for you to be able to
[1:07:58] benefit to have the full benefits of it
[1:08:01] so i'd like us to look at
[1:08:05] i'd like us to look at the
[1:08:09] can you read from here is where
[1:08:13] yes how are you reading yes
[1:08:18] here is where we receive the tribulation
[1:08:26] okay now here he's explaining what
[1:08:28] exactly happened yes
[1:08:29] so can we now here
[1:08:33] the word says that he was
[1:08:41] okay so before you check this at any
[1:08:44] levels
[1:08:45] i want you to understand hey are you
[1:08:49] okay you don't seem to be you know
[1:08:52] by the way if anyone is not you you
[1:08:55] shouldn't
[1:08:55] really come to attend because you
[1:08:57] disrupt others now look
[1:08:59] uh from what it is that you are reading
[1:09:03] before we go to any explanation or deep
[1:09:06] revelations you need to first understand
[1:09:09] what took place
[1:09:11] like the brother joel was saying the
[1:09:13] first thing
[1:09:14] was to understand what the trees are yes
[1:09:17] what are the trees
[1:09:18] that were in the middle of the garden
[1:09:21] there were how many trees two trees
[1:09:24] the first tree is and the other trees
[1:09:30] of knowledge of good and evil so we have
[1:09:32] two trees one is the tree of life
[1:09:34] and then the tree of knowledge of good
[1:09:36] and evil now
[1:09:38] both these trees were in the middle of
[1:09:40] the garden but
[1:09:41] how are we able to know that of course i
[1:09:42] do not want us to go back in the bible
[1:09:44] with the old testament
[1:09:45] in the genesis and then we start reading
[1:09:47] that but i want you to understand it
[1:09:50] that uh uh just a moment
[1:09:54] for your understanding i think you might
[1:09:56] meet with that portion of genesis
[1:09:59] let's get there
[1:10:06] read chapter 2 verses
[1:10:09] 15 genesis
[1:10:23] and the lord god commanded the man
[1:10:25] saying of
[1:10:27] every tree from the garden though may is
[1:10:29] freely eat
[1:10:31] but of uh once again but of the tree of
[1:10:34] the knowledge of
[1:10:35] wait a moment over every air in every
[1:10:38] tree
[1:10:39] out of the garden down my ears
[1:10:42] what trees are these
[1:10:48] and the lord god took the man and put
[1:10:50] him into the garden of eden and
[1:10:52] dressed and keep it and the lord god
[1:10:54] commanded the man saying of
[1:10:56] every tree of the garden of that may is
[1:10:58] freely eat so now
[1:11:00] because i told you excuse me
[1:11:03] that a tree means person so someone is
[1:11:05] asking me
[1:11:06] are these also people that's a good
[1:11:09] question
[1:11:10] ain't it please open your mind now
[1:11:13] i want to bring this in a very simple
[1:11:15] way for you to understand and share this
[1:11:16] impossible
[1:11:18] so these people also know these are not
[1:11:21] people
[1:11:22] you need to understand that scripture
[1:11:24] has compounded meaning
[1:11:25] there is always the meaning that is
[1:11:27] meaning and then there is also
[1:11:29] another meaning that is more spiritual
[1:11:32] okay so many people can read the
[1:11:34] scripture and they take the meaning
[1:11:36] they are outside meaning which they see
[1:11:38] but then there is a deeper meaning there
[1:11:40] is a depth of revelation usually
[1:11:42] there is the me the other meaning that
[1:11:43] people just underlook and somehow
[1:11:46] they are not able to see it so i i
[1:11:49] expect this verse to be here because i'm
[1:11:51] still explaining
[1:11:52] so yeah it says at a tree but but of the
[1:11:55] tree of knowledge of good and hip okay
[1:11:58] and then of every tree of the garden
[1:12:00] that may is freely
[1:12:02] eat it so now this is talking or
[1:12:05] referring to the other trees which we
[1:12:07] are permissible to eat
[1:12:09] which ones are those those ones are the
[1:12:12] apples
[1:12:14] the mangoes the jackal fruit
[1:12:17] come on now bananas
[1:12:26] let us be realistic are you telling me
[1:12:27] that adam and eve were not eating
[1:12:30] they suddenly were eating okay
[1:12:35] but yes it is true they were eating
[1:12:38] those things
[1:12:39] that's what that that is what their food
[1:12:41] what their food was
[1:12:43] but then when you go to verse 17 are you
[1:12:46] following
[1:12:47] yes please that's less for us for us
[1:12:51] but of the tree of knowledge of good and
[1:12:53] evil
[1:12:55] read with me now thou shalt not
[1:12:58] eat of it for in the day that thou he
[1:13:02] destroyed
[1:13:05] amen but of the tree of knowledge
[1:13:08] of good and evil thou shalt not eat of
[1:13:11] you so
[1:13:12] that's the only tree which he tells them
[1:13:15] do not eat the tree of
[1:13:19] the tree off yeah hey
[1:13:22] thank you some people thought that the
[1:13:24] tree of lord is one the tree of good is
[1:13:25] one the tree of
[1:13:27] evil is another the tree of knowledge is
[1:13:30] one and within it was good
[1:13:32] and if this is a tree is there one which
[1:13:34] was in the middle of the garden one of
[1:13:36] the trees which in the middle another
[1:13:37] tree which was in the middle of
[1:13:38] the garden was the tree where do we find
[1:13:44] that
[1:13:58] please
[1:14:01] [Music]
[1:14:08] just around there where he speaks about
[1:14:10] the tree
[1:14:12] of life
[1:14:22] okay i'm looking for it around
[1:14:29] probably
[1:14:40] okay
[1:14:44] let me get it from my baby
[1:15:06] [Music]
[1:15:08] the tree of life
[1:15:22] yes
[1:15:24] and out of the ground made their lord
[1:15:26] good to grow
[1:15:27] every tree that is listened to they said
[1:15:32] every tree
[1:15:36] that's the one that that's the kind of
[1:15:38] everything we're reading at first
[1:15:40] in the other part okay
[1:15:43] in chapter three where are we in chapter
[1:15:46] three
[1:15:50] verses
[1:15:54] okay uh-huh continue
[1:15:58] so this is a tree which was
[1:16:01] which the lord god made to grow
[1:16:05] the end was placed onto the site and
[1:16:08] good for food
[1:16:10] okay yes these were the ones i told you
[1:16:12] that they were brutal
[1:16:15] i'm speaking in ethiopia you know those
[1:16:17] other trees
[1:16:18] yeah those the names you mentioned those
[1:16:21] were the ones which were good for
[1:16:24] food and they were in the garden also
[1:16:28] the tree of life also individuals
[1:16:32] the tree of life also so now as he has
[1:16:36] mentioned the other trees he also goes
[1:16:38] ahead to mention the tree of life
[1:16:40] also in the midst of the garden
[1:16:46] and
[1:16:48] have you seen what i'm talking about so
[1:16:50] how many trees how many
[1:16:51] types of categories of trees one
[1:16:58] the second the third
[1:17:02] [Music]
[1:17:07] now the categories that we are looking
[1:17:09] at
[1:17:10] here are the last two categories because
[1:17:13] those ones were in the middle east
[1:17:16] of the garden it is saturday go down to
[1:17:18] verse
[1:17:19] 17.
[1:17:25] okay right there ah read verse 16.
[1:17:42] for
[1:17:48] you see yes so now it tells him this
[1:17:51] tree is not good for food don't eat it
[1:17:56] don't what and you can he says that the
[1:18:00] dead that thou shalt eat or beat that
[1:18:01] church
[1:18:02] so what is the tree
[1:18:06] now what is the street the first tree
[1:18:08] was the tree of life therefore
[1:18:10] the second tree is also a person yes
[1:18:13] if because these were the two trees in
[1:18:15] the middle of the garden
[1:18:17] the tree of life which is jesus christ
[1:18:18] and the tree of
[1:18:20] knowledge of good and evil that is the
[1:18:22] serpent
[1:18:23] all right not eve someone was telling me
[1:18:26] that that is evil no
[1:18:28] that is the tree of knowledge which has
[1:18:31] good and evil in it two things need good
[1:18:34] and bad
[1:18:34] who is that one that's the devil
[1:18:38] amen uh-huh so i want to show you now
[1:18:41] scripture to prove that
[1:18:42] amen
[1:18:45] okay go to genesis 3 1.
[1:18:54] now the serpent was more subtle than the
[1:18:57] beast than any beast of the field which
[1:19:00] the lord god had made and he said that
[1:19:03] to the woman
[1:19:04] yeah god said him shall not eat of every
[1:19:08] tree of the garden
[1:19:10] and the woman said that to the sabbath
[1:19:12] we may eat of the fruit of the trees
[1:19:14] of the garden but of the fruit of the
[1:19:18] tree
[1:19:19] which is in the midst of the garden god
[1:19:21] has said
[1:19:22] he shall not eat of it neither shall we
[1:19:24] touch it
[1:19:25] did god say that we should not touch it
[1:19:29] but it is if who is emphasizing that we
[1:19:32] shall not even touch it but god said he
[1:19:34] should not
[1:19:35] eating period you should not you will
[1:19:38] not eat the fruit of it
[1:19:40] but you said you shall also touch it
[1:19:43] so okay
[1:19:46] so here
[1:19:51] the bible says genesis 31 says what is
[1:19:54] that genesis 3 1.
[1:20:01] can you read that yes now the subject
[1:20:04] was more
[1:20:05] subtle than any beast of the field the
[1:20:07] subject was more
[1:20:09] subject very intelligent very cunning
[1:20:13] than any beast
[1:20:16] it was also a beast
[1:20:20] people i wanted to follow me here this
[1:20:22] is a very important subject
[1:20:23] and i don't want you to misunderstand me
[1:20:26] if you understand it today you're going
[1:20:28] to explain it to your friends in a
[1:20:29] very good way that's right it will even
[1:20:31] make them
