date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-07,No Transcript,Joshua Walker,"26-0107E  Degradation of the Message ""Modern Message Believer"" || Bro Joshua Walker",https://www.youtube.com/watch?v=x2CFbbF6294,2026-01-07,Unknown,Church Service,Subscribe for our YouTube for Live Services: https://youtube.com/@dvfellowship?si=iBBxHyQNrA-tVU4w Visit our website at: https://dvfellowship.org/ Listen and download our audio sermons at: https://dvfellowship.podbean.com/  #dvf #worship  #sundayservice #service #wednesdayservice  #sundaylivesermon #endtimemessages #worship #livesermon #livestream #daysofthevoicefellowship #endtimemessage #williammarrionbranham #ThemessageoftheHour,0,Days of the Voice Fellowship
2026-01-04,Success,Michael Rae,26-0104M The God Of No Limit Bro Michael Rae,https://www.youtube.com/watch?v=ly44CTlCVIo,2026-01-07,Unknown,Church Service,,,
2025-12-31,Success,Ssemanda Julius,"25-1231E  DVF Communion Service, But By The Grace Of God  Bro Ssemanda Julius",https://www.youtube.com/watch?v=F1StCGDh_V4,2026-01-04,Unknown,Communion Service,,,
2025-12-28,Success,Simon Peter Sesay,25-1228M Walking In The Steps and Faith Of Our Father Abraham PT 2 Pr Simon Peter Sesay,https://www.youtube.com/watch?v=y-260ue6NPA,2026-01-04,Unknown,Church Service,,,
2025-12-24,Success,Simon Peter Sesay,25-1224E Walking In The Steps And Faith Of Our Father Abraham  Pr Simon Peter Sesay,https://www.youtube.com/watch?v=rBzc_XM5XaQ,2026-01-04,Unknown,Church Service,,,
2025-12-21,Success,Martin Shalom,25-1221M Return To Your First Love  Bro Martin Shalom,https://www.youtube.com/watch?v=kMxNA18CoHw,2026-01-04,Unknown,Church Service,,,
2025-12-21,Success,Kotido DAY 2,25-1220M Karamoja Meetings 2026,https://www.youtube.com/watch?v=HI6a-Tpwqrs,2026-01-07,Unknown,Church Service,,,
2025-12-20,Success,Kotido DAY 2,25-1220M Karamoja Meetings 2026,https://www.youtube.com/watch?v=2kwhHMxZ7dY,2026-01-07,Unknown,Church Service,,,
2025-12-17,Success,Talemwa Busobozi,25-1217E Political Manoeuvres That Obscure The Vision Pt.5 Bro Talemwa Busobozi,https://www.youtube.com/watch?v=RR3totcmrYo,2026-01-04,Unknown,Church Service,,,
2025-12-14,Success,Talemwa Busobozi,25-1214M Political Manoeuvres That Obscure The Vision Pt.4  Bro Talemwa Busobozi,https://www.youtube.com/watch?v=oVKbpUjrxNw,2026-01-04,Unknown,Church Service,,,
2025-12-10,Success,Ssemanda Julius,25-1210E Walking In Your Own Choosing  Bro Ssemanda Julius,https://www.youtube.com/watch?v=U4FulYXV70g,2026-01-04,Unknown,Church Service,,,
