################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2019-05-26 - 20161204 - Bride Covenant Pt. 2 - Bro. Jon Curlett - Jon Curlett.txt
Video ID: pnjxo-KcVe4
Segments: 149
URL: https://www.youtube.com/watch?v=pnjxo-KcVe4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[1:51] [Applause]
[1:52] [Music]
[3:20] [Music]
[4:24] [Music]
[4:30] [Applause]
[4:33] [Music]
[5:13] [Music]
[5:26] [Music]
[6:09] [Music]
[6:22] [Music]
[7:10] [Music]
[7:40] [Music]
[8:03] [Music]
[10:23] [Music]
[10:29] [Music]
[10:40] [Music]
[10:47] [Music]
[11:06] [Music]
[11:12] [Music]
[11:20] [Music]
[11:30] [Music]
[11:39] [Music]
[12:02] [Music]
[12:38] [Music]
[12:48] [Music]
[12:59] [Music]
[13:07] [Music]
[13:17] [Music]
[13:23] [Music]
[14:49] [Music]
[15:01] [Music]
[16:15] [Music]
[16:25] [Music]
[16:54] [Music]
[17:58] [Music]
[19:20] [Music]
[21:35] [Music]
[21:48] [Music]
[23:01] [Music]
[23:46] [Music]
[23:58] [Music]
[24:15] [Music]
[25:03] [Music]
[25:20] [Music]
[25:34] [Music]
[25:52] [Music]
[26:05] [Music]
[26:24] [Music]
[26:31] [Music]
[27:13] you
[27:52] [Music]
[28:07] [Music]
[28:20] [Music]
[28:28] [Music]
[28:47] [Music]
[28:53] [Music]
[29:00] [Music]
[29:19] [Applause]
[29:32] [Music]
[29:39] [Music]
[29:46] [Music]
[29:58] [Music]
[30:15] [Music]
[30:32] [Music]
[30:44] [Music]
[30:50] [Music]
[31:01] [Music]
[31:13] [Music]
[31:26] [Music]
[32:03] [Music]
[32:39] [Music]
[1:40:26] [Music]
[1:47:23] [Music]
[2:02:02] [Music]
[2:03:49] [Music]
[2:04:09] [Music]
[2:04:41] [Music]
[2:04:55] [Music]
[2:05:04] [Music]
[2:05:29] [Music]
[2:05:56] [Music]
[2:07:32] [Music]
[2:08:21] [Music]
[2:08:52] [Music]
[2:09:04] [Music]
[2:09:23] [Music]
[2:09:51] [Music]
[2:10:30] [Music]
[2:10:43] [Music]
[2:12:03] [Music]
[2:12:09] [Music]
[2:12:23] [Music]
[2:13:25] [Music]
[2:13:43] [Music]
[2:13:50] [Music]
[2:14:44] [Music]
[2:19:33] [Music]
[2:19:46] [Music]
[2:20:03] [Music]
[2:20:26] [Music]
[2:24:00] I hear the
[2:24:48] [Music]
[2:26:30] [Music]
[2:26:56] [Music]
[2:28:14] [Music]
[2:30:13] [Music]
[2:31:20] [Music]
[2:31:31] [Music]
[2:32:14] [Music]
[2:32:21] [Music]
[2:32:32] [Music]
[2:32:42] [Music]
[2:32:53] [Music]
[2:33:03] [Music]
[2:33:22] [Music]
[2:34:08] [Music]
[2:34:16] [Music]
[2:34:29] [Music]
[2:34:35] [Music]
[2:34:45] [Music]
[2:35:24] [Music]
[2:35:38] [Music]
[2:35:53] [Music]
[2:36:07] [Music]
[2:36:13] [Music]
[2:36:20] [Music]
[2:36:50] [Music]
[2:37:11] [Music]
[2:37:28] [Music]
[2:37:44] [Music]
[2:38:03] [Music]
[2:38:08] [Music]
[2:38:24] [Music]
[2:39:27] [Music]
[2:39:35] [Music]
[2:39:54] [Music]
[2:40:15] [Music]
[2:40:27] [Music]
[2:40:46] [Music]
[2:40:56] [Music]
[2:41:05] [Music]
[2:41:43] [Music]
[2:42:54] [Music]
[2:43:55] you
[2:43:59] you
[2:44:25] you
[2:44:29] you
[2:44:32] you
