date,status,speaker,title,url,last_checked,language,type,description
2022-04-25,Success,Unknown Speaker,Live Stream Evening Light Fellowship AZ,https://www.youtube.com/watch?v=zh-DSD9tcV8,2025-12-28,Unknown,Full Sermon,
2023-01-09,Success,God En Morphe Pt. 2,2023-0108 - God En Morphe Pt. 2 - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=ke7CpeREG-A,2025-12-29,Unknown,Full Sermon,
2023-01-12,Success,True Worship Pt. 10,2023-0111 - True Worship Pt. 10 - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=0t-CZxhz_EQ,2025-12-29,Unknown,Full Sermon,
2023-01-16,Success,God En Morphe Pt. 3,2023-0115 - God En Morphe Pt. 3 - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=sRVjZSN3IJ4,2025-12-29,Unknown,Full Sermon,
2023-01-19,Success,A Purpose To His Appointments,2023-0118 - A Purpose To His Appointments - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=nckAAEjb514,2025-12-29,Unknown,Full Sermon,
2023-01-22,Success,The Same Language,2023-0122 - The Same Language - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=SaRxSKxkQFE,2025-12-29,Unknown,Full Sermon,
2023-01-26,Success,Evening Light Fellowship,2023-0125 - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=DYbwBMEDWPM,2025-12-29,Unknown,Full Sermon,
2023-01-29,Success,Evening Light Fellowship,2023-0129 - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=nOhaXcLeFU0,2025-12-29,Unknown,Full Sermon,
2023-02-02,Success,Unknown Speaker,2023-0201- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=fyMhLMUn-80,2025-12-28,Unknown,Full Sermon,
2023-02-05,Success,Unknown Speaker,2023-0205- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=6TBwHUgfX2U,2025-12-28,English,Full Sermon,
2023-02-06,Success,Unknown Speaker,2023-0205- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=lGWx8O5_QeY,2025-12-28,Unknown,Full Sermon,
2023-02-13,Success,Unknown Speaker,2023-0212- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=Lc1XwpU5vvI,2025-12-28,Unknown,Full Sermon,
2023-02-16,Success,Unknown Speaker,2023-0215- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=M92-XN84JJI,2025-12-28,Unknown,Full Sermon,
2023-02-23,Success,Unknown Speaker,2023-0222- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=9nggdlHCgJA,2025-12-28,Unknown,Full Sermon,
2023-02-26,Success,Unknown Speaker,2023-0226- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=PdHjpyyOSyE,2025-12-28,Unknown,Full Sermon,
2023-03-02,Success,Unknown Speaker,2023-0301- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=X0AqijpRN2g,2025-12-28,Unknown,Full Sermon,
2023-03-13,Success,Unknown Speaker,2023-0312- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=rFZ_qNuxFDQ,2025-12-28,Unknown,Full Sermon,
2023-03-16,Success,Unknown Speaker,2023-0315- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=iEw4AhoAK0A,2025-12-28,Unknown,Full Sermon,
2023-03-23,Success,Unknown Speaker,2023-0322- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=Bi13eCI72zY,2025-12-28,Unknown,Full Sermon,
2023-03-27,Success,Evening Light Fellowship,2023-0326 - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=rPwqVOrklQU,2025-12-29,Unknown,Full Sermon,
2023-03-30,Success,Unknown Speaker,2023-0329- Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=dr8Uoqm5PFY,2025-12-28,Unknown,Full Sermon,
2023-04-03,Success,Unknown Speaker,2023-0402 Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=4BeuDlCTSq8,2025-12-28,Unknown,Full Sermon,
2023-04-10,Success,Unknown Speaker,2023-0409 Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=VYfcFSICFHg,2025-12-28,Unknown,Full Sermon,
2023-04-13,Success,Unknown Speaker,2023-0412 Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=Z5yxztNcYhY,2025-12-28,Unknown,Full Sermon,
2023-04-15,Success,Unknown Speaker,2023-0414 Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=T_y09GIiqM0,2025-12-28,Unknown,Full Sermon,
2023-04-16,Success,Evening Light Fellowship,2023-0415 PM Anniversary Meeting - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=9Kr_6tOZxzo,2025-12-29,Unknown,Full Sermon,
2023-04-16,Success,Evening Light Fellowship,2023-0415 PM Part 2 Anniversary Meeting - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=7SLScL9xGBs,2025-12-29,Unknown,Full Sermon,
2023-04-16,Success,Evening Light Fellowship,2023-0416 Anniversary Meetings - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=7U57tAhNst8,2025-12-29,Unknown,Full Sermon,
2023-04-20,Success,Evening Light Fellowship,2023-0419 Wednesday Night - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=ZG8cIflrkNc,2025-12-29,Unknown,Full Sermon,
2023-04-24,Success,Evening Light Fellowship,2023-0423 Sunday Morning - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=6yAlHUQ6f-I,2025-12-29,Unknown,Full Sermon,
2023-04-27,Success,Evening Light Fellowship,2023-0426 Wednesday Night - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=QfQRwMZ0G6A,2025-12-29,Unknown,Full Sermon,
2023-05-01,Success,Evening Light Fellowship,2023-0430 Sunday Morning - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=CzgiwcE5M_w,2025-12-29,Unknown,Full Sermon,
2023-05-04,Success,Evening Light Fellowship,2023-0503 Wednesday Night Service - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=S9ZJYh7UeEI,2025-12-29,Unknown,Full Sermon,
2023-05-11,Success,Evening Light Fellowship,2023-0510 Wednesday Evening Service - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=WVa9Q4S5DKE,2025-12-29,Unknown,Full Sermon,
2023-05-15,Success,Evening Light Fellowship,2023-0514 Sunday Morning Service - Evening Light Fellowship Live Service,https://www.youtube.com/watch?v=l0N7qtKepxo,2025-12-29,Unknown,Full Sermon,
