################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-01-31 - Sunday 01-31-2021Bro. Thomas BylerWisdom or Faith. - Thomas Byler.txt
Video ID: s3p6LoUiYnQ
Segments: 2459
URL: https://www.youtube.com/watch?v=s3p6LoUiYnQ
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:09] [Music]
[0:14] foreign
[0:25] [Music]
[0:33] [Music]
[0:42] so
[0:48] [Music]
[0:54] [Music]
[0:56] so
[1:13] [Music]
[1:32] [Music]
[1:40] [Music]
[2:20] so
[2:31] [Music]
[2:37] [Music]
[2:56] [Music]
[3:02] so
[3:03] [Music]
[3:25] [Music]
[3:30] me
[3:36] [Music]
[3:51] [Music]
[3:58] me
[4:09] [Music]
[4:42] [Music]
[4:56] [Music]
[5:30] [Music]
[5:37] you
[5:38] [Music]
[5:54] [Music]
[6:04] hmm
[6:07] [Music]
[6:21] [Music]
[6:32] [Music]
[6:46] great
[6:55] [Music]
[7:00] hey
[7:02] [Music]
[7:21] [Music]
[7:28] me
[7:30] [Music]
[7:48] [Music]
[8:05] [Music]
[8:10] so
[8:14] [Music]
[8:24] oh
[8:26] [Music]
[8:38] [Music]
[8:54] [Music]
[9:19] [Music]
[9:28] [Music]
[9:34] ah
[9:38] [Music]
[9:52] [Music]
[10:09] [Music]
[10:16] with
[10:20] [Music]
[10:37] [Music]
[11:12] so
[11:17] [Music]
[11:40] me
[11:44] [Music]
[12:08] me
[12:11] [Music]
[12:18] [Music]
[12:36] foreign
[12:39] [Music]
[13:09] [Music]
[13:25] [Music]
[13:32] so
[13:34] [Music]
[13:47] me
[13:54] [Music]
[15:02] [Music]
[15:11] [Music]
[15:27] [Music]
[15:38] [Music]
[15:52] so
[16:04] [Music]
[16:34] [Music]
[16:40] [Music]
[16:46] [Music]
[17:00] [Music]
[17:31] [Music]
[17:37] [Music]
[17:44] so
[17:46] [Music]
[17:55] [Music]
[18:19] [Music]
[18:25] [Music]
[19:13] [Music]
[19:45] [Music]
[20:18] ready
[20:28] [Music]
[20:45] [Music]
[20:53] [Music]
[21:00] is
[21:20] [Music]
[21:42] so
[21:43] [Music]
[22:06] [Music]
[22:32] [Music]
[22:51] [Music]
[23:12] [Music]
[23:20] uh
[23:52] [Music]
[24:02] this
[24:38] [Music]
[24:47] [Music]
[25:31] [Music]
[25:40] so
[25:43] [Music]
[25:56] [Music]
[26:10] [Music]
