################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-13 - Ministering Bro. Ben Norrod  Sunday Morning 2-13-2022 - Ben Norrod.txt
Video ID: tf3sYuLsVDg
Segments: 3243
URL: https://www.youtube.com/watch?v=tf3sYuLsVDg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:05] [Music]
[0:23] so
[0:32] [Music]
[0:40] [Music]
[0:45] [Music]
[0:53] [Music]
[1:05] [Music]
[1:17] [Music]
[1:24] me
[1:29] [Music]
[1:36] [Music]
[1:38] foreign
[1:45] so
[1:47] [Music]
[1:54] [Music]
[2:05] do
[2:09] [Music]
[2:16] [Music]
[2:37] [Music]
[2:53] [Music]
[3:04] [Music]
[3:27] [Music]
[4:07] [Music]
[4:13] [Music]
[4:25] [Music]
[4:38] [Music]
[4:43] [Music]
[4:45] so
[4:50] [Music]
[5:03] [Music]
[5:12] [Music]
[5:16] so
[5:28] [Music]
[5:36] foreign
[5:39] [Music]
[5:50] [Music]
[5:54] so
[5:58] [Music]
[6:16] [Music]
[6:35] [Music]
[6:44] [Music]
[6:49] so
[6:54] [Music]
[7:12] [Music]
[7:22] [Music]
[7:28] [Music]
[7:41] [Music]
[7:49] [Music]
[8:17] [Music]
[8:24] [Music]
[8:33] [Music]
[8:40] [Music]
[8:46] [Music]
[8:54] [Music]
[9:11] [Music]
[9:19] my
[9:24] [Music]
[9:30] [Music]
[9:42] [Music]
[9:48] oh
[10:06] so
[10:08] [Music]
[10:21] [Music]
[10:34] [Music]
[10:42] [Music]
[10:47] um
[10:51] [Music]
[11:00] [Music]
[11:04] so
[11:11] [Music]
[11:26] [Music]
[11:38] good
[11:41] [Music]
[11:50] [Music]
[11:59] [Music]
[12:22] foreign
[12:26] [Music]
[12:37] [Music]
[12:53] [Music]
[13:04] guys
[13:11] [Music]
[13:29] [Music]
[13:36] so
[13:41] [Music]
[13:55] [Music]
[14:08] so
[14:16] [Music]
[14:23] [Music]
[14:26] foreign
[14:31] [Music]
[14:44] [Music]
[14:59] [Music]
[15:14] [Music]
[15:25] [Music]
[15:37] me
[15:56] [Music]
[16:28] [Music]
[16:43] uh
[16:46] [Music]
[16:58] [Music]
[17:14] well
[17:17] [Music]
[17:26] [Music]
[17:37] [Music]
[17:49] [Music]
[18:12] foreign
[18:36] foreign
[18:39] [Music]
[18:51] [Applause]
[18:57] [Music]
[19:02] so
[19:42] [Music]
[19:58] [Music]
[20:12] so
[20:14] [Music]
[20:22] [Music]
[20:31] me
[20:33] [Music]
[20:49] [Music]
[20:59] mm-hmm
[21:01] [Music]
[21:10] [Music]
[21:26] [Music]
[21:32] [Music]
[21:42] [Music]
[21:56] [Music]
[22:12] [Music]
[22:27] [Music]
[22:33] [Music]
[22:41] foreign
[22:45] [Music]
[22:53] [Music]
[23:03] so
[23:11] [Music]
[23:21] [Music]
[23:30] [Music]
[23:43] [Music]
[23:51] [Music]
[23:53] so
[23:55] [Music]
[24:01] [Music]
[24:11] [Music]
[24:16] hmm
[24:21] so
[24:24] [Music]
[24:49] [Music]
[24:56] [Music]
[25:04] [Music]
[25:10] [Music]
[25:12] my
[25:24] [Music]
[25:31] [Music]
[25:38] is
[25:46] so
[25:50] [Music]
[25:55] [Music]
[26:08] wait
[26:13] [Music]
[26:15] uh
[26:18] [Music]
[26:39] [Music]
[27:27] [Music]
[27:32] [Music]
[27:37] [Music]
[27:46] [Music]
[27:52] [Music]
[28:14] hey
[28:24] [Music]
[28:33] [Music]
[28:44] [Music]
[28:52] [Music]
[29:43] [Music]
[29:50] [Music]
[30:01] [Music]
[30:11] [Music]
[30:18] [Music]
[30:38] [Music]
[30:51] [Music]
[31:05] [Music]
[31:11] so
[31:23] [Music]
[31:30] bye
[31:42] [Music]
[31:44] oh
[31:52] wow
[32:01] [Music]
[32:06] [Music]
[32:23] [Music]
[32:31] [Music]
[32:37] thank you
[33:02] [Music]
[33:06] so
[33:13] [Music]
[33:29] [Music]
[34:13] [Music]
[34:21] [Music]
[34:30] thank you
[34:35] [Music]
[34:47] [Music]
[34:55] [Music]
[35:09] [Music]
[35:18] [Music]
[35:34] [Music]
[35:42] great
[35:45] [Music]
[35:53] foreign
[35:56] [Music]
[36:03] [Music]
[36:22] [Music]
[36:28] [Music]
[36:41] [Music]
[36:49] um
[36:51] [Music]
[37:00] so
[37:24] foreign
[38:32] [Music]
[38:52] [Music]
[38:58] we realized
[39:07] foreign
[39:15] jesus christ amen
[39:39] oh
[39:47] not myself
[40:02] well
[40:04] [Music]
[40:18] he shall
[40:24] [Music]
[40:33] because of the men who bring away the
[40:35] violence
[40:47] here
[40:59] shall delight themselves
[41:07] more shallower
[41:34] this one again
[42:13] you as individuals or
[42:27] everything will be all right whether
[42:29] you're rich you're poor whether you're
[42:31] great
[42:34] god knows who you are if you would
[42:37] look for a different
[42:39] god here
[42:41] i mean
[42:43] [Music]
[43:11] read this whole chapter at the end and
[43:12] he just talks about
[43:14] the testimony of these individuals
[43:18] written in the bible having demonstrated
[43:20] god's faith
[43:22] to
[43:24] them about the 28 words in the eleventh
[43:28] chapter through faith he kept the
[43:29] passover from the sprinkling of blood
[43:32] these heat that destroyed the firstborn
[43:35] shall touch them
[43:37] and by faith they passed through the red
[43:39] sea that's dry around
[43:41] which the egyptians are saying redeemed
[43:44] were grounded
[43:45] the sheriff israel went across the dry
[43:48] land where the same egyptians went
[43:50] across
[43:51] and was destroyed and he goes
[44:34] the judges you know
[44:36] before you get the sound and there's
[44:38] only three mentions well it's actually
[44:40] for gideon derek sampson and jacob
[44:43] and i was just thinking of this song
[44:45] this morning
[44:46] i don't know if you all
[44:47] have friends
[45:00] i was just thinking of this man's
[45:02] testimony if you learn anything from his
[45:04] testimony and what went on in his life
[45:07] i was just thinking this morning be
[45:09] careful what you said
[45:10] because you might have to fulfill the
[45:12] vows
[45:16] and uh i'll try not to read the song
[45:22] um some of you know
[45:24] about islamic young obviously you're now
[45:27] pronunciation
[45:30] not they have
[45:42] grew up across catholic
[45:55] he was put out by his own brothers
[45:57] then they refreshed from his
[46:05] [Music]
[46:11] people that wouldn't be able to live in
[46:12] a
[46:19] [Music]
[46:54] you
[46:57] [Laughter]
[46:58] [Music]
[47:09] and strung me out of my father out of my
[47:11] father's house
[47:12] now why are you coming up to me now when
[47:14] you earth and destruction
[47:16] and beyonce
[47:19] therefore we turn again
[47:32] [Music]
[47:50] let me jump over here you know i was
[47:53] reading last week and
[47:54] now this is what
[47:56] jesus had to say in the seventh chapter
[47:58] of matthew
[48:00] say here
[48:01] just not beat judgment
[48:17] that is
[48:51] [Music]
[48:57] [Music]
[49:00] you read the whole chapter you see where
[49:02] he testifies
[49:04] that when the children of israel were
[49:06] going through the wilderness and became
[49:08] the follow in haman that all they asked
[49:11] to be is to be led through the land of
[49:14] their
[49:15] and those these kings of that time chose
[49:18] to fight against israel and in the
[49:20] process of doing that they lost the
[49:22] possession of their land and israel for
[49:24] control
[49:25] and jacob explains that to the people to
[49:28] among
[49:32] [Music]
[49:37] and at the end of the chapter i don't
[49:39] know if you all know but
[49:41] he made he said that he would sacrifice
[49:45] the first thing that came out of him
[49:47] when he returned from the battle of the
[49:48] lord
[49:49] gave his victory well that person was
[49:51] regarded
[49:53] and now as i read this chapter
[49:55] striking that
[49:56] you we would all think that god would
[49:58] send the prophet
[49:59] and i'm not making any assumptions here
[50:01] that god would like to send a problem to
[50:03] him i send somebody to him and say
[50:07] that he didn't have to fulfill himself
[50:09] but if you read the chapter that in the
[50:11] end of that chapter he actually had
[50:13] sacrificed his own daughter
[50:15] because he made it know that now we're
[50:17] just thinking this morning
[50:19] you got to be careful what you commit
[50:20] yourself to because god is
[50:24] whatever that is
[50:26] you know sometimes whether you're a
[50:28] businessman whether you're
[50:30] a father whatever it is people are
[50:32] listening to you and what you tell them
[50:34] you're gonna do they're expecting you to
[50:36] do it no
[50:37] in the day when you live
[50:43] well
[50:44] between christians if i tell you when
[50:45] i'm going to do something i should do
[50:47] exactly what i tell you what i'm going
[50:49] to do but then i give you a
[50:51] responsibility
