################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-31 - WHERE ARE THE NINE 3-30-2022 Wed. Eve.  Pastor Bro. Thomas Byler - Thomas.txt
Video ID: mKZHN4O1a68
Segments: 1153
URL: https://www.youtube.com/watch?v=mKZHN4O1a68
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:22] uh
[0:23] [Music]
[1:04] um
[1:11] [Music]
[1:23] [Music]
[1:35] [Music]
[1:45] [Music]
[1:50] me
[1:53] [Music]
[2:00] [Music]
[2:06] look
[2:11] so
[2:14] [Music]
[2:36] [Music]
[2:43] with
[2:49] [Music]
[2:53] so
[2:57] [Music]
[3:25] foreign
[3:31] [Music]
[3:44] [Music]
[3:49] um
[3:50] [Music]
[4:21] [Music]
[4:30] [Music]
[4:39] me
[4:44] [Music]
[4:54] [Music]
[4:57] oh my god
[5:01] [Music]
[5:16] [Music]
[5:40] so
[5:48] [Music]
[6:04] [Music]
[6:11] so
[6:17] [Music]
[6:27] [Music]
[6:39] [Music]
[6:54] [Music]
[7:18] [Music]
[7:35] [Music]
[7:42] [Music]
[7:50] uh
[7:54] [Music]
[8:00] [Music]
[8:08] [Music]
[8:17] so
[8:19] [Music]
[8:30] so
[8:34] [Music]
[8:47] [Music]
[9:09] [Music]
[9:14] so
[9:17] [Music]
[9:30] [Music]
[9:46] uh
[9:48] [Music]
[9:55] so
[10:08] [Music]
[10:22] [Music]
[10:40] [Music]
[10:51] so
[11:02] [Music]
[11:25] wow
[11:27] [Music]
[11:34] [Music]
[11:42] [Music]
[11:55] you
[11:57] [Music]
[12:23] [Music]
[12:48] [Music]
[12:56] [Music]
[13:04] foreign
[13:06] [Music]
[13:14] [Music]
[13:20] then
[13:25] [Music]
[13:38] so
[13:42] [Music]
[13:56] [Music]
[14:00] this
[14:03] [Music]
[14:37] [Music]
[14:44] foreign
[14:56] [Music]
[15:07] [Music]
[15:15] [Music]
[15:24] wait
[15:26] [Music]
[15:30] so
[15:31] [Music]
[15:51] please
[15:55] please
[15:58] [Music]
[16:29] so
[16:59] [Music]
[17:16] [Music]
[17:23] um
[17:24] [Music]
[17:34] [Music]
[17:46] [Music]
[18:00] um
[18:03] [Music]
[18:15] so
[18:22] [Music]
[18:43] [Music]
[18:51] [Music]
[19:04] [Music]
