################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-08-07 - Sun. Morn. I SHALL NOT WANT 8-07-2022  Pastor Bro. Thomas Byler - Thomas Byler.txt
Video ID: MlVPNlFclWw
Segments: 2328
URL: https://www.youtube.com/watch?v=MlVPNlFclWw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:10] [Music]
[0:41] [Music]
[0:51] [Music]
[0:58] [Music]
[1:00] so
[1:41] [Music]
[1:44] gravy
[1:52] [Music]
[2:00] so
[4:01] [Music]
[4:05] so
[4:17] [Music]
[4:27] [Music]
[4:34] [Music]
[4:43] [Music]
[5:04] [Music]
[5:23] [Music]
[5:36] okay
[6:30] [Music]
[6:38] so
[7:07] foreign
[7:36] so
[7:50] so
[8:01] [Music]
[8:33] foreign
[9:16] [Music]
[9:23] [Music]
[9:31] [Music]
[9:33] great
[9:37] [Music]
[9:58] [Music]
[10:02] great
[10:15] [Music]
[10:21] so
[10:54] [Music]
[11:25] [Music]
[11:36] [Music]
[11:45] [Music]
[12:03] so
[12:45] [Music]
[13:04] foreign
[13:19] um
[13:26] [Music]
[14:10] with
[14:29] [Music]
[14:52] [Music]
[15:21] okay
[15:27] [Music]
[15:35] good
[15:43] [Music]
[15:59] [Music]
[16:15] gregory
[16:28] so
[16:59] okay
[17:22] so
[18:11] great
[18:14] [Music]
[18:19] so
[18:33] [Music]
[18:47] so
[19:07] foreign
[19:20] foreign
[19:31] great
[19:42] three
[19:45] [Music]
[19:52] [Music]
[20:04] foreign
[20:15] [Music]
[20:30] with
[20:38] [Music]
[20:50] so
[21:24] [Music]
[21:28] foreign
[21:31] so
[21:36] [Music]
[22:01] [Music]
[22:29] [Music]
[23:06] right
[23:11] so
[23:26] so
[23:27] [Music]
[23:39] [Music]
[23:44] so
[23:54] already
[24:38] foreign
[24:44] [Music]
[24:49] hello
[24:51] [Music]
[25:08] foreign
[25:21] [Music]
[25:26] great
[25:32] great
[25:45] [Music]
[26:01] foreign
[26:03] [Music]
[26:11] [Music]
[26:23] [Music]
[26:29] [Music]
[26:59] there
[27:08] [Music]
[27:28] [Music]
[27:48] [Music]
[27:58] foreign
[28:02] [Music]
[28:19] [Music]
[28:28] [Music]
[28:42] hello
[28:51] [Music]
[29:10] [Music]
[29:21] [Music]
[29:29] um
[29:36] [Music]
[29:50] right
[29:58] [Music]
[30:09] [Music]
[30:11] foreign
[30:17] [Music]
[30:26] spray
[30:31] [Music]
[30:43] [Music]
[30:52] [Music]
[31:08] [Music]
[31:22] right
[31:40] okay
[31:54] [Music]
[32:15] [Music]
[32:26] great
[32:38] ready
[32:42] [Music]
[32:50] [Music]
[33:34] right
[33:41] so
[33:52] [Music]
[34:02] [Music]
[34:21] [Music]
[34:24] oh
[34:40] [Music]
[35:18] so
[35:26] [Music]
[35:36] [Music]
[35:41] foreign
[35:43] [Music]
[35:47] good morning brothers and sisters
[35:49] we'll just stand this morning
[35:54] brother brad will open us in prayer this
[35:55] morning
[36:24] and if we go in the psalms we'll go to
[36:26] this
[36:28] psalms 127 just a little real
[36:30] short psalms here the children can be
[36:32] dismissed for sunday school
[36:42] psalms 127
[36:44] just a few little verses
[36:47] except the lord build the house they
[36:49] labor in vain that build it except the
[36:51] lord keep the city the watchmen wakeeth
[36:54] but in vain
[37:05] lo children are a heritage of the lord
[37:08] and the fruit of the womb is his reward
[37:18] happy this one together happy is the man
[37:20] that hath is quiver full of them they
[37:22] shall not be ashamed but they shall
[37:24] speak with the enemies in the gate god
[37:27] bless you may be seated brother brian
[37:39] good morning brothers and sisters
[37:43] according to those scriptures
[37:46] some of you brothers and sisters should
[37:47] get busy
[37:53] if you return with me to uh romans the
[37:56] 11th chapter i wasn't trying to be
[37:59] overly funny there
[38:04] before i get started um
[38:07] uh i sat down i made the church payment
[38:10] yesterday
[38:11] that the normal not exceeding much of
[38:14] the normal amount
[38:17] as of yesterday when i made that
[38:19] principal payment and the interest
[38:20] payment
[38:22] what's left in the uh of principal is 68
[38:26] 000
[38:27] and
[38:28] 6847 and change
[38:31] but something
[38:33] happened a lot this week i don't know
[38:36] i don't know if it happened to some of
[38:37] you all the church was on a
[38:40] it makes no sense saying that way we we
[38:43] had a
[38:44] fixed rate for so long and then it went
[38:46] to an adjustable rate so for the last
[38:49] couple of years it actually dropped a
[38:51] couple of years ago
[38:54] went up last year like a quarter point
[38:57] but this year
[38:59] this week it went up a whole percentage
[39:01] so it was four and a half last month
[39:04] come september the september payment is
[39:06] going to be five and a half percent
[39:08] and um i said i figured this out that
[39:12] if just doing the normal payment
[39:16] we would have uh 53 payments left
[39:18] basically
[39:20] on the loan
[39:21] four years and five months now of course
[39:23] i know a lot of you know that that's not
[39:26] fixed as i
[39:29] pay more principal the the years the
[39:32] amount of months at the end of the loan
[39:33] are going to change but that's just a
[39:35] rough estimate
[39:36] you know where we stand as a church
[39:39] paying off the uh paying off the loan
[39:42] that's a long way from where we started
[39:44] like i told you we took
[39:46] initially took out 175
[39:49] 000
[39:50] then we we when we did the original loan
[39:53] we had a plus up available up to 200 000
[39:56] and we took a 200 000 brothers and
[39:58] sisters
[40:00] that doesn't even touch the bucket how
[40:01] much it was actually put in the church
[40:04] over those
[40:05] couple of years we when we put it
[40:07] together whether it's your own personal
[40:09] labor or your own personal finances as
[40:11] you all know 200 000 dollars couldn't
[40:13] have built a church like this so the
[40:15] lord has
[40:16] truly blessed us but going back to the
[40:21] to this eleventh chapter i was sitting
[40:23] there thinking this morning
[40:27] and i
[40:31] and i was reading some stuff and i was
[40:33] reading about this man
[40:35] reading other people's writings and
[40:37] stuff and i was reading about this man
[40:39] this has been probably over a hundred
[40:41] years ago
[40:42] and he was a you know he was going to a
[40:45] samurai he was wanting to be a
[40:47] theologian
[40:48] and he was after all those years you
[40:52] know reading
[40:53] studying and believing he still he was
[40:56] he was very stressful
[40:58] very stressful about his circumstances
[41:00] about the word of god and the truths
[41:03] that were presented in it
[41:05] and then one day he just realized that
[41:07] he just simply
[41:09] had to accept what god wanted to do for
[41:12] him it wasn't all not that the education
[41:14] was bad or good it wasn't none of that
[41:17] really mattered
[41:18] it was just simply believing christ in
[41:21] believing what god
[41:23] purpose is for you as an individual just
[41:26] simply accepting it and reaching out in
[41:29] faith but he realizes all that was
[41:32] required of them now paul also said that
[41:35] you have to work out your salvation with
[41:37] fear and trembling it doesn't take that
[41:39] away but that fear and trembling and
[41:41] that conviction that comes upon your
[41:43] heart and life brings you to a point
