date,status,speaker,title,url,last_checked,language,type
2025-12-21,No Transcript,Tim Pruitt,"The Mountain Movers: The Holy Ghost - Word Born Children (Bro. Tim Pruitt on December 21, 2025)",https://www.youtube.com/watch?v=Ht5gFdgy_Ms,2025-12-22,Unknown,Full Sermon
2025-12-17,Success,Aaron Oglesby,"The Reward of Melchizedek - Bro. Aaron Oglesby on December 17, 2025",https://www.youtube.com/watch?v=noijokh7dOQ,2025-12-22,English,Full Sermon
2025-12-15,Success,Unknown Speaker,Let Heaven and Nature Sing - 2025 Sunday School Christmas Program,https://www.youtube.com/watch?v=zxsV-Yig5O0,2025-12-22,English,Christmas Program
2025-12-15,Success,Tim Pruitt,"The Mountain Movers: The Holy Ghost - The Marriage Covenant (Bro. Tim Pruitt on Dec. 14, 2025)",https://www.youtube.com/watch?v=w1n_vkpbyW0,2025-12-22,English,Full Sermon
2025-12-10,Success,Timothy Pruitt,"The Language of Faith, Part 2 - Bro. Timothy Pruitt on December 10, 2025",https://www.youtube.com/watch?v=lOW6A4_p4sM,2025-12-22,English,Full Sermon
2025-12-08,No Transcript,Tim Pruitt,The Mountain Movers: The Holy Ghost - The Invisible Union and Marriage Covenant (Bro. Tim Pruitt),https://www.youtube.com/watch?v=kV7046q2D_M,2025-12-22,Unknown,Full Sermon
2025-12-03,Success,Timothy Pruitt,"Thankful Faith - Bro. Timothy Pruitt on December 3, 2025",https://www.youtube.com/watch?v=etysXLZLHkg,2025-12-22,English,Full Sermon
2025-11-30,No Transcript,Tim Pruitt,"The Mountain Movers: Anointed, Sealed, and Adopted - Bro. Tim Pruitt on November 30, 2025",https://www.youtube.com/watch?v=kwpdEgee_hg,2025-12-22,Unknown,Full Sermon
2025-11-23,Success,Jack Duff,"The Great I Am - Bro. Jack Duff on November 23, 2025",https://www.youtube.com/watch?v=HuZiMzsfF_w,2025-12-22,English,Full Sermon
2025-11-19,No Transcript,Aaron Oglesby,"A Place for You - Bro. Aaron Oglesby on November 19, 2025",https://www.youtube.com/watch?v=JkUXcvVCKIU,2025-12-22,Unknown,Full Sermon
