date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-07,No Transcript,Unknown Speaker,"Wednesday Evening Service - January 7, 2026",https://www.youtube.com/watch?v=6GUUflBFCKg,2026-01-05,Unknown,Service,,0,Flagstaff Mission Tabernacle
2026-01-04,No Transcript,Unknown Speaker,"Sunday Morning Service - January 4, 2026",https://www.youtube.com/watch?v=SJ0Q2wwv39E,2026-01-05,Unknown,Service,,0,Flagstaff Mission Tabernacle
2025-12-31,Success,"December 31, 2025",Wednesday Evening Service,https://www.youtube.com/watch?v=mM8EtqBH6xQ,2026-01-05,Unknown,Full Sermon,,,
2025-12-28,Success,"December 28, 2025",Sunday Afternoon Service,https://www.youtube.com/watch?v=pbdfpxN1-FM,2026-01-05,Unknown,Full Sermon,,,
2025-12-28,Success,"December 28, 2025",Sunday Morning Service,https://www.youtube.com/watch?v=4pRFXCa4bsw,2026-01-05,Unknown,Full Sermon,,,
2025-12-27,Success,Memorial Service,Vivian Gordy Woody,https://www.youtube.com/watch?v=xiXd40yv5k0,2026-01-05,Unknown,Full Sermon,,,
2025-12-21,Success,"December 21, 2025",Sunday Morning Service,https://www.youtube.com/watch?v=T68TERyD8C0,2026-01-05,Unknown,Full Sermon,,,
2025-12-17,Success,"December 17, 2025",Wednesday Evening Service,https://www.youtube.com/watch?v=GzzQDjljlVA,2026-01-05,Unknown,Full Sermon,,,
2025-12-14,Success,"December 14, 2025",Sunday Morning Service,https://www.youtube.com/watch?v=yBGeXIBeeHY,2026-01-05,Unknown,Full Sermon,,,
2025-12-10,Success,"December 10, 2025",Wednesday Evening Service,https://www.youtube.com/watch?v=MI-3_d4aVEA,2026-01-05,Unknown,Full Sermon,,,
2025-12-07,Success,"December 7, 2025",Sunday Morning Service,https://www.youtube.com/watch?v=wmQ4JvD7quM,2026-01-05,Unknown,Full Sermon,,,
2024-07-17,Success,Unknown Speaker,Praise (Alaba)- Children's Choir,https://www.youtube.com/watch?v=3C2LtA_Tb84,2026-01-05,English,Sunday School,,,Flagstaff Mission Tabernacle
2024-07-12,Success,Such An Awesome,Such An Awesome God- Isaac Robson and Hailey Bohannon,https://www.youtube.com/watch?v=hlQ261dAIF0,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-07-12,Success,Quiero Ser Mas Como Tu,Quiero Ser Mas Como Tu- Bro Rolando,https://www.youtube.com/watch?v=169s_o5dHM4,2026-01-05,Unknown,Full Sermon,,,
2024-07-12,Success,John Yarborough,Burn Burn Holy Spirit- John Yarborough,https://www.youtube.com/watch?v=_ZBhLpzxMlo,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-07-12,Success,John Yarborough,Oh What A Savior- John Yarborough,https://www.youtube.com/watch?v=QxSJSmHFBTI,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-07-12,Success,In The,In The Garden- Stephen Martinez,https://www.youtube.com/watch?v=XvBPAA4nYuI,2026-01-05,Unknown,Full Sermon,,,
2024-07-12,Success,Liberty Robson,Goodness of God- Liberty Robson and Evelyn Long,https://www.youtube.com/watch?v=MDTqKyCx2P4,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-07-12,Success,William Robson,"Jesus Rescues Me- William Robson, Hannah and Hailey Bohannon",https://www.youtube.com/watch?v=JY5IJcDS2Xg,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-04-14,Success,Unknown Speaker,All Is Well- Liz McGinlay & Kathleen Daulton,https://www.youtube.com/watch?v=ocy_Sthuwdc,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-04-14,Success,Tom Weathers,Until He Was All That I Had- Tom Weathers,https://www.youtube.com/watch?v=mIPTx2WCwsQ,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-04-14,Success,Unknown Speaker,Daystar- Sam Daulton & Aidan Long,https://www.youtube.com/watch?v=hfi8r9LFUNM,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-04-14,Success,Liberty Robson,Clean- Liberty Robson,https://www.youtube.com/watch?v=IWhN1aXeMU8,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-03-31,No Transcript,Unknown Speaker,This Blood- FMT Choir,https://www.youtube.com/watch?v=v9bo6nyij5w,2026-01-05,Unknown,Short Service,This song was recorded live at Flagstaff Tabernacle.,5,Flagstaff Mission Tabernacle
2024-03-10,Success,Isaac Robson,Revelation Song- Isaac Robson & Pauline Whitworth,https://www.youtube.com/watch?v=PVnFIqSv6Qg,2026-01-05,English,Service,,,Flagstaff Mission Tabernacle
2024-03-08,No Transcript,Isaac Robson,Psalms 34- Isaac Robson,https://www.youtube.com/watch?v=7OYiulLF4cA,2026-01-05,Unknown,Short Service,This song was recorded live at Flagstaff Tabernacle.,4,Flagstaff Mission Tabernacle
2024-03-07,No Transcript,Stephen Martinez,Restless- Wendy Daulton & Stephen Martinez,https://www.youtube.com/watch?v=3WrPoCz1FRc,2026-01-05,Unknown,Short Service,This song was recorded live at Flagstaff Tabernacle.,4,Flagstaff Mission Tabernacle
2024-03-07,No Transcript,Unknown Speaker,He Already Sees The Rainbow- Caitlin Buchanan & Cammie Wilson,https://www.youtube.com/watch?v=8lt0zNQvnE8,2026-01-05,Unknown,Short Service,This song was recorded live at Flagstaff Tabernacle.,3,Flagstaff Mission Tabernacle
