date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-12,Success,Bloteh Won,11126 Sunday Service Pastor Bloteh Won- Sparring Partner Pt.2,https://www.youtube.com/watch?v=ZMcb9H6fQhY,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2026-01-11,Success,63-1222 God's Gifts Always Find Their Places p.82,11126 Sunday School Bro William Branham,https://www.youtube.com/watch?v=gwtSHmpZqHQ,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2026-01-07,Success,Bless The Lord Oh My Soul,01072026 Wednesday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=esjnLCPQZyU,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2026-01-05,Success,Sparring Partner,1426 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=2MLr_j52dho,2026-01-10,Unknown,Church Service,,182,Good Shepherd Fellowship
2026-01-04,Success,63-1222 God's Gifts Always Find Their Places p.42,1426 Sunday School Bro William Branham,https://www.youtube.com/watch?v=5QodR9BxYzA,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2026-01-01,Success,Unknown Speaker,123125 New Years Eve Service The Snare Is Broken And We Have Escaped,https://www.youtube.com/watch?v=Lq90_cOKLJc,2026-01-11,Unknown,New Year Service,,170,Good Shepherd Fellowship
2025-12-22,Success,Let's Put Christ Back In Christmas,122125 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=n1z76oeDDE4,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-12-21,Success,63-1222 God's Gifts Always Find Their Places,122125 Sunday School Bro William Branham,https://www.youtube.com/watch?v=_Yg8F1ghKQw,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-12-18,Success,Bloteh Won,"121725 Wednesday Service Pastor Bloteh Won- Oh, That my Words Were Written in the Book",https://www.youtube.com/watch?v=gOPAITtfAe0,2026-01-05,Unknown,Church Service,,92,Good Shepherd Fellowship
2025-12-15,Success,The Lambs Book Of Life,121425 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=O8itjizUMjg,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-12-08,Success,Pick Up Your Pen And Write,12725 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=CJULyL0X1Zk,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-12-07,Success,59-0712 A Total Deliverance para. 74,12725 Sunday School Bro William Branham,https://www.youtube.com/watch?v=96KMECNpkww,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-12-04,Success,Thirst,12325 Wednesday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=ooDRMERhmFg,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-12-01,Success,Bloteh Won,113025 Sunday Service Pastor Bloteh Won- David Mighty Men,https://www.youtube.com/watch?v=harM91P1dpA,2026-01-05,Unknown,Church Service,,117,Good Shepherd Fellowship
2025-11-24,Success,Eliezer Tell Me More,112325 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=3OUHPOdRywE,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-23,Success,59-0712 A Total Deliverance para. 74,112325 Sunday School Bro William Branham,https://www.youtube.com/watch?v=y8d5nUBPx0U,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-20,Success,When Love Project,111925 Wednesday Service Pst. Won,https://www.youtube.com/watch?v=bjLc5Cv4Fik,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-16,Success,"I Am, The Perpetual Name For All Generation",111625 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=7_5gTaLF5p8,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-16,Success,59-0712 A Total Deliverance para. 36,111625 Sunday School Bro William Branham,https://www.youtube.com/watch?v=B73ByDNK8tw,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-13,Success,Faith in the Son of God,111225 Wednesday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=XGm4jp-dQhQ,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-09,Success,Bloteh Won,11925 Sunday Service Pastor Bloteh Won- The Church Responding to the Anointing,https://www.youtube.com/watch?v=yRVh3_h3QgU,2026-01-05,Unknown,Church Service,,111,Good Shepherd Fellowship
2025-11-09,Success,59-0712 A Total Deliverance,11925 Sunday School Bro William Branham,https://www.youtube.com/watch?v=1sl5TG8diaM,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-06,Success,Bro. Andreas Ringen,11525 Wednesday Service,https://www.youtube.com/watch?v=dOlcPUsOAWE,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-02,Success,Only Believe,11225 Sunday Service Bro Forest Farmer,https://www.youtube.com/watch?v=fW8R-3ANAhU,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-02,Success,61-0427 Only Believe,11225 Sunday School Bro William Branham,https://www.youtube.com/watch?v=TZKs9zeYPS0,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-11-02,Success,Bro Forrest Farmer,11125 Saturday Special Meeting Service,https://www.youtube.com/watch?v=vfQZsHVIlVg,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-30,Success,The God of Varieties,102925 Wednesday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=SPskQPkoLBs,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-27,Success,The Sea Of Glass,102625 Sunday Communion Service Pastor Bloteh Won,https://www.youtube.com/watch?v=MG11mJ0dKsg,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-26,Success,Bloteh Won,10/26/25 Sunday Service: Pastor Bloteh Won - The Sea Of Glass,https://www.youtube.com/watch?v=GNk815mdHMw,2026-01-05,English,Church Service,,108,Good Shepherd Fellowship
2025-10-26,Success,56-0805 The Church and Its Condition para.117,102625 Sunday School Bro William Branham,https://www.youtube.com/watch?v=kWKpL234c-w,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-23,Success,Unknown Speaker,102225 Wednesday Service The High Priest of Our Confession,https://www.youtube.com/watch?v=YbUu39ChzwQ,2026-01-05,Unknown,Church Service,,95,Good Shepherd Fellowship
2025-10-19,Success,Church Discipline,101925 Sunday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=U5uxQeSTBfk,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-19,Success,56-0805 The Church and Its Condition para. 52- 117,101725 Sunday School Bro William Branham,https://www.youtube.com/watch?v=SXA1NZ-LlhY,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-16,Success,The Seven Spirits Of God,101525 Wednesday Service Pastor Bloteh Won,https://www.youtube.com/watch?v=i2PP9vZIb4Y,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-15,No Transcript,Unknown Speaker,10/15/25 Wednesday Service:,https://www.youtube.com/watch?v=kBwrjnACwEs,2026-01-05,Unknown,Church Service,Online Wednesday Service starts at 7:30pm,0,Good Shepherd Fellowship
2025-10-13,Success,Born Of A Kingdom That Cannot Be Moved,101225 Sunday Service Bro. Ariel Ngongo,https://www.youtube.com/watch?v=mXHHBVBBRXA,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
2025-10-12,Success,56-0805 The Church and Its Condition para. 21,101225 Sunday School Bro William Branham,https://www.youtube.com/watch?v=qVPy8OVlXas,2026-01-12,Unknown,Full Sermon,,,Good Shepherd Fellowship
