date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-07,Success,Paul Haylett,"January 7, 2026",https://www.youtube.com/watch?v=AbqEEe0MStY,2026-01-10,Unknown,Church Service,,,Grace Tabernacle Nampa
2026-01-04,No Transcript,Unknown Speaker,"January 4, 2026 - Bro Jose Hernandez - Lord Is My Shepherd""",https://www.youtube.com/watch?v=EHlwVMEXm1U,2026-01-10,Unknown,Church Service,Grace Tabernacle,139,Grace Tabernacle Nampa
2025-12-28,Success,Paul Haylett,"December 28, 2025",https://www.youtube.com/watch?v=H3KRvWrLw7Q,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-12-21,No Transcript,Paul Haylett,"December 21, 2025 - Bro Paul Haylett ""The Flood Has Come""",https://www.youtube.com/watch?v=dPbJPJJbJNo,2026-01-05,Unknown,Church Service,Bro Paul Haylett Grace Tabernacle,121,Grace Tabernacle Nampa
2025-12-17,Success,Unknown Speaker,"December 17, 2025",https://www.youtube.com/watch?v=lqpeTPWGN3Q,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-12-14,Success,Paul Haylett,"December 14, 2025",https://www.youtube.com/watch?v=mUJYLBo8gPY,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-12-10,Success,Paul Haylett,"December 10, 2025",https://www.youtube.com/watch?v=GFWA3Mz-TWE,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-12-07,Success,Paul Haylett,"December 7, 2025",https://www.youtube.com/watch?v=LXgMPGidEpA,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-12-03,Success,Paul Haylett,"December 3, 2025",https://www.youtube.com/watch?v=bYlEvySYNm0,2026-01-10,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-30,Success,Paul Haylett,"November 30, 2025",https://www.youtube.com/watch?v=vfqZoo6Plds,2026-01-10,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-23,Success,David Dienhart,"November 23, 2025 - Bro David Dienhart",https://www.youtube.com/watch?v=F4dKm_cWyvY,2026-01-05,English,Church Service,Grace Tabernacle,99,Grace Tabernacle Nampa
2025-11-23,Success,David Dienhart,"November 23, 2025",https://www.youtube.com/watch?v=RbH53lq4S0Q,2026-01-10,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-16,Success,Unknown Speaker,"November 16, 2025",https://www.youtube.com/watch?v=NXa6JN4Ds1Y,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-12,Success,Unknown Speaker,"November 12, 2025",https://www.youtube.com/watch?v=PotpJAhqjlE,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-09,Success,Paul Haylett,"November 9, 2025",https://www.youtube.com/watch?v=13v1tZir6Po,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-05,Success,Paul Haylett,"November 5, 2025",https://www.youtube.com/watch?v=Lq-z8Ssv62Y,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-11-02,Success,Paul Haylett,"November 2, 2025",https://www.youtube.com/watch?v=aZzA9Bq-kas,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-10-29,No Transcript,Paul Haylett,"October 29, 2025 - Bro Paul Haylett ""Built Up""",https://www.youtube.com/watch?v=8z-dZeio1tU,2026-01-05,Unknown,Church Service,Bro Paul Haylett Grace Tabernacle,108,Grace Tabernacle Nampa
2025-10-26,Success,Unknown Speaker,"October 26, 2025",https://www.youtube.com/watch?v=bGzC0cTlP3U,2026-01-11,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-10-19,Success,Paul Haylett,"October 19, 2025",https://www.youtube.com/watch?v=3vbZet6QXq8,2026-01-10,Unknown,Church Service,,,Grace Tabernacle Nampa
2025-10-12,No Transcript,Paul Haylett,"October 12, 2025 - Bro. Paul Haylett - ""Loosed... At The Spoken Word""",https://www.youtube.com/watch?v=a2DseiBuYB0,2026-01-05,Unknown,Church Service,Grace Tabernacle,128,Grace Tabernacle Nampa
