################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-12-19 - The Dissolving of The World  Bro Troy Svejda   Sunday Dec 19th 2021 - Troy Svejda.txt
Video ID: Hl9IbubMNfY
Segments: 1016
URL: https://www.youtube.com/watch?v=Hl9IbubMNfY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] um
[0:02] [Music]
[0:14] [Music]
[0:32] oh
[0:36] [Music]
[0:44] foreign
[0:46] [Music]
[1:08] [Music]
[1:13] once again
[1:15] [Music]
[1:35] [Music]
[1:46] uh
[1:54] oh
[1:56] [Music]
[2:09] oh
[2:12] [Music]
[2:24] uh
[2:26] [Music]
[2:47] oh
[2:49] [Music]
[2:54] oh
[3:01] [Music]
[3:35] [Music]
[3:40] as well
[3:45] [Music]
[3:51] as well
[3:52] [Music]
[4:17] uh
[4:21] [Music]
[4:39] [Music]
[4:45] [Music]
[4:55] is
[4:57] [Music]
[5:20] [Music]
[5:29] is
[5:35] [Music]
[5:47] [Music]
[5:54] oh
[6:03] [Music]
[6:25] is
[6:31] [Music]
[6:43] is
[6:45] [Music]
[6:51] is
[7:00] [Music]
[7:06] [Music]
[7:14] oh
[7:20] [Music]
[7:40] hey
[7:43] [Music]
[8:07] [Music]
[8:14] is
[8:18] [Music]
[8:26] is
[8:28] [Music]
[8:41] oh
[8:44] [Music]
[9:11] me
[9:12] [Music]
[9:29] [Music]
[9:37] oh
[9:41] [Music]
[9:50] oh
[9:54] [Music]
[10:13] is
[10:17] [Music]
[10:26] know
[10:29] [Music]
[10:32] yes
[10:34] [Music]
[10:48] [Music]
[10:53] oh
[11:01] oh
[11:18] [Music]
[11:27] [Music]
[11:33] righteousness
[11:39] [Music]
[11:47] [Music]
[11:53] um
[12:03] [Music]
[12:34] foreign
[12:57] [Music]
[13:03] my
[13:13] [Music]
[13:18] thank you
[13:38] [Music]
[13:46] wow
[13:57] oh
[14:04] [Music]
[14:24] [Music]
[14:47] um
[14:55] [Music]
[15:00] [Music]
[15:10] [Music]
[15:11] is
[15:13] [Music]
[15:30] foreign
[15:33] [Music]
[15:47] he's
[15:53] [Music]
[16:00] oh
[16:07] [Music]
[16:13] [Music]
[16:21] [Music]
[16:22] please
[16:36] oh
[16:41] [Music]
[16:51] foreign
[16:58] [Music]
[17:06] hey
[17:18] [Music]
[17:29] from
[17:38] [Music]
[17:46] [Music]
[18:02] foreign
[18:14] [Music]
[18:20] is
[18:30] [Music]
[18:33] hallelujah
[18:35] [Music]
[18:43] [Music]
[18:49] [Music]
[18:56] jesus
[19:07] [Music]
[19:15] [Music]
[19:21] [Music]
[19:41] is
[19:45] [Music]
[19:52] [Music]
[20:21] is
[20:34] is
[20:49] is
[20:52] [Music]
[21:06] hey
[21:08] [Music]
[21:45] me
[21:58] [Music]
[22:03] hallelujah
[22:06] [Music]
[22:15] this morning
[22:22] [Music]
[22:41] [Music]
[22:50] oh
[22:56] is
[23:01] [Music]
[23:42] oh
[23:47] [Music]
[23:50] oh
[24:06] [Music]
[24:20] oh
[24:24] [Music]
[24:31] [Music]
[24:37] is
[24:50] i am
[24:55] [Music]
[25:04] me
[25:05] [Music]
[25:20] please
[25:22] [Music]
[25:28] [Music]
[25:43] [Music]
[25:47] uh
[25:51] [Music]
[26:10] [Music]
[26:13] i can see
[26:17] [Music]
[27:03] oh
[27:22] thank you
[27:25] [Music]
[27:38] oh
[27:40] [Music]
[28:02] oh
[28:05] [Music]
[28:22] [Music]
[28:28] [Music]
[28:37] [Music]
[28:58] foreign
[29:03] [Music]
[29:14] oh
[29:19] [Music]
[29:30] [Applause]
[29:31] [Music]
[29:41] uh
[29:44] [Music]
[30:12] is
[30:13] [Music]
[30:26] foreign
[30:31] [Music]
[30:49] [Music]
[30:58] [Music]
[31:03] good to oh
