################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-27 - 27.02.2022  The Dispensation of the fullness of times  (English-Zulu Channel) - Unknown Speaker.txt
Video ID: J-ncCJNuykw
Segments: 1610
URL: https://www.youtube.com/watch?v=J-ncCJNuykw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:40] [Music]
[0:47] [Music]
[1:16] so
[1:17] [Music]
[1:34] [Music]
[2:39] so
[2:44] [Music]
[2:56] so
[2:58] [Music]
[3:07] um
[3:10] [Music]
[3:23] so
[3:25] [Music]
[3:47] [Music]
[4:07] [Music]
[5:13] so
[5:15] [Music]
[6:37] so
[6:41] [Music]
[7:09] uh
[7:12] [Music]
[7:21] so
[7:24] [Music]
[7:48] uh
[7:51] [Music]
[7:59] so
[8:02] [Music]
[9:06] will come
[9:10] [Music]
[9:30] foreign
[9:32] [Music]
[9:43] is
[9:47] [Music]
[10:04] foreign
[10:07] [Music]
[10:19] forever
[10:22] [Music]
[10:34] [Applause]
[10:38] um
[10:39] [Music]
[10:47] me
[10:52] [Music]
[10:53] [Applause]
[10:56] [Music]
[11:03] [Music]
[11:08] is
[11:12] [Music]
[11:18] is
[11:20] [Music]
[11:33] is
[11:35] [Applause]
[11:36] [Music]
[11:50] oh
[11:53] [Applause]
[12:04] [Music]
[12:16] salvation
[12:25] is
[12:27] [Applause]
[12:39] [Music]
[12:46] one
[12:49] [Music]
[12:51] and day faith will be
[12:54] my son
[12:57] and all my friends
[13:01] [Music]
[13:08] is
[13:13] [Music]
[13:21] foreign
[13:23] [Applause]
[13:34] i
[13:38] am
[13:40] [Applause]
[14:07] is
[14:17] uh
[14:28] [Music]
[14:30] is
[14:32] [Music]
[14:55] [Applause]
[15:00] [Music]
[15:08] [Music]
[15:24] i'm
[15:26] [Music]
[15:30] amen
[15:34] [Music]
[15:49] i saw
[15:52] [Music]
[15:54] me
[16:03] [Music]
[16:16] [Music]
[16:19] is
[16:21] [Music]
[17:01] okay
[17:16] [Applause]
[17:26] is
[17:33] me
[17:35] [Music]
[17:50] oh
[17:58] [Music]
[18:00] oh
[18:11] [Music]
[18:16] [Music]
[18:23] let us
[18:28] day
[18:30] [Music]
[18:42] every day
[18:47] [Music]
[19:02] [Music]
[19:22] so
[19:24] [Music]
[19:28] yes
[19:34] [Music]
[19:47] [Music]
[19:51] is
[19:55] [Applause]
[20:07] okay
[20:22] um
[20:40] foreign
[20:44] [Applause]
[21:03] is
[21:19] [Applause]
[21:31] every day
[21:33] [Music]
[21:41] [Music]
[21:44] [Applause]
[21:54] last
[21:58] oh
[21:59] [Music]
[22:12] is
[22:15] [Music]
[22:30] [Music]
[22:38] [Music]
[22:57] oh
[23:36] oh
[24:14] hey
[24:20] is
[24:26] [Music]
[24:32] [Music]
[24:45] [Music]
[24:47] [Applause]
[25:00] is
[25:04] [Music]
[25:14] yes
[25:23] [Applause]
[25:34] [Music]
[25:43] oh
[25:54] [Music]
