################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-04 - 03.04.2022 The  Battle of  Armageddon (English-Zulu Channel) - Unknown Speaker.txt
Video ID: r3rFlXyFV7Y
Segments: 1742
URL: https://www.youtube.com/watch?v=r3rFlXyFV7Y
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:06] so
[0:31] so
[0:45] [Music]
[0:51] so
[1:03] [Music]
[1:04] so
[1:26] uh
[1:33] [Music]
[1:43] so
[1:47] [Music]
[1:58] so
[2:02] [Music]
[2:27] so
[2:52] so
[3:10] [Music]
[3:22] so
[3:36] so
[3:39] [Music]
[3:46] [Music]
[3:49] so
[3:54] [Music]
[4:04] [Music]
[4:06] so
[4:15] [Music]
[4:28] [Music]
[4:48] so
[5:00] foreign
[5:02] [Music]
[5:22] [Music]
[5:29] [Music]
[5:36] [Music]
[5:45] [Music]
[6:06] [Music]
[6:11] so
[6:12] [Music]
[6:22] so
[6:26] [Music]
[6:43] [Music]
[6:53] [Music]
[7:07] [Music]
[7:17] [Music]
[7:27] [Music]
[7:51] [Music]
[8:07] [Music]
[8:20] [Music]
[8:30] [Music]
[8:46] [Music]
[8:54] [Music]
[9:06] [Music]
[9:22] [Music]
[9:38] [Music]
[9:45] [Music]
[10:05] [Music]
[10:28] so
[10:49] just
[10:56] [Music]
[11:07] just
[11:12] [Music]
[11:19] so
[11:30] [Music]
[11:33] so
[11:36] [Music]
[11:48] high
[11:53] [Music]
[12:00] [Applause]
[12:01] [Music]
[12:03] oh
[12:08] [Music]
[12:17] [Music]
[12:24] is
[12:31] [Music]
[12:39] hey
[12:42] [Music]
[12:52] [Music]
[12:56] me
[13:08] [Music]
[13:16] [Music]
[13:23] is
[13:34] is
[13:49] oh
[14:02] oh
[14:20] [Music]
[14:24] three
[14:37] [Music]
[14:58] [Music]
[15:02] right
[15:08] [Music]
[15:21] [Music]
[15:23] [Applause]
[15:23] [Music]
[15:25] [Applause]
[15:27] [Music]
[15:46] [Applause]
[15:50] [Music]
[15:54] [Applause]
[15:56] oh
[16:00] [Music]
[16:18] ah
[16:22] me
[16:24] [Music]
[16:33] [Applause]
[16:38] [Music]
[16:40] [Applause]
[16:41] [Music]
[16:50] please
[16:53] [Music]
[17:17] [Music]
[17:21] oh
[17:24] [Music]
[17:28] [Applause]
[17:28] [Music]
[17:44] [Music]
[17:55] oh
[17:59] [Music]
[18:06] is
[18:12] [Music]
[18:13] [Applause]
[18:14] [Music]
[18:17] [Applause]
[18:17] [Music]
[18:20] oh
[18:24] [Music]
[18:31] [Music]
[18:40] is
[18:42] [Music]
[18:51] [Applause]
[18:53] [Music]
[19:05] oh
[19:11] [Music]
[19:16] ah
[19:22] [Music]
[19:31] [Music]
[19:40] i'm
[19:45] [Music]
[19:50] [Applause]
[19:55] [Music]
[19:58] oh
[20:06] [Applause]
[20:10] oh
[20:11] [Music]
[20:24] [Music]
[20:26] oh
[20:35] [Music]
[20:44] [Applause]
[20:54] my
[20:56] [Music]
[21:10] [Music]
[21:19] [Music]
[21:22] oh
[21:26] [Music]
[21:42] [Music]
[21:46] oh
[21:52] [Music]
[21:58] oh
[22:12] [Music]
[22:13] [Applause]
[22:24] is
[22:35] [Music]
[22:54] jesus
[22:58] [Music]
[23:16] you are
[23:22] [Applause]
[23:36] [Music]
[23:36] [Applause]
[23:42] [Music]
[23:51] uh
[23:57] [Music]
[24:06] oh
[24:13] [Music]
[24:16] [Applause]
[24:22] [Applause]
[24:26] [Music]
[24:37] [Applause]
[24:42] please
[24:46] [Applause]
[24:57] [Applause]
[24:57] [Music]
[25:06] so
[25:11] [Music]
[25:24] please
[25:36] [Music]
[25:42] uh
[25:47] [Music]
[25:52] [Music]
[26:01] oh
[26:02] [Music]
[26:12] [Music]
[26:32] [Music]
[26:36] [Applause]
[26:37] oh
[26:43] [Music]
[26:53] [Music]
[26:55] [Applause]
[27:24] yes
[27:35] oh
[27:37] [Applause]
[27:49] oh
[27:56] [Music]
[28:08] [Applause]
[28:16] [Music]
[28:24] [Applause]
[28:29] [Music]
[28:29] [Applause]
[28:31] yes
[28:45] [Music]
[28:51] me
[28:54] [Applause]
[29:05] oh
[29:09] [Applause]
[29:17] is
[29:23] [Applause]
[29:26] oh
[29:31] [Applause]
[29:32] [Music]
[29:34] [Applause]
[29:40] [Music]
[29:51] our most bodyguard
[29:55] the ancients of days
[29:58] [Applause]
[30:01] who never sleep never slander
[30:06] you are always watching over my father
[30:10] your people
[30:13] this morning lord we came from different
[30:16] places
[30:19] further not into this mortal temple
[30:24] but the father to meet you lord inside
[30:28] the real temple that you have created
[30:30] yourself lord
[30:34] where the pastor said the father
[30:37] it is where you discipline us
[30:40] it is where you control us
[30:43] it is where you direct us
[30:46] if father there is something that you
[30:48] are not doing right you will complain
[30:51] further within your temple
[30:53] that is what you have created
[30:56] father we have to thank you this morning
[30:59] father
[31:00] for the sign that you are giving us lord
[31:04] there was a sign that you gave to moses
[31:07] when he saw the tree father that was
[31:10] burning
[31:11] and the lord the sign attracted his
[31:14] attention
[31:16] and he looks towards the father
[31:19] where the sign was
[31:21] and out of the sign there was a voice
[31:23] that followed
[31:25] heavenly father there was a sign
[31:29] that father
[31:30] john saw a dove
[31:33] that was coming from heaven
[31:35] descending father
[31:37] into
[31:38] jesus
[31:40] after that there was a voice that
[31:42] followed
[31:44] we'd like to thank you this morning lord
[31:46] that is also devoted we've got a sign
[31:50] that father you are showing us
[31:53] that lord in this last days
[31:56] we need to look at the signs the pastor
[32:00] is always reminding us that we need to
[32:02] check the signs
[32:04] and after the signs father there's a
[32:06] voice
[32:07] that is coming from this pulpit father
[32:11] that lord correct us lord to know that
[32:14] where we are
[32:16] we give you the clothes father
[32:19] we give you the praise to have such a
[32:20] god
[32:22] the god father who thinks for us
[32:24] the court who loves us
[32:27] the culture doesn't sleep because of us
[32:30] we give you the glory lord
[32:32] i just want to remind you satan in the
[32:34] name of jesus
[32:36] i just want to come before you you satan
[32:39] in the name of jesus
[32:41] you have tried but you have failed
[32:44] even you thought that we won't be here
[32:47] this morning we i hear you satan
[32:49] [Applause]
[32:52] in the name of jesus
[32:55] whatever you plan your plans will never
[32:58] succeed
[33:00] because we are the signs of the most
[33:02] high court
[33:04] we are taking instruction from the lord
[33:07] we are tracking instruction from
[33:08] melchizedek
[33:10] and the high priest
[33:12] father we'd like to thank you this
[33:14] morning
[33:15] there are plans that are planned for
[33:17] this is a savings lord
[33:19] there are plans the devil father that
[33:22] here plans for your children but tonight
[33:24] we like to thank you lord that there is
[33:27] a man of war
[33:29] who is amongst us father
[33:31] he is walking around the lord
[33:34] we thank you for that who has
[33:37] the host of the army
[33:39] this morning
[33:41] father we like to thank you father
[33:43] for building us further from within
[33:46] it is true that father
[33:48] from outside lord
[33:50] we don't have much power
[33:53] but the power is coming from within
[33:56] and the further we can be able to face
[33:59] whatever the mountains are coming on our
[34:01] way
[34:02] there are people who never sleep because
[34:04] they were sick yesterday
[34:06] but today they are here
[34:08] we'd like to thank you father that there
[34:10] were people who have been attacked
[34:12] yesterday this evening but today father
[34:14] they are alive they are here
[34:16] because we are saving such a god
[34:19] father we pray for our brother who is
[34:21] leading us with the songs
[34:23] this morning lord and
[34:25] and all the brethren father that they
[34:26] are working with we thank you father for
[34:28] the work done that they are doing oh
[34:31] lord father we pray for our tithing that
[34:34] are still gonna come we pray my father
[34:36] for all the people who are sick they are
[34:38] gonna be prayed for again father this
[34:40] morning as we keep with the glory we
[34:42] pray for our pastor as well lord who is
[34:45] still gonna come further
[34:47] behind the pulpit lord we know that
[34:49] father he is the angel lord behind the
[34:52] pulpit
[34:53] we know he's the joshua of this hour
[34:56] we don't have any doubt in my father
[34:58] and we know that lord as we are showing
[35:01] the signs you will confirm it further
[35:04] through the voice lord behind it
[35:06] appropriate bless us my father and we
[35:09] glorify your holy name this morning in
[35:11] the name of our lord and savior christ
[35:13] jesus amen
