################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-07 - 03-07-2022  The  True  Worshippers  ( English-Isizulu Channel) - Unknown Speaker.txt
Video ID: p859iMmIh5s
Segments: 1760
URL: https://www.youtube.com/watch?v=p859iMmIh5s
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[10:05] [Music]
[10:26] [Music]
[10:37] so
[10:57] ah
[11:11] [Music]
[11:19] so
[11:33] so
[11:44] okay
[11:48] [Music]
[11:53] [Music]
[11:57] so
[11:58] [Music]
[12:09] [Music]
[12:16] um
[12:20] [Music]
[12:25] [Music]
[12:40] hmm
[12:44] [Music]
[13:15] [Music]
[13:26] of the lord jesus christ
[13:32] [Applause]
[13:36] [Music]
[13:44] [Music]
[13:49] is
[13:51] [Music]
[14:14] me
[14:27] [Music]
[14:36] oh
[14:48] [Music]
[15:10] i am
[15:12] oh
[15:29] [Music]
[15:37] [Applause]
[15:51] [Music]
[16:04] oh
[16:14] [Music]
[16:23] [Music]
[16:43] yes
[16:54] [Music]
[17:00] me
[17:03] [Applause]
[17:05] [Music]
[17:11] [Music]
[17:24] bye
[17:27] [Music]
[17:34] [Music]
[17:37] um
[17:50] [Music]
[18:04] oh
[18:08] [Music]
[18:18] oh
[18:28] [Music]
[18:36] [Music]
[18:42] [Music]
[18:50] me
[19:05] [Music]
[19:21] [Music]
[19:32] is
[19:34] [Music]
[20:08] [Music]
[20:19] oh
[20:23] [Music]
[20:36] oh
[20:46] [Music]
[20:52] is
[20:55] [Music]
[21:04] i say
[21:08] [Music]
[21:17] [Music]
[21:22] [Music]
[21:28] oh
[21:31] [Music]
[21:43] [Music]
[21:56] [Music]
[22:02] [Applause]
[22:11] yes
[22:19] [Music]
[22:29] [Music]
[22:40] [Music]
[22:44] [Applause]
[22:51] is
[23:00] [Music]
[23:06] [Applause]
[23:12] [Music]
[23:17] uh
[23:33] [Music]
[23:41] so
[23:43] [Music]
[23:49] [Music]
[23:57] oh
[24:10] [Applause]
[24:12] [Music]
[24:15] oh
[24:16] [Music]
[24:20] [Applause]
[24:22] [Music]
[24:24] what's up
[24:27] [Music]
[24:44] ah
[24:46] [Music]
[24:51] [Applause]
[24:58] [Music]
[25:02] [Applause]
[25:04] foreign
[25:06] [Music]
[25:23] [Applause]
[25:24] [Music]
[25:32] so
[25:33] [Music]
[25:55] it was just to sing the template
[26:04] [Music]
[26:11] [Music]
[26:22] i told you
[26:26] i told you
[26:27] [Music]
[26:29] oh
[26:35] [Music]
[26:46] is
[26:53] [Music]
[27:02] is
[27:04] [Music]
[27:19] [Music]
[27:38] is
[27:39] [Music]
[27:51] [Music]
[27:56] is
[28:02] [Music]
[28:04] is
[28:10] [Music]
[28:16] he's
[28:21] [Music]
[28:51] [Music]
[28:58] [Music]
[29:02] [Applause]
[29:03] [Music]
[29:07] oh
[29:11] [Music]
[29:16] i i don't know if it's like this here
[29:18] how is it gonna be there
[29:21] sis
[29:23] as we are going to open the service with
[29:26] the word of prayer as i'm asking the
[29:28] elder to come
[29:29] and pray for us amen
[29:32] society
[29:34] [Music]
[29:36] does this song is when he's your army
[29:41] jesus
[29:44] [Music]
[30:05] [Music]
[30:18] see
[30:20] [Music]
[30:26] is
[30:32] [Music]
[30:33] [Applause]
[30:35] [Music]
[30:45] [Applause]
[30:50] [Music]
[30:54] me
[31:00] [Music]
[31:04] [Applause]
[31:05] [Music]
[31:06] see
[31:07] [Music]
[31:11] [Applause]
[31:11] [Music]
[31:19] oh
[31:21] [Applause]
[31:33] [Music]
[31:42] [Applause]
[31:49] [Music]
[31:50] [Applause]
[31:52] [Music]
[32:02] [Music]
[32:15] [Music]
[32:22] huh
[32:25] [Music]
[32:25] [Applause]
[32:33] [Applause]
[32:34] [Music]
[32:38] oh
[32:41] [Music]
[32:51] oh
[32:56] [Applause]
[33:00] [Music]
[33:06] my
[33:09] [Music]
[33:15] [Applause]
[33:16] [Music]
[33:22] jesus
[33:24] [Music]
[33:27] [Applause]
[33:39] in the name of our lord jesus christ
[33:44] we are gathered here again lord
[33:47] to come and worship thee
[33:51] we are not petubed we are not disturbed
[33:54] gracious heavenly father
[33:58] we are settled
[34:00] because you gave us a way
[34:04] father
[34:05] thank you
[34:06] for bringing us here
[34:09] we've been praying lord
[34:12] that
[34:13] these corporate graduation should be
[34:16] relaxed
[34:21] and you have answered us lord
