################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-04-06 - 04.06-2022  The Sixth  and the Seventh Seal. ( English-Sepedi Channel) - Unknown Speaker.txt
Video ID: 2VRJREuCzrM
Segments: 1202
URL: https://www.youtube.com/watch?v=2VRJREuCzrM
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:04] [Music]
[0:51] do
[1:46] [Music]
[1:53] you
[2:08] do
[2:23] [Music]
[3:22] foreign
[4:09] [Music]
[4:18] so
[4:22] [Music]
[4:50] do
[5:02] do
[5:05] [Music]
[5:29] do
[5:44] do
[5:57] so
[6:46] [Music]
[7:06] do
[7:21] so
[7:43] you
[8:02] do
[8:37] do
[8:47] do
[8:58] do
[9:12] foreign
[9:50] [Music]
[10:00] do
[10:09] so
[10:22] [Music]
[10:45] um
[11:13] you
[11:58] amen we create the saints in the name of
[11:59] the lord jesus christ amen
[12:01] can you say enough vitamin we can start
[12:03] with this song
[12:07] calvary man
[12:23] [Music]
[12:37] a
[12:38] [Music]
[13:16] foreign
[13:19] [Music]
[13:33] foreign
[13:37] [Music]
[13:48] [Music]
[14:17] foreign
[14:19] [Music]
[14:35] oh
[14:37] [Music]
[15:31] is
[15:34] [Music]
[15:59] [Music]
[16:19] oh
[16:22] [Music]
[16:30] my
[16:32] [Music]
[16:51] [Applause]
[16:55] me
[16:56] [Music]
[16:59] [Applause]
[17:04] foreign
[17:06] [Music]
[17:25] [Applause]
[17:31] oh
[17:37] [Music]
[17:42] [Music]
[18:10] [Music]
[18:27] oh
[18:29] [Music]
[18:39] [Music]
[18:57] oh
[19:00] [Music]
[19:06] [Applause]
[19:07] [Music]
[19:27] oh
[19:29] [Music]
[19:39] [Applause]
[19:42] [Music]
[19:51] ah
[19:55] [Music]
[20:06] [Music]
[20:15] my god
[20:17] [Music]
[20:29] [Applause]
[20:33] [Music]
[20:38] uh
[20:40] [Music]
[21:00] of prayer amen
[21:03] amen
[21:05] [Music]
[21:16] yes
[21:20] [Music]
[21:35] oh
[21:37] [Music]
[21:53] [Applause]
[21:57] [Music]
[22:01] hey
[22:05] [Music]
[22:18] [Music]
[22:29] foreign
[22:31] [Music]
[22:43] [Applause]
[22:45] [Music]
[23:03] [Music]
[23:12] [Applause]
[23:14] hey
[23:17] [Music]
[23:22] [Applause]
[23:23] [Music]
[23:26] [Applause]
[23:30] [Music]
[23:41] ah
[23:46] [Music]
[23:56] [Applause]
[23:57] [Music]
[23:59] [Applause]
[24:02] [Music]
[24:31] [Music]
[24:40] [Music]
[24:44] see
[25:12] see
[25:27] [Music]
[25:54] [Music]
[26:41] [Music]
[27:09] [Music]
[27:17] [Music]
[27:27] [Music]
[27:46] [Music]
[27:58] [Music]
[28:04] [Music]
[28:12] [Music]
[28:41] [Music]
[28:48] [Music]
[29:05] [Applause]
[29:10] hallelujah
[29:11] [Applause]
[29:24] hallelujah
[29:26] [Music]
[29:44] [Music]
[29:53] [Music]
[30:03] my
[30:04] [Music]
[30:09] [Applause]
[30:10] [Music]
[30:17] [Applause]
[30:24] [Music]
[30:29] [Applause]
[30:33] [Music]
[30:37] uh
[30:38] [Music]
[30:53] [Applause]
[30:56] [Music]
[30:57] hello
[31:01] [Applause]
[31:06] [Music]
[31:12] [Applause]
[31:14] [Music]
[31:20] [Music]
[31:23] me
[31:25] [Music]
[31:33] uh
[31:34] [Music]
[31:42] [Music]
[31:55] oh
[31:57] [Applause]
[31:58] [Music]
[32:00] [Applause]
[32:01] [Music]
[32:08] [Applause]
[32:12] [Music]
[32:19] [Applause]
