################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-02 - 06.02.2022 The Rapture (English-Zulu Channel) - Israel Nkodima.txt
Video ID: mj2FNws2LQ0
Segments: 1283
URL: https://www.youtube.com/watch?v=mj2FNws2LQ0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:01] is
[0:05] [Music]
[0:15] [Music]
[0:28] foreign
[0:32] [Music]
[1:10] we are
[1:13] [Music]
[1:23] oh
[1:26] [Music]
[1:31] foreign
[1:34] [Music]
[1:50] [Music]
[2:26] [Applause]
[2:26] [Music]
[2:31] over here
[2:36] this is
[2:38] [Music]
[2:50] [Applause]
[2:52] [Music]
[3:06] [Applause]
[3:09] [Music]
[3:16] my
[3:20] [Music]
[3:30] [Applause]
[3:39] is
[3:41] [Music]
[3:51] [Music]
[3:59] [Music]
[4:01] is
[4:07] [Music]
[4:19] is
[4:20] [Music]
[4:32] [Music]
[4:45] is
[4:53] [Music]
[4:59] is
[5:04] [Music]
[5:12] [Music]
[5:18] [Music]
[5:34] [Music]
[5:38] is
[5:44] [Music]
[5:55] is
[6:00] [Music]
[6:07] is
[6:09] [Music]
[6:16] [Music]
[6:23] [Music]
[6:37] yes
[6:38] [Music]
[6:54] [Music]
[7:01] oh
[7:02] [Music]
[7:12] [Music]
[7:22] [Music]
[7:28] that's is
[7:29] [Applause]
[7:31] [Music]
[7:55] me
[7:57] [Music]
[8:08] peace
[8:13] is
[8:22] [Applause]
[8:26] me
[8:31] [Music]
[8:41] [Music]
[8:49] [Applause]
[8:52] [Music]
[8:58] is
[9:01] [Music]
[9:08] [Music]
[9:15] is
[9:16] [Music]
[9:24] [Music]
[9:27] is
[9:29] [Music]
[9:35] [Music]
[9:44] [Music]
[9:47] [Applause]
[9:49] is
[9:51] [Music]
[10:08] oh
[10:10] [Applause]
[10:12] [Music]
[10:17] [Applause]
[10:20] oh
[10:23] [Music]
[10:44] yeah oh
[10:47] [Music]
[10:58] [Music]
[11:04] yes
[11:07] [Music]
[11:14] foreign
[11:22] [Applause]
[11:24] [Music]
[11:28] is
[11:30] [Music]
[12:03] is
[12:10] oh
[12:13] [Music]
[12:31] [Applause]
[12:36] let's just say before
[12:43] [Music]
[12:52] and pray for us
[12:54] amen
[13:02] [Music]
[13:07] oh
[13:10] [Music]
[13:27] [Music]
[13:44] [Applause]
[13:48] [Music]
[13:49] [Applause]
[13:52] [Music]
[13:58] oh
[13:59] [Music]
[14:13] [Applause]
[14:19] is
[14:21] [Music]
[14:30] [Applause]
[14:30] [Music]
[14:34] is
[14:42] [Music]
[14:54] [Applause]
[14:57] am
[15:02] [Music]
[15:07] [Applause]
[15:10] [Music]
[15:16] days
[15:17] [Applause]
[15:28] [Applause]
[15:31] [Music]
[15:34] [Applause]
[15:37] [Music]
[15:45] [Applause]
[15:52] [Music]
[16:03] [Music]
[16:05] indeed lord we are going home
[16:09] the devil likes it or not we are going
[16:12] home
[16:16] there is nothing lord that will stop us
[16:18] now
[16:21] because my father the devil doesn't have
[16:23] any kids anymore
[16:25] [Applause]
[16:27] the devil doesn't have any title book
[16:29] anymore
[16:32] the title book to his eyes with us lord
[16:34] just the pride
[16:36] nothing that will stop us our lord
[16:39] the devil will try by all means but
[16:42] there's nothing that will stop us
[16:45] he can bring things further in our
[16:47] houses in our
[16:49] bodies my lord
[16:51] in our souls
[16:53] in our spirit
[16:55] but it does nothing that will stop us
[16:57] going home
[16:59] in the name of the lord jesus
[17:03] father we thank you this morning
[17:05] that father we have come
[17:08] we have heard
[17:09] we have seen
[17:11] now we are here lord
[17:13] and the father as we are here we know
[17:15] that as long as we are in your present
[17:17] father
[17:18] we are safe my father
[17:20] we give you that glory as we give you
[17:22] the honor in the name of the lord jesus
[17:25] christ the father this is that this is
[17:27] the savior's lord
[17:29] we are starting father
[17:31] we pray for our brother who's leading us
[17:33] with songs
[17:34] father we pray all the tidings and
[17:36] offerings that are coming in
[17:39] father we also pray that father
[17:41] the pastor is also coming lord
[17:44] and we know that he is the joshua of the
[17:46] time
[17:48] and we know that your father
[17:51] the bible says moses sent 12 spies to go
[17:55] and spy the land
[17:56] but when they come back father is only
[17:58] joshua and caleb
[18:00] that they have a different spirit
[18:03] and the father we like to thank you to
[18:04] have our joshua who's got a different
[18:07] spirit lord
[18:09] and that is the spirit of the lord
[18:12] we pray for him father as his coming
[18:14] father and we glorify your holy name
[18:17] bless us oh lord as we are in the midst
[18:20] and in the presence of the lord
[18:22] with god father
[18:24] our brothers who are live streaming lord
[18:27] around the globe
[18:28] and also father we welcome them lord
[18:31] because we know that there is a way to
[18:34] lord in this place
[18:36] whoever father
[18:37] he needs a weight is sick he'll be
[18:40] healed today
[18:41] because the father we are in your
[18:43] presence lord
[18:45] we like to thank you lord also for all
[18:47] the visitors who are here lord who are
[18:49] coming from different places
[18:52] father we pray for them is a special
[18:53] prayer for them
[18:55] that let them see that there is christ
[18:57] here lord
[18:58] and they will receive
[19:00] we give that glory father as we honor
[19:02] thee in the name of our lord and savior
[19:04] christ jesus amen
[19:06] [Applause]
[19:16] um
[19:24] uh
[19:44] so
[20:08] [Music]
[20:25] so
[20:38] [Music]
[20:51] [Music]
[21:07] me
[21:19] [Music]
[21:22] if
[21:28] [Music]
[21:42] i is
[21:49] [Music]
[22:01] is
[22:02] [Music]
[22:18] uh
[22:19] [Music]
[22:26] [Applause]
[22:27] [Music]
[22:43] oh
[22:44] [Music]
[22:58] oh
[22:59] [Music]
[23:16] with us
[23:19] [Music]
[23:19] [Applause]
[23:22] [Music]
[23:24] is
[23:27] [Music]
[23:44] z
[23:45] [Music]
[23:57] if you're just
[24:00] [Music]
[24:01] [Applause]
[24:01] [Music]
[24:13] [Applause]
[24:16] i
[24:18] [Music]
[24:21] [Applause]
