################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-19 - 19.06-2022  Re Entry Vol. 7 ( English-IsizuluChannel) - Unknown Speaker.txt
Video ID: HIMnxabNO0k
Segments: 1644
URL: https://www.youtube.com/watch?v=HIMnxabNO0k
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:05] so
[0:12] [Music]
[0:18] um
[0:27] [Music]
[0:32] um
[0:42] [Music]
[0:50] [Music]
[1:03] [Music]
[1:09] [Music]
[1:20] [Music]
[1:30] um
[1:33] [Music]
[1:49] [Music]
[1:59] so
[2:15] so
[2:18] [Music]
[2:28] so
[2:42] [Music]
[2:53] so
[2:58] [Music]
[3:07] [Music]
[3:15] [Music]
[3:18] now
[3:24] [Music]
[3:44] time
[3:54] [Music]
[4:18] so
[4:21] [Music]
[4:32] [Music]
[4:37] mm-hmm
[4:38] [Music]
[4:51] [Music]
[4:56] um
[5:03] [Music]
[5:19] [Music]
[5:39] [Music]
[5:48] um
[5:54] [Music]
[6:08] so
[6:21] um
[6:35] okay
[6:46] [Music]
[6:53] [Music]
[7:01] wow
[7:05] [Applause]
[7:08] [Music]
[7:25] oh hallelujah
[7:35] oh
[7:36] [Music]
[7:49] oh
[7:53] [Music]
[8:01] [Music]
[8:04] hallelujah
[8:10] [Music]
[8:18] [Music]
[8:24] so
[8:33] [Music]
[8:49] oh
[9:01] oh
[9:06] [Music]
[9:11] [Music]
[9:19] [Applause]
[9:20] is
[9:25] [Music]
[9:34] oh
[9:39] [Music]
[9:43] is
[9:49] [Music]
[10:02] [Music]
[10:10] oh
[10:15] [Music]
[10:19] oh
[10:23] [Music]
[10:30] [Music]
[10:49] [Music]
[10:59] you
[11:05] [Music]
[11:26] go
[11:29] [Music]
[11:34] [Music]
[11:51] [Music]
[11:53] oh
[11:58] [Music]
[12:06] [Music]
[12:09] it
[12:11] [Music]
[12:21] [Music]
[12:30] [Music]
[12:38] is
[12:42] [Music]
[12:58] is
[13:00] [Music]
[13:01] [Applause]
[13:08] [Music]
[13:24] me
[13:27] [Music]
[13:37] oh
[13:46] [Music]
[13:50] [Applause]
[13:51] [Music]
[14:02] please
[14:06] [Music]
[14:19] [Music]
[14:31] [Music]
[14:43] [Music]
[14:57] oh
[15:03] [Music]
[15:20] [Music]
[15:26] is
[15:43] [Music]
[15:44] [Applause]
[15:50] oh
[15:58] is
[16:17] [Music]
[16:24] [Music]
[16:35] is
[16:54] [Music]
[17:06] [Applause]
[17:16] [Music]
[17:23] [Applause]
[17:24] [Music]
[17:25] [Applause]
[17:26] [Music]
[17:31] [Applause]
[17:34] this is
[17:36] [Music]
[17:50] [Music]
[17:52] jesus
[17:53] [Music]
[18:03] is
[18:08] [Music]
[18:14] [Music]
[18:22] [Music]
[18:29] is
[18:37] [Music]
[18:44] is
[18:45] [Music]
[18:57] is
[19:01] [Music]
[19:20] [Music]
[19:30] [Music]
[19:45] [Music]
[19:48] this is my story
[19:52] [Music]
[20:00] [Music]
[20:03] this is my story
[20:15] [Music]
[20:18] is
[20:27] [Music]
[20:44] is
[20:49] is
[20:53] [Music]
[20:59] [Music]
[21:07] is
[21:14] [Music]
[21:37] [Music]
[21:49] us
[21:53] [Applause]
[21:55] [Music]
[22:08] [Applause]
[22:08] [Music]
[22:14] [Music]
[22:24] [Music]
[22:32] [Music]
[22:37] [Applause]
[22:43] [Music]
[23:08] [Music]
[23:24] [Music]
[23:27] what's
[23:31] [Music]
[23:45] [Music]
[23:50] [Music]
[23:56] [Music]
[24:01] oh
[24:03] [Music]
[24:14] oh
[24:16] [Music]
[24:23] [Music]
[24:27] not
[24:29] [Applause]
[24:41] [Music]
[24:48] [Music]
[24:59] are you here
[25:01] [Music]
[25:13] [Music]
[25:16] so
[25:23] [Music]
[25:38] is
[25:39] [Music]
[25:42] is
[25:43] [Applause]
[25:53] [Music]
[25:58] [Music]
[26:03] foreign
[26:05] [Music]
[26:26] [Music]
[26:33] [Applause]
[26:36] [Music]
[26:39] oh
[26:43] [Music]
[26:50] [Music]
[26:55] [Music]
[27:01] [Music]
[27:09] [Music]
[27:12] oh
[27:13] [Music]
[27:26] [Music]
[27:31] is
[27:34] [Music]
[27:55] [Music]
[27:58] is
[28:14] [Music]
[28:18] okay
[28:27] [Music]
[28:30] oh
[28:40] [Music]
[28:45] is
[28:46] [Music]
[29:18] yes
[29:22] [Applause]
[29:29] yes
[29:40] [Applause]
[29:43] [Music]
[29:48] one of my eldest
[29:52] [Music]
[30:11] [Music]
[30:20] [Music]
[30:29] foreign
[30:32] [Music]
[30:42] beauty
[30:53] [Music]
[31:07] [Music]
[31:21] foreign
[32:18] [Applause]
[32:26] who is in the
[32:27] [Applause]
[32:41] of the deadpool this is the power of the
[32:43] servancy
[32:44] he cannot stand
[32:47] for this ministry
[33:05] [Applause]
[33:32] [Music]
[33:35] [Applause]
[34:10] [Applause]
[34:19] this morning
[34:21] come
[34:23] and talk to us
[34:50] let all the spirit that are inside this
[34:53] building
[34:54] under your control
[34:56] under the control of the pastor
[34:58] [Applause]
[34:59] [Music]
[35:00] who
[35:19] [Applause]
[35:26] [Music]
[35:33] [Applause]
[35:42] [Applause]
[35:49] in the name of jesus i pray amen
[35:55] [Music]
[36:11] they will come here and give us
[36:13] something
[36:34] oh
[36:41] come on
[37:02] [Music]
[37:35] uh
[37:44] [Music]
[38:02] this
[38:04] [Music]
[38:12] oh
[38:16] [Music]
[38:22] um
[38:24] [Music]
[38:28] [Applause]
[38:29] [Music]
[38:31] [Applause]
[38:36] [Music]
[38:48] me
[38:53] [Music]
[39:10] [Music]
[39:16] [Music]
[39:28] [Music]
[39:40] i
[39:45] [Music]
[40:02] oh
[40:10] [Music]
[40:21] [Music]
[40:27] lalalala
[40:30] [Music]
[40:48] foreign
[40:53] [Applause]
[41:06] [Music]
[41:14] foreign
[41:39] foreign
[41:46] [Music]
[41:54] [Music]
[41:58] easy
[42:06] is
[42:10] [Applause]
[42:34] [Music]
[42:45] [Music]
[42:50] [Music]
[43:01] foreign
[43:15] [Applause]
[43:15] [Music]
[43:52] where
[43:55] [Music]
[44:16] [Applause]
[44:18] [Music]
[44:24] is
[44:33] [Applause]
[44:37] oh
[44:44] [Music]
[45:05] is
[45:09] [Applause]
[45:15] [Music]
[45:29] can we greet our sister churches
[45:32] all those that are streaming
[45:34] and
[45:37] it is wonderful to be here
[45:40] i want to invite the 10 kaminder to come
[45:43] forth
[45:44] just to bless our offerings and ties
[45:48] and also
[45:51] commit all the petitions unto the lord
[45:55] amen
[45:57] i have few prayer requests
[46:11] struggling to get funding to start up a
[46:14] business
[46:15] and i have sisters
[46:17] who has a running stomach
[46:20] i've got brother lufudo
[46:23] who has a problem with the parking they
[46:25] overrode the engine
[46:27] but
[46:28] it started and stopped
[46:31] so they believe they may be
[46:34] something
[46:36] and they want intervention from the lord
[46:41] suffering from a terrible flu
[46:44] analysis
[46:46] suffering from
[46:48] gastroesitis
[46:49] and struggling to eat
[46:52] i also have sister lungisa
[46:56] suffering from cancer
[46:59] is asking for traveling mercy
[47:03] going to hamper
[47:06] i have brother
[47:08] kingdom
[47:11] also asking for travel in mercy to build
[47:14] the grand mother
[47:16] he said he will be flying this coming
[47:18] friday
[47:23] who inaudible an eye problem
[47:25] he's asking for prayers
[47:28] sister kumalo says
[47:30] her son
[47:32] is suffering from epilepsy
[47:34] is asking for prayers
[47:40] who has been admitted
[47:43] to the hospital to the hospital due to
[47:45] ammunition
[47:47] is asking for prayers
[47:49] if you have a desire in your heart just
[47:53] raise your hand and the lord will bless
[47:55] you
[47:56] as we say the great physician
[47:59] is
[48:00] now here
[48:02] amen
[48:08] [Music]
[48:14] is
[48:30] [Music]
[48:34] is
[48:49] [Music]
[49:00] no
[49:02] [Music]
[49:10] [Applause]
[49:14] [Music]
[49:22] oh
[49:28] [Music]
[49:36] [Music]
[49:41] so
[49:44] jesus
[49:52] [Music]
[49:59] our gracious heavenly father
[50:02] again this morning lord we come before
[50:05] your throne
[50:07] we come before your grace we come before
[50:10] your presence
[50:12] the bible says father
[50:14] in your presence there is fullness of
[50:16] joy
[50:18] we are here lord we are not confused
[50:22] we are here lord we are not even
[50:24] disturbed
[50:26] we are here lord we are not even worried
[50:30] because father when we are in your
[50:32] presence
[50:33] we know that everything father
[50:36] is yes and it is amen
[50:39] this morning lord we've got requests
[50:41] that have been brought
[50:43] and further we know that lord each and
[50:45] every request
[50:47] we are going to deal with it this
[50:49] morning
[50:51] in the name of
[50:52] jesus i remember father
[50:56] some of us when we were driving
[50:59] you used to drive
[51:01] in the evening and you fell asleep
[51:04] and while we are driving somebody will
[51:06] come
[51:07] and just drive that car while we are
[51:09] sleeping
[51:11] for so many kilometers without knowing
[51:15] but when we wake up we'll be surprised
[51:17] that the car is still on the way
[51:19] that is the court of the seven sea
[51:22] that is the record of the deadpool
[51:26] those who are traveling further
[51:29] who are using the planes who are using
[51:31] the cars
[51:33] as long as further they are deprived we
[51:36] know that they are safe with you
[51:38] because no one father can touch your
[51:40] pride
[51:42] we've got those who are sick father the
[51:45] brethren who are sick
[51:47] today lord you know them
[51:49] we pray that the father the very same
[51:51] plant
[51:53] that mary said let it be let it happen
[51:55] to me according to your weight
[51:58] that father wade it turns into the blood
[52:02] the very same bloody father is that
[52:04] blood lord
[52:06] which father when you are facing that
[52:08] agony on calvary
[52:10] it flows my father
[52:13] it went further into that cape lord
[52:16] and we were redeemed we were healed
[52:19] that is why lord the bible says through
[52:21] the stripes of christ we are healed
[52:24] let them be healed father each and every
[52:27] one of them this morning
[52:29] according to that blood because that
[52:31] blood it is the way
[52:33] that word it is the revealed ways in the
[52:35] word of the lord
[52:36] father i would like to thank you lord
[52:39] the pastor has said when he was
[52:40] preaching it in cadmium's family
[52:43] he said father sometimes you don't need
[52:46] to be prayed for the power that you have
[52:49] you can always say
[52:52] you satan go away
[52:54] and he will go away
[52:56] father i would like to thank you
[52:58] that whatever the reports that were
[53:00] outside
[53:01] today family are within us
[53:04] we've got the power lord
[53:06] to face the enemy
[53:08] we've got the power to tell him where to
[53:10] cut off
[53:11] in the name of jesus
[53:13] we thank you father that they are healed
[53:15] we thank you father that there is a
[53:16] testimony that is coming
[53:18] to say that the father through the
[53:20] prayers of the elders and the pastor
[53:24] we are always healed lord
[53:26] we like to pray for our offerings we'd
[53:28] like to pray for our tithing father that
[53:30] has come true
[53:31] blessed my father as we continue with
[53:33] the service in the name of jesus amen
[53:36] [Applause]
[53:43] god bless you
[53:49] thanksgivings
[53:53] i want to appeal to you
[53:55] that will allow me to go through the
[53:57] thanksgiving
[53:59] then thereafter we can glorify them
[54:05] most of these petitions were brought
[54:08] here
[54:09] and the elders prayed for them
[54:12] some of these petitions were not brought
[54:14] to the pulpit
[54:16] but they were sent to the elders
[54:19] they were sent to the pastor and they
[54:20] prayed over
[54:25] wants to thank the lord
[54:27] she is healed
[54:29] sister mukabena
[54:33] wasa was admitted at the icu
[54:37] she has now been released
[54:40] sister mukang is well sister chihuahua
[54:43] as well
[54:47] had problems with the eyes
[54:50] he is now healed
[54:53] sister sophie massangu was robbed at her
[54:57] store
[55:00] and she also brought a prayer request
[55:04] and the insurance has now approved to
[55:06] pay the delay
[55:09] sister masilera is also here
[55:12] can we clap hands for that
[55:22] some baptism
[55:24] i will ask them to stand
[55:30] up
[55:45] may the lord richly bless
[55:48] [Applause]
[55:58] god bless you
[56:04] if you have a desire to be baptized
[56:08] you are welcome
[56:10] you can remain inside after the service
[56:14] and you will be assisted according
[56:18] amen
[56:22] we have an outrage to liu fontaine
[56:26] next week's sunday
[56:30] this coming sunday
[56:32] am i right this coming sunday
[56:35] the elder says
[56:37] it is correct
[56:39] so this coming sunday
[56:41] we are streaming from
[56:48] amen
[56:50] so the tabernacle will be closed
[56:54] we are streaming from
[56:56] lufonte
[56:59] i believe
[57:00] you'll notice some changes outside
[57:03] we have some water tanks
[57:06] can we clap hands for them
[57:12] if everything goes well we won't have
[57:15] water problems
[57:19] amen
[57:21] you know it is so good to fellowship at
[57:23] the place
[57:25] where we have the cons
[57:27] we have the pastor and we have the
[57:29] elders
[57:30] they look after us isn't it
[57:34] [Applause]
[57:42] you know
[57:43] we have this controversial picture
[57:50] it was taken i believe in
[57:54] in congo
[57:57] after the pastor preached
[57:59] while he was seated
[58:02] a sister took that picture
[58:04] and
[58:05] it appears
[58:07] there was some supernatural light around
[58:09] the picture
[58:11] you have that picture isn't it
[58:14] now
[58:15] the pasta
[58:17] has brought it to our attention that
[58:20] we have the correct picture and we have
[58:22] the wrong picture
[58:27] so
[58:27] [Music]
[58:30] there is a wrong one that we distributed
[58:34] some years ago i believe
[58:36] that there is a correct one
[58:40] so the pastor has corrected us
[58:43] and
[58:44] the elders have that correct picture
[58:46] they also have it on their profile
[58:48] pictures even the library is printing
[58:51] that correct picture
[58:53] so if you have the wrong one
[58:57] you have to destroy it
[59:00] and use the correct one
[59:03] god bless you
[59:05] you can check it on the elder's profiles
[59:08] there is a correct one i know that some
[59:10] of you will love that picture
[59:12] god bless you
[59:13] amen
[59:18] may the lord richly bless you
[59:20] amen
[59:21] as we stand on our feet
[59:24] to welcome our precious pastor to the
[59:26] pulpit
[59:30] and
[59:31] sistan godima brought a very wonderful
[59:34] testimony
[59:36] to thank the lord
[59:38] she celebrated her birthday during the
[59:40] course of the week
[59:43] and she just want to thank the lord
[59:46] for all the blessings that she received
[59:49] throughout the years
[59:52] and also want to thank the pastor
[59:55] for him for his prayers
[1:00:03] [Applause]
[1:00:12] i heard his father's day today
[1:00:16] so
[1:00:17] all the fathers
[1:00:19] must also thank the lord
[1:00:22] can we clap hands
[1:00:24] [Music]
[1:00:25] [Applause]
[1:00:31] i believe my brother you have a song in
[1:00:34] your heart
[1:00:35] oh sister pumla just lead us god bless
[1:00:39] you
[1:00:42] [Music]
[1:00:54] oh
[1:00:57] is
[1:01:02] [Music]
[1:01:20] [Music]
[1:01:29] [Applause]
[1:01:30] [Music]
[1:01:47] [Music]
[1:01:49] [Applause]
[1:01:58] [Music]
[1:02:06] [Music]
[1:02:16] [Music]
[1:02:27] [Music]
[1:02:30] amen god bless you
[1:02:35] finally the tupperware
[1:02:38] that they passed abroad
[1:02:41] they are in this office it's quite a
[1:02:43] number of them
[1:02:45] so if at any stage you gave the pastor a
[1:02:48] tape away
[1:02:50] maybe it may have contained something
[1:02:54] please come and check it after the
[1:02:55] service
[1:02:58] in the office
[1:03:01] amen
[1:03:02] we also have
[1:03:05] lost and found
[1:03:08] it's a phone
[1:03:11] you can come and collect it from me
[1:03:15] i'll keep it in my pocket
[1:03:18] amen
[1:03:20] may the lord richly bless you
[1:03:23] let us continue while waiting for our
[1:03:26] preachers pastor
[1:03:36] [Music]
[1:03:44] oh
[1:03:45] [Music]
[1:03:54] [Music]
[1:03:58] foreign
[1:04:25] [Music]
[1:04:38] immediately
[1:04:45] move
[1:04:47] [Music]
[1:05:05] [Music]
[1:05:16] [Music]
[1:05:18] [Applause]
[1:05:20] see
[1:05:35] already
[1:05:39] [Music]
[1:06:00] oh
[1:06:07] [Music]
[1:06:13] the elders
[1:06:15] want to welcome all our visitors
[1:06:22] [Applause]
[1:06:29] let us welcome our pressure
