################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-07-17 - 17-07-2022   The New Commission  (English-Isizulu Channel) - Unknown Speaker.txt
Video ID: sNCoonszbiU
Segments: 1862
URL: https://www.youtube.com/watch?v=sNCoonszbiU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] hmm
[0:13] [Music]
[0:32] do
[0:34] [Music]
[0:39] [Music]
[0:52] [Music]
[1:01] [Music]
[1:18] [Music]
[1:34] [Music]
[1:47] huh
[1:51] [Music]
[2:11] [Music]
[3:06] [Music]
[3:40] [Music]
[3:49] [Music]
[5:44] [Music]
[6:09] so
[6:11] [Music]
[6:33] uh
[6:39] [Music]
[7:00] um
[7:01] [Music]
[7:16] uh
[7:18] [Music]
[7:30] [Music]
[7:56] [Music]
[8:47] you
[9:28] you
[9:46] [Music]
[9:58] [Music]
[10:04] uh
[10:10] [Music]
[10:34] hmm
[10:58] we are going to start with our service
[11:07] god bless you um
[11:16] [Music]
[11:25] [Music]
[11:50] oh
[11:54] [Music]
[12:22] is
[12:23] [Music]
[12:42] [Music]
[12:54] [Music]
[12:58] oh
[12:59] [Music]
[13:06] me
[13:11] [Music]
[13:28] me
[13:30] [Music]
[13:48] oh
[13:52] [Music]
[14:03] oh
[14:07] [Music]
[14:25] [Music]
[14:27] we
[14:29] [Music]
[14:34] away
[14:38] [Music]
[14:50] [Music]
[15:05] let's worship the lord
[15:09] [Music]
[15:19] [Music]
[15:24] city
[15:26] [Music]
[15:35] [Music]
[15:42] [Music]
[15:47] [Applause]
[15:56] [Music]
[16:06] me
[16:09] [Music]
[16:19] me
[16:21] [Music]
[16:23] oh
[16:24] [Music]
[16:31] [Music]
[16:41] foreign
[16:46] [Music]
[16:56] [Music]
[17:02] my
[17:04] [Music]
[17:13] [Music]
[17:16] happy
[17:19] [Music]
[17:30] [Music]
[17:50] [Music]
[18:02] [Music]
[18:04] me
[18:06] [Music]
[18:21] oh
[18:23] [Music]
[18:26] [Applause]
[18:40] [Music]
[18:54] there
[18:58] [Music]
[19:12] [Music]
[19:20] hey
[19:21] [Music]
[19:24] is
[19:28] [Music]
[19:46] god
[19:47] [Music]
[20:08] me
[20:12] [Music]
[20:20] is
[20:26] [Music]
[20:42] [Music]
[20:45] oh
[20:47] [Music]
[20:53] [Music]
[21:18] let's just lift up those heads
[21:27] [Applause]
[21:31] [Music]
[21:33] now
[21:35] [Music]
[21:47] here
[21:49] [Music]
[22:05] the scene one more time
[22:09] [Music]
[22:15] me
[22:19] [Music]
[22:34] oh
[22:37] [Music]
[22:38] [Applause]
[22:41] [Music]
[22:44] [Applause]
[22:50] [Music]
[22:51] hey
[23:02] [Music]
[23:34] foreign
[23:36] [Music]
[23:59] foreign
[24:17] foreign
[24:39] foreign
[24:40] [Applause]
[25:15] moses
[25:17] and
[25:18] sister pamela
[25:33] ah
[25:37] [Music]
[25:45] shalom bride
[25:50] now that i see that the roland is here
[26:08] piano
[26:22] a
[26:35] [Applause]
[26:36] [Music]
[26:46] foreign
[26:55] [Music]
[26:57] [Applause]
[26:59] [Music]
[27:01] foreign
[27:04] [Music]
[27:18] [Music]
[27:21] [Applause]
[27:32] [Music]
[27:38] [Applause]
[27:46] [Music]
[27:54] [Music]
[28:00] foreign
[28:11] hallelujah
[28:16] [Music]
[28:27] um
[28:34] [Music]
[28:41] [Music]
[28:47] [Music]
[28:51] foreign
[28:54] [Music]
[29:10] go is
[29:13] [Music]
[29:34] [Music]
[29:52] [Music]
[30:06] sir
[30:12] [Music]
[30:33] foreign
[30:36] [Music]
[30:39] [Applause]
[30:39] [Music]
[30:47] foreign
[30:49] [Music]
[31:01] foreign
[31:04] [Applause]
[31:11] [Applause]
[31:20] foreign
[31:28] [Music]
[31:34] [Music]
[31:48] [Applause]
[31:57] how great is our goat
[32:02] how great is his name
[32:07] he's the only one
[32:11] who
[32:24] and he said
[32:27] i will
[32:28] lead you
[32:31] put your trust
[32:34] in
[32:35] me
[32:37] how great is our goal
[32:43] how great is his name
[32:48] he's the only one
[32:53] who
[32:54] is
[32:57] he'll roll back the water
[33:01] of the mighty red sea
[33:06] and i will lead
[33:14] [Music]
[33:20] put your trust
[33:22] in
[33:30] [Music]
[33:39] [Music]
[33:52] [Music]
[33:58] [Music]
[34:15] [Music]
[34:34] [Music]
[35:02] [Music]
[35:17] [Applause]
[35:33] [Applause]
[36:01] [Music]
[36:45] [Music]
[37:02] [Music]
[37:34] [Music]
[37:36] you
[37:54] [Music]
[38:10] as the great
[38:12] river
[38:14] dries up
[38:21] making way
[38:23] for the keys
[38:25] of the ears
[38:29] [Music]
[38:32] making way
[38:34] for the great tribulation
[38:36] [Music]
[38:43] we remain
[38:47] [Music]
[38:52] as all the health
[38:54] is breaking loose today
[39:03] making way
[39:05] for
[39:06] that we can't make
[39:14] him wait
[39:15] for that great
[39:18] tribulation
[39:20] [Music]
[39:24] we
[39:26] remain
[39:28] on our hearts
[39:35] [Music]
[39:37] victorious
[39:42] [Music]
[39:52] we'll lift you up
[39:56] [Music]
[40:07] easier
