################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-10-30 - 30.10.2022  Go into the prophet's Chamber (IsiZulu Channel) - Unknown Speaker.txt
Video ID: 8UDirfoCxKk
Segments: 2032
URL: https://www.youtube.com/watch?v=8UDirfoCxKk
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] hmm
[0:01] [Music]
[0:08] [Music]
[0:35] foreign
[1:14] [Music]
[1:20] foreign
[1:25] [Music]
[1:57] [Music]
[2:03] foreign
[2:11] [Music]
[2:22] [Music]
[2:29] [Music]
[2:33] foreign
[2:38] [Music]
[2:59] [Music]
[3:29] foreign
[3:45] thank you
[3:59] [Music]
[4:15] foreign
[4:24] [Music]
[4:31] [Music]
[4:44] foreign
[4:46] [Music]
[4:59] [Music]
[5:21] [Music]
[5:24] foreign
[5:28] [Music]
[5:40] [Music]
[5:51] [Music]
[5:59] foreign
[6:06] [Music]
[6:22] foreign
[6:28] [Music]
[7:03] foreign
[7:05] [Music]
[7:43] foreign
[7:57] [Music]
[8:05] [Music]
[8:14] foreign
[8:16] [Music]
[8:22] [Music]
[8:30] [Music]
[8:52] foreign
[8:54] [Music]
[8:59] [Music]
[9:28] foreign
[9:31] [Music]
[9:51] [Music]
[10:04] thank you
[10:11] [Music]
[10:23] foreign
[10:24] [Music]
[10:33] [Music]
[10:40] [Music]
[10:52] [Music]
[10:58] [Music]
[11:00] foreign
[11:16] [Applause]
[11:50] foreign
[12:09] [Music]
[12:23] this is
[12:24] [Music]
[12:35] [Music]
[12:40] [Applause]
[12:40] [Music]
[12:43] [Applause]
[12:44] [Music]
[12:56] foreign
[12:58] [Music]
[13:05] [Music]
[13:32] [Applause]
[13:34] [Music]
[13:38] foreign
[13:46] [Music]
[13:57] [Applause]
[14:02] tonight
[14:03] [Music]
[14:32] foreign
[14:33] [Music]
[14:41] foreign
[14:44] [Music]
[15:12] foreign
[15:12] [Music]
[15:21] [Music]
[15:30] [Music]
[16:11] [Music]
[16:13] foreign
[16:18] [Applause]
[16:22] [Music]
[16:25] [Applause]
[16:29] [Music]
[16:40] [Music]
[16:45] foreign
[16:52] [Applause]
[17:05] [Music]
[17:11] [Applause]
[17:13] [Music]
[17:20] everywhere
[17:23] [Music]
[17:24] [Applause]
[17:41] [Applause]
[17:44] [Music]
[18:03] foreign
[18:13] [Music]
[18:26] [Music]
[18:38] away
[18:41] [Music]
[18:57] [Music]
[19:06] foreign
[19:13] [Music]
[19:14] [Applause]
[19:24] [Music]
[19:38] [Applause]
[19:38] [Music]
[19:48] [Applause]
[19:51] [Music]
[19:56] [Music]
[20:17] that's it
[20:22] tonight
[20:26] [Music]
[20:34] [Applause]
[20:40] [Music]
[20:51] foreign
[20:53] [Music]
[21:15] [Music]
[21:25] your life
[21:31] [Music]
[21:40] [Music]
[21:55] foreign
[21:59] [Music]
[22:17] [Music]
[22:28] [Applause]
[22:28] [Music]
[22:32] tonight
[22:37] [Music]
[22:42] [Music]
[22:57] my God Specializes
[23:02] foreign
[23:04] [Music]
[23:12] [Music]
[23:23] [Applause]
[23:32] thank you
[23:33] [Music]
[23:34] foreign
[23:39] [Music]
[23:47] [Music]
[23:50] [Applause]
[24:05] yes yes
[24:08] [Music]
[24:27] [Music]
[24:54] [Music]
[24:57] [Applause]
[24:58] [Music]
[25:14] [Music]
[25:52] Oh Come Back
[25:56] [Music]
[26:27] foreign
[26:38] [Music]
[26:45] [Music]
[26:49] [Applause]
[26:51] [Music]
[26:58] 24 now
[27:09] [Music]
[27:12] [Applause]
[27:22] [Music]
[27:30] foreign
[27:33] [Music]
[27:49] [Music]
[28:00] [Music]
[28:09] myself
[28:16] [Music]
[28:28] [Applause]
[28:29] [Music]
[28:34] [Music]
[28:41] yes
[28:44] [Applause]
[28:48] [Music]
[28:52] [Applause]
[29:08] leave it one more time
[29:10] foreign
[29:17] [Music]
[29:23] [Applause]
[29:36] [Music]
[29:44] foreign
[29:45] [Applause]
[29:50] [Music]
[29:58] [Music]
[30:23] [Music]
[30:30] just
[30:33] [Applause]
[30:34] [Music]
[30:44] started
[30:46] [Music]
[31:00] so
[31:03] nice
[31:10] [Music]
[31:16] [Music]
[31:23] [Applause]
[31:26] [Music]
[31:35] foreign
[31:47] [Music]
[31:54] [Music]
[32:00] [Music]
[32:08] foreign
[32:33] [Music]
[32:43] oh my God
[32:49] [Applause]
[32:57] [Music]
[33:03] [Music]
[33:09] [Music]
[33:15] [Music]
[33:20] without me
[33:27] [Music]
[33:37] [Music]
[33:39] Lord
[33:46] [Music]
[33:55] foreign
[34:02] [Music]
[34:17] [Music]
[34:21] foreign
[34:33] [Applause]
[34:37] [Music]
[34:49] [Applause]
[34:54] foreign
[34:58] [Music]
[35:04] [Music]
[35:08] [Applause]
[35:09] [Music]
[35:10] [Applause]
[35:11] [Music]
[35:13] [Applause]
[35:26] [Music]
[35:31] foreign
[35:38] [Music]
[35:49] [Music]
[35:52] [Applause]
[35:53] [Music]
[36:05] [Applause]
[36:12] foreign
[36:20] [Music]
[36:42] almost
[37:04] foreign
[37:19] foreign
[37:43] [Music]
[37:51] foreign
[37:55] [Music]
