################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-11-09 - 11.09.2022  The Spirit And The Bride Say Come Vol. 2  (IsiZulu-Channel) - Unknown Speaker.txt
Video ID: tTqCCf1KdPI
Segments: 2476
URL: https://www.youtube.com/watch?v=tTqCCf1KdPI
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:08] so
[0:19] [Music]
[0:36] so
[1:05] [Music]
[2:00] so
[2:35] ugh
[3:02] [Music]
[3:03] i
[3:23] hmm
[3:38] so
[3:48] hmm
[4:02] so
[4:18] so
[4:33] see
[5:07] um
[5:20] [Music]
[5:53] [Music]
[6:11] so
[6:47] you
[7:03] so
[7:33] so
[7:50] hmm
[8:04] [Music]
[8:20] [Music]
[8:25] you
[8:41] [Music]
[8:58] [Music]
[9:06] me
[9:08] [Music]
[9:13] ah
[9:15] [Music]
[9:39] [Music]
[9:47] then
[9:50] uh
[9:56] [Music]
[10:15] hmm
[10:17] [Music]
[10:31] hmm
[10:35] [Music]
[10:43] [Music]
[11:06] do
[11:19] [Music]
[11:22] do
[11:32] so
[11:59] [Music]
[12:09] say god bless you
[12:16] [Music]
[12:31] [Music]
[12:42] um
[12:56] [Music]
[12:58] yes
[13:00] [Music]
[13:12] oh
[13:14] [Music]
[13:27] [Music]
[13:30] oh
[13:36] oh
[13:39] [Music]
[13:46] [Applause]
[13:47] [Music]
[13:54] [Applause]
[13:57] [Music]
[14:01] [Applause]
[14:03] [Music]
[14:15] [Music]
[14:25] [Music]
[14:38] [Applause]
[14:38] [Music]
[14:47] know
[14:53] [Music]
[15:16] oh
[15:37] [Music]
[15:44] thank you
[15:58] guys
[16:08] oh
[16:31] [Music]
[16:49] [Music]
[17:11] [Music]
[17:26] [Music]
[17:37] [Music]
[17:47] [Applause]
[17:53] [Music]
[17:58] just
[18:02] foreign
[18:04] [Music]
[18:20] let's just give him a round of applause
[18:23] [Applause]
[18:39] [Music]
[18:44] jesus
[18:49] [Music]
[19:09] is
[19:18] [Music]
[19:29] please
[19:39] [Applause]
[19:41] [Music]
[20:00] with jesus
[20:08] is
[20:11] [Music]
[20:26] [Music]
[20:39] with jesus
[20:43] [Applause]
[20:46] [Music]
[20:59] thank you
[21:10] [Music]
[21:13] one more time
[21:18] friendship
[21:20] with jesus
[21:35] me
[21:45] [Music]
[21:51] she's
[21:59] [Music]
[22:00] [Applause]
[22:11] is
[22:14] [Music]
[22:31] so
[22:38] [Music]
[22:51] foreign
[23:06] [Applause]
[23:16] [Music]
[23:31] ah
[23:36] me
[23:40] [Applause]
[23:44] [Music]
[23:54] hey
[24:18] hello
[24:22] [Music]
[24:43] my
[24:58] hello
[25:01] [Applause]
[25:11] [Applause]
[25:39] hey
[25:45] [Music]
[26:08] i
[26:15] me
[26:17] [Music]
[26:26] [Music]
[26:55] [Music]
[27:25] is
[27:35] [Applause]
[27:41] hey
[27:50] [Music]
[27:55] it's so beautiful to leave the house of
[27:56] the lord
[27:58] let's take one more for us
[28:00] and take it a little higher
