################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-12-17 - 17.12.2022 The New Commission And The Request of The People - Erastus Makuwa.txt
Video ID: SKELO0MUO5Y
Segments: 2630
URL: https://www.youtube.com/watch?v=SKELO0MUO5Y
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] foreign
[0:04] [Music]
[0:22] [Music]
[0:32] foreign
[0:44] [Music]
[1:03] foreign
[1:05] [Music]
[1:16] [Music]
[1:33] foreign
[1:36] [Music]
[1:47] [Music]
[1:55] [Music]
[2:02] [Music]
[2:04] foreign
[2:07] [Music]
[2:18] [Music]
[2:38] foreign
[2:42] [Music]
[2:57] [Music]
[3:14] foreign
[3:20] [Music]
[3:34] [Music]
[3:45] yes
[3:49] [Music]
[4:06] [Music]
[4:18] foreign
[4:20] [Music]
[4:49] foreign
[4:52] [Music]
[5:28] [Music]
[5:44] thank you
[5:57] [Music]
[6:06] foreign
[6:22] [Music]
[6:42] foreign
[6:44] [Music]
[6:54] [Music]
[7:13] [Music]
[7:19] foreign
[7:22] [Music]
[7:30] [Music]
[7:48] foreign
[7:53] [Music]
[7:59] [Music]
[8:09] [Music]
[8:17] foreign
[8:19] [Music]
[8:21] foreign
[8:24] [Music]
[8:37] [Music]
[8:57] foreign
[9:03] [Music]
[9:10] [Music]
[9:29] foreign
[9:38] [Music]
[10:02] foreign
[10:08] [Music]
[10:35] foreign
[10:39] [Music]
[11:03] foreign
[11:08] [Music]
[11:35] foreign
[11:37] [Music]
[12:05] foreign
[12:08] [Music]
[12:52] foreign
[13:08] [Music]
[13:12] foreign
[13:17] [Music]
[13:46] foreign
[13:49] [Music]
[14:18] foreign
[14:21] [Music]
[14:41] [Music]
[14:50] foreign
[14:58] [Music]
[15:28] foreign
[15:31] [Music]
[15:37] [Music]
[15:57] foreign
[16:01] [Music]
[16:28] Peppa
[16:32] foreign
[16:36] [Music]
[17:08] foreign
[17:09] [Music]
[17:35] [Music]
[17:44] foreign
[17:49] [Music]
[18:00] [Music]
[18:14] foreign
[18:17] [Music]
[18:44] [Music]
[18:49] foreign
[18:51] [Music]
[19:12] [Music]
[19:18] foreign
[19:20] [Music]
[19:37] [Music]
[19:48] foreign
[19:50] [Music]
[20:22] foreign
[20:25] [Music]
[20:44] [Music]
[20:57] foreign
[20:58] [Music]
[21:23] foreign
[21:25] [Music]
[21:56] foreign
[21:57] [Music]
[22:11] [Music]
[22:27] foreign
[22:31] [Music]
[22:46] [Music]
[22:53] [Music]
[22:55] as we are going to praise and worship
[22:58] the Lord
[22:59] you can just greet your neighbor one
[23:01] more time and say you've made the right
[23:03] decision
[23:05] to come
[23:06] back into the house of the Lord
[23:10] [Music]
[23:29] foreign
[23:35] hooray
[23:37] within my eyes
[23:43] [Music]
[24:00] foreign
[24:02] [Music]
[24:20] [Music]
[24:21] [Applause]
[24:30] foreign
[24:32] [Applause]
[24:36] [Music]
[25:15] [Applause]
[25:17] [Music]
[25:19] [Applause]
[25:21] [Music]
[25:24] you are my eyes
[25:30] [Music]
[25:45] [Music]
[25:51] say we cry
[25:55] I will serve
[25:58] d
[25:59] [Music]
[26:08] [Applause]
[26:12] [Music]
[26:20] God Jesus
[26:24] today
[26:26] [Music]
[26:33] [Applause]
[26:35] [Music]
[26:43] everybody
[26:45] [Music]
[26:50] your name
[26:52] [Music]
[26:54] [Applause]
[26:57] [Music]
[26:59] bring me
[27:01] [Applause]
[27:01] [Music]
[27:03] everywhere today
[27:06] [Music]
[27:16] I will be
[27:19] understood
[27:21] [Music]
[27:25] foreign
[27:26] [Applause]
[27:32] [Music]
[27:39] [Music]
[27:44] [Applause]
[27:44] [Music]
[27:54] it's the highways
[27:57] foreign
[28:02] [Music]
[28:12] [Applause]
[28:23] [Applause]
[28:26] [Music]
[28:31] [Music]
[28:36] [Applause]
[28:38] [Music]
[28:39] [Applause]
[28:44] [Music]
[28:45] [Applause]
[28:46] either way
[28:49] [Music]
[28:50] [Applause]
[29:03] it's true
[29:10] [Music]
[29:24] [Music]
[29:37] [Music]
[29:39] leave them away
[29:41] [Applause]
[29:45] [Music]
[29:51] [Applause]
[29:54] [Music]
[29:55] [Applause]
[29:57] [Music]
[30:09] [Applause]
[30:09] [Music]
[30:14] [Applause]
[30:19] [Music]
[30:21] Hallelujah
[30:23] [Applause]
[30:29] [Music]
[30:30] [Applause]
[30:38] [Music]
[30:42] before
[30:45] we bless your name
[30:49] your name
[30:51] [Music]
[30:58] we bless thee your name
[31:01] we blessing your name
[31:05] [Music]
[31:15] [Applause]
[31:18] away
[31:21] [Applause]
[31:22] [Music]
[31:24] with the horrify your name
[31:30] [Music]
[31:32] my way
[31:35] [Music]
[31:50] we bless your name
[31:54] [Music]
[32:08] [Applause]
[32:10] [Music]
[32:14] [Applause]
[32:16] we glorify your name
[32:21] [Applause]
[32:22] [Music]
[32:29] we bless your name
[32:33] your name
[32:37] [Music]
[32:43] your name
[32:46] your name
[32:50] we
[32:56] glorify your name
[32:59] [Applause]
[33:02] away
[33:05] [Applause]
[33:08] we glorify your name
[33:11] [Music]
[33:12] [Applause]
[33:12] [Music]
[33:19] [Music]
[33:27] [Music]
[33:27] [Applause]
[33:29] [Music]
[33:38] your day
[33:42] rebound
[33:46] we don't refine your name
[33:50] [Music]
[33:51] [Applause]
[33:53] [Music]
[34:03] [Applause]
[34:04] [Music]
[34:12] please glorifying
[34:17] [Music]
[34:26] let's keep going out of Praise amen
[34:30] [Music]
[34:48] for people
[34:51] here
[35:08] [Music]
[35:16] videos
[35:28] [Music]
[35:39] [Music]
[35:49] today
[36:00] [Music]
[36:16] [Music]
[36:18] foreign
[36:28] [Music]
[36:36] [Music]
[36:43] foreign
[37:01] [Music]
[37:02] [Applause]
[37:04] [Music]
[37:16] foreign
[37:33] [Music]
[37:52] [Music]
[38:08] [Applause]
[38:09] [Music]
[38:20] City yeah
[38:30] [Music]
[38:44] whoa
[38:46] hey Dad
[38:50] [Music]
[39:13] [Music]
[39:15] what's going on
[39:17] [Music]
[39:29] [Music]
[39:37] [Music]
[39:55] foreign
[40:00] [Music]
[40:01] [Applause]
[40:06] [Music]
[40:14] [Music]
[40:16] [Applause]
[40:23] [Music]
[40:27] one more time
[40:29] [Music]
[40:38] [Music]
[40:45] foreign
[40:47] [Applause]
[40:49] [Music]
[40:52] [Applause]
[40:58] [Music]
[41:09] [Applause]
[41:17] thank you
[41:26] [Music]
[41:45] [Applause]
[41:53] equals
[41:54] [Music]
[42:01] [Applause]
[42:04] [Music]
[42:04] [Applause]
[42:05] [Music]
[42:06] [Applause]
[42:09] please
[42:15] [Music]
[42:17] [Applause]
[42:17] [Music]
[42:27] foreign
[42:30] [Music]
[42:34] [Applause]
[42:39] [Music]
[42:49] [Music]
[42:58] [Music]
[43:01] cities
[43:03] [Music]
[43:13] [Applause]
[43:18] foreign
[43:24] [Music]
[43:26] [Applause]
[43:40] [Music]
[43:50] [Music]
[43:53] foreign
[43:57] [Music]
[44:03] [Music]
[44:20] [Music]
[44:22] right now
[44:25] yeah
[44:27] that's the important last time
[44:34] [Music]
[44:41] [Music]
[44:43] [Applause]
[44:45] [Music]
[44:57] [Music]
[44:58] [Applause]
[44:59] [Music]
[45:06] [Music]
[45:17] [Applause]
[45:20] [Music]
[45:30] thank you
[45:33] [Music]
[45:41] [Applause]
[45:48] song
[45:52] you see I don't mind the waiting
[45:56] I've been here
[46:03] I don't
[46:07] [Music]
[46:09] my way
[46:11] [Music]
[46:18] [Music]
[46:27] I don't mind
[46:32] hide on my way
[46:35] [Music]
[46:40] Lord don't mind waiting I don't mind
[46:45] [Music]
[46:52] I don't mind
[46:55] [Music]
[47:02] I don't mind
[47:05] [Music]
[47:23] [Music]
[47:27] I know my face
[47:31] [Music]
[47:57] foreign
[47:59] [Music]
[48:05] [Applause]
[48:06] [Music]
[48:32] thank you
[48:38] [Music]
[48:48] gracious and Eternal Father
[48:51] we want to thank you again this
[48:53] afternoon for protecting us
[48:55] you are a good god indeed
[48:59] you gave us the traveling Mercy from
[49:01] different places we had your message
[49:05] this morning Lord we are going to
[49:08] receive the double portion this evening
[49:11] shows how good you are
[49:18] because you were always with us we are
[49:21] always in you
[49:23] father God you were with us when you
[49:26] created heaven and earth when you say
[49:29] let's do a man like our likeness
[49:32] Heavenly Father we have seen you when
[49:34] you were married
[49:36] when you were Jehovah when you were the
[49:39] Savior when you condescended right there
[49:43] where the devil stay
[49:45] we were with him that's why today we can
[49:47] expose him because we have seen all
[49:50] father God when you ascended to the
[49:53] uttermost we were with you god until you
[49:56] give us the keys of heaven and hell
[49:58] until you have given us the keys of
[50:00] death father God that is nothing that we
[50:03] don't know before your face because each
[50:06] and every time when we reveal anything
[50:08] unto us we were there and we have seen
[50:10] we are eyewitnesses we invite you Lord
[50:13] one small condescend unto us we want to
[50:17] worship God who was above us but now you
[50:20] are in us we want to thank you Lord
[50:22] because each and every step you take in
[50:24] your life we see and we know you better
[50:27] no wonder we can explain the word to the
[50:30] world who you are because you have shown
[50:32] us who we are maybe they know what we
[50:35] are but a Heavenly Father We Know Better
[50:38] of telling us who we are father God come
[50:42] and bless each and every one this
[50:43] morning and we know lord the devil is
[50:45] not happy about such Catherine because
[50:47] he's exposing him and is putting us in
[50:51] our position in a Heavenly places may
[50:53] you condescend and speak to us in a
[50:56] special way each and everyone each and
[50:58] every individual when we live here
[51:00] Heavenly Father we may be able to say
[51:02] indeed you have spoken to us in a
[51:04] special way father God we cannot leave
[51:07] our places our home just to be here to
[51:09] be against thy wait Heavenly Father may
[51:12] be the devil might have spit his praise
[51:15] into others but this is not the place to
[51:17] be father God we know better when you
[51:20] are amongst us things are going
[51:21] according to that will blessed heavenly
[51:24] father is and everything that is not
[51:26] supposed to be here may it go back to
[51:28] hell where it belong father cause those
[51:31] who are willing affricated and diseases
[51:33] Heavenly Father this is the place of
[51:36] healing because you said where two or
[51:39] three are gathered in your name you will
[51:41] be already in amongst them we feel your
[51:44] presence we see you better we know you
[51:46] better open our spiritual eye and on our
[51:49] spiritual year Us open our hearts may
[51:52] your way to find the places in us even
[51:55] the father blessing and every Angel let
[51:57] everyone focus upon Thy word because
[52:00] when you are here we can look up uh
[52:02] outside even the father we may not be
[52:04] able to see what we want us to see to
[52:07] hear what you want us to hear but each
[52:10] and every one of us should focus on thy
[52:13] way so that when we talk you are talking
[52:16] to an individual father God it is a
[52:18] pastor is going to take the pulpit all
[52:21] the activities here Heavenly Father we
[52:23] are requesting from the spirit of above
[52:26] to consider condescend and take control
[52:29] all over everything father God for we
[52:31] know you never disappointed us we are
[52:34] here to magnify your name to glorify
[52:37] your name to bless your name for we know
[52:40] we are at a better position this evening
[52:42] bless each and every individual father
[52:45] and we love you so much because you
[52:47] first are loved us I put and everything
[52:50] and to a capable hand praising your name
[52:52] in the name of our Lord and Savior Jesus
[52:54] Christ amen and amen
[53:01] amen
[53:03] we may take our seats
[53:05] as my brother will be coming again just
[53:07] to give us a song item if there's a
[53:10] specialist they can hand an opportunity
[53:11] let's just say
[53:13] [Music]
[53:15] ing
[53:32] that's me
[53:34] [Music]
[53:35] [Applause]
[53:36] [Music]
[53:57] Hallelujah
[53:59] [Music]
[54:02] [Applause]
[54:05] [Music]
[54:17] foreign
[54:23] [Music]
[54:38] [Music]
[54:44] [Music]
[54:47] foreign
[54:50] [Music]
[54:57] [Music]
[55:22] foreign
[55:29] [Music]
[55:53] foreign
[55:55] [Music]
[56:24] foreign
[56:25] [Music]
[56:47] [Music]
[56:57] foreign
[56:58] [Music]
[57:06] [Music]
[57:12] [Music]
[57:26] foreign
[57:28] [Music]
[57:33] foreign
[57:34] [Music]
[58:00] foreign
[58:01] [Music]
[58:05] foreign
[58:07] [Music]
[58:21] [Applause]
[58:21] [Music]
[58:35] laughs
[58:39] [Music]
[58:58] [Applause]
[59:00] bro Alias you can
[59:02] speak
[59:03] [Music]
[59:06] foreign
[59:41] foreign
[59:47] [Music]
[59:49] [Applause]
[59:59] [Music]
[1:00:09] [Applause]
[1:00:12] foreign
[1:00:21] [Music]
[1:00:42] keep talking
[1:00:45] [Music]
[1:00:48] me now
[1:00:57] [Applause]
[1:00:59] [Music]
[1:01:07] [Music]
[1:01:11] table yeah
[1:01:19] [Music]
[1:01:35] thank you
[1:01:38] [Music]
[1:01:40] lyrics
[1:01:45] [Music]
[1:01:56] [Applause]
[1:01:57] [Music]
[1:02:07] [Music]
[1:02:13] [Music]
[1:02:23] [Music]
[1:02:37] [Music]
[1:02:43] [Music]
[1:02:51] what's up
[1:02:55] foreign
[1:02:58] [Music]
[1:03:04] [Music]
[1:03:15] [Music]
[1:03:25] [Applause]
[1:03:25] [Music]
[1:03:32] [Applause]
[1:03:37] [Music]
[1:03:45] [Music]
[1:04:05] [Music]
[1:04:19] foreign
[1:04:39] [Music]
[1:04:51] [Music]
[1:04:58] foreign
[1:05:25] [Music]
[1:05:39] [Applause]
[1:05:41] [Music]
[1:05:59] [Music]
[1:06:06] [Music]
[1:06:08] foreign
[1:06:12] [Music]
[1:06:24] [Music]
[1:06:36] [Music]
[1:06:46] one more time
[1:06:49] [Music]
[1:06:55] [Music]
[1:07:07] [Applause]
[1:07:09] [Music]
[1:07:16] foreign
[1:07:24] [Music]
[1:07:32] [Applause]
[1:07:32] [Music]
[1:07:50] here
[1:07:52] [Music]
[1:07:59] now
[1:08:03] says okay
[1:08:06] this is
[1:08:23] foreign
[1:08:56] amen
[1:08:59] we are ready for the word of God
[1:09:03] I'm just going to sing a song and we'll
[1:09:04] hand over the service to our elders I
[1:09:07] think the brothers who needs to prepare
[1:09:08] for the pulpit
[1:09:10] can just carry on
[1:09:12] oh Cindy home Cindy see you
[1:09:19] soon
[1:09:22] [Music]
