################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-10-22 - 2023.10.22 Cape Town Assembly Singing - Unknown Speaker.txt
Video ID: DikOv9YpEMc
Segments: 1176
URL: https://www.youtube.com/watch?v=DikOv9YpEMc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:18] [Music]
[0:27] amen again
[0:48] [Music]
[0:58] go
[1:01] [Music]
[1:03] [Applause]
[1:04] [Music]
[1:06] [Applause]
[1:28] me
[1:31] [Applause]
[1:43] [Music]
[1:45] [Applause]
[1:54] [Music]
[1:59] was
[2:10] [Applause]
[2:11] [Music]
[2:28] way
[2:33] [Music]
[2:38] [Applause]
[2:44] [Applause]
[2:58] where
[2:59] [Applause]
[3:04] [Music]
[3:20] [Music]
[3:20] [Applause]
[3:22] [Music]
[3:27] God Holy G
[3:36] [Applause]
[3:37] [Music]
[3:51] [Applause]
[3:57] [Music]
[3:58] holy
[4:02] [Music]
[4:11] [Applause]
[4:24] this way and this way it is way
[4:30] [Music]
[4:34] [Applause]
[4:42] [Applause]
[4:44] holy
[4:47] [Applause]
[4:50] holy
[4:58] holy
[5:01] [Applause]
[5:13] [Applause]
[5:20] [Applause]
[5:28] ho
[5:31] [Music]
[5:47] [Applause]
[5:58] glor
[6:01] [Applause]
[6:08] [Music]
[6:10] hallelujah amen amen
[6:15] [Music]
[6:28] amen
[6:32] [Music]
[6:39] [Applause]
[6:46] [Music]
[6:49] [Applause]
[6:58] oh
[7:10] [Music]
[7:13] [Applause]
[7:19] [Applause]
[7:28] say
[7:36] [Applause]
[7:48] [Applause]
[7:48] [Music]
[7:52] oh
[7:54] [Applause]
[7:58] oh
[8:11] [Applause]
[8:20] [Applause]
[8:28] oh
[8:40] [Music]
[8:46] [Applause]
[8:56] it
[8:58] is
[9:06] [Applause]
[9:08] [Music]
[9:16] [Applause]
[9:21] [Applause]
[9:26] oh
[9:28] Cor
[9:32] oh
[9:42] [Applause]
[9:54] [Applause]
[9:58] mer
[10:05] [Applause]
[10:17] [Applause]
[10:24] [Applause]
[10:28] oh
[10:29] [Applause]
[10:46] [Music]
[10:52] fire
[10:58] C
[11:04] [Music]
[11:05] [Applause]
[11:20] [Applause]
[11:27] C
[11:30] [Applause]
[11:39] [Applause]
[11:41] hallelujah amen amen
[11:50] amen
[11:57] am
[12:03] [Music]
[12:15] [Music]
[12:27] to
[12:31] [Music]
[12:44] [Applause]
[12:57] see
[13:00] [Applause]
[13:15] [Applause]
[13:27] to
[13:31] [Applause]
[13:45] to
[13:47] [Applause]
[13:57] to
[13:59] [Applause]
[14:06] [Applause]
[14:13] [Applause]
[14:27] p
[14:33] [Applause]
[14:46] [Applause]
[14:53] [Music]
[14:53] [Applause]
[14:57] to
[15:03] [Music]
[15:08] [Applause]
[15:11] [Music]
[15:11] [Applause]
[15:19] [Applause]
[15:26] to to
[15:32] [Applause]
[15:41] [Applause]
[15:52] [Music]
[15:57] Hallelujah
[15:59] amen amen
[16:00] [Applause]
[16:13] amen amen amen
[16:27] amen
[16:31] [Applause]
[16:34] [Music]
[16:42] [Music]
[16:57] God
[17:03] [Music]
[17:10] [Music]
[17:15] [Music]
[17:27] God
[17:53] [Applause]
[17:57] J
[18:08] [Applause]
[18:17] [Applause]
[18:27] oh
[18:28] [Applause]
[18:32] [Music]
[18:33] [Applause]
[18:42] [Applause]
[18:57] jus
[19:06] [Applause]
[19:27] J
[19:30] [Applause]
[19:37] [Applause]
[19:57] is
[19:58] [Applause]
[20:04] [Applause]
[20:09] [Applause]
[20:15] [Applause]
[20:27] now
[20:32] [Applause]
[20:57] the
[20:58] [Applause]
[21:04] [Music]
[21:07] Amen Let Us bow it in
[21:27] pray
[21:40] [Music]
[21:57] for may you just grant us grace and
[22:00] mercy Lord as we gathered here now this
[22:04] morning oh God continuing Lord uh the
[22:08] services started yesterday already Lord
[22:12] we looking forward today again Lord to
[22:15] Feast on your word so that our souls can
[22:20] be fed Lord God we pray Lord Jesus
[22:23] Christ we ask the ministering of the
[22:25] word the minister that's going to
[22:28] minister Lord may you anoint him Lord
[22:30] and guide him and give him wisdom so
[22:34] that your children can be fed Lord even
[22:37] Souls those who are not knowing you in
[22:40] the power of your Resurrection Lord May
[22:42] Souls be saved may they live yes say
[22:46] what where our hearts not burning while
[22:49] you spoke to us Lord I believe still
[22:53] Lord there are seeds still here in Cape
[22:55] Town in kicha where wherever the seed
[22:59] may be Lord we don't know where that
[23:02] last seed is Lord God we will toil and
[23:05] labor in your word in the gospel Lord
[23:09] until the last one comes in we'll work
[23:12] till Jesus come Lord bless your children
[23:16] as they gathered Lord bless every
[23:18] testimony bless the singing Lord every
[23:21] song bless the word Lord the main
[23:24] purpose Lord together here is the word
[23:27] Lord God may you manifest your word and
[23:30] vindicate your word Lord may you come in
[23:33] our merch Lord and abide with us Lord we
[23:36] don't want you Among Us Lord we want you
[23:40] in our
[23:41] hearts it's not good just to dwell
[23:44] amongst us when we leave here and you
[23:46] leave us Lord we want to take you in our
[23:49] hearts we want to open our hearts this
[23:51] morning so that we can embrace you in
[23:54] our hearts you are welcome in our hearts
[23:57] Lord may your word have his way to
[23:59] penetrate in our hearts in our souls
[24:02] Lord God because you said in your word
[24:05] the soul that Sinners shall die Lord we
[24:08] thank you for the
[24:10] predestination that you have chosen us
[24:12] Lord to embrace this message Lord this
[24:16] last age Lord we are loving Lord we oh
[24:21] God even beyond the seventh age Lord we
[24:24] are in the bride age now the coming in
[24:28] Lord and you are not coming Lord again
[24:31] to thread on this Earth Lord you just
[24:34] come halfway in the sky you will Elevate
[24:38] us to meet you there Lord this where we
[24:41] want to meet you when you come Lord uh
[24:44] to make that Lord that Rapture Lord give
[24:48] us that rapturing fath may you cast out
[24:51] any demon amongst us Lord may you just
[24:54] our God kick out Satan after our lives
[24:57] after our hearts out of this meeting
[25:00] even Lord God may you have the
[25:04] preeminence come Lord Jesus Christ and
[25:07] take control Lord may you anoint your
[25:11] speaker the pastor that's going to
[25:13] minister Lord may you just take control
[25:16] Lord God we oh God we can say as brother
[25:20] Brenham said because we are believers
[25:22] Lord oh God let your word Lord take
[25:26] possession of every every Spirit Lord
[25:29] May the spirit of God the Holy Ghost
[25:32] Lord take control Lord God and bless us
[25:35] Lord as your children has came Lord with
[25:39] expectation Lord the greatest
[25:41] expectation that we know as Believers
[25:44] Lord is to know you more a closer walk
[25:47] with you just more with you so that we
[25:50] can know you are in US Lord even our God
[25:54] as you said Lord in John Lord as the
[25:57] father is in you in this day we will
[26:00] know Lord that you are in us and you in
[26:03] oh God uh oh help us Lord may you give
[26:07] more and more revelation of what we
[26:10] stand for Lord may you just take all the
[26:13] doubts away Lord Jesus Christ may you
[26:16] take all the nitty gritties of this
[26:18] world May your children oh God prepare
[26:21] themselves and get ready oh God for your
[26:24] great coming Lord the time is at end we
[26:27] see the signs all over your scripture
[26:30] your word is being fulfilled our God is
[26:33] just now oh God we lingering a year and
[26:37] just waiting but we will continue Lord
[26:40] bless us now further bless your children
[26:43] bless the ministry of your word bless
[26:45] everyone Lord the visitors Even in our
[26:48] gates Lord may they go go out here
[26:52] change Lord oh God grant us grace and
[26:55] mercy we want to give you all the honor
[26:58] and the glory we want to glorify you
[27:01] Lord you deserve all the glory Lord as
[27:04] you said in your word oh God even our
[27:07] Prophet teaches Lord when he want to
[27:09] know something you didn't reveal it unto
[27:12] him Lord you answered him yet you gave
[27:15] him an answer and saying God doesn't owe
[27:18] no man any glory and he doesn't share
[27:21] his glory with no man that's why we want
[27:24] to glorify Your Name Lord come now and
[27:27] have the preeminence in Jesus Christ's
[27:30] name we ask
[27:36] amen
[27:49] [Music]
[27:53] [Applause]
[27:54] [Music]
[27:56] am
[27:59] [Music]
[28:05] [Applause]
[28:14] [Music]
[28:22] [Applause]
[28:26] see
[28:28] [Music]
[28:29] [Applause]
[28:31] [Music]
[28:44] [Music]
[28:47] oh
[28:49] our
[28:56] our
[28:58] when
[29:00] [Music]
[29:07] [Music]
[29:15] [Music]
[29:24] [Applause]
[29:26] our
[29:28] when
[29:30] our
[29:49] [Music]
[29:50] [Applause]
[29:51] [Music]
[29:54] [Applause]
[29:56] our
[29:57] [Music]
[30:02] [Applause]
[30:12] [Music]
[30:16] [Applause]
[30:20] [Music]
[30:24] oh
[30:26] see
[30:32] [Applause]
[30:40] [Applause]
[30:50] [Applause]
[30:55] see now when our fa when
[31:05] our
[31:10] [Applause]
[31:14] [Music]
[31:26] our
[31:27] [Music]
[31:30] [Applause]
[31:42] [Applause]
[31:50] [Music]
[31:56] our
[31:57] [Music]
[32:16] [Music]
[32:26] s
[32:29] [Music]
[32:33] [Applause]
[32:40] [Applause]
[32:41] [Music]
[32:48] [Applause]
[32:50] [Music]
[32:56] me
[32:57] [Applause]
[32:57] [Music]
[33:01] [Applause]
[33:03] [Music]
[33:13] [Applause]
[33:16] [Music]
[33:24] [Applause]
[33:25] face
[33:28] [Music]
[33:46] [Applause]
[33:48] [Music]
[33:50] [Applause]
[33:53] [Music]
[33:55] s
[33:58] [Applause]
[34:02] name
[34:04] [Music]
[34:11] [Applause]
[34:16] [Music]
[34:25] name
[34:40] [Music]
[34:55] for
[34:59] for
[35:25] amen
[35:37] [Music]
[35:49] [Music]
[35:49] [Applause]
[35:55] is
[36:00] [Music]
[36:09] oh
[36:12] GL
[36:22] [Music]
[36:25] City
[36:30] we
[36:32] [Music]
[36:32] [Applause]
[36:41] [Music]
[36:47] [Applause]
[36:54] [Applause]
[36:55] PR
[37:01] [Applause]
[37:02] [Music]
[37:04] [Applause]
[37:05] [Music]
[37:25] yes
[37:28] [Music]
[37:37] [Music]
[37:48] [Music]
[37:55] amen
[37:57] [Music]
[38:14] [Applause]
[38:25] more
[38:29] [Music]
[38:39] [Applause]
[38:53] [Applause]
[38:55] C
[39:00] [Applause]
[39:16] [Applause]
[39:20] [Music]
[39:21] [Applause]
[39:22] [Music]
[39:26] God
[39:38] [Music]
[39:51] [Applause]
[39:55] child
[39:57] [Applause]
[40:11] [Music]
[40:25] child
[40:47] good
[40:54] oh is
[41:11] [Music]
[41:14] go
[41:18] long
[41:21] the
[41:25] s
[41:30] oh
[41:32] so
[41:42] [Music]
[41:55] Delight
[42:12] [Music]
[42:13] [Applause]
[42:15] [Music]
[42:20] so
[42:21] [Music]
[42:25] by
[42:28] [Music]
[42:32] [Applause]
[42:44] [Music]
[42:51] [Applause]
[42:55] am
[43:00] [Music]
[43:18] [Applause]
[43:25] long
[43:27] [Music]
[43:29] [Applause]
[43:34] [Music]
[43:48] [Music]
[43:55] by
[44:05] [Applause]
[44:10] I
[44:10] [Music]
[44:14] have on the
[44:19] far
[44:21] W Te
[44:25] You
[44:26] full home
[44:28] of the
[44:32] Soul build by
[44:37] Jesus on
[44:40] high there we
[44:44] never shall
[44:47] die
[44:48] [Music]
[44:50] teent
[44:51] we will
[44:54] never go oh
