date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-04,Success,Unknown Speaker,2026.01.04 The Book Of Redemption.,https://www.youtube.com/watch?v=Nakt1rQzbd8,2026-01-05,Unknown,Full Sermon,,,
2025-12-28,Success,Unknown Speaker,2025.12.28  God Building His Church Vol 2.,https://www.youtube.com/watch?v=Pe708d0BH_g,2026-01-05,English,Service,,,Mamelodi Tabernacle
2025-12-25,Success,Unknown Speaker,2025.12.25  God Building His church.,https://www.youtube.com/watch?v=-5f3icW3zOE,2026-01-05,English,Service,,,Mamelodi Tabernacle
2025-12-20,Success,Peter Skosana,2025.12.20  Inheritance and Possession (Morning Service).,https://www.youtube.com/watch?v=X6KEm0OIV4A,2026-01-05,English,Service,Text: Beware of the Delaying Process. Preacher: Elder Peter Skosana Venue: Spoken Word Tabernacle Leeuwfotein,,Mamelodi Tabernacle
2025-12-14,Success,Quickening Spirit,2025.12.14 Quickening Spirit,https://www.youtube.com/watch?v=ruk_ZgLgtC0,2026-01-05,English,Service,,,Mamelodi Tabernacle
2025-12-07,Success,Unknown Speaker,2025.12.07  The results of Disobedience,https://www.youtube.com/watch?v=O7o41AY6yqg,2026-01-05,English,Service,,,Mamelodi Tabernacle
2025-12-06,No Transcript,Unknown Speaker,2025.12.06  Funeral Service of  Jabulile Njivashe,https://www.youtube.com/watch?v=cEj-FrCjBaA,2026-01-05,Unknown,Memorial Service,,0,Mamelodi Tabernacle
2025-12-05,No Transcript,Unknown Speaker,2025.12.05  Memorial Service of  Jabulile Njivashe,https://www.youtube.com/watch?v=8xPpWXB0OGM,2026-01-05,Unknown,Memorial Service,,0,Mamelodi Tabernacle
2025-11-30,No Transcript,Masete Venue,2025.11.30  -  Placing Of  The Son.,https://www.youtube.com/watch?v=vILnpt6pKHQ,2026-01-05,Unknown,Full Sermon,Preacher:  Deacon Masete Venue: Mamelodi Tabernacle,154,Mamelodi Tabernacle
2025-11-23,Success,"The End Time Sign, The Last Sign",2025.11. 23,https://www.youtube.com/watch?v=-L6cta6Gh4A,2026-01-05,Unknown,Full Sermon,,,
2025-11-22,Success,Unknown Speaker,22-11-2025 Wedding Ceremony Of Bro Divine and Sis Kegaugetswe,https://www.youtube.com/watch?v=-07BUAASl_k,2026-01-05,English,Wedding,,,Mamelodi Tabernacle
Unknown Date,No Transcript,Philemon Mabunda,2025.11. 22  - Funeral Service Of Bro Philemon Mabunda,https://www.youtube.com/watch?v=VGSOul_PwCQ,2026-01-05,Unknown,Memorial Service,,0,Mamelodi Tabernacle
Unknown Date,No Transcript,Philemon Mabunda,21-11-2025 Memorial Service of Brother Philemon  Mabunda,https://www.youtube.com/watch?v=BnlzgOC_yd0,2026-01-05,Unknown,Memorial Service,,0,Mamelodi Tabernacle
2025-11-15,Success,Funeral Service Of Sister Puledi Rallele,2025.11.15,https://www.youtube.com/watch?v=1opHhm2_6Sk,2026-01-05,Unknown,Full Sermon,,,
2025-11-09,Success,The Gathering Of Gods Attributes,2025.11.09,https://www.youtube.com/watch?v=OV598fbQgBE,2026-01-05,Unknown,Full Sermon,,,
2025-11-08,Success,Funeral,2025.11.08,https://www.youtube.com/watch?v=T5d5jvuCfmE,2026-01-05,Unknown,Full Sermon,,,
