date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-07,No Transcript,Wendall Martin,"2026-01-07 Bro Wendall Martin ""I Am The Lord That Healeth Thee""",https://www.youtube.com/watch?v=7djdN05ZGic,2026-01-07,Unknown,Church Service,,0,New Life Outreach Church Of Pawnee
2026-01-04,Success,Miguel Gonzalez,2026-01-04 Bro Miguel Gonzalez The New Land 2,https://www.youtube.com/watch?v=d6RKgU6igOk,2026-01-07,Unknown,Church Service,,,
2026-01-04,Success,Wendall Martin,2026-01-04 Bro Wendall Martin The Mystery Of The 7 Candlesticks and 7 Stars,https://www.youtube.com/watch?v=LfcMTJCxaZo,2026-01-07,Unknown,Church Service,,,
2025-12-31,Success,Ben Schamel,2025-12-31 Bro Ben Schamel New Year's Eve Service 2026,https://www.youtube.com/watch?v=ruaJxS8HBFk,2026-01-07,Unknown,New Year Service,,,
2026-01-01,Success,Unknown Speaker,Remembering 2025 ,https://www.youtube.com/watch?v=YxCTO3GNnLw,2026-01-07,English,Church Service,,17,New Life Outreach Church Of Pawnee
2025-12-28,Success,Who Is This Mysterious Christ Child,2025-12-28 Bro Wendall Martin Christmas 2025,https://www.youtube.com/watch?v=qZDm4xspv3U,2026-01-07,Unknown,Christmas Program,,,
2025-12-28,Success,Who Is This Mysterious Christ Child,2025-12-28 Bro Wendall Martin Christmas 2025,https://www.youtube.com/watch?v=MieYNtU2hZI,2026-01-07,Unknown,Christmas Program,,,
2025-12-23,Success,Joshua Martin,2025-12-23 Bro Joshua Martin Unashamed Of A Positive Confession,https://www.youtube.com/watch?v=RHpIYeXN2U8,2026-01-05,Unknown,Church Service,,,
2025-12-21,Success,Unknown Speaker,2025-12-21 Christmas Program 2025,https://www.youtube.com/watch?v=ndoQ-8c4vRI,2026-01-05,English,Christmas Program,,,New Life Outreach Church Of Pawnee
2025-12-21,Success,Who Is This Mysterious Christ Child,2025-12-21 Bro Wendall Martin Christmas 2025,https://www.youtube.com/watch?v=B3UZo187lJQ,2026-01-07,Unknown,Christmas Program,,,
2025-12-17,Success,Colby Martin,2025-12-17 Bro Colby Martin,https://www.youtube.com/watch?v=1wQZR5LdoQg,2026-01-05,English,Church Service,,,New Life Outreach Church Of Pawnee
2025-12-14,Success,Miguel Gonzalez,2025-12-14 Bro Miguel Gonzalez The New Land,https://www.youtube.com/watch?v=jjxSlPwU1m0,2026-01-05,Unknown,Church Service,,,
2025-12-14,Success,Wendall Martin,2025-12-14 Bro Wendall Martin Shall I Hide My Plans From Abraham For I Know Him,https://www.youtube.com/watch?v=w_wvWWndNsA,2026-01-05,Unknown,Church Service,,,
2025-12-10,Success,Wendall Martin,2025-12-10 Bro Wendall Martin Youth Heeding To Wise Counsel 2,https://www.youtube.com/watch?v=XNTWTon-fSw,2026-01-07,Unknown,Church Service,,,
2025-12-07,Success,Unknown Speaker,2025-12-07,https://www.youtube.com/watch?v=sKvSVm0Dbig,2026-01-05,English,Church Service,,,New Life Outreach Church Of Pawnee
2025-12-07,No Transcript,Wendall Martin,"2025-12-07 Bro Wendall Martin ""Melchizedek: The Anchor of The Soul""",https://www.youtube.com/watch?v=4HZi_GbvUDo,2026-01-05,Unknown,Church Service,,137,New Life Outreach Church Of Pawnee
