################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2019-01-17 - 2019-0113 PM - Bro. Javier Villa - Comprediendome #3 - Javier Villa.txt
Video ID: jCW16SrVkYc
Segments: 1066
URL: https://www.youtube.com/watch?v=jCW16SrVkYc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:05] [Aplausos]
[0:06] [Música]
[0:10] ah
[0:13] a
[0:15] e
[0:19] ah
[0:25] ah
[0:28] e
[0:29] [Música]
[0:35] ah
[0:39] ah
[0:45] ah
[0:47] [Música]
[0:50] hoy
[0:53] no
[0:55] ah
[1:00] ah
[1:03] a
[1:06] ah
[1:09] ah
[1:10] ah
[1:13] ah
[1:16] [Música]
[1:19] ah
[1:24] e
[1:25] [Aplausos]
[1:30] ah
[1:33] bueno
[1:35] ah
[1:43] ah
[1:46] ah
[1:51] ah
[1:52] ah
[1:55] [Música]
[2:04] ah
[2:05] [Música]
[2:07] ah
[2:11] ah
[2:13] [Música]
[2:19] a
[2:26] no
[2:28] ah
[2:31] [Música]
[2:37] ah
[2:43] [Música]
[2:44] [Aplausos]
[2:46] no
[2:48] ah
[2:51] ah
[2:55] [Música]
[2:56] ah
[2:58] [Música]
[3:00] ah
[3:04] o
[3:06] [Música]
[3:10] ah
[3:18] ah
[3:21] e
[3:23] [Música]
[3:28] ah
[3:35] ah
[3:39] ah
[3:42] no no
[3:44] e
[3:48] ah
[3:49] ah
[3:51] ah
[3:54] él
[3:57] i
[3:59] [Música]
[4:12] ah
[4:13] e
[4:18] ah
[4:19] ah
[4:22] ah
[4:25] o
[4:27] y
[4:29] ah
[4:32] ah
[4:35] i
[4:37] ah
[4:39] ah
[4:42] ahora
[4:44] ah
[4:48] [Música]
[4:51] ah
[4:52] ah
[4:54] a
[4:56] ah
[4:59] ah
[5:03] [Música]
[5:12] ah
[5:15] ah
[5:18] a
[5:19] [Música]
[5:28] no
[5:30] no
[5:32] ah
[5:33] [Música]
[5:38] ah
[5:40] [Música]
[5:47] a
[5:52] ah
[5:54] e
[5:55] [Música]
[5:59] ah
[6:01] [Música]
[6:04] ah
[6:06] ah
[6:08] [Música]
[6:14] a
[6:17] [Música]
[6:23] ah
[6:32] ah
[6:34] [Aplausos]
[6:37] ah
[6:41] ah
[6:45] [Música]
[6:50] [Aplausos]
[6:57] [Música]
[7:06] ah
[7:08] [Música]
[7:14] no
[7:15] [Música]
[7:21] [Aplausos]
[7:23] no
[7:24] [Música]
[7:26] ah
[7:30] y
[7:33] con
[7:37] [Música]
[7:47] ah
[7:51] ah
[7:55] [Música]
[8:03] ah
[8:08] ah
[8:12] a
[8:15] [Música]
[8:20] [Aplausos]
[8:21] [Música]
[8:23] [Aplausos]
[8:28] [Música]
[8:32] ah
[8:37] [Aplausos]
[8:37] [Música]
[8:46] ah
[8:49] [Aplausos]
[8:49] [Música]
[8:50] ah
[8:52] [Música]
[8:58] ah
[9:00] [Música]
[9:04] ah
[9:07] ah
[9:18] [Música]
[9:23] a mitad de semana por internet
[10:03] [Música]
[10:13] ah
[10:14] [Música]
[10:18] más allá de la corte era de él
[10:24] en el mundo
[10:30] [Música]
[10:34] y
[10:38] existen
[10:42] o ese mundo que ese mundo
[10:49] o no
[10:57] y está bien
[11:08] i
[11:11] d
[11:14] [Música]
[11:19] no todo es paz
[11:27] [Música]
[11:29] 2 todos
[11:33] ese es el padre
[11:41] para las murcia para l
[11:48] y llegó
[11:55] por la gracia del día
[12:03] s
[12:05] [Aplausos]
[12:06] a ese voto yo sé qué
[12:11] no hagas algo
[12:18] [Música]
[12:21] por eso
[12:26] no no no
