################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2019-06-01 - 2019-0601 PM - Annual International Convention - Pastor Dr. Ernesto Montoya - Javier Montero - Javier Montero.txt
Video ID: hdNaZK8LMEs
Segments: 2468
URL: https://www.youtube.com/watch?v=hdNaZK8LMEs
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:14] [Aplausos]
[0:15] [Música]
[0:15] [Aplausos]
[0:16] [Música]
[0:29] [Aplausos]
[0:30] [Música]
[0:34] [Aplausos]
[0:37] [Música]
[0:38] [Aplausos]
[0:46] [Música]
[0:48] [Aplausos]
[0:51] [Música]
[0:51] [Aplausos]
[0:56] [Música]
[1:01] [Aplausos]
[1:05] [Música]
[1:09] [Aplausos]
[1:11] [Música]
[1:12] [Aplausos]
[1:13] [Música]
[1:15] [Aplausos]
[1:18] [Música]
[1:18] [Aplausos]
[1:19] [Música]
[1:22] [Aplausos]
[1:23] [Música]
[1:25] [Aplausos]
[1:27] [Música]
[1:29] [Aplausos]
[1:29] [Música]
[1:31] [Aplausos]
[1:33] [Música]
[1:34] [Aplausos]
[1:38] [Música]
[1:40] [Aplausos]
[1:41] [Música]
[1:47] [Música]
[1:47] [Aplausos]
[1:51] [Música]
[2:07] [Aplausos]
[2:07] [Música]
[2:10] [Aplausos]
[2:15] [Música]
[2:18] [Aplausos]
[2:19] [Música]
[2:25] [Aplausos]
[2:27] [Música]
[2:29] [Aplausos]
[2:30] [Música]
[2:30] [Aplausos]
[2:33] [Música]
[2:35] [Aplausos]
[2:35] [Música]
[2:41] [Aplausos]
[2:47] [Música]
[2:48] [Aplausos]
[2:51] [Música]
[2:52] [Aplausos]
[2:56] [Música]
[2:59] [Aplausos]
[3:01] [Música]
[3:03] [Aplausos]
[3:08] [Música]
[3:09] [Aplausos]
[3:11] [Música]
[3:26] ah
[3:27] [Música]
[3:31] ah
[3:32] [Música]
[3:35] [Aplausos]
[3:38] [Música]
[3:42] ah
[3:44] [Aplausos]
[3:44] [Música]
[3:49] [Aplausos]
[3:49] [Música]
[3:58] [Música]
[4:00] [Aplausos]
[4:01] [Música]
[4:06] [Aplausos]
[4:08] [Música]
[4:08] [Aplausos]
[4:12] [Música]
[4:21] [Aplausos]
[4:22] [Música]
[4:26] [Aplausos]
[4:27] [Música]
[4:29] [Aplausos]
[4:31] [Música]
[4:33] [Aplausos]
[4:38] [Música]
[4:38] [Aplausos]
[4:43] [Música]
[4:47] [Aplausos]
[4:48] [Música]
[4:49] [Aplausos]
[4:50] [Música]
[5:02] [Aplausos]
[5:05] [Música]
[5:06] [Aplausos]
[5:07] [Música]
[5:13] [Aplausos]
[5:14] [Música]
[5:21] [Aplausos]
[5:23] [Música]
[5:24] [Aplausos]
[5:28] ah
[5:29] [Aplausos]
[5:30] [Música]
[5:33] [Aplausos]
[5:34] [Música]
[5:34] [Aplausos]
[5:38] [Música]
[5:46] nada más
[5:49] [Música]
[5:55] [Aplausos]
[5:56] [Música]
[6:04] [Aplausos]
[6:07] [Música]
[6:13] [Aplausos]
[6:16] ah
[6:17] [Música]
[6:19] ah
[6:21] [Aplausos]
[6:25] [Música]
[6:31] [Aplausos]
[6:31] [Música]
[6:33] [Aplausos]
[6:35] [Música]
[6:39] [Aplausos]
[6:42] [Música]
[6:44] [Aplausos]
[6:49] [Música]
[6:52] ah
[6:54] [Música]
[6:58] y
[7:04] más
[7:06] [Música]
[7:13] [Aplausos]
[7:13] [Música]
[7:27] [Aplausos]
[7:28] [Música]
[7:29] [Aplausos]
[7:31] [Música]
[7:35] ah
[7:38] [Música]
[7:45] [Aplausos]
[7:48] [Música]
[7:56] [Aplausos]
[7:58] [Música]
[8:39] bien
[8:42] [Música]
[8:43] [Aplausos]
[8:45] [Música]
[8:51] [Música]
[8:55] [Aplausos]
[9:12] ah
[9:15] [Música]
[9:22] [Aplausos]
[9:26] [Música]
[9:27] [Aplausos]
[9:34] [Aplausos]
[9:39] [Música]
[9:44] ah
[9:46] [Aplausos]
[9:52] [Aplausos]
[10:02] [Música]
[10:12] [Aplausos]
[10:13] [Música]
[10:13] [Aplausos]
[10:32] no no no
[10:34] [Música]
[10:38] [Aplausos]
[10:48] [Aplausos]
[10:52] [Música]
[11:01] [Música]
[11:16] [Música]
[11:30] imagina
[11:37] ah
[11:41] ahora
[11:43] [Música]
[11:45] a
[11:48] [Música]
[11:57] [Aplausos]
[12:02] [Música]
[12:11] [Música]
[12:21] [Aplausos]
[12:22] [Música]
[12:28] [Aplausos]
[12:28] [Música]
[12:32] [Aplausos]
[12:37] [Música]
[12:39] [Aplausos]
[12:39] [Música]
[13:00] más
[13:05] [Música]
[13:15] [Música]
[13:26] [Aplausos]
[13:28] [Música]
[13:30] ah
[13:32] [Música]
[13:49] [Música]
[13:51] [Aplausos]
[13:55] e
[13:57] [Música]
[14:12] [Música]
[14:23] [Aplausos]
[14:25] [Música]
[14:28] [Aplausos]
[14:29] [Música]
[14:50] a nombre de los cables y los saludamos
[14:53] en el precioso nombre de nuestro señor
[14:54] jesucristo una vez más en esta tarde
[14:59] todos están o le damos la bienvenida a
[15:03] todos en esta tarde más bien vean una
[15:04] vez más
[15:05] one in the shining vamos a inclinar
[15:07] nuestro rostro para empezar este
[15:08] servicio y poner en el servicio de la
[15:10] mano de ellos si son tan amables
[15:11] hermanos desbordes ubica empresas de
[15:13] semejante dolor a mantis y muy buen
[15:15] padre celestial del poder en esta tarde
[15:18] señor una vez más venimos en tu divina
[15:20] presencia sr
[15:22] we can be poder deben presentar
[15:24] primeramente señor jesucristo dándote
[15:26] gracias por la vida y la salud sr forest
[15:28] lodge sus cajas que eviten explorar la
[15:29] defensa por permitirnos a estar aquí en
[15:31] este lugar una vez más señor por lado en
[15:33] este vídeo en displays jones sé que el
[15:35] señor por cada persona que está aquí en
[15:37] esta tarde que hizo el esfuerzo de venir
[15:38] sr reversión de acciones afternoon de
[15:42] media fer cambio tú bendigas a cada uno
[15:44] señor y que le dé lo que viene buscando
[15:46] en esta tarde se me voy a servir cinco
[15:47] bonos también que de un water 5 info
[15:49] decir ni bien dice este servicio señor
[15:51] néstor bendice a cada uno señor el que
[15:55] va a ser partícipe
[15:56] servicios para que todo salga señor
[16:00] conforme a tu plan en esta tarde señor
[16:02] soy ready micromer inside pueden decir
[16:04] ni ponemos todo en tus manos señor en
[16:06] este precioso tarde señor me place
[16:08] vivienda dejan sin sprays y sin hilo en
[16:10] el nombre del señor jesucristo lo
[16:12] pedimos un nuevo disco
[16:20] y los bendigo hermanos si gusta ponerse
[16:22] de pie
[16:23] en spa caballistas que estaba quemando
[16:27] [Aplausos]
[16:32] no no no
[16:35] no
[16:41] [Música]
[16:45] miami
[16:53] [Música]
[16:58] muy bien
[17:00] m
[17:03] y baila
[17:08] [Música]
[17:15] de momento
[17:21] [Aplausos]
[17:22] sí
[17:26] ahora
[17:35] a mí
[17:40] no
[17:53] a mí
[18:02] sí
[18:08] [Música]
[18:15] no no
[18:25] los dolores por lo mismo
[18:29] [Música]
[18:42] de veras
[18:45] por qué
[18:50] no no no
[18:54] hola
[18:57] hoy viene
[19:06] dónde voy
[19:09] en tales problemas por bola
[19:17] visita
[19:28] [Música]
[19:39] para leer la obra y la gloria está
[19:42] tomando asiento algo está cayendo aquí
[19:47] si no hay un apartado
[19:51] algo está cayendo aquí
[19:54] [Música]
[19:58] está muerto y pobre
[20:01] aleluya
[20:05] mis manos levantan
[20:07] [Música]
[20:14] una vez más algo extra
[20:18] algo estancamiento
[20:24] [Aplausos]
[20:25] es tan fuerte
[20:32] mis manos
[20:34] [Música]
[20:36] 3
[20:39] varias bocas
[20:41] es la calle bolívar
[20:43] [Música]
[20:46] para jaime
[20:50] [Música]
[20:52] es un corazón
[21:07] a mí
[21:08] y más
[21:18] su boca
[21:23] [Aplausos]
[21:25] para tanto
[21:28] la mano
[21:36] [Música]
[21:38] gloria
[21:39] [Aplausos]
[21:42] [Música]
[21:44] [Aplausos]
[21:44] [Música]
[21:51] [Música]
[21:59] londres siguiente si bien es un honor y
[22:01] un privilegio
[22:04] y vamos entrando directamente
[22:10] tenemos agradecimientos del señor
[22:12] el times kevin celular los siguientes
[22:15] hermanos dan gracias señor por todas las
[22:16] bendiciones la familia reyes y la
[22:19] familia vásquez
[22:21] lastings de reyes family and a vázquez
[22:23] cable nos llegó una petición de sanidad
[22:26] pero su petición es frágil y de parte de
[22:29] nuestro humano margil arenas había favor
[22:31] de imaginar en assen es cable y duración
[22:33] por su mamá martha muñiz de arenas que
[22:36] hace unos momentos fue llevado al
[22:37] hospital al parecer tuvo un ataque
[22:39] cardíaco piden que el espíritu santo
[22:41] vaya hacia monterrey méxico habló de
[22:45] marginar a naciones camisas que un
[22:46] terrorismo ha puesto en marcha
[22:48] muñiz de arenas simmons go bus bots
[22:51] dejados por frei de mejores ya que este
[22:53] método les permita volver a monterrey
[22:54] méxico también nuestro manual ricardo
[22:57] lópez diseñado por su cuñada nancy
[23:00] hernández no sólo de ricardo lópez y
[23:02] sebastián feeling for sister la nancy
[23:04] hernández también
[23:05] de las peticiones que el señor conoce
[23:08] competicións la familia de ella es
[23:11] vibración por misericordia de redes
[23:13] camisas king performers y no tu hermano
[23:15] alfredo que mente vibración pide la
[23:18] ayuda por un asunto legal o por alfredo
[23:21] clemente the skin health pródigo mer
[23:23] conviene semana
[23:25] marisela de la cruz vibración para que
[23:27] todo salga bien en su trabajo
[23:32] son todos los vecinos que tenemos
[23:34] escrita sin cualquier necesidad que
[23:37] usted tenga y de inmediato dios conoce
[23:40] cada uno de nuestros corazones donde nos
[23:41] dieron a bartz vamos a orar la spri
[23:45] padre celestial en el poder realmente
[23:47] tenemos gracias por todas las cosas pues
[23:49] está bueno existentes rawlings ahora
[23:51] padres somos un pueblo necesitado no lo
[23:54] voy a venir y tipo pero también somos un
[23:56] pueblo agradecido soy tiempo tipo aquí
[23:59] así después de las peticiones
[24:01] en red y cada uno que esté nuestros
[24:03] corazones
[24:07] le pedimos que las conteste con forma
[24:09] segura
[24:12] también les afecta
[24:18] multiplique
[24:21] [Música]
[24:33] y varias
[24:36] ah
[24:39] [Música]
[24:41] de vivar y al fútbol
[24:44] [Música]
[24:53] en el barrio
[25:14] para morir
[25:17] más
[25:19] no está más
[25:26] [Aplausos]
[25:28] todos
[25:32] y como lo que él está bien
[25:35] por lo tanto
[25:41] todo está bien
[25:44] para mí
[25:47] no nos hemos inventado
[25:52] ah
[25:56] 9º
[26:00] bien
[26:02] no
[26:07] es todo
[26:11] o no
[26:18] [Música]
[26:28] racing
[26:30] déjeme decirle que ya las horas se
[26:32] siente precio de tirarme escriba verifix
[26:34] virus es un placer saludar a la novia
[26:37] del señor
[26:39] braidot this space en el ok zinc han
[26:42] sido tiempos maravillosos lo que mi
[26:44] esposo y yo hemos estado viviendo en
[26:45] esta en este lugar en el heads en
[26:47] amazing i'm gone away from heaven living
[26:49] this place
[26:50] permítanme presentarme a la misión
[26:53] myself es un placer saludar a la novia
[26:56] al señor s player tikrit brighter learn
[26:58] mi nombre es su hermano daniel gonzález
[27:02] gómez animismo de daniel gonzález gómez
[27:05] mi esposa y yo provenimos hermanos de la
[27:07] ciudad de hermosillo sonora my way from
[27:09] our form hermosillo sonora donde por
[27:12] gracia y misericordia de dios barba gris
[27:14] inglés y mangan hemos estado trabajando
[27:17] al frente de la obra de salud working on
[27:19] the work the better location bajo el
[27:21] ministerio de nuestro precioso apóstol y
[27:23] pastor bernabé gonzález garcía dijo
[27:28] garcía
[27:31] y nos sentimos muy contentos de estar en
[27:33] esta localidad con acompañándoles
[27:35] happiness place with you mi esposa aquí
[27:39] se encuentra con nosotros la aguante de
[27:41] favor que sigue de esa manera es querer
[27:42] subir tristán
[27:52] yo miro a través de yo miro a través de
[27:56] esos ojos preciosos claros hay títulos
[27:59] pérez escribáis me ven y me da gusto que
[28:02] ella se haya parado a través de la
[28:05] bendita palabra de dios con este siervo
[28:07] en el happy day usted by the sword
[28:10] myself pequeño ciervo
[28:14] m
[28:16] y me da gusto compartir este tiempo con
[28:19] ustedes
[28:22] tuvimos también el enorme privilegio de
[28:25] great public de acompañar a mi hermano
[28:27] él ya cerró es su cumbre anual del isr
[28:30] gris ya nuestro hermano miguel cisneros
[28:32] a la ciudad de alburquerque en nombre de
[28:34] miguel sesmero hizo es decir york nymex
[28:36] a las elecciones especiales que hicieron
[28:38] en aquella localidad espero ser visitada
[28:40] de location donde por gracia de dios
[28:44] mangan nos tocó compartir un poquito de
[28:46] la bendita palabra griega el dolor y en
[28:50] este lugar ninguna sorpresa
[28:57] donde se nos invitó a compartir
[29:00] nuevamente la palabra de dios me voy a
[29:01] ver mi culo fénix en país
[29:03] guti ni externa por lo cual me siento
[29:05] muy honrado guayaquil región cómodas
[29:08] para darme publicidad nadie solamente es
[29:11] para expresarle mi establecimiento es
[29:13] mayweather
[29:14] mi gratitud manguera team al dios
[29:16] todopoderoso americano
[29:24] como les dije esta hermosa
[29:34] preciosos
[29:38] [Aplausos]
[29:48] y los bendiga hermanos en esta hermosa
[29:50] tarde el birmingham es un privilegio
[29:53] bebés saludables
[29:55] sigrid sitio y como me dieron cinco
[29:58] minutos eso de game y five minutes y yo
[30:00] sé que aquí son en dólares no deje de
[30:02] tengo 90
[30:04] nine y me nets así es que pida la
[30:07] cantando cualquier señor que en
[30:09] afganistán
[30:11] si hay una cosa que me gusta siempre les
[30:15] mantendrá bilingüe ver en la
[30:17] congregación siendo the conversation es
[30:19] esa sonrisa es decir smile bien sale el
[30:22] corazón del campo mejor ese es un don
[30:25] que yo tengo la secretarãa de poder
[30:29] hacer que usted sonría desde el corazón
[30:33] es pivote abismal york agradezco la
[30:36] oportunidad que me dan al pri 7
[30:38] aportunidad min mi amigo mi hermano my
[30:41] friend my brother el hermano ernesto
[30:43] montoya montoya hemos viajado a varios
[30:46] lugares por la gracia de dios
[30:50] y tenemos no sé cómo llamarlo en los
[30:54] llevaron wind of war college a lo mejor
[30:56] se llama confianza el uno al otro sin
[30:59] gobernador tanto que estando en perú
[31:02] somos también en perú un hermano se
[31:05] arrimó y me dijo en pro de que no
[31:06] también se respete al hermano ernesto
