################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2019-11-03 - 2019-1103PM  - Associate Pastor Trini Osuna - Peru Missionary Report - Trini Osuna.txt
Video ID: spQQMSjtw-Q
Segments: 1315
URL: https://www.youtube.com/watch?v=spQQMSjtw-Q
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:14] al mar
[0:16] [Aplausos]
[0:17] [Música]
[0:21] [Aplausos]
[0:23] a
[0:24] [Música]
[0:33] i
[0:34] [Aplausos]
[0:39] [Música]
[0:48] ah
[0:51] ah
[0:56] no
[0:58] [Aplausos]
[1:00] y
[1:03] ah
[1:08] a
[1:10] ah
[1:12] [Música]
[1:16] ah
[1:18] no
[1:20] [Música]
[1:34] ah
[1:35] ah
[1:41] a
[1:42] [Aplausos]
[1:46] ah
[1:50] ah
[1:55] ah
[1:57] ah
[2:00] [Música]
[2:03] [Aplausos]
[2:05] [Música]
[2:08] [Aplausos]
[2:11] [Música]
[2:18] ah
[2:19] [Música]
[2:29] ah
[2:32] [Aplausos]
[2:33] [Música]
[2:38] no
[2:39] [Música]
[2:42] i
[2:44] [Música]
[2:49] ah
[2:50] [Música]
[2:53] ah
[2:54] ah
[2:59] ah
[3:03] ah
[3:06] a
[3:08] no
[3:10] [Música]
[3:13] ah
[3:16] [Aplausos]
[3:19] ah
[3:22] ah
[3:26] [Música]
[3:27] [Aplausos]
[3:27] [Música]
[3:31] [Aplausos]
[3:31] [Música]
[3:33] ah
[3:37] [Música]
[3:42] [Aplausos]
[3:46] ah
[3:49] [Aplausos]
[3:51] ah
[3:56] [Música]
[4:06] [Música]
[4:15] [Aplausos]
[4:17] ah
[4:20] [Música]
[4:22] [Aplausos]
[4:23] [Música]
[4:27] ah
[4:28] [Música]
[4:30] [Aplausos]
[4:33] [Música]
[4:37] y tal
[4:38] [Música]
[4:41] no
[4:42] [Música]
[4:47] no no
[4:49] [Música]
[4:51] más
[4:53] [Música]
[4:56] ah
[4:57] [Música]
[5:10] ah
[5:13] ah
[5:15] ah
[5:16] [Música]
[5:20] ah
[5:20] [Aplausos]
[5:23] ah
[5:25] [Música]
[5:27] [Aplausos]
[5:29] ah
[5:34] [Música]
[5:37] a
[5:41] [Música]
[6:01] ah
[6:05] tal
[6:07] ah
[6:09] ah
[6:12] e
[6:14] [Música]
[6:20] [Aplausos]
[6:24] ah
[6:25] [Música]
[6:27] ah
[6:31] y tanto
[6:36] [Música]
[6:42] ah
[6:46] y tal
[6:47] [Música]
[7:06] ah
[7:08] ah
[7:12] a
[7:17] no más
[7:20] a
[7:23] ah
[7:27] [Música]
[7:33] a
[7:35] tal
[7:39] [Música]
[7:40] [Aplausos]
[7:43] ah
[7:48] [Música]
[7:54] ah
[7:56] a
[7:57] [Música]
[7:59] ah
[8:01] [Música]
[8:07] ah
[8:07] [Aplausos]
[8:09] [Música]
[8:17] ah
[8:19] a mí
[8:21] [Música]
[8:22] ah
[8:25] a él
[8:28] ah
[8:31] [Música]
[8:34] ah
[8:36] [Música]
[8:43] [Música]
[9:09] i
[9:11] ah
[9:17] más
[9:19] [Música]
[9:25] ah
[9:25] [Aplausos]
[9:27] [Música]
[9:38] i
[9:44] ah
[9:46] [Aplausos]
[9:47] [Música]
[9:53] ah
[9:58] ah
[10:03] [Música]
[10:15] ah
[10:17] [Música]
[10:25] tal
[10:28] [Música]
[10:31] ah
[10:32] [Música]
[10:41] [Aplausos]
[10:43] [Música]
[10:51] [Aplausos]
[10:54] [Música]
[11:12] [Aplausos]
[11:13] [Música]
[11:27] ah
[11:29] [Música]
[11:32] [Aplausos]
[11:33] [Música]
[11:34] ah
[11:36] [Música]
[11:56] [Aplausos]
[11:59] [Música]
[12:09] o no
[12:11] [Música]
[12:18] [Aplausos]
[12:23] [Música]
[12:31] ah
[12:33] [Música]
[12:44] habla si perdemos una vez más nuestro
[12:48] [Música]
[12:53] master card ernesto montoya es un acto
[12:56] de bienvenida pero wok así como estamos
[12:58] ahora vamos a inclinar sus rostros para
[13:01] jets estaré mejorando para poner
[13:03] servicio una mano de dios o bien en 20
[13:05] pesos eres un dejan su dolor
[13:07] amado y bien parece el stia felipao
[13:11] desmoldamos las gracias porque muy
[13:13] tranquilo lo bueno y maravilloso que es
[13:15] jugando nosotros harker en móviles y te
[13:17] puedas tomando en cuenta su gran
[13:19] bendición que nos dio esta mañana
[13:21] miguel es sporting pero eso ya pasó sin
[13:24] ver gloria
[13:26] nosotros lo ocupamos en cada respirar
[13:28] nuestras vidas y vivir en equipo y
[13:31] check-in online' y gracias por lo que
[13:32] hace por nosotros en tokio
[13:35] esta tarde ha bajado pues decir no estar
[13:38] esperando algo si yo vi wire y forzarte
[13:40] a estar en expectativas y en expectación
[13:43] que tiene para nosotros es igual pero
[13:45] tomando en cuenta que nos pudiéramos
[13:47] haber quedado en cualquier lugar
[13:51] del país de su mensajero pero no hay un
[13:54] lugar como éste
[13:59] la revelación hasta ahora todo el
[14:06] control de este servicio y control de
[14:09] esto
[14:11] pero no
[14:15] [Música]
[14:22] [Aplausos]
[14:25] ah
[14:27] [Música]
[14:34] [Aplausos]
[14:40] [Música]
[14:41] [Aplausos]
[14:53] [Aplausos]
[14:58] el borde
[15:11] d
[15:13] [Aplausos]
[15:17] yo listo
[15:20] [Música]
[15:36] [Música]
[15:49] [Aplausos]
[15:51] [Música]
[16:02] ah
[16:05] [Música]
[16:15] [Aplausos]
[16:19] esto
[16:22] [Música]
[16:47] el día
[16:53] [Música]
[17:02] [Música]
[17:10] [Música]
[17:18] [Aplausos]
[17:18] [Música]
[17:30] [Aplausos]
[17:37] [Música]
[17:50] [Música]
[18:01] [Música]
[18:12] [Música]
[18:21] bien
[18:24] [Aplausos]
[18:31] [Aplausos]
[18:34] [Música]
[18:40] [Aplausos]
[18:43] [Música]
[19:03] [Aplausos]
[19:12] [Música]
[19:18] no
[19:28] [Aplausos]
[19:31] no
[19:32] [Música]
[19:39] [Música]
[19:45] i
[19:48] [Música]
[19:54] [Música]
[20:01] en impartición
[20:04] [Música]
[20:06] no no
[20:09] no
[20:13] por qué
[20:17] o no
[20:22] [Música]
[20:24] ah
[20:31] [Música]
[20:35] [Aplausos]
[20:47] [Aplausos]
[20:56] yo
[20:59] bien
[21:09] [Aplausos]
[21:09] [Música]
[21:20] bueno
[21:27] ah
[21:43] bien
[21:46] dr
[21:51] [Aplausos]
[22:03] [Aplausos]
[22:11] o no
[22:13] bien
[22:15] ah
[22:20] [Música]
[22:36] e
[22:39] bien
[22:45] e
[23:04] sí
[23:07] [Música]
[23:09] m
[23:28] y más
[23:33] yo no
[23:37] [Música]
[23:47] o quizás
[23:49] papá
[23:51] para esto
[23:55] [Música]
[24:14] [Música]
[24:28] aquí
[24:29] [Música]
[24:31] y bueno
[24:35] m
[24:38] yo
[24:42] bien
[24:47] d
[24:49] [Música]
[24:53] soy yo
[24:59] él
[25:07] e
[25:20] [Música]
[25:22] pero en ti hermanos ser esa tarde
[25:25] y vamos a dar lugar a sus peticiones
[25:27] agradecimientos
[25:30] no tenemos por escrito el agradecimiento
[25:34] de que vivamos en oración
[25:39] si usted quiere ser recordado
[25:41] [Música]
[25:46] agradecimiento
[25:48] mientras ahora puede ser como son
[25:56] amoroso padre nuestro te damos gracias
[25:58] por esta grandiosa oportunidad que nos
[26:02] permite nuevamente el swap cary grant
[26:04] watch gent inmigrante tu casa tu canción
[26:07] house y venidos de presentarnos delante
[26:09] de ti música me presenta acertijos de
[26:12] padre
[26:13] poniéndote delante de diseño en nuestras
[26:16] manos levantadas padre play sin llevarle
[26:18] detergente nuestro corazón
[26:20] el señor en agradecimiento durante en
[26:23] scream en ingratitud en un raro
[26:25] y también en mi necesidad de unir
[26:28] pedimos señor confiando en tu palabra
[26:30] como los rating y neuer gracias al
[26:33] sacrificio que existe por nosotros
[26:36] fighters horas vivimos a través de ellos
[26:38] confluye creyendo y confiando en el
[26:42] rating que tú estás señor dispuesto a
[26:44] escuchar nuestra oración al willem ii te
[26:50] ponemos nuestras peticiones y
[26:52] necesidades en tus manos señor corriendo
[26:57] con todo nuestro corazón
[26:58] tú vas a contestar todas
[27:01] [Música]
[27:13] gracias señor por tus bendiciones qué
[27:16] estás haciendo
[27:20] [Música]
[27:23] muchas gracias por estas cosas te
[27:27] rogamos que tú bendigas por frente
[27:32] [Música]
[27:49] [Aplausos]
[27:50] [Música]
[27:59] [Aplausos]
[28:01] r
[28:07] tocar
[28:08] [Aplausos]
[28:16] y como es
[28:25] la paz
[28:42] [Música]
[28:53] [Aplausos]
[28:55] [Música]
[29:06] sí
[29:08] [Música]
[29:11] no más
[29:20] ah
[29:25] la mente
[29:27] ah
[29:31] el agua
[29:32] [Música]
[29:37] [Aplausos]
[29:39] [Música]
[29:42] la vida
[29:43] [Música]
[29:47] ah
[29:50] ah
[29:50] [Música]
[29:54] a
[29:56] d
[29:58] [Música]
[30:05] [Aplausos]
[30:08] yo
[30:11] ah
[30:12] [Aplausos]
[30:14] ah
[30:18] 9
[30:22] ah
[30:23] ah
[30:25] [Aplausos]
[30:34] bien
[30:40] [Música]
[30:43] o no
[30:47] [Música]
[30:54] [Aplausos]
[30:57] ah
[31:01] e
[31:04] [Aplausos]
[31:10] [Música]
[31:17] [Música]
[31:30] y por qué
[31:31] no
[31:34] ah
[31:40] [Música]
[31:50] e
[31:53] [Aplausos]
[31:54] [Música]
[31:58] [Aplausos]
[32:01] [Música]
[32:08] [Música]
[32:09] para mí
[32:13] yo no
[32:18] [Música]
[32:21] vida
[32:23] [Música]
[32:25] no
[32:30] sí
[32:32] y yo
[32:37] ah
[32:40] [Música]
[32:42] mira
[32:47] esto
[32:48] [Música]
[33:00] que bendiga a cada uno es un honor para
[33:06] mí
[33:08] [Música]
[33:12] en esta tarde el zinc
[33:15] quiero platicar con ustedes un poquito
[33:17] pero vamos a orar
