################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-15 - 2020-1115AM Associate Pastor Javier Villa Jr. - Taking Sides with Jesus - Javier Villa Jr.txt
Video ID: usTHkMB7GVg
Segments: 1741
URL: https://www.youtube.com/watch?v=usTHkMB7GVg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] ah
[0:08] y hay más
[0:20] ah
[0:28] [Música]
[0:38] vale
[0:47] qué tal
[0:53] [Música]
[1:00] ah
[1:06] y
[1:08] bien
[1:10] [Música]
[1:24] ah
[1:28] ah
[1:30] él
[1:31] [Música]
[1:33] i
[1:37] ah
[1:41] [Música]
[1:47] i
[1:49] ah
[1:55] [Música]
[1:59] a
[2:00] [Música]
[2:08] [Aplausos]
[2:10] y
[2:12] i
[2:13] i
[2:14] [Música]
[2:22] ah
[2:27] ah
[2:28] a
[2:28] [Música]
[2:32] a
[2:35] [Música]
[2:38] y
[2:44] no
[2:46] a
[2:50] e
[2:53] i
[2:54] [Música]
[3:01] ah
[3:03] i
[3:05] ah
[3:06] [Música]
[3:10] ah
[3:12] [Música]
[3:19] ah
[3:20] [Música]
[3:24] ah
[3:27] ah
[3:31] ah
[3:33] [Música]
[3:38] i
[3:41] i
[3:46] ah
[3:49] e
[3:53] a
[3:56] ah
[3:58] [Música]
[4:09] i
[4:10] a
[4:13] [Música]
[4:16] [Aplausos]
[4:20] [Música]
[4:30] y
[4:38] [Música]
[4:46] ah
[4:49] [Música]
[5:11] i
[5:14] [Música]
[5:25] ah
[5:31] ah
[5:31] [Música]
[5:46] ah
[5:48] y
[5:51] e
[5:55] [Música]
[5:57] y
[5:59] [Música]
[6:09] i
[6:10] ah
[6:12] [Música]
[6:15] i
[6:16] [Música]
[6:21] ah
[6:24] a
[6:26] [Música]
[6:42] i
[6:44] ah
[6:47] bien
[6:52] [Música]
[6:59] ah
[7:00] [Música]
[7:11] a
[7:13] a
[7:17] [Música]
[7:27] ah
[7:29] y más
[7:32] [Música]
[7:43] y
[7:48] ah
[7:52] i
[7:53] e
[7:56] ah
[8:01] e
[8:05] [Música]
[8:16] a
[8:21] ah
[8:25] [Música]
[8:25] [Aplausos]
[8:28] [Música]
[8:33] ah
[8:37] [Música]
[8:40] ah
[8:42] por qué
[8:43] [Música]
[8:55] a
[9:02] ah
[9:04] [Música]
[9:05] a
[9:09] ah
[9:12] [Música]
[9:28] a
[9:30] [Música]
[9:38] ahora
[9:40] [Música]
[9:46] ah
[9:48] [Música]
[10:00] [Música]
[10:03] ah
[10:07] [Música]
[10:11] ah
[10:12] [Música]
[10:14] ah
[10:16] [Música]
[10:20] ah
[10:22] ah
[10:24] a
[10:28] [Música]
[10:53] ah
[10:55] 2
[10:59] [Música]
[11:08] a
[11:09] [Música]
[11:14] ah
[11:18] [Música]
[11:20] y
