################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-15 - 2021-0314 AM- Pastor Dr. Ernest R. Montoya - Invasion of Our Homeland - Ernest Montoya.txt
Video ID: ACM-O3XABwo
Segments: 1498
URL: https://www.youtube.com/watch?v=ACM-O3XABwo
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:12] [Música]
[0:49] [Música]
[1:04] [Música]
[1:18] ah
[1:20] bueno
[1:23] ah
[1:25] cómo
[1:28] a
[1:31] i
[1:42] ah
[1:45] ah
[2:17] ah
[2:25] ah
[2:31] ah
[2:35] y
[2:37] ah
[2:45] a
[2:47] [Música]
[2:57] i
[3:02] ah
[3:05] i
[3:22] i
[3:35] ah
[3:39] y
[3:41] ah
[3:43] [Música]
[3:51] ah
[3:52] [Música]
[3:56] ah
[3:58] vale
[4:01] a
[4:06] ah
[4:10] y
[4:17] [Música]
[4:26] i
[4:27] [Música]
[4:35] ah
[4:42] ah
[4:47] ah
[4:56] ah
[4:59] ah
[5:01] ah
[5:04] ah
[5:10] [Música]
[5:13] ah
[5:20] [Música]
[5:23] a
[5:26] ah
[5:27] [Música]
[5:34] i
[5:37] ah
[5:39] ah
[5:43] [Música]
[5:49] ah
[5:56] ah
[6:00] bien
[6:02] [Música]
[6:06] ah
[6:09] [Música]
[6:14] ah
[6:17] [Música]
[6:57] vale
[7:09] ah
[7:13] ah
[7:16] ah
[7:18] [Música]
[7:25] ah
[7:25] [Música]
[7:34] ah
[7:40] y
[7:42] ah
[7:46] a
[7:49] ah
[7:50] [Música]
[8:13] hoy
[8:14] [Música]
[8:19] ah
[8:23] i
[8:25] hola
[8:27] [Música]
[8:32] ah
[8:40] ah
[8:44] y vale
[8:50] [Música]
[8:58] a
[9:00] [Música]
[9:14] y
[9:16] [Aplausos]
[9:21] a
[9:21] [Música]
[9:38] i
[9:44] ah
[9:47] i
[9:49] [Música]
[9:53] ah
[9:57] ah
[10:02] ah
[10:11] y tal
[10:17] no más
[10:18] [Música]
[10:22] ah
[10:24] [Música]
[10:36] i
[10:38] [Música]
[10:41] ah
[10:45] [Aplausos]
[10:50] ah
[10:55] ah
[10:57] ah
[11:01] a
[11:02] [Música]
[11:09] ah
[11:10] [Música]
[11:16] ah
[11:19] ah
[11:20] [Música]
[11:41] a
[11:46] ah
[11:48] ah
[11:49] ah
[11:51] [Música]
[11:57] a
[12:02] ah
[12:05] ah
[12:06] ah
[12:08] ah
[12:11] [Música]
[12:17] bueno
[12:25] ah
[12:30] ah
[12:31] [Música]
[12:40] ah
[12:53] i
[13:00] ah
[13:07] i
[13:10] [Música]
[13:22] y
[13:26] ah
[13:27] [Música]
[13:45] ah
[13:50] [Música]
[14:13] ah
[14:18] no
[14:20] [Música]
[14:25] y
[14:26] a
[14:32] bueno
[14:34] ah
[14:37] [Música]
[14:47] i
[14:50] ah
[15:00] yo lo bendiga todas
[15:02] saludamos una vez más
[15:03] [Música]
[15:27] la noticia celestial avn
[15:30] gracias le damos señor vicente por todas
[15:33] las cosas para robar
[15:35] gracias su misericordia hasta el día de
[15:39] hoy no nos ha dejado ser un artista de
[15:41] gastos aunque sabemos que algunos de
[15:43] nosotros jamás hemos atravesado por
[15:47] diferentes caminos en parte de afectados
[15:49] pero son cosas que te permiten impartir
[15:52] vértigos y alarmas ayúdanos a estar en
[15:54] ese pensamiento
[15:57] porque el enemigo
[16:00] si queremos vivir en esta mañana
[16:04] de este servicio
[16:08] [Música]
[16:13] buscar
[16:16] [Música]
[16:28] cristo es la peña listo es la p
[16:32] [Música]
[16:34] esta bruja
[16:36] [Música]
[16:55] ah
[17:03] segur escala
[17:09] [Música]
[17:12] y ahora
[17:14] [Música]
[17:24] por qué no
[17:36] [Música]
[17:41] para mí
[17:43] [Música]
[17:48] pero no
[17:55] bien
[17:58] a escala
[18:02] e
[18:06] en el amor
[18:11] agua de piedras
[18:18] a
[18:24] [Música]
[18:26] ah
[18:28] hoy el amor
[18:31] [Música]
[18:35] [Aplausos]
[18:39] o no
[18:42] bueno
[18:44] ah
[18:51] el calor
[18:56] [Música]
[18:59] ahora
[19:03] [Música]
[19:04] [Aplausos]
[19:06] [Música]
[19:10] m
[19:17] refresca la más refresca poder
[19:22] [Música]
[20:10] los hermanos están pidiendo
[20:13] horas el disco sus bendiciones vamos
[20:16] aquí noticia lópez
[20:20] de zacarías donde barrios villa juárez y
[20:24] también nuestro mar
[20:25] [Música]
[20:28] y
[20:32] barrios
[20:34] [Música]
[20:41] esposa
[20:43] [Música]
[20:46] ay
[20:48] tenemos más posibilidad
[20:52] es una posibilidad para chávez
[20:58] millones
[21:01] la inspiración para plantar con sus ojos
[21:07] y
[21:09] con una duración posible hablar
[21:14] ah
[21:17] tenemos
[21:23] y los siguientes hermanos también
[21:25] decoración de hermanos y leticia lópez
[21:30] donde nuestras oraciones por su niño
[21:36] también los cristianos
[21:45] los hermanos por lo menos también
[21:46] decoración
[21:50] pero fresca
[21:51] esto lo que tenemos aquí escrito vamos a
[21:56] ser a sus ojos
[21:59] mientras grabamos si usted quiere
[22:01] presentar su agradecimiento necesidad de
[22:05] escribir usted lo puede indicar
[22:06] levantando su mano de quien investiga
[22:08] ese momento para agradecerle a dios
[22:10] incluir el señor este momento es que
[22:13] karen tenga vamos a orar hermanos
[22:14] dardenne
[22:18] bendito buen padre nuestro
[22:22] una vez más si no venimos
[22:25] el rostro de gracia y misericordia
[22:30] señor con mucho temor y temblor delante
[22:32] de tu presencia logro
[22:34] fire presents padre en estos momentos
[22:38] tan difíciles
[22:40] por ende existe fecode moments señor
[22:42] venimos una actitud de agradecimiento y
[22:44] cambiante
[22:45] skilling por tu gracia y tu misericordia
[22:48] gris en el mercy por lo bueno y
[22:50] maravilloso que ha sido con nosotros
[22:52] escribir en muebles tripleta hasta el
[22:54] día de hoy señor nos han mantenido
[22:56] therapy taylor swift cartas señor y
[22:59] miramos que tu gracia no nos ha dejado
[23:01] hemos sido de grace estar alertas
[23:04] muchas gracias por todas tus bendiciones
[23:05] y taylor fue hoy inglés zinc pedimos
[23:08] señor como yo temor y temblor no
[23:11] ubicamos macho fiber pero venimos
[23:13] esperándonos en tu promesa ubicamos
[23:14] tenía uniformes creyendo padre que has
[23:17] hecho posible el living fade y un mail y
[23:19] pasa lo que vengamos ante ti ubican
[23:21] before you para pedirte con todo nuestro
[23:24] corazón
[23:25] el sacrificio que hiciste por nosotros
[23:28] sacrificios y mejoras el cual lo hemos
[23:30] aceptado which we had excepto nos hemos
[23:33] limpiado en tu sangre preciosa the wit
[23:35] planzer show senior preysler y la manera
[23:38] que venimos para ser aceptables delante
[23:40] del tenderete we country excel tepic
[23:42] ready y nos dijiste que pudiésemos todo
[23:44] lo que quisiéramos en tu nombre
[23:45] juventus engineering si lo creyéramos
[23:48] todo lo vas a dar
[23:49] deryck whibley with it y hemos leído
[23:51] estas peticiones y freddys peticións
[23:54] hemos leído estas necesidades
[23:56] reddy's needs estos agradecimientos
[23:58] disteis skins tú has visto las manos que
[24:01] han sido levantadas sin detergente
[24:03] directamente levantamos nuestra fe
[24:06] leyendo con todo nuestro corazón living
[24:09] que todas las cosas son posibles
[24:12] para aquellos que creen venimos creyendo
[24:16] en esta mañana en el campo living this
[24:18] morning te damos la honra y la gloria el
[24:20] señor
[24:21] haremos estas cosas en tus manos listing
[24:24] señor genio sabiendo que todas tomar
[24:26] control supremo de todo eso sr
[24:31] una alegría y contentamiento nuestro
[24:32] corazón es happiness en swing bendice a
[24:35] tu pueblo iglesia gracias señor por
[24:37] contestar y escuchar nuestra oración
[24:41] estamos confiando y creyendo westin
[24:44] living ahora padre mente levantamos esta
[24:46] ofrenda
[24:48] hagamos que sea de tu agrado muy bien
[24:50] este me lo bendiga al oro alegre de yuma
[24:53] señor que bendiga señor el destino el
[24:55] propósito de estos diez mejores ofrendas
[24:57] destination del pp satisfacer en que sea
[24:59] para engrandecer tu red y maybe it y
[25:01] cariño y kingdom todo esto lo pedimos en
[25:03] escaldes glorioso nombre de tu hijo
[25:05] amado de klaus steinmetz nuestro señor
[25:07] jesucristo los sprays
[25:09] [Música]
[25:18] icloud
[25:20] [Música]
[25:21] y ojo
[25:29] d
[25:30] [Música]
[25:34] o no
[25:37] en el mundo
[25:41] [Música]
[25:44] y
[25:47] o no
[25:51] no
[25:53] j
[25:59] [Música]
[26:05] no saldremos a ver a mis hechos y
[26:13] aprender son
[26:16] de glorioso
[26:23] madre mía
[26:24] [Música]
[26:33] [Música]
[26:35] mejor
[26:39] la intención
[26:47] agua con arena
[26:51] son flores
[26:55] para ello
[26:58] efe
[27:05] póngase de pie
[27:11] vamos a dejar este lugar
[27:14] a la palabra de dios en esta mañana el
[27:16] señor es mire el señor es mi rey
[27:21] él es mi todo
[27:24] [Música]
[27:26] señor es mi luz y mi rey el que me hace
[27:31] vibrar
[27:34] porque me hace vibrar
[27:36] por qué
[27:40] [Música]
[27:41] a mis ojos
[27:45] el que tiene sus brazos
[27:48] el creador de la luz
[27:53] y el señor es mi rey
[27:57] ellas señores mi rey
[28:00] a las mejores
[28:02] [Música]
[28:05] con mis señores de luz
[28:08] y el que me hace
[28:12] el que me hace vibrar
[28:19] que el mismo
[28:24] extiende sus brazos
[28:28] el creador de los cielos
[28:31] me en el señor al revés
[28:37] el señor es mi rey
[28:39] las mejores
[28:44] y señoras que nos
[28:47] débiles
[28:52] que me hace vibrar mejor
[28:59] una vez
[29:02] [Música]
[29:06] hasta el creador de lost
[29:07] [Música]
[29:10] una vez más
[29:14] y el señor es mi rey
[29:20] más
[29:21] [Música]
[29:23] de señores de los temibles
[29:30] y el que me hace vibrar
[29:35] es que yo
[29:38] el que guía mis pasos
[29:40] [Música]
[29:45] el creador de los
[29:47] [Música]
[29:56] el sol es bendiga esta mañana toma sus
[30:00] lugares por un momento grupo
[30:04] es un día muy hermoso agradecerles por
[30:08] estar aquí
[30:13] durante el tiempo que estamos viviendo
[30:18] regocijarnos es difícil
[30:23] soltarnos es difícil el tiempo que
[30:28] estamos viviendo
[30:30] de hacer lo que le dijo que hiciéramos
[30:39] no sólo del amor
[30:42] no sólo del perdón pero de la unidad
[30:46] winnie ya lo que necesitamos de la
[30:48] unidad momento del dios hombre
[31:00] un dios un dios que era hombre humilde
[31:14] bailaremos amén
[31:17] pero aún era dios hombre digo adiós
[31:22] hombre
[31:25] por ejemplo nuestro ejemplo que el
[31:31] merval dijo que el vino de forma tan
[31:34] humilde
[31:36] no era suficiente
[31:41] lo voy a repetir y lo que necesitamos es
[31:46] ser humildes no puede hacer lo demás
[31:52] no puede exagerar eso
[31:56] de schubert brahms studies el mar para
[31:59] el hombre en el más humilde de los
[32:04] hombres en la vichú hanball pero no
[32:07] puede ser demasiado humilde you get
[32:09] chamizo hanball
[32:12] ante la débil o en medio y se asuste tan
[32:17] humilde que el día no lo hace usted como
[32:19] un títere
[32:21] llegar a ser humilde
[32:26] como los fariseos
[32:31] para entender que somos humanos will
[32:35] stay como estamos errores por parte de
[32:40] naturaleza oraciones mientras que sirva
[32:45] como el perfil como el alabó sus pies
[32:49] también tienen tiempo ambos entonces
[32:52] comenzamos a ser humildes
[32:56] como y no lo más que lo hace mejor que
[33:01] se pone más lo más que tenga cuidado
[33:10] porque algunos
[33:13] no soy suficiente fueron de extiende no
[33:16] entendemos de cuota de abono de estas
[33:20] que no que el usa igual de
[33:22] nosotros o papá nos convierte en títeres
[33:27] los tenemos que tener cuidado que no
[33:31] la fecha dicen que con la edad el sí
[33:35] quiero útil mientras envejece más sufrir
[33:37] ya se le olvida sólo la tesis people me
[33:40] gusta bromear con la gente
[33:43] pero
[33:46] a white y me gusta provocar
[33:52] y lo que hago
[33:58] lo uso para asegurarme que usted sabe de
[34:04] lo que está sucediendo
[34:08] se me puede decir amén a eso
[34:13] en qué edad estamos viviendo
[34:16] se me olvidó
[34:19] se está haciendo viejo
[34:27] ambas nos recordamos
[34:30] en el comienzo con él
[34:33] pero la unidad
[34:37] león desea la odisea
[34:43] o sea que cada uno quiere sus derechos
[34:54] cada uno relajado
[35:07] televisa estoy relajado
[35:13] me siento bien
[35:16] y entonces
[35:24] es nuestra misión y la visión que
[35:37] estamos tan preocupados
[35:42] es decir estamos viendo en la odisea de
[35:47] las características
[35:49] estamos tan relajados las fotos están
[35:53] relajados y van a casa se relajan
[35:58] the number entonces se recuerda
[36:02] lo que tiene que hacer ahora no está
[36:05] todo en orden
[36:07] se desmonteró no quiero que sepan por
[36:10] qué somos la ley estamos en la edad de
