################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-04-26 - 2021-0422 AM- Special Speakers - Sunday Service - Ernest Montoya.txt
Video ID: j6xVtWRiODI
Segments: 1562
URL: https://www.youtube.com/watch?v=j6xVtWRiODI
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:14] y todo
[0:19] i
[0:21] ah
[0:28] y
[0:34] ah
[0:49] ah
[0:54] ah
[0:56] ah
[1:06] ah
[1:27] a él
[1:37] a
[1:41] a
[1:48] i
[1:49] ah
[1:53] ah
[1:54] ah
[2:00] y
[2:02] a
[2:13] ah
[2:20] hola
[2:23] y
[2:25] vale
[2:26] i
[2:28] ah
[2:31] ah
[2:39] y
[2:41] a
[2:45] [Música]
[3:00] ah
[3:17] a
[3:24] ah
[3:27] ah
[3:30] y
[3:32] ah
[3:43] ah
[3:46] a
[3:49] ah
[3:58] y
[4:01] ah
[4:08] ah
[4:13] ah
[4:14] [Música]
[4:26] y aquí
[4:29] a
[4:40] [Música]
[4:49] ah
[4:58] ah
[4:59] [Música]
[5:03] a
[5:05] ah
[5:08] ah
[5:10] ah
[5:12] [Música]
[5:41] y
[5:46] ah
[5:51] [Música]
[5:58] y
[6:02] [Música]
[6:27] ah
[6:32] ah
[6:39] ah
[6:45] a
[6:47] ah
[6:54] ah
[7:03] y
[7:07] ah
[7:11] a
[7:18] ah
[7:20] ah
[7:22] ah
[7:25] a
[7:29] ah
[7:33] ah
[7:35] i
[7:38] i
[7:47] ah
[7:50] [Música]
[8:01] i
[8:06] [Música]
[8:10] ah
[8:13] ah
[8:17] ah
[8:18] ah
[8:21] ah
[8:25] a
[8:36] i
[8:45] [Música]
[8:52] a
[8:54] a
[9:06] ah
[9:11] ah
[9:15] [Música]
[9:23] i
[9:28] ah
[9:30] [Música]
[9:42] y
[9:43] [Música]
[9:44] a
[9:46] i
[9:48] [Música]
[9:57] ah
[10:02] [Música]
[10:10] ah
[10:12] [Música]
[10:18] ah
[10:23] ah
[10:27] 2
[10:37] ah
[10:44] [Música]
[11:06] vale
[11:09] [Música]
[11:28] ah
[11:31] ah
[11:35] a
[11:45] [Música]
[12:08] a
[12:17] ah
[12:19] y
[12:21] [Música]
[13:14] ah
[13:19] [Música]
[13:34] sí
[13:39] [Música]
[13:46] a
[13:48] e
[14:00] ah
[14:05] la vida
[14:08] a
[14:14] ah
[14:22] i
[14:28] aquí
[14:30] ah
[14:36] él
[14:49] el dolor es nuestro servicio
[15:03] la tierra
[15:05] sr
[15:08] no ver ahora parece haber pidiendo sr
[15:16] cepille el software sap para estar aquí
[15:18] en su
[15:21] s
[15:22] en sus sectores de las semanas que abren
[15:25] la puerta de ubica dos hermanos
[15:27] puedes distinguir madryn en estas cosas
[15:30] es un hombre poderoso animado por dos
[15:32] sprays el nombre del señor jesucristo
[15:34] [Música]
[15:46] con este de pie bendito sea filmada mi
[15:49] roca
[15:49] [Música]
[16:01] bendito seas
[16:04] pero para mi ropa por zona
[16:10] bernier además de esconder
[16:16] en mi refugio
[16:21] [Música]
[16:23] esta palabra es mala
[16:28] pero
[16:30] y
[16:35] e
[16:36] [Música]
[16:39] no no
[16:45] una vez más dónde
[16:53] [Música]
[16:55] e
[17:01] 2
[17:06] eres mi mente jehová
[17:11] como no esperar
[17:17] m
[17:20] [Música]
[17:32] hay nubes
[17:34] [Música]
[17:41] d
[17:47] en la parte d
[17:50] a la martes
[17:57] y
[18:07] 1
[18:11] hacer
[18:16] antes de que
[18:21] [Música]
[18:25] otros fondos me muero en tomar su
[18:27] asiento eso acá en esta crisis
[18:30] vamos a mostrar las peticiones muy bien
[18:33] [Música]
[18:35] tenéis
[18:38] tenemos la siguiente serie de cimiento
[18:40] los valientes que ven es mi hermano
[18:42] adolfo pérez hermano francisco romero la
[18:45] familia juárez la familia reyes hermano
[18:49] formando reyes
[18:50] carmen ruiz
[18:52] félix y escénica gracias al señor pérez
[19:00] agradeció a dios por la sanidad de su
[19:02] cuerpo por su persisten gang lugar freak
[19:04] y el inglés para el mundo daniel
[19:06] aguilera le da gracias al señor por un
[19:08] aniversario más de matrimonio cumple 19
[19:11] años
[19:12] [Música]
[19:17] decisiones secretas hermano francisco
[19:19] romero técnicas de la mano de francisco
[19:22] romero también hermano francisco romero
[19:25] que oración por su familia y también en
[19:27] su caminar de cristiano en pro de
[19:28] francisco hermanos ya escribir flores
[19:30] están dentro de la expresión uac bueno
[19:32] más bien juárez y oración también
[19:34] terminar cristiano
[19:37] la familia reyes y de oración por su
[19:40] familia reyes y hanley de oración por su
[19:46] esposo tenemos visitas siempre bastante
[19:49] bueno félix ya significa te den oración
[19:52] contar con toni
[19:58] también se pide oración por la hermana
[20:01] se novia nava
[20:03] [Música]
[20:05] está en el hospital y se encuentra en
[20:07] una situación crítica dicen que ella es
[20:12] la
[20:14] la mamá de nuestro manos
[20:20] [Música]
[20:26] padre celestial y beni father damos las
[20:29] gracias en esta mañana sweeting is this
[20:31] morning world porque nos permite estar
[20:32] aquí que yo álava este vídeo padre hay
[20:35] varias peticiones aquí que han sido
[20:37] escritas debidamente que si se volvieran
[20:40] y le pido que tuvimos el control señor
[20:42] riesgo el control de cada cosa la
[20:45] situación
[20:50] no los puedes dar conformes por
[20:54] interface padre y te pedimos
[20:55] especialmente por la hermana su novia en
[20:58] especial acceso si no había el hospital
[21:00] señor pueden además promoveremos que tú
[21:02] vayas a ese lugar díaz te digo te des
[21:04] place y vuelvas a manifestar lo que eres
[21:07] y que mereció a jehová rafa
[21:11] gracias padre entidad le damos también
[21:14] gracias por los diezmos y ofrendas no se
[21:17] defina
[21:18] el frame pedimos que vendidas a la hora
[21:20] de la agresión es el inglés este tiempo
[21:22] que multiplicarlo multiplayer abre las
[21:25] ventanas de los cielos
[21:34] [Música]
[21:40] de pie
[21:42] [Música]
[21:46] fiestas deportes
[21:52] quizás reforma
[21:56] 3
[22:01] y
[22:03] si es así
[22:06] joaquín
[22:12] más
[22:15] esto
[22:21] no
[22:24] al igual que la carne mira lo que hizo y
[22:32] mira en lo que hizo
[22:36] derrota
[22:38] me da lo que eso me señor
[22:46] él me salvó
[22:48] me levanto
[22:51] era lo que soy
[22:54] caminando
[22:57] caminando por la senda
[23:03] y caminando por la labor
[23:09] y otras cosas mejor ya está
[23:15] mira
[23:16] una vez más caminando
[23:21] caminando por las labores de caminando
[23:28] por la senda
[23:33] denuncias las luchas victoria tras
[23:37] memoria caminando por la labor
[23:43] vendrá un aplauso al señor jesus por
[23:46] victorias que nos da
[23:48] el señor es mi rey
[23:52] el señor es mi rey
[23:54] él es mejor
[23:55] [Música]
[23:59] mi señor es mi luz
[24:02] y me retiré y el que me hace vibrar
[24:06] el que me hace vibrar de gozo
[24:13] el que guía mis pasos
[24:16] el que extiende sus brazos el creador de
[24:21] los
[24:25] [Música]
[24:32] bendigo hermanos
[24:37] y vamos a leer
[24:42] josué capítulo 12 el versículo 9
[24:47] personal
[24:52] la escritura dice de esta manera los que
[24:55] te vistas mira qué temas lo que te
[24:57] esfuerces y seas valiente y no temas ni
[25:01] desmayes porque jehová tu dios estará
[25:04] contigo en donde quiera que vayas hablar
[25:07] hay que mandar de to be strong en
[25:09] berkeley
[25:10] binner freire vida vital de smile fue
[25:13] valor de gareth y webber del ghost la
[25:17] siguiente escrituras jeremías 33 37 y 33
[25:22] y dice así la mami
[25:25] y yo te responderé
[25:27] y te enseñaré cosas grandes y ocultas
[25:30] que tú no conoces comenta mi cara
[25:33] volante de ensueño de grey de marketing
[25:37] switch down no está nada
[25:40] los hermanos la mayor gente puede estar
[25:42] en la gloria señor aquí estamos
[25:44] la madre gloria mujer divina presencia
[25:46] padre santo y fuerte para presentarle
[25:49] gracias señor por un día más de vida que
[25:51] nos da te quiero porque ven escenas de
[25:52] flor aquí estamos todos reunidos para
[25:55] recibir su palabra bueno que dejar atrás
[25:57] y ver por este domingo de resurección
[25:58] padre santo en terrestres en marimba de
[26:01] usted se levantó entre los muertos para
[26:03] el rostro de tierra para darles vida tú
[26:06] que vas live señor aquí estamos clamando
[26:08] este giro bryggar crane and service
[26:10] solamente este es el que nos puede
[26:11] ayudar
[26:12] jordi galí guante creados y luego señor
[26:14] por mis hermanos informe esta mañana
[26:21] [Música]
[26:31] dios bendiga en esta mañana verdadero
[26:34] plagio desmotivados haciendo visite le
[26:36] saludamos de precioso nombre de nuestro
[26:38] señor jesucristo
[26:40] neymar está frente a ustedes me piden
[26:45] senador mejía el real y fortalecer a
[26:47] dios por la oportunidad estaba lecter en
[26:50] hartford esa persona debe estar en este
[26:51] lugar citó vigente 0 play y también a mi
[26:54] pastor por darme la oportunidad de
[26:57] hablar unas palabras menos o mastercard
[26:59] mitad word sus clientes darle su
[27:01] confianza en yemen miles con friends
[27:04] dios ha hecho grandes cosas en nuestras
[27:06] vidas
