################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-05-17 - 2021-0516 AM- Pastor Dr. Ernest R. Montoya  - The Whole Plan of Redemption #1 - Ernest Montoya.txt
Video ID: 5Eqy4VP5bec
Segments: 1584
URL: https://www.youtube.com/watch?v=5Eqy4VP5bec
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:16] ah
[0:18] e
[0:24] a
[0:31] ah
[0:40] ah
[0:42] a
[0:49] ah
[0:53] una vez
[1:05] ah
[1:21] más
[1:25] ah
[1:38] ah
[1:48] i
[1:50] a
[1:50] [Música]
[1:54] ah
[1:56] e
[1:59] [Música]
[2:05] y
[2:13] [Música]
[2:21] a
[2:21] [Aplausos]
[2:22] [Música]
[2:30] i
[2:36] i
[2:38] i
[2:41] [Música]
[2:50] ah
[3:02] ah
[3:05] él
[3:10] [Aplausos]
[3:16] ah
[3:19] [Música]
[3:42] ah
[3:45] a
[3:51] [Música]
[3:56] y
[3:57] [Música]
[3:59] i
[4:02] ah
[4:02] [Música]
[4:05] [Aplausos]
[4:14] no
[4:16] [Música]
[4:44] ah
[4:47] ah
[4:54] [Música]
[4:56] ah
[5:02] ah
[5:10] ah
[5:13] ah
[5:16] [Música]
[5:27] y
[5:31] i
[5:34] ah
[5:39] aquí
[5:46] ah
[5:52] [Música]
[5:55] i
[5:57] a
[6:01] [Música]
[6:03] ah
[6:09] e
[6:10] [Música]
[6:16] a
[6:17] [Música]
[6:22] y más
[6:27] e
[6:29] [Música]
[6:33] qué tal
[6:46] ah
[6:48] ah
[6:55] ah
[7:01] ah
[7:04] bien
[7:07] aquí
[7:09] ah
[7:15] o
[7:16] a
[7:22] ah
[7:28] [Música]
[7:32] ah
[7:36] ah
[7:44] 2
[7:47] ah
[7:54] ah
[7:57] hola
[7:58] [Música]
[8:15] ah
[8:17] i
[8:18] [Música]
[8:29] a
[8:34] a
[8:40] a
[8:46] [Música]
[8:48] a
[8:56] [Música]
[9:02] vale
[9:06] ah
[9:07] y
[9:12] i
[9:19] ah
[9:25] y
[9:32] ah
[9:34] ah
[9:35] [Música]
[9:43] ah
[9:45] y
[9:47] ah
[9:48] ah
[9:50] [Música]
[9:55] [Aplausos]
[9:59] ah
[10:01] [Música]
[10:07] ah
[10:08] [Música]
[10:24] ah
[10:25] [Música]
[10:25] [Aplausos]
[10:27] i
[10:29] a
[10:33] ah
[10:36] [Música]
[10:39] ah
[10:45] [Música]
[10:49] ah
[10:56] a
[10:58] ah
[11:03] ah
[11:06] [Música]
[11:11] i
[11:13] nada
[11:16] ah
[11:17] ah
[11:19] [Música]
[11:26] e
[11:27] ah
[11:32] [Música]
[11:41] i
[11:48] ah
[11:50] [Música]
[11:58] ah
[12:04] [Música]
[12:08] i
[12:13] [Música]
[12:17] ah
[12:18] [Música]
[12:34] i
[12:36] ah
[12:42] [Música]
[12:43] [Aplausos]
[12:43] [Música]
[12:47] ah
[12:52] [Música]
[13:18] a
[13:22] [Música]
[13:24] ah
[13:28] [Aplausos]
[13:31] [Música]
[13:54] no
[13:59] ah
[14:07] ah
[14:15] [Música]
[14:42] dios lo bendiga a clases yo nos
[14:45] saludamos una décima de preso en nombre
[14:46] de nuestro señor jesucristo y se van
[14:48] siguiendo para gestionar las spice y de
[14:50] parto está para todo el autor nuestro
[14:52] montoya mejor hace para carnes montoya
[14:54] crece una correa bienvenida y sirve como
[14:56] visible 4 walk on como de igual manera
[14:58] cualquier visitante que tengamos encima
[15:00] a nivel de ira de almeja los que estén
[15:02] vía internet los guasones online donde
