################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-08-02 - 2021-0801 AM- Pastor Dr. Ernest R. Montoya  The whole plan of Redemption #5 - Ernest Montoya.txt
Video ID: IVgVOM4JLlo
Segments: 1643
URL: https://www.youtube.com/watch?v=IVgVOM4JLlo
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:15] i
[0:17] ah
[0:23] ah
[0:24] [Música]
[0:39] ah
[0:40] a
[0:42] [Música]
[0:49] ah
[0:53] [Aplausos]
[0:54] [Música]
[1:02] [Aplausos]
[1:08] ah
[1:14] bien
[1:19] y
[1:24] y
[1:27] a
[1:30] [Música]
[1:34] [Aplausos]
[1:37] [Música]
[2:13] ah
[2:14] [Música]
[2:20] ah
[2:20] [Música]
[2:31] ah
[2:32] [Música]
[2:37] [Aplausos]
[2:39] ah
[2:40] hola
[2:41] [Música]
[2:44] por qué
[2:50] [Música]
[3:18] ah
[3:20] [Música]
[3:36] i
[3:43] ah
[3:48] ah
[3:54] a
[3:57] i
[3:57] [Música]
[4:05] ah
[4:07] [Música]
[4:09] bien
[4:10] [Música]
[4:13] ah
[4:17] o no
[4:19] ahora
[4:20] [Música]
[4:33] i
[4:35] [Música]
[4:42] a
[4:43] [Música]
[4:53] a
[4:56] [Música]
[5:20] ah
[5:25] [Música]
[5:33] ah
[5:34] [Aplausos]
[5:34] [Música]
[5:36] i
[5:37] [Música]
[5:43] a
[5:43] [Música]
[6:01] no
[6:02] [Aplausos]
[6:03] ah
[6:04] [Aplausos]
[6:05] [Música]
[6:11] ah
[6:12] [Música]
[6:19] [Aplausos]
[6:19] [Música]
[6:25] ah
[6:27] o no
[6:29] [Música]
[6:30] [Aplausos]
[6:33] no no
[6:34] [Aplausos]
[6:36] [Música]
[6:46] ah
[6:54] [Música]
[6:56] y
[7:02] i
[7:07] [Música]
[7:09] y él
[7:13] no
[7:16] [Música]
[7:21] ah
[7:27] a
[7:30] no
[7:31] ah
[7:33] ah
[7:35] ah
[7:37] y
[7:38] [Música]
[7:40] ah
[7:42] [Música]
[7:48] ah
[7:49] [Música]
[7:51] ah
[7:53] [Música]
[8:07] [Aplausos]
[8:08] [Música]
[8:12] ah
[8:17] [Música]
[8:18] [Aplausos]
[8:19] [Música]
[8:29] [Aplausos]
[8:33] [Música]
[8:41] [Música]
[8:47] ah
[8:49] a
[8:56] ah
[8:58] ah
[8:59] [Música]
[9:00] [Aplausos]
[9:02] él
[9:10] i
[9:12] [Música]
[9:30] ah
[9:46] ah
[9:50] ah
[9:51] [Música]
[10:02] ah
[10:03] [Música]
[10:09] y
[10:11] [Música]
[10:22] i
[10:27] [Música]
[10:30] ah
[10:33] ah
[10:37] ah
[10:39] [Música]
[10:45] no
[10:46] [Música]
[10:50] ah
[10:52] [Música]
[11:02] i
[11:03] [Música]
[11:27] ah
[11:29] [Música]
[11:40] [Aplausos]
[11:40] [Música]
[11:46] ah
[11:49] [Música]
[11:51] [Aplausos]
[11:54] ah
[11:57] ah
[12:00] ah
[12:07] y
[12:09] [Música]
[12:29] i
[12:35] ah
[12:40] [Música]
[12:41] [Aplausos]
[12:43] [Música]
[12:59] no
[13:00] [Música]
[13:21] y
[13:24] [Música]
[13:29] i
[13:31] [Música]
[13:54] [Aplausos]
[13:54] [Música]
[14:24] ah
[14:29] [Música]
[14:39] ah
[14:39] [Aplausos]
[14:41] [Música]
[14:52] hoy
[14:53] [Música]
[15:09] yo lo bendiga es bueno estar una vez más
[15:12] en este lugar
[15:14] [Música]
[15:15] ernesto montoya cualquier visitante a
[15:20] nivel siéntase bienvenido el fútbol acá
[15:22] de igual manera los que están bien
[15:23] internet semana 2 maximizan vamos a
[15:25] poner de pie wikileaks con este servicio
[15:28] la mano de dios
[15:32] amantísimo y buen padre celestial
[15:36] dador de toda buena radiación de todas
[15:41] las cosas
[15:42] [Música]
[15:43] dados de misericordia y gracias y
[15:45] mersing reyes los que hasta el día de
[15:48] hoy su gracias las que no tiene aquí
[15:49] padre de repite y fraser si seguimos en
[15:52] esta mañana con un corazón con estricto
[15:54] y humillado y ha presentado frente a
[15:58] usted padre
[16:00] siempre me llamó la atención a aquellos
[16:02] animalitos que estaban cerca de los ivas
[16:08] guiando y empujando al mismo tiempo para
[16:10] el marketing fue simplemente sentando y
[16:12] eso lo miró con nosotros señor hay sida
[16:15] como tú me vas guiando y empujando
[16:18] gracias por ello soy un enchufe de horas
[16:21] señor le queremos pedir placas cualquier
[16:24] pecado cualquier falta soy un default
[16:27] que hemos hecho frente a su presencia
[16:35] lo confesamos entiendo libres y ahora
[16:41] señora ayúdanos valor para cualquier
[16:43] problema en cualquier dificultad
[16:45] cultive esté atravesando cualquier hijo
[16:48] de su novia señor
[16:49] nixon
[17:00] gracias por todo tome el control de sus
[17:04] manos
[17:10] en el vino a mi corazón
[17:14] ah
[17:18] juan glorioso es el cambio operado en mi
[17:23] ser
[17:26] inventando a mi vida
[17:29] el señor hay en mi alma
[17:33] en la paz
[17:35] ella va a tener
[17:39] es la más que me trajo suave
[17:46] el vino a mi corazón
[17:53] el vino a mi corazón
[17:58] estoy feliz con la vida y el disco mejor
[18:06] wow
[18:08] el vino a mi corazón m
[18:15] ella no voy por la senda que el mal me
[18:20] trajo
[18:22] un hueso con tres conocidos
[18:29] mis errores pasados de suelo son los
[18:34] borrones cuando el vino a mi fuera
[18:43] el vino a mi corazón
[18:51] vino a mi corazón y soy feliz y soy
[18:57] feliz con la vida
[19:01] promedios
[19:03] wow
[19:05] el vino a mi corazón y una sombra ni una
[19:13] sombra de duda oscurece
[19:21] porque me trajo el verbo
[19:26] la esperanza que aliento la llevó al
[19:32] señor
[19:34] cuando el vino a mi corazón
[19:41] el vino a mi corazón
[19:48] vino a mi corazón y soy feliz y estoy
[19:54] feliz con la vida que cristo me dio
[20:01] wow
[20:03] puedes
