################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-10-10 - The Whole Plan Of Redemption #7  Pastor Dr. Ernest R. Montoya - Ernest Montoya.txt
Video ID: BuQSyuwfA7g
Segments: 2006
URL: https://www.youtube.com/watch?v=BuQSyuwfA7g
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:28] a
[0:31] a
[0:34] ah
[0:41] [Música]
[0:45] ah
[0:48] ah
[0:49] [Aplausos]
[0:50] [Música]
[1:01] y
[1:05] a
[1:13] ah
[1:13] [Música]
[1:20] i
[1:25] a
[1:26] ah
[1:31] ah
[1:37] a
[1:46] ah
[1:47] [Música]
[1:54] ah
[2:01] [Música]
[2:33] i
[2:35] ah
[2:37] [Música]
[2:39] [Aplausos]
[2:43] ah
[2:48] ah
[2:52] [Música]
[3:05] ah
[3:08] ah
[3:11] i
[3:12] [Música]
[3:20] ah
[3:21] [Música]
[3:37] y
[3:38] [Música]
[3:51] ah
[3:54] [Aplausos]
[3:55] [Música]
[4:02] i
[4:05] ah
[4:06] [Música]
[4:23] [Aplausos]
[4:35] aquí
[4:36] [Música]
[4:44] ah
[4:48] ah
[4:53] ah
[4:56] [Música]
[5:08] no
[5:10] [Música]
[5:17] ah
[5:20] [Música]
[5:24] a
[5:25] [Música]
[5:27] ah
[5:29] [Música]
[5:49] ah
[5:52] [Música]
[5:59] e
[6:02] [Música]
[6:04] ah
[6:12] [Música]
[6:23] [Aplausos]
[6:25] [Música]
[6:54] ah
[6:57] [Música]
[7:00] ah
[7:03] ahora
[7:06] ale
[7:12] i
[7:22] 2
[7:30] ah ah
[7:37] es
[7:40] ah
[7:42] bueno
[7:50] [Música]
[8:01] ah
[8:07] ah
[8:11] ah
[8:14] [Música]
[8:21] ah
[8:28] ah
[8:35] más
[8:49] ah
[8:54] ah
[9:03] i
[9:09] a
[9:10] [Música]
[9:14] ah
[9:15] [Música]
[9:22] ah
[9:27] as
[9:28] [Música]
[9:33] ah
[9:34] [Aplausos]
[9:35] ah
[9:40] ah
[9:44] [Música]
[9:52] ah
[9:55] ah
[9:55] [Música]
[10:25] y
[10:34] [Música]
[10:36] ah
[10:37] [Música]
[10:41] y
[10:45] ah
[10:48] ah
[10:53] ah
[10:58] ah
[11:04] o no
[11:07] i
[11:09] [Música]
[11:13] ah
[11:15] ah
[11:16] [Música]
[11:22] [Aplausos]
[11:25] ah
[11:26] [Música]
[11:31] ah
[11:36] [Música]
[11:41] y
[11:44] [Aplausos]
[11:47] [Música]
[11:55] [Aplausos]
[11:58] [Música]
[12:11] ah
[12:12] [Música]
[12:16] [Aplausos]
[12:48] ah
[12:54] [Música]
[13:11] a
[13:16] [Música]
[13:28] [Aplausos]
[13:28] [Música]
[13:55] no
[13:59] i
[14:01] [Música]
[14:45] ah
[14:53] [Música]
[15:15] dios nos bendiga
[15:17] siempre es bueno estar una vez más en la
[15:19] casa de dios escriban siguen a house el
[15:21] dolor de parto sobre todo rector ernesto
[15:23] montoya
[15:26] bienvenida visible porque jugamos a
[15:28] algún visitante joven y desde recientes
[15:31] de bienvenido a youtube de igual manera
[15:33] los que están bien internet semanal 2
[15:35] guásimas anual quiera que estén por
[15:36] venir sea bienvenido eligió igual que
[15:39] vamos a ponernos de pie más grip lista
[15:41] en todos juntos vamos a hacer una
[15:42] oración para ponerse en televisión la
[15:44] mano de dios' warfare te dejan solos
[15:47] inclinados rostros schwartz amado y buen
[15:50] padre celestial pilar en que el ifai
[15:52] dador de vida y de buena dádiva sr
[15:56] creador de todas las cosas
[15:59] gracias le damos una vez más sr
[16:02] lo bueno y maravilloso que es cuando
[16:04] nosotros del martes yo hago teaching
[16:06] bueno podríamos decir que hasta el día
[16:08] de hoy cualquier we say para terapia no
[16:10] nos ha dejado señor bernal aftas gracias
[16:13] por ello señor tang y fede gracias por
[16:15] lo bueno y gracias por lo malo
[16:18] buenos
[16:22] en esta mañana de ayer falta cualquier
[16:26] pecado en ifo tenis en que hemos
[16:28] cometido señor
[16:29] confesamos que empecé porque usted es
[16:32] fiel injusto para perdonar nos ponemos a
[16:35] cuentas señor ahora únicamente es donde
[16:37] nos requiera también le queremos pedir
[16:39] por este servicio
[16:40] desierto me el total control de todas
[16:43] las cosas se compliquen su árbol del que
[16:45] abre hasta el que cierra la puerta
[16:49] de
[16:51] sus preciosas manos
[16:58] anderson feeling
[17:01] [Música]
[17:02] gotas a pelé ng
[17:06] dacareth everywhere
[17:09] es por eso
[17:12] es muy bien es
[17:15] estas piezas más que no hay del shuffle
[17:20] es
[17:21] las hace la gente
[17:27] eso es un hecho
[17:29] es mover del agua i mate
[17:36] no me pagan
[17:37] el agua
[17:48] [Música]
[17:54] jóvenes de pagos
[17:57] taxistas madre
[18:02] bueno
[18:04] [Aplausos]
[18:07] e
[18:13] ah
[18:16] y
[18:20] quizás más
[18:24] versátiles
[18:26] está el saf y les dije te parece
[18:32] x mes duration favor es mujer en el agua
[18:37] casi esas maneras
[18:40] de sabines y del saber
[18:46] qatar es siempre igual
[18:49] [Música]
[18:52] es muy bien
[18:55] 2
[18:58] zenawi flores
[19:06] en amigos
[19:08] [Música]
[19:11] [Aplausos]
[19:12] e
[19:19] tantas madres
[19:21] hay no vas a hablar bien hay lo digo
[19:26] hasta hablar ahí no hubo hasta hablar
