################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-12-05 - 2021-1205 AM - Special Speakers - Ernest Montoya.txt
Video ID: xQ8xzCsvjCA
Segments: 1452
URL: https://www.youtube.com/watch?v=xQ8xzCsvjCA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:08] y
[0:18] a
[0:19] [Aplausos]
[0:33] i
[0:36] ah
[0:45] a
[0:47] ah
[0:50] ah
[0:59] y
[1:02] o
[1:03] [Aplausos]
[1:07] ah
[1:15] ah
[1:23] ah
[1:28] hoy
[1:29] [Música]
[1:41] a
[1:46] ah
[1:49] o
[1:55] [Música]
[2:04] cómo
[2:06] ah
[2:08] [Música]
[2:13] a
[2:17] ah
[2:19] i
[2:20] [Música]
[2:28] ah
[2:32] ah
[2:36] ah
[2:38] [Aplausos]
[2:38] [Música]
[2:52] ah
[2:54] ah
[2:55] [Música]
[3:15] i
[3:18] ah
[3:28] ah
[3:31] ah
[3:33] [Música]
[3:43] i
[3:49] ah
[3:51] a
[3:55] a
[3:58] [Música]
[4:03] ah
[4:06] [Música]
[4:15] no
[4:17] [Música]
[4:25] bueno
[4:27] [Música]
[4:34] [Aplausos]
[4:34] [Música]
[4:35] [Aplausos]
[4:37] [Música]
[4:40] ah
[4:46] ah
[4:56] así
[4:57] ah
[5:01] ah
[5:02] [Música]
[5:28] ah
[5:30] [Música]
[5:38] ah
[5:39] [Música]
[5:44] ah
[5:48] ah
[5:52] ah
[5:53] [Música]
[5:57] ah
[6:02] [Música]
[6:14] a
[6:17] mal
[6:24] a
[6:26] [Música]
[6:36] ah
[6:37] [Música]
[6:41] a a
[6:48] i
[6:52] ah
[6:57] ah
[7:12] e
[7:14] ah
[7:15] [Música]
[7:18] ah
[7:27] ah
[7:33] [Aplausos]
[7:36] e
[7:37] [Aplausos]
[7:42] [Música]
[7:49] ah
[7:54] ah
[7:58] ah
[8:05] bueno
[8:07] ah
[8:09] [Música]
[8:17] i
[8:21] ah
[8:25] ah
[8:28] i
[8:30] i
[8:32] ah
[8:34] ah
[8:36] hola
[8:39] [Aplausos]
[8:44] y
[8:49] [Música]
[8:53] a él
[8:56] a
[8:58] [Música]
[9:06] ah
[9:11] [Música]
[9:14] ah
[9:22] ah
[9:30] ah
[9:35] a
[9:38] ah
[9:39] [Música]
[9:41] ah
[9:43] [Música]
[9:56] [Aplausos]
[10:01] ah
[10:02] [Música]
[10:16] ah
[10:21] i
[10:24] ah
[10:24] [Aplausos]
[10:30] ah
[10:43] él
[10:45] ah
[10:47] ah
[10:50] a
[10:53] ah
[10:54] [Música]
[11:09] [Aplausos]
[11:10] a
[11:11] [Música]
[11:16] y
[11:19] [Música]
[11:21] ah
[11:25] [Música]
[11:27] [Aplausos]
[11:29] [Música]
[11:39] i
[11:45] ah
[11:47] ah
[11:49] ah
[12:00] i
[12:02] ah
[12:06] ah
[12:07] [Música]
[12:21] ah
[12:23] i
[12:26] ah
[12:27] [Música]
[12:37] ah
[12:40] [Música]
[12:55] a
[12:56] [Aplausos]
[12:57] ah
[12:59] no
[12:59] [Música]
[13:05] ah
[13:07] ah
[13:08] ah
[13:11] y
[13:13] a
[13:15] a
[13:33] ah
[13:38] ah
[13:40] no
[13:41] [Música]
[13:47] no
[13:57] ah
[14:10] [Música]
[14:25] ah
[14:27] ah
[14:32] e
[14:35] ah
[14:38] i
[14:52] estamos
[14:55] sólo consiguiéndolo
[14:57] [Música]
[15:07] con time
[15:10] medición
[15:12] tocar cristal
[15:17] dolor
[15:19] we frame
[15:21] amado
[15:27] gracias
[15:35] que no ha menguado que no
[15:36] pero snack dealer world
[15:41] es poder
[15:44] en table de judas
[15:46] [Música]
[15:48] des molins
[15:50] en el fuego tenía el confesó
[15:55] cómo nació free
[15:57] [Música]
[16:03] [Música]
[16:18] me voy por favor del amor
[16:21] [Música]
[16:23] distinto
[16:26] [Música]
[16:30] tenemos
[16:34] sí
[16:37] ah
[16:52] [Música]
[16:54] ah
[17:01] [Aplausos]
[17:03] muy bien
[17:11] pero no
[17:26] mira
[17:28] para dejarla
[17:31] gloria
[17:37] cuáles lugar
[17:39] l
[17:52] efe
[18:07] ah
[18:14] con este fin
[18:20] ya cobayas
[18:24] no
[18:30] por qué
[18:35] [Música]
[18:39] mi vida
[18:43] bien
[18:45] no no
[18:49] j
[18:56] en esta vida
[18:58] hay sangre
[19:05] es el final
[19:09] no hay tal
[19:13] aleluya pueden tomar notas
[19:15] [Música]
[19:42] no hay fecha que no se cumpla
[19:46] [Música]
[19:48] debajo del cielo
[19:54] tiene tiempo y ahora debajo del sol
[20:02] el mundo cambió los días de los tiempos
[20:10] la rue la la rueda solo la vuelta
[20:15] bajo su control
[20:21] ahí viene llegando el gran día de la
[20:26] partida
[20:28] [Música]
[20:30] su
[20:31] mensajero nos trajo la
[20:34] invitación
[20:37] y así de todo el mundo se ha reunido
[20:46] figuras del cordero
[20:50] llamada de dios
[20:51] [Música]
[20:55] las profecías finales se están
[20:59] cumpliendo
[21:03] con fuego enviado del cielo habrá un
[21:08] explosión
[21:11] que es acudir a los confines de toda la
[21:16] tierra
[21:19] despertando a los santos que durmieron
[21:23] en el señor
[21:29] ahí viene llegando el gran día de la
[21:34] partida
[21:37] su
[21:38] mensajero nos trajo la
[21:42] invitación
[21:44] y así de todo el mundo se ha reunido
[21:50] [Música]
[21:52] a la morada del cordero
[21:56] la mara de dios
[22:01] las profecías finales
[22:05] están cumpliendo
[22:07] [Música]
[22:09] con fuego enviado del cielo habrá un
[22:14] explosión
[22:17] que es acudir a los confines de toda la
[22:22] tierra
[22:25] despertando a los santos que durmieron
[22:29] en el señor
[22:35] y ahí viene llegando el día de la
[22:37] partida
[23:04] si la familia de dios
[23:10] benjamín aguilera
[23:12] el señor
[23:17] queremos decir su cumpleaños en este mes
[23:19] es partidismo cnrt yo les bendiga en la
[23:22] reflexión que si no se con ustedes en
[23:24] vivo y esperamos que os conceda todas
[23:27] sus peticiones
[23:29] en especial quiero papá space ling ling
[23:33] ser ponerle my father no decir cuando
[23:35] estamos tiene la gracia saudíes pero
[23:38] gracias a dios por ello
[23:42] los siguientes - tan logradas a dios por
[23:44] sus bendiciones familia reyes familia
[23:46] facio y hermanos cualquier 26 lotes
[23:52] joaquín en leticia lópez lo siguiente
[23:55] más teniendo por sanidad de forma
[23:57] imperdonable y frágil en familia falsa
[23:59] operación por sanidad para hermanas
[24:00] sandra rascón
[24:03] se estresan dragas con nuestras manos
[24:06] atinente y ser lopes también de oración
[24:08] portunidad por los hubieron manuel
[24:09] valenzuela and program joaquín en
[24:10] leticia lópez a regir la infra energía
[24:13] manuel valenzuela los siguientes a
[24:15] nuestra población en verde nave
[24:17] enterprise familias reyes y de oraciones
[24:19] por su primera cristiano y también
[24:21] generación por verón barrios y carlos
[24:24] zacarías
[24:25] todo bien
[24:32] [Música]
[24:35] safelink familia paz su vida de muchas
[24:38] oraciones hermana martha fácil que tiene
[24:40] una cirugía este martes familias existen
[24:44] marta fácil
[24:48] se vería en su familia
[24:50] [Música]
[24:52] lópez ilustraciones por sonido para que
[24:55] lo siga ayudando en todo lo
[24:59] que tienes todo lo que tenemos aquí
[25:02] escrito hermanos sobre nieve vamos a
[25:05] orar o bien a frei gente no les quitan
[25:07] sus rostros el profesor hizo acá en el
[25:08] barrio de hyde incluso si rise mientras
[25:10] estamos hablando es word prime usted
[25:12] tiene una necesidad y que va a venir
[25:16] y quiere presentar al señor en direct
[25:18] presión ese dolor lo indica levantando
[25:19] su mano y me indique el baile tenga plan
[25:21] vamos a dar gracias en esta hora les
[25:24] quiten
[25:25] [Música]
[25:32] venimos de 11 quien orbe cambio fue
[25:35] presence colgante padre que si es
[25:38] misericordioso en cada uno de nosotros
[25:42] venimos ante ti señor con las manos y
[25:46] luego también presentando ante las
[25:48] múltiples necesidades
[25:49] [Música]
[25:52] sabiendo que tú eres el único padre que
[25:54] nos puede contestar
[25:57] la honra y la gloria
[26:00] gloria ha dado este gran privilegio de
[26:03] gigante ti en este script turístico
[26:05] before you y eso es a través de sangre
[26:07] preciosa además de por nosotros la
[26:09] destruye facebook de giuseppe verdi el
[26:12] acceso a valer ante ti lewis es existe
[26:15] contigo venimos darte las gracias
[26:16] picante tengo por todo lo que has hecho
[26:19] por nosotros ayudan pero por todas y
[26:22] todos múltiples bendiciones fueron
[26:24] muchos problemas en seguir quienes se
[26:25] lleven la causa por lo cual venimos una
[26:27] vez más entrevistas y cambio bueno si
[26:29] quieren presentarnos todo esto que hemos
[26:31] leído antes desde we fight before the
[26:34] people las manos que han sido levantadas
[26:36] lestrange con nuestra fe start venimos y
[26:40] depositamos todo delante de ti amén de
[26:42] paz se dieron y fue hiriendo con todo
[26:44] nuestro corazón
[26:45] tomarás control supremo de todas las
[26:48] cosas
[26:56] sólo tú lo mereces
[26:59] hola amigas gracias wikileaks tengo
[27:01] escuchar nuestras oraciones listening to
[27:03] al regresar cada una de nuestras
[27:06] negativas en serín y tener un gran padre
[27:08] para ses por todo lo que creíamos con
[27:12] todo nuestro corazón
[27:14] levantamos esta ofrenda en el picante
[27:16] sacerdote padre que te bendiga el
[27:19] propósito y destino de ella es infalible
[27:24] para honrar y glorificar
[27:28] recibe nuestra adoración
[27:31] agradecemos todo esto
[27:37] [Música]
[27:41] y menos normal quizás de forma
[27:44] [Música]
[27:53] quizás por mí
[27:56] [Aplausos]
[28:01] y me dejó
[28:04] [Música]
[28:06] quizás una vez más
[28:10] [Aplausos]
[28:12] es así
[28:22] para mí
[28:24] [Aplausos]
[28:29] qué tal
[28:42] legalmente
[28:49] [Música]
[28:53] con él
[28:55] mira lo que hizo mi señor
[28:58] [Música]
[29:12] [Música]
[29:16] quiero
[29:24] [Música]
[29:35] [Música]
[29:41] a mí no
[29:44] [Música]
[29:46] bendito sea el hombre 8 eso
[29:48] [Música]
[30:04] quizá no
[30:06] [Música]
[30:08] respondo
[30:12] esa roca
[30:15] [Música]
[30:17] [Aplausos]
[30:19] [Música]
[30:21] [Aplausos]
[30:27] no
[30:29] [Aplausos]
[30:29] [Música]
[30:33] [Aplausos]
[30:33] [Música]
[30:35] y esperanza
[30:38] nada de esto
[30:44] y
[30:46] perdone
[30:51] no hay
[30:52] nadie
[30:56] [Música]
[30:59] a descansar
[31:02] acá está
[31:05] mejores
[31:08] ah
[31:13] y
[31:17] [Música]
[31:19] e
[31:23] [Música]
[31:31] pues siempre es fumar
[31:35] una vez más esa roca tú y yo en esto
[31:39] esa ruta
[31:42] y yo me pongo
[31:47] es ahora
[31:49] [Música]
[31:53] [Aplausos]
[31:54] e
[31:55] [Música]
[32:02] y yo consigo
[32:08] ah
[32:10] mis esperanzas las tengo fundadas en
[32:14] cristo
[32:17] ellos y promete que ayuda en la lista
[32:25] y no hay nada en el coni nadie que pueda
[32:29] moverme
[32:33] vida
[32:34] [Música]
[32:36] hasta
[32:49] m
[32:50] de berlín
[32:52] [Aplausos]
[32:54] para el arte
[33:00] [Aplausos]
[33:00] [Música]
[33:12] [Música]
[33:25] los hermanos metroplex y padres
[33:28] no seas morir pero que sientan bien
[33:37] acuérdese cuchilla el perro
[33:40] si no se hace
[33:42] el perro se siente mal
[33:47] esto es así es
[33:50] vamos al escrito de manera
[33:57] 11 libros nine eleven
[34:20] ya tienen lista tienen divisas pero
[34:23] partes
[34:31] dice pero estando presente cristo sumo
[34:33] sacerdote de los bienes venideros
[34:35] por el más amplio y más perfecto
[34:38] tarragona clonó hecho de manos es decir
[34:40] no de esta presión barclays bingham en
[34:44] hai presta gert en este campo para
[34:47] agredir el mal perfectamente con un arma
