################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-01-14 - 2022 - 0113 PM  Apostle Pastor Bernie G. Garcia  Carta A Los Romanos #21 Part 1 - Ernest Montoya.txt
Video ID: fWEqLC4WJfs
Segments: 844
URL: https://www.youtube.com/watch?v=fWEqLC4WJfs
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:05] ah
[0:35] ah
[0:57] ah
[1:01] ah
[1:05] a
[1:07] ah
[1:16] ah
[1:19] ah
[1:21] ah
[1:23] [Música]
[1:25] [Aplausos]
[1:27] [Música]
[1:35] ah
[1:37] i
[1:38] [Música]
[1:46] ah
[1:50] ah
[1:58] ah
[2:00] [Música]
[2:06] hola
[2:07] [Música]
[2:16] a
[2:22] ah
[2:24] ah
[2:30] ah
[2:32] ahora
[2:40] ah
[2:42] [Música]
[2:46] ah
[2:50] [Música]
[3:10] 2
[3:29] ah
[3:47] a
[3:57] a
[3:58] [Aplausos]
[4:04] ah
[4:11] ah
[4:13] ah
[4:18] ah
[4:20] a
[4:23] i
[4:26] y
[4:32] ah
[4:35] [Música]
[5:03] ah
[5:07] ah
[5:09] i
[5:10] [Aplausos]
[5:11] [Música]
[5:14] ah
[5:14] [Música]
[5:29] o
[5:38] ah
[5:40] [Música]
[5:45] y él
[5:53] ah
[5:58] [Música]
[6:02] e
[6:03] i
[6:06] y
[6:25] ah
[6:26] [Música]
[6:28] i
[6:29] [Música]
[6:34] ah
[6:35] a
[6:36] [Música]
[6:52] [Aplausos]
[6:55] ah
[6:57] ah
[6:59] [Música]
[7:07] ah
[7:10] [Música]
[7:11] ah
[7:13] a
[7:17] ah
[7:27] ah
[7:30] [Música]
[7:35] ah
[7:38] e
[7:41] ah
[7:44] [Música]
[7:58] y
[7:59] [Música]
[8:01] ah
[8:05] e
[8:08] [Música]
[8:22] ah
[8:24] [Música]
[8:36] i
[8:36] [Música]
[8:45] no
[8:46] [Música]
[8:51] ah
[8:56] [Música]
[9:19] i
[9:25] ah
[9:39] hola
[9:42] e
[9:45] y
[9:47] y tal
[9:54] ah
[10:03] [Música]
[10:06] ah
[10:10] ah
[10:12] [Aplausos]
[10:13] [Música]
[10:19] y
[10:21] a
[10:23] [Música]
[10:32] ah
[10:33] [Música]
[10:44] y
[10:50] ah
[10:52] [Música]
[10:57] a
[11:01] [Música]
[11:04] no
[11:09] [Música]
[11:44] tú
[11:50] ah
[11:54] [Aplausos]
[11:55] [Música]
[12:01] y
[12:04] [Música]
[12:13] ah
[12:16] [Música]
[12:20] ah
[12:30] [Música]
[12:33] y
[12:35] él
[12:38] ah
[12:43] ah
[12:46] [Aplausos]
[12:48] ah
[12:56] ah
[12:59] ah
[13:06] bueno
[13:07] [Música]
[13:09] ah
[13:09] [Música]
[13:15] i
[13:17] [Música]
[13:23] ah
[13:26] [Aplausos]
[13:35] ay
[13:41] es
[13:43] ah
[13:45] ah
[13:51] y
[13:53] [Música]
[14:00] ah
[14:07] ah
[14:09] [Música]
[14:10] ah
[14:14] ah
[14:17] bueno
[14:21] ah
[14:24] [Música]
[14:31] no no
[14:36] [Música]
[14:39] ah
[14:41] ah
[14:45] y
[14:48] [Música]
[15:05] ah
[15:07] [Música]
[15:07] [Aplausos]
[15:10] [Música]
[15:22] no
[15:29] [Música]
[15:42] en esta mañana letra del nombre de
[15:47] nuestro señor jesucristo
[15:51] mi mejor chiste es que estés muy
[15:52] agradecido con dios qué
[15:55] más permite estar una vez más
[15:59] para así tener el compañerismo alrededor
[16:01] de su palabra
[16:07] están muy contentos que el espacio está
[16:10] con nosotros en este espacio de sueltas
[16:15] y usted el verde bordado
[16:19] y su familia de francisco en estambul
[16:24] no van a estar con nosotros este otro le
[16:25] vamos a presentar
[16:27] s oficialmente pero pero van a estar
[16:30] conviviendo con nosotros de suárez y de
[16:32] arizona
[16:33] [Música]
[16:37] le dije vueltas
[16:39] [Música]
[16:41] él ha sido el ministro de estos mensajes
[16:43] por muchos años y tiene menos que ver
[16:46] dos meses por venir y nosotros debemos
[16:49] tener
[16:51] en nuestra mente en nuestro corazón y
[16:55] bienvenida al hermano musiquita en
[17:00] la biblia que debemos de contar a los
[17:06] mayormente
[17:07] aquellos que trabajan
[17:13] [Música]
[17:14] por su enfermedad ha tenido que llegar
[17:17] el pastorado donde el pastor ya va y se
