################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-06 - The Whole Plan Of Redemption #9   Pastor Dr. Ernest R. Montoya - Ernest Montoya.txt
Video ID: 5_-XqbnjTYU
Segments: 1121
URL: https://www.youtube.com/watch?v=5_-XqbnjTYU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:17] so
[0:20] [Music]
[0:24] [Applause]
[0:25] [Music]
[0:28] [Applause]
[0:29] [Music]
[1:40] [Applause]
[1:44] so
[1:50] [Music]
[2:03] [Applause]
[2:05] [Music]
[2:53] [Music]
[3:02] [Applause]
[3:03] [Music]
[3:09] so
[3:18] [Music]
[3:29] [Music]
[3:36] so
[3:41] [Music]
[3:59] [Music]
[4:10] [Music]
[4:50] [Applause]
[4:51] [Music]
[5:18] [Music]
[5:19] [Applause]
[5:21] [Music]
[5:37] [Music]
[5:39] [Applause]
[5:48] [Music]
[6:01] [Applause]
[6:07] [Music]
[6:19] [Music]
[6:36] [Music]
[7:04] [Music]
[7:20] so
[7:25] [Music]
[7:35] so
[7:39] [Music]
[7:45] [Applause]
[7:48] [Music]
[8:15] [Music]
[8:17] [Applause]
[8:23] [Music]
[8:25] foreign
[8:33] [Music]
[8:44] so
[8:45] [Music]
[9:37] [Music]
[9:41] so
[9:51] [Music]
[9:52] [Applause]
[9:55] [Music]
[10:03] [Music]
[10:08] [Music]
[10:15] [Music]
[10:21] [Music]
[10:31] [Applause]
[10:45] [Music]
[10:59] [Music]
[11:13] [Applause]
[11:18] [Music]
[11:41] [Music]
[11:47] so
[11:52] [Music]
[12:03] [Music]
[12:08] [Applause]
[12:13] [Music]
[12:30] [Music]
[12:43] so
[12:57] [Music]
[13:07] [Music]
[13:11] so
[13:31] [Applause]
[13:39] [Music]
[14:42] thanking
[15:05] [Music]
[15:23] [Music]
[15:36] [Music]
[16:02] foreign
[16:05] [Music]
[16:08] foreign
[16:10] [Music]
[16:15] [Music]
[16:25] is
[16:48] me
[17:30] foreign
[17:41] yes
[17:58] m
[18:07] [Music]
[18:21] oh
[18:40] foreign
[18:51] [Music]
[19:12] foreign
[19:20] [Music]
[19:30] is
[19:49] [Music]
[20:04] is
[20:05] [Music]
[20:13] [Applause]
[20:14] foreign
[20:17] [Music]
[20:45] foreign
[21:57] with
[21:59] [Music]
[22:38] ruby thought
[22:40] [Music]
[22:55] [Music]
[23:05] foreign
[23:17] [Music]
[23:32] [Music]
[23:34] i
[23:40] [Music]
[23:45] [Applause]
[23:55] [Music]
[24:17] [Music]
[24:31] foreign
[24:36] [Music]
[24:44] [Music]
[24:59] [Music]
[25:18] [Applause]
[25:21] [Music]
[25:32] [Music]
[25:43] [Music]
[25:54] [Music]
[26:01] [Music]
[26:09] i
[26:16] [Music]
[26:30] [Music]
[26:40] [Music]
[26:45] m
[26:55] [Music]
[27:14] me
[27:21] within the humans
