################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-08-12 - Carta A Los Romanos #35 Part 2  Apostle Pastor Bernie G. Garcia  Phoenix Lighthouse Tabernacle - Ernest Montoya.txt
Video ID: GNaFyv7Efjk
Segments: 955
URL: https://www.youtube.com/watch?v=GNaFyv7Efjk
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:37] d
[0:40] ah
[0:45] [Música]
[0:52] y
[0:54] i
[1:00] [Música]
[1:19] i
[1:21] [Música]
[1:33] y
[1:35] [Música]
[1:41] [Risas]
[1:43] [Música]
[2:02] aquí
[2:07] [Música]
[2:11] ah
[2:15] [Música]
[2:40] i
[2:41] [Música]
[2:43] y
[2:45] i
[2:51] [Música]
[2:59] y tal
[3:04] y
[3:05] [Música]
[3:11] y
[3:13] ah
[3:16] [Música]
[3:20] y
[3:22] [Música]
[3:26] ah
[3:29] ah
[3:30] [Música]
[3:49] y
[3:50] [Música]
[3:53] y
[3:54] [Música]
[4:04] i
[4:04] [Música]
[4:07] ah
[4:10] i
[4:13] y
[4:15] y
[4:18] [Música]
[4:43] i
[4:43] [Música]
[4:45] a
[4:47] a ah
[4:54] ah
[4:56] i
[4:57] [Música]
[5:08] i
[5:11] a
[5:20] a
[5:25] [Música]
[5:35] y
[5:37] [Música]
[5:41] ah
[5:43] [Música]
[5:52] no
[5:53] [Música]
[5:54] i
[5:56] [Música]
[5:58] e
[6:02] i
[6:04] i
[6:06] [Música]
[6:15] [Música]
[6:39] con él
[6:43] [Música]
[6:49] a
[6:51] y
[6:53] [Música]
[7:06] e
[7:11] [Música]
[7:25] y
[7:26] [Música]
[7:32] ah
[7:33] [Música]
[7:47] [Música]
[7:50] sí
[7:54] [Música]
[8:07] 1
[8:09] 1
[8:18] [Música]
[8:31] i
[8:32] [Música]
[8:38] i
[8:44] [Música]
[9:09] [Música]
[9:26] y
[9:32] [Música]
[9:58] [Música]
[10:24] 2
[10:25] [Música]
[10:29] i
[10:32] e
[10:39] [Música]
[11:16] bien
[11:16] [Música]
[11:22] e
[11:25] [Música]
[11:27] i
[11:30] [Música]
[11:31] y él
[11:32] [Música]
[11:38] i
[11:42] cómo
[11:43] [Música]
[11:57] e
[12:02] i
[12:05] i
[12:05] [Música]
[12:09] bien
[12:12] y
[12:13] [Música]
[12:49] no
[12:51] i
[12:53] i
[12:55] o no
[13:00] tú
[13:01] y
[13:03] i
[13:03] [Música]
[13:05] i
[13:09] y
[13:15] [Música]
[13:18] y
[13:20] [Música]
[13:26] i
[13:30] [Música]
[13:50] y
[13:52] [Música]
[14:36] e
[14:39] [Música]
[14:52] y
[14:54] [Música]
[15:03] [Música]
[15:20] y estaba uno sentado
[15:24] qué hermoso es poder ver quién es este
[15:26] que está sentado en el trono
[15:29] para poder nosotros entender un poquito
[15:31] más
[15:32] debemos de reconsiderar nosotros que que
[15:35] dios ha hecho un pacto
[15:37] dios ha hecho un pacto con nosotros un
[15:39] contrato
[15:41] este pacto es incondicional
[15:42] incondicional es un pacto de gracia
[15:46] no que te voy a salvar posible uno es
[15:49] que voy a salvarte tal vez
[15:52] me me escribe
[15:55] mi hijo verdad se sabe como padre yo
[16:00] fuimos por mis hijos
[16:02] aunque a veces parece que no parece un
[16:05] mal padre
[16:06] y también he mos por ustedes
[16:10] entonces en mi gen y migración a dios y
[16:13] me he mire esto ustedes puedan agarrarse
[16:16] de desde poste de amarre de ese producto
[16:19] de que puede haber ancla en ustedes si
[16:23] no hayan captar de otro plano avalaba a
[16:24] naufragar propia y ancla cielo absolutos
[16:27] hay un porte de amarre nada lo puede
[16:29] mover
[16:31] y me escribe y me comenta y me dice así
[16:34] más o menos
[16:36] y de ahí entendí una cosa
[16:41] muy temprana no puede serlo para nadie
[16:45] dice y otra cosa ni dios puede salvar a
[16:48] nadie
[16:50] dije gracias a dios que por fin lo ha
[16:52] entendido cosas porque mucha gente
[16:54] espera que dios lo salve y dios no puede
[16:57] salvar a nadie
[16:59] utiliza y esa es una energía
[17:03] no dice entonces el conde nueva
[17:05] escribiendo en mi índice porque entendí
[17:07] que dios ya nos salvó
[17:11] lo que es lo que sucede es que nos
[17:13] aceptamos de la salvación y la causa por
[17:16] la cual no aceptamos de esa salvación
[17:17] porque hay espíritu los demonios que nos
[17:19] retienen de aceptar y lo que necesitamos
[17:22] hacer es orar por la gente para que
[17:24] salga es un demonio y se aleje para que
[17:26] la gente acepte la salvación
[17:29] del rebelde más simple más sencillas
[17:32] pero más grandes que hay dios jesucristo
[17:34] ya murió ya nos salvó lo único es
[17:37] aceptar esa salvación que él hizo y ya
[17:40] nos ha no solamente aceptar la sanidad
[17:44] está correcto verdad entonces dios hizo
[17:47] un pacto
[17:48] y lo tipifica con el padre de la fe
[17:51] emilio el nombre del patriarca
[17:55] abraham es el padre de la fe
[17:59] miramos cómo es que dios lo saco de su
[18:01] tierra y de tu parentela y empezó a
[18:04] caminar
[18:06] llegó el tiempo en que dios tenía que
[18:07] confirmar el pacto
[18:10] y entonces esto nos lleva al libro de
[18:12] génesis capítulo 15
[18:14] donde hay un pacto o un contrato
[18:17] hemos visto nosotros que es en japón
[18:20] cuando se hacía un contrato
[18:23] se
[18:24] esparcía hasta el sobre cada uno de los
[18:27] que era parte del contrato de así hoy
[18:29] usted haciendo un contrato yo les
[18:31] parecía extraño tienen parecidas a la
[18:33] mía
[18:35] esto ya era que era un contrato veras
[18:37] y luego en américa
[18:40] se daba la mano
[18:42] con
[18:44] una américa era américa
