date,status,speaker,title,url,last_checked,language,type,description,duration,church
2025-12-28,Success,Carlos Torres,The Restoration Of The Bride Tree #12  Associate Pastor Carlos E. Torres  PLT,https://www.youtube.com/watch?v=krjhhZmZNoA,2026-01-03,Unknown,Full Sermon,,,
2025-12-21,Success,Ernest Montoya,Christmas Service  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=02JB9NzICb8,2026-01-03,Unknown,Full Sermon,,,
2025-12-21,Success,Ernest Montoya,Testimony From Death to Life  Pastor Dr. Ernest R. Montoya  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=UfnpKSgRtME,2026-01-03,Unknown,Full Sermon,,,
2025-12-14,Success,Ramon Rivera,Poniendonos Al Lado De Jesus  Pastor Ramon Rivera Molina  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=Ag0l0-ezOyA,2026-01-03,Unknown,Full Sermon,,,
2025-12-14,Success,Miguel Angel Gallardo,No Importa La Condición | Associate Pastor Miguel Angel Gallardo | Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=bZQQAIEh_Gs,2026-01-03,Spanish,Short Service,"Subscribe now to the #PhoenixLighthouseTabernacle channel for messages of hope, encouragement, and inspiration: http://www.youtube.com/c/PhoenixLight...   All Our Services Are Bilingual English & Spanish  Our Sermons are Available on: Website:  https://www.phoenixlighthouse.net/ Spotify: https://open.spotify.com/show/1CO5AYV... Anchor: https://anchor.fm/phoenixlighthousetab Apple Podcast: https://podcasts.apple.com/us/podcast... Google Podcast: https://www.google.com/podcasts?feed=...  Phoenix L",10,Phoenix Lighthouse Tabernacle
2025-12-14,Success,Miguel Angel Gallardo,No Importa La Condición  Associate Pastor Miguel Angel Gallardo  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=Vd6PlaKIN7A,2026-01-03,Unknown,Full Sermon,,,
2025-12-08,Success,Ernest Montoya,Sunday PM Service  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=JAsy0yHWies,2026-01-03,Unknown,Full Sermon,,,
2025-12-07,Success,Jorge Scabarrozzi Chacon,Tiene Peso De La Palabra  Pastor Jorge Scabarrozzi Chacon  Phoneix Lighthouse Tabernacle,https://www.youtube.com/watch?v=AXbjoUTjB-M,2026-01-03,Unknown,Full Sermon,,,
2025-11-30,Success,Ernest Montoya,Sunday Service  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=-MP64FLIXZ8,2026-01-03,Unknown,Full Sermon,,,
2025-12-01,Success,Javier Villa Jr,The Restoration Of The Bride Tree #4  Associate Pastor Javier Villa Jr.  PLT,https://www.youtube.com/watch?v=YFO4R8eC-x8,2026-01-03,Unknown,Full Sermon,,,
2025-11-24,Success,Antonio Lopez,The Restoration Of The Bride Tree #6  Minister Antonio Lopez  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=_s7E-Hcittk,2026-01-03,Unknown,Full Sermon,,,
2025-11-24,Success,Enrique Chaina,En La Fe  Pastor Enrique Chaina  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=zhj7fEU1pVg,2026-01-03,Unknown,Full Sermon,,,
2025-11-17,Success,Jose Escobar,The Restoration Of The Bride Tree #4  Minister Jose Escobar  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=8Jvs9x7rgeE,2026-01-03,Unknown,Full Sermon,,,
2025-11-17,Success,Carlos Torres,The Restoration Of The Bride Tree #11  Associate Pastor Carlos E. Torres  PLT,https://www.youtube.com/watch?v=UEv2jpltnk8,2026-01-03,Unknown,Full Sermon,,,
2025-11-09,Success,Circuit Riders,"Missionary ReportBarrancabermeja, Colombia  Circuit Riders  Phoenix Lighthouse Tabernacle",https://www.youtube.com/watch?v=RzJjiXCqbyY,2026-01-03,Unknown,Full Sermon,,,
2025-11-02,Success,Antonio Lopez,The Restoration Of The Bride Tree #5  Minister Antonio Lopez  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=rNP4WZtprls,2026-01-03,Unknown,Full Sermon,,,
2025-10-27,Success,Milton Reyes,The Restoration Of The Bride Tree #3  Minister Milton Reyes  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=naIlnSg9PLg,2026-01-03,Unknown,Full Sermon,,,
2025-10-26,Success,Manuel Mu,The Restoration Of The Bride Tree #2  Minister Manuel Muñoz  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=DetO-P2LCYU,2026-01-03,Unknown,Full Sermon,,,
2025-10-24,No Transcript,Apostle Bernie,Jose & Alejandra Wedding | Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=q34if1AsauU,2026-01-03,Unknown,Wedding,"🛎 Subscribe now to the #PhoenixLighthouseTabernacle channel for messages that inspire hope, encouragement, and uplift your spirit: https://www.youtube.com/@PhoenixLighthouseTabernacle  **All Our Services Are Bilingual**  Offering the message of faith in both English and Spanish.  Our Sermons are Available on: Website:  https://www.phoenixlighthouse.net/ Spotify: https://open.spotify.com/show/1CO5AYV... Anchor: https://anchor.fm/phoenixlighthousetab Apple Podcast: https://podcasts.apple.com/us/po",84,Phoenix Lighthouse Tabernacle
2025-10-20,Success,Pablo Osuna,The Restoration Of The Bride Tree #2  Minister Pablo Osuna  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=95wWSREpnto,2026-01-03,Unknown,Full Sermon,,,
2025-10-19,No Transcript,Carlos Torres,The Restoration Of The Bride Tree #10 | Associate Pastor Carlos E. Torres | PLT,https://www.youtube.com/watch?v=H3ZD0BI7jAw,2026-01-03,Unknown,Full Sermon,"Subscribe now to the #PhoenixLighthouseTabernacle channel for messages of hope, encouragement, and inspiration: http://www.youtube.com/c/PhoenixLight...  All Our Services Are Bilingual English & Spanish  Our Sermons are Available on: Website:  https://www.phoenixlighthouse.net/ Spotify: https://open.spotify.com/show/1CO5AYV... Anchor: https://anchor.fm/phoenixlighthousetab Apple Podcast: https://podcasts.apple.com/us/podcast... Google Podcast: https://www.google.com/podcasts?feed=...  Phoenix Li",123,Phoenix Lighthouse Tabernacle
2025-10-12,Success,Albert Osuna,The Restoration Of The Bride Tree  Minister Albert Osuna  Phoenix Lighthouse Tabernacle,https://www.youtube.com/watch?v=WTRnyUa3LEo,2026-01-03,Unknown,Full Sermon,,,
2025-10-12,Success,Circuit Riders,"Missionary Report Huancayo, Peru  Circuit Riders  Phoenix Lighthouse Tabernacle",https://www.youtube.com/watch?v=6_UyoPu9xIM,2026-01-03,Unknown,Full Sermon,,,
