################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-13 - 2021-0225 AM En Memoria de Hno. Elías Leyva Gutíerrez - Unknown Speaker.txt
Video ID: mFg8g9JlYtc
Segments: 1703
URL: https://www.youtube.com/watch?v=mFg8g9JlYtc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:03] y
[0:13] [Música]
[0:40] y
[0:44] [Música]
[1:17] y
[1:30] y
[1:39] e
[1:42] i
[1:55] [Música]
[1:56] ah
[1:58] [Música]
[2:30] él
[2:41] [Música]
[3:42] a
[3:44] [Música]
[4:01] ah
[4:43] [Música]
[5:41] a
[5:52] [Música]
[6:17] y
[6:22] [Música]
[6:42] ah
[6:52] [Música]
[8:24] él
[8:34] sí
[8:38] [Música]
[8:43] ah
[8:48] [Música]
[9:02] bueno
[9:08] [Música]
[9:28] [Música]
[9:30] [Aplausos]
[9:31] ah
[9:33] [Música]
[9:52] [Música]
[9:56] no
[9:56] [Música]
[10:04] ah
[10:29] [Música]
[11:22] [Música]
[11:27] e
[11:32] [Música]
[11:37] y
[11:42] bueno
[11:51] [Música]
[11:54] y
[11:58] o no
[12:15] i
[12:22] [Aplausos]
[12:30] [Música]
[12:33] y
[12:38] [Música]
[13:08] d
[13:32] [Música]
[13:34] no
[13:37] e
[13:39] [Música]
[13:47] [Música]
[13:58] [Música]
[14:13] [Música]
[14:20] [Música]
[14:32] a
[14:38] [Música]
[14:59] i
[15:01] i
[15:01] [Música]
[15:06] e
[15:13] [Música]
[15:44] bueno
[15:47] [Música]
[15:52] e
[16:01] [Música]
[16:10] sí
[16:13] él
[16:15] [Música]
[16:20] bueno
[16:24] [Música]
[16:37] y luego
[16:38] [Música]
[16:49] [Música]
[17:09] [Música]
[17:18] ah
[17:20] i
[17:23] bien
[17:26] y
[17:27] [Música]
[17:29] ah
[17:31] e
[17:40] ah
[17:50] [Música]
[18:02] ah
[18:04] [Música]
[18:23] e
[18:25] [Música]
[18:32] y
[18:43] [Música]
[19:00] y
[19:07] [Música]
[19:36] i
[19:42] [Música]
[21:18] i
[21:25] a
[21:32] [Música]
[22:33] [Música]
[23:37] i
[23:40] [Música]
[23:45] e
