date,status,speaker,title,url,last_checked,language,type,description,duration,church
2025-11-23,Success,Unknown Speaker,25-11-23 PM,https://www.youtube.com/watch?v=HKal0sL-mNQ,2026-01-03,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-11-23,Success,Unknown Speaker,25-11-23 AM,https://www.youtube.com/watch?v=L0pcDg2sDCc,2026-01-03,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-11-22,Success,Unknown Speaker,25-11-22,https://www.youtube.com/watch?v=Pr5plrK8eqE,2026-01-03,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-11-22,Success,Unknown Speaker,25-11-21,https://www.youtube.com/watch?v=itmLYkNSbyg,2026-01-03,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-10-13,Success,Unknown Speaker,25_09_21,https://www.youtube.com/watch?v=-C-gtplx-TE,2026-01-07,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-08-31,Success,Unknown Speaker,25_08_24,https://www.youtube.com/watch?v=5scWMQfOwDE,2026-01-07,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-08-06,No Transcript,Joel Gallant,25_08_06 - Bro Joel Gallant - What Do You Wish Queen Esther,https://www.youtube.com/watch?v=HItuYy3_CDU,2026-01-03,Unknown,Church Service,,129,Rapturing Grace Tabernacle
2025-08-03,Success,Unknown Speaker,25_08_03,https://www.youtube.com/watch?v=zVLIyE_VJZ0,2026-01-07,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-08-03,Success,Joel Gallant,25_08_03 - Bro Joel Gallant - The Church of Midian,https://www.youtube.com/watch?v=ydfaG7envKk,2026-01-03,English,Church Service,,157,Rapturing Grace Tabernacle
2025-08-01,Success,Unknown Speaker,25_08_01 Youth Service,https://www.youtube.com/watch?v=gQSxAS5gcyU,2026-01-07,Unknown,Youth Service,,,Rapturing Grace Tabernacle
2025-05-01,Success,Unknown Speaker,25_04_06,https://www.youtube.com/watch?v=btN_Fh3WGdI,2026-01-07,Unknown,Church Service,,,Rapturing Grace Tabernacle
2025-02-08,Success,Unknown Speaker,2025 Raglan Youth Camp,https://www.youtube.com/watch?v=CDncljoAeAY,2026-01-07,Unknown,Youth Service,,,Rapturing Grace Tabernacle
2025-02-07,Success,Unknown Speaker,2025 Raglan Youth Camp,https://www.youtube.com/watch?v=DTqWBJfaTVs,2026-01-07,Unknown,Youth Service,,,Rapturing Grace Tabernacle
2025-02-06,Success,Unknown Speaker,2025 Raglan Youth Camp,https://www.youtube.com/watch?v=F0dPLwUuoNs,2026-01-07,Unknown,Youth Service,,,Rapturing Grace Tabernacle
2024-11-24,Success,Unknown Speaker,24_11_24,https://www.youtube.com/watch?v=WZfyHUo9z-o,2026-01-07,Unknown,Church Service,,,Rapturing Grace Tabernacle
