date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-07,No Transcript,John Martin,1.7.26 - Trusting God Will Make A Way In Our Trials - John Martin,https://www.youtube.com/watch?v=I2dUe0f1fBA,2026-01-07,Unknown,Church Service,,0,Send The Light Church
2026-01-04,Success,Unashamed Of A Positive Confession,1.4.26,https://www.youtube.com/watch?v=Gt3TE9D_iAU,2026-01-07,Unknown,Church Service,,,
2025-12-28,Success,Wisdom Is The Principle Thing,12.28.25,https://www.youtube.com/watch?v=xtnxjpjfo8A,2026-01-07,Unknown,Church Service,,,
2025-12-21,Success,Unknown Speaker,12.21.25,https://www.youtube.com/watch?v=jBwJUuZ1FQY,2026-01-07,Unknown,Church Service,,,
2025-12-18,Success,Getting,12.17.25,https://www.youtube.com/watch?v=jMc3VO87xnY,2026-01-07,Unknown,Church Service,,,
2025-12-14,Success,Seeing Him Who Is Invisible,12.14.25,https://www.youtube.com/watch?v=UBGKUa62mIs,2026-01-07,Unknown,Church Service,,,
2025-12-07,Success,The Image,12.7.25,https://www.youtube.com/watch?v=y2T9nTZ-12c,2026-01-07,Unknown,Church Service,,,
2025-12-04,Success,Resting,12.3.25,https://www.youtube.com/watch?v=AeRasJ5bNWI,2026-01-07,Unknown,Church Service,,,
2025-11-23,Success,Life Of Gratitude,11.23.25,https://www.youtube.com/watch?v=mASaLMJAvAg,2026-01-07,Unknown,Church Service,,,
2025-11-20,Success,Gods Grace Is Enough,11.19.25,https://www.youtube.com/watch?v=vfCuyX9PWqY,2026-01-07,Unknown,Church Service,,,
2025-11-16,Success,Unknown Speaker,11.16.25,https://www.youtube.com/watch?v=iFPEpZhlOrY,2026-01-07,Unknown,Church Service,,,
2025-11-13,Success,Sanctifying Ourselves,11.12.25,https://www.youtube.com/watch?v=etjMWvHHMoU,2026-01-05,Unknown,Church Service,,,
2025-11-09,Success,Finishing Strong When The Battle Gets Rough,11.9.25,https://www.youtube.com/watch?v=Yw_tTrO99a4,2026-01-07,Unknown,Church Service,,,
2025-11-02,No Transcript,John Martin,11.2.25 - What Do You Expect? - John Martin,https://www.youtube.com/watch?v=c5S5NXGTN2M,2026-01-05,Unknown,Church Service,,94,Send The Light Church
2025-10-26,Success,I Am With You Always,10.26.25,https://www.youtube.com/watch?v=bKlspcB739U,2026-01-07,Unknown,Church Service,,,
2025-10-23,Success,I Dont Know Yet,10.22.25,https://www.youtube.com/watch?v=x6sqmWH6Hz0,2026-01-07,Unknown,Church Service,,,
2025-10-16,Success,Needy People,10.15.25,https://www.youtube.com/watch?v=qC1aO-mai2c,2026-01-05,Unknown,Church Service,,,
2025-10-12,No Transcript,John Martin,10.12.25 - Praise Worthy - John Martin,https://www.youtube.com/watch?v=ibE4Mi6Hg6E,2026-01-05,Unknown,Church Service,,93,Send The Light Church
2025-10-09,Success,Leaning,10.8.25,https://www.youtube.com/watch?v=r_jCUq0L-b0,2026-01-07,Unknown,Church Service,,,
2025-10-05,Success,Walking,10.5.25,https://www.youtube.com/watch?v=nnm63jWDD0o,2026-01-07,Unknown,Church Service,,,
2025-10-02,Success,Our Guide,10.1.25,https://www.youtube.com/watch?v=P5xHZOttr98,2026-01-07,Unknown,Church Service,,,
2025-09-28,Success,Born By The Word,9.28.25,https://www.youtube.com/watch?v=P-ZKv_xjBYA,2026-01-07,Unknown,Church Service,,,
2025-09-21,Success,Fourth Man,9.21.25,https://www.youtube.com/watch?v=y9djcLRvnWo,2026-01-07,Unknown,Church Service,,,
2025-09-18,Success,"Caring, But Not Enough",9.17.25,https://www.youtube.com/watch?v=IROr9MG5n5k,2026-01-07,Unknown,Church Service,,,
2025-09-14,Success,Speaking Our Confession,9.14.25,https://www.youtube.com/watch?v=0xyqitkJUw4,2026-01-07,Unknown,Church Service,,,
2025-09-12,Success,Draw Your Water,9.10.25,https://www.youtube.com/watch?v=xTiq6ORYtOc,2026-01-07,Unknown,Church Service,,,
2025-09-07,Success,The Voice Of Our Spiritual,9.7.25,https://www.youtube.com/watch?v=fLQZaYefwE0,2026-01-07,Unknown,Church Service,,,
2025-09-04,Success,Though The Oceans May Roar,9.3.25,https://www.youtube.com/watch?v=QaG5RQepDYs,2026-01-05,Unknown,Church Service,,,
2025-08-31,Success,Gods Friends,8.31.25,https://www.youtube.com/watch?v=zgotumkk_jw,2026-01-07,Unknown,Church Service,,,
2025-08-24,Success,The Road To Wellville,8.24.25,https://www.youtube.com/watch?v=CCRmqfsdV_Q,2026-01-07,Unknown,Church Service,,,
2025-08-21,Success,Unknown Speaker,8.20.25,https://www.youtube.com/watch?v=tb5Fmjh6nsQ,2026-01-07,Unknown,Church Service,,,
2025-08-17,Success,The Believers Appetite,8.17.25,https://www.youtube.com/watch?v=eCGh8bJm_p0,2026-01-07,Unknown,Church Service,,,
2025-08-14,Success,Higher,8.13.25.,https://www.youtube.com/watch?v=6LOEHuAN_DQ,2026-01-07,Unknown,Church Service,,,
2025-08-10,Success,Unknown Speaker,8.10.25,https://www.youtube.com/watch?v=mL-A_au0JCU,2026-01-07,Unknown,Church Service,,,
2025-08-07,Success,Oneness,8.6.25,https://www.youtube.com/watch?v=GLIEyjGPZgY,2026-01-07,Unknown,Church Service,,,
