date,status,speaker,title,url,last_checked,language,type,description,duration,church
2025-12-31,No Transcript,Daniel Fraijo,"New Years Service | Wednesday, December 31, 2025",https://www.youtube.com/watch?v=mCr-Tn0LEDU,2025-12-31,Unknown,New Year Service,"Bro Daniel Fraijo,  Bro Elmer Ortega, and  Bro Joel Cornejo",,Tabernaculo Obra Maestra
2025-12-28,Success,Daniel Fraijo,"Three Steps of Grace; Baptism, Communion and Footwashing  Sunday, December 28, 2025",https://www.youtube.com/watch?v=-dYFYqLxRK4,2025-12-31,Unknown,Baptism Service,,,Tabernaculo Obra Maestra
2025-12-24,Success,Daniel Fraijo,"Wednesday, December 24, 2025",https://www.youtube.com/watch?v=Uw9_WCYXPNg,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-12-21,Success,Daniel Fraijo,"Seven Thunders Who Can Understand !  Sunday, December 21, 2025",https://www.youtube.com/watch?v=3yi-_fK7gyI,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-12-18,No Transcript,Daniel Fraijo,I do set my bow in the cloud,https://www.youtube.com/watch?v=s_uGXAWKi98,2025-12-31,Unknown,Service,Pastor Daniel Fraijo,,Tabernaculo Obra Maestra
2025-12-14,Success,Daniel Fraijo,"Cristo Es El  Misterio Del Dios Revelado  Hno Flores  Sunday, December 14, 2025",https://www.youtube.com/watch?v=fcIhazG_UY8,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-12-11,Success,Daniel Fraijo,Communion Foot washing Baptism,https://www.youtube.com/watch?v=rTx9Nvhd73w,2025-12-31,Spanish,Baptism Service,Pastor Daniel Fraijo,,Tabernaculo Obra Maestra
2025-12-07,Success,Daniel Fraijo,"The Pattern of Gods Word, Hebrew 138  Sunday, December 7, 2025",https://www.youtube.com/watch?v=b5Q4bpKy5zc,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-12-04,Success,Daniel Fraijo,The Gospel Exalted,https://www.youtube.com/watch?v=WnjpPwxUAew,2025-12-31,Spanish,Service,Pastor Daniel Fraijo,,Tabernaculo Obra Maestra
2025-11-30,Success,Daniel Fraijo,"Ten Virgins and Genesis 18 Pt.3  Sunday, November 30, 2025",https://www.youtube.com/watch?v=GJSMG3ob_UM,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-11-23,Success,Daniel Fraijo,"Ten Virgins And Genesis 18 Pt 2  Sunday, November 23, 2025",https://www.youtube.com/watch?v=rFQavkY0ylo,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-11-18,Success,Daniel Fraijo,"Ten VIrgens And Genesis 18  Sunday, November 18, 2025",https://www.youtube.com/watch?v=AV4pqLXR66k,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
2025-11-13,Success,Daniel Fraijo,This is the Evening time. It's later than we think,https://www.youtube.com/watch?v=UiABGsjTTSM,2025-12-31,Spanish,Service,Pastor Daniel Fraijo,,Tabernaculo Obra Maestra
2025-11-09,Success,Daniel Fraijo,"Revelations 10 Pt 3  Sunday, November 9, 2025",https://www.youtube.com/watch?v=z65lDEm3Guk,2025-12-31,Unknown,Service,,,Tabernaculo Obra Maestra
