date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-04,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=3aSH2LgvFqI,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-12-07,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=jQRzAKycevs,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-11-30,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=ySy92DKyEIE,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-11-16,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=E8Bi83ZSjQE,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-11-09,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=jvvt6GxujGQ,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-11-02,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=qEv6p8O1Ssg,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-10-26,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=e-b4xnwu50I,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-10-12,No Transcript,Unknown Speaker,The Word Of God Tabernacle - 10/12/2025,https://www.youtube.com/watch?v=bMjpyPfDrOs,2026-01-04,Unknown,Church Service,The Word Of God Tabernacle - 10/12/2025,116,The Word of God Tabernacle
2025-10-05,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=ZgClUAwlxQs,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-09-29,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=j9ux1sWU6SI,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-09-22,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=TXfZw_yQ4BE,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-09-15,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=Hv3CE_hb7rM,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-09-08,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=1VsB2uoQr70,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-08-11,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=_HON7a4rY8A,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
2025-08-04,Success,Unknown Speaker,The Word Of God Tabernacle,https://www.youtube.com/watch?v=fyF2UWGl7VI,2026-01-07,Unknown,Church Service,,,The Word of God Tabernacle
