################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-05-27 - TT Wednesday May 27th, 2020 7 PM Service - Unknown Speaker.txt
Video ID: yoR4N44VVSg
Segments: 1444
URL: https://www.youtube.com/watch?v=yoR4N44VVSg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] sure
[0:02] [Music]
[0:44] [Applause]
[0:54] [Music]
[0:58] [Applause]
[1:01] [Music]
[1:14] [Music]
[1:28] [Applause]
[1:31] [Music]
[1:33] [Applause]
[1:34] [Music]
[1:51] [Applause]
[1:57] [Music]
[1:59] [Applause]
[2:06] [Music]
[2:14] [Applause]
[2:21] [Music]
[2:37] [Applause]
[2:41] [Music]
[2:47] [Applause]
[2:48] [Music]
[3:20] [Applause]
[3:23] [Music]
[3:31] [Applause]
[3:36] [Music]
[3:40] [Applause]
[3:42] [Music]
[3:53] [Music]
[4:02] [Music]
[4:18] [Applause]
[4:22] [Music]
[4:33] [Applause]
[4:47] [Applause]
[4:49] [Music]
[4:57] [Music]
[5:02] [Applause]
[5:05] [Music]
[5:19] [Applause]
[5:23] [Music]
[5:25] [Applause]
[5:35] [Applause]
[5:41] [Applause]
[5:45] [Music]
[5:53] [Applause]
[5:55] [Music]
[6:01] [Applause]
[6:04] [Music]
[6:06] [Applause]
[6:11] [Music]
[6:17] [Music]
[6:19] [Applause]
[6:20] [Music]
[6:35] [Applause]
[6:36] [Music]
[6:37] [Applause]
[6:39] [Music]
[6:49] [Applause]
[6:52] [Music]
[6:55] [Applause]
[6:57] [Music]
[7:00] [Applause]
[7:01] [Music]
[7:14] [Applause]
[7:21] [Music]
[7:42] [Applause]
[7:46] [Music]
[7:48] [Applause]
[7:48] [Music]
[7:49] [Applause]
[7:52] [Music]
[7:53] [Applause]
[7:55] [Music]
[8:08] [Applause]
[8:17] [Music]
[8:19] [Applause]
[8:20] [Music]
[8:26] [Applause]
[8:32] [Music]
[8:38] [Applause]
[8:43] [Music]
[8:50] [Music]
[8:53] [Applause]
[8:57] [Music]
[9:00] [Applause]
[9:04] [Music]
[9:05] [Applause]
[9:09] [Music]
[9:14] [Applause]
[9:16] [Music]
[9:17] [Applause]
[9:18] [Music]
[9:19] [Applause]
[9:23] [Music]
[9:24] [Applause]
[9:26] [Music]
[9:29] [Applause]
[9:41] [Music]
[9:48] [Applause]
[9:48] [Music]
[9:50] [Applause]
[9:59] [Applause]
[10:03] [Music]
[10:04] [Applause]
[10:10] [Music]
[10:11] [Applause]
[10:18] [Music]
[10:19] [Applause]
[10:25] [Music]
[10:34] [Applause]
[10:34] [Music]
[10:44] [Applause]
[10:46] [Music]
[10:53] [Applause]
[10:54] [Music]
[11:04] [Applause]
[11:09] [Music]
[11:12] [Applause]
[11:13] [Music]
[11:15] [Applause]
[11:17] [Music]
[11:17] [Applause]
[11:22] [Music]
[11:33] [Applause]
[11:36] [Music]
[11:43] [Music]
[11:52] [Applause]
[11:56] [Music]
[11:56] [Applause]
[11:59] [Music]
[12:00] [Applause]
[12:06] [Music]
[12:09] [Applause]
[12:12] [Music]
[12:13] [Applause]
[12:21] [Music]
[12:23] [Applause]
[12:26] [Music]
[12:27] [Applause]
[12:28] [Music]
[12:34] [Music]
[12:45] [Applause]
[12:51] [Music]
[12:53] [Applause]
[12:58] [Music]
[13:06] [Applause]
[13:09] [Music]
[13:11] [Applause]
[13:12] [Music]
[13:17] [Applause]
[13:19] [Music]
[13:24] [Applause]
[13:35] [Music]
[13:39] [Applause]
[13:42] [Music]
[13:47] [Applause]
[13:48] [Music]
[13:51] [Applause]
[13:53] [Music]
[13:54] [Applause]
[13:55] [Music]
[13:59] [Applause]
[13:59] [Music]
[14:04] [Applause]
[14:10] [Music]
[14:12] [Applause]
[14:15] [Music]
[14:15] [Applause]
[14:16] [Music]
[14:18] [Applause]
[14:20] [Music]
[14:22] [Applause]
[14:24] [Music]
[14:34] [Applause]
[14:39] [Music]
[14:41] [Applause]
[14:43] [Music]
[14:48] [Applause]
[14:57] [Music]
[15:08] [Music]
[15:26] [Applause]
[15:28] [Music]
[15:33] [Applause]
[15:35] [Music]
[15:46] [Applause]
[15:47] [Music]
[15:49] [Applause]
[15:50] [Music]
[16:03] [Applause]
[16:07] [Music]
[16:12] [Applause]
[16:14] [Music]
[16:17] [Applause]
[16:21] [Music]
[16:30] [Applause]
[16:35] [Music]
[16:40] [Applause]
[16:52] [Music]
[17:06] [Applause]
[17:09] [Music]
[17:11] [Applause]
[17:12] [Music]
[17:13] [Applause]
[17:14] [Music]
[17:26] [Applause]
[17:29] [Music]
[17:37] [Applause]
[17:42] [Music]
[17:42] [Applause]
[17:47] [Music]
[18:11] [Music]
[18:22] [Applause]
[18:26] [Music]
[18:34] [Applause]
[18:34] [Music]
[18:38] [Applause]
[18:40] [Music]
[19:03] [Applause]
[19:06] [Music]
[19:10] [Applause]
[19:12] [Music]
[19:21] [Music]
[19:32] [Applause]
[19:38] [Music]
[19:57] [Applause]
[20:00] [Music]
[20:04] [Applause]
[20:08] [Music]
[20:18] [Music]
[20:20] [Applause]
[20:25] [Music]
[20:27] [Applause]
[20:33] [Music]
[20:55] [Music]
[21:13] [Music]
[21:19] [Music]
[21:30] [Music]
[21:56] [Music]
[22:02] [Music]
[22:10] [Music]
[22:17] [Music]
[22:23] [Music]
[22:31] [Music]
[22:42] [Music]
[22:46] [Applause]
[22:51] [Music]
[23:05] [Applause]
[23:06] [Music]
[23:09] [Applause]
[23:13] [Music]
[23:14] [Applause]
[23:14] [Music]
[23:21] [Applause]
[23:22] [Music]
[23:26] [Applause]
[23:30] [Music]
[23:36] [Applause]
[23:36] [Music]
[23:48] [Applause]
[23:50] [Music]
[23:55] [Applause]
[23:56] [Music]
[23:59] [Applause]
[24:00] [Music]
[24:11] [Applause]
[24:14] [Music]
[24:17] [Applause]
[24:19] [Music]
[24:33] [Applause]
[24:37] [Music]
[24:40] [Applause]
[24:41] [Music]
[24:58] [Applause]
[24:59] [Music]
[25:03] [Applause]
[25:05] [Music]
[25:18] [Applause]
[25:22] [Music]
[25:23] [Applause]
[25:25] [Music]
[25:29] [Applause]
[25:36] [Music]
[25:42] [Applause]
[25:53] [Applause]
[25:59] [Music]
[26:03] [Applause]
[26:12] [Music]
[26:19] [Applause]
[26:25] [Music]
[26:28] [Applause]
[26:34] [Music]
[26:35] [Applause]
[26:38] [Music]
[26:45] [Applause]
[26:51] [Music]
[26:51] [Applause]
[26:53] [Music]
[26:54] [Applause]
[27:04] [Music]
[27:15] [Music]
[27:37] [Applause]
[27:39] [Music]
[27:43] [Applause]
[27:49] [Music]
[27:51] [Applause]
[27:56] [Music]
[28:04] [Applause]
[28:07] [Music]
[28:22] [Music]
[28:34] [Music]
[28:36] [Applause]
[28:41] [Music]
[28:43] [Applause]
[28:44] [Music]
[29:06] [Applause]
[29:06] [Music]
[29:18] [Applause]
[29:20] [Music]
[29:31] [Applause]
[29:33] [Music]
[29:37] [Applause]
[29:37] [Music]
[29:46] [Applause]
[29:47] [Music]
[30:10] [Applause]
[30:15] [Music]
[30:26] [Applause]
[30:28] [Music]
[30:37] [Applause]
[30:39] [Music]
[31:21] [Music]
[31:54] [Music]
[32:02] [Music]
[32:12] [Applause]
[32:14] [Music]
[32:19] [Applause]
[32:20] [Music]
[32:29] [Applause]
[32:32] [Music]
[32:33] [Applause]
[32:35] [Music]
[32:51] [Applause]
[32:53] [Music]
[32:54] [Applause]
[32:56] [Music]
[32:59] [Applause]
[33:04] [Music]
[33:14] [Applause]
[33:15] [Music]
[33:40] [Music]
[36:39] just so these things so the toxic waste
[36:45] itself down an apron can they release
[36:48] everything
[37:59] and some of us can watch them and so
[38:06] that was her fear was so the money
[38:17] evening inspired me the pressor plan and
[38:23] was all spring she she said God who
[38:31] knows change
[38:33] and she said that this is what he needs
[38:36] to do the network they talked about
[38:39] putting a catheter and really which is
[38:42] easier new but in this report we're here
[38:46] you just wait down on your chest wall
[38:48] right into the Penguins next to your
[38:50] heart so it's not something that just
[38:52] thought you'd be here and it didn't work
[38:56] so the doctor said I'm going to give you
[38:58] surgery but potassium level had a
[39:01] Crystal Eye to the point and all these
[39:11] changes so that's when the nitrous to be
[39:15] sure there's other churches requirement
[39:18] they and all and she just asked for
[39:38] prayer and then about four o'clock that
[39:41] she's in surgery
[39:43] we waited almost not very well he asked
[40:00] your father your mother if it's okay to
[40:02] do this she'll say I'm old enough
[40:10] [Music]
[41:02] as I began to look at you know if we've
[41:06] been doing service on Serena this still
[41:10] ties into that look Sunday afternoon we
[41:15] were really mad a pitcher and SME were
[41:18] speaking with someone that needed some
[41:21] encouragement north and as we finish we
[41:24] pray for my brother Matt was praying I'm
[41:36] looking down turbulent water
[42:45] [Music]
[43:22] [Music]
[43:36] it's really small so my but yesterday
[43:48] it's the time we'll bring them here to
[43:51] me and this one is speaking about
[43:53] children but watches are you encompassed
[43:56] with needs this very moment and almost
[43:59] over with difficulties trials and
[44:02] emergencies they are reminded by the
[44:05] vessels
[44:26] giving you an opportunity to see him
[44:29] move and see them do something but when
[44:44] you go it takes a matter of jeans don't
[44:50] want to so it is this finding and if
[44:57] you've got right the understood their
[44:59] meaning they could become opportunities
[45:01] opportunities for receiving blessings
[45:04] and deliverances
[45:07] [Music]
[45:10] vessels family beforehand interpreter
[45:19] keep still be still to do nothing that
[45:29] he does not himself command you to give
[45:32] him a chance to work and it will surely
[45:34] do so and the very trials that threat to
[45:37] overcome with
[46:02] as good as what a source
[46:06] god bless apply his riches in glory what
[46:10] a channel Christ Jesus is your sweetness
[46:15] replace all your beats over against his
[46:18] riches and lose sight of the farmer in
[46:21] the presence of the batter when you
[46:23] beginner behind what he has
[46:25] how about ways which and it says his
[46:32] exhaust which treasures don't open to
[46:35] you and all of our gold and draw upon it
[46:39] in the artists simplicity effects and
[46:43] you will never application to the
[46:46] creature stream or
[47:39] [Music]
[47:44] who has so if you're set
[47:49] just enter your netid your soul in the
[47:51] evening dress if you're perplexing this
[47:54] dress remember me I'll be with you
[47:56] always even to the end of the world all
[48:00] things work together for good to them
[48:02] that love the Lord
[48:03] so just statement one man broke a photo
[48:07] my anchor holes in the bed what is it
[48:10] well it's something that shuts off from
