date,status,speaker,title,url,last_checked,language,type,description
2020-03-18,Success,Unknown Speaker,"Tucson Tabernacle Service Wednesday March 18th, 2020 7 PM",https://www.youtube.com/watch?v=4Brr4Txav8A,2025-12-28,English,Full Sermon,
2020-03-26,Success,Unknown Speaker,Tucson Tabernacle Service Wednesday March 25th 7 PM,https://www.youtube.com/watch?v=bQIJDmfFA54,2025-12-28,English,Full Sermon,
2020-03-29,Success,Unknown Speaker,Tucson Tabernacle Service Wednesday April 1st 7 PM,https://www.youtube.com/watch?v=IA-tNqJXN5A,2025-12-28,English,Full Sermon,
2020-04-05,Success,Unknown Speaker,Tucson Tabernacle Service Sunday April 5th 10 AM,https://www.youtube.com/watch?v=AUeCRACWBMI,2025-12-28,English,Full Sermon,
2020-04-12,Success,Unknown Speaker,Tucson Tabernacle Service Sunday April 12th 10 AM,https://www.youtube.com/watch?v=sPTxF7AzlZs,2025-12-28,English,Full Sermon,
2020-04-16,Success,Unknown Speaker,Tucson Tabernacle Service Wednesday April 15th 7 PM,https://www.youtube.com/watch?v=UC7AZoG49vM,2025-12-28,English,Full Sermon,
2020-04-19,Success,Unknown Speaker,Tucson Tabernacle Service Sunday April 19th 10 AM,https://www.youtube.com/watch?v=GQ9zcwytRZs,2025-12-28,English,Full Sermon,
2020-04-23,Success,Unknown Speaker,Tucson Tabernacle Service Wednesday April 22nd 7 PM,https://www.youtube.com/watch?v=S9sZvK2HVs4,2025-12-28,English,Full Sermon,
2020-04-26,Success,Unknown Speaker,Tucson Tabernacle Service Sunday April 26th 10 AM,https://www.youtube.com/watch?v=FzrroXa7YgQ,2025-12-28,English,Full Sermon,
2020-05-17,Success,Unknown Speaker,"TT Sunday May 17th, 2020 10 AM Service",https://www.youtube.com/watch?v=qCyL_5CEGsg,2025-12-28,English,Full Sermon,
2020-05-24,Success,Unknown Speaker,"TT Sunday May 24th, 2020 10 AM Service",https://www.youtube.com/watch?v=9Gm_iDvGoUc,2025-12-28,English,Full Sermon,
2020-05-27,Success,Unknown Speaker,"TT Wednesday May 27th, 2020 7 PM Service",https://www.youtube.com/watch?v=yoR4N44VVSg,2025-12-28,English,Full Sermon,
2020-05-31,No Transcript,Unknown Speaker,"TT Sunday May 31st, 2020 10 AM Service e1",https://www.youtube.com/watch?v=IjNR08NhoKI,2025-12-29,Unknown,Full Sermon,"TT Sunday May 31st, 2020 10 AM Service"
2020-06-07,Success,Unknown Speaker,"TT Sunday June 7th, 2020 10 AM Service",https://www.youtube.com/watch?v=L4wOwNUnSik,2025-12-28,English,Full Sermon,
2020-06-14,Success,Unknown Speaker,"TT Sunday June 14th, 2020 5 PM Service",https://www.youtube.com/watch?v=Qa1wUfwQOmE,2025-12-28,English,Full Sermon,
2020-06-17,Success,Unknown Speaker,"TT Wednesday June 17th, 2020 7 PM Service",https://www.youtube.com/watch?v=5Mg_SaahCJc,2025-12-28,English,Full Sermon,
2020-06-24,Success,Unknown Speaker,"TT Wednesday June 24th, 2020 7 PM Service",https://www.youtube.com/watch?v=nqNWhNSGcZw,2025-12-28,English,Full Sermon,
2020-06-28,No Transcript,Unknown Speaker,"TT Sunday June 28th, 2020 10 AM Service",https://www.youtube.com/watch?v=TvR_rDlXFpI,2025-12-29,Unknown,Full Sermon,"TT Sunday June 28th, 2020 10 AM Service"
2020-07-01,Success,Unknown Speaker,"TT Wednesday July 1st, 2020 7 PM Service",https://www.youtube.com/watch?v=GtZxWDzcy6k,2025-12-28,English,Full Sermon,
2020-07-12,No Transcript,Unknown Speaker,"TT Sunday July 12th, 2020 10 AM Service",https://www.youtube.com/watch?v=TLFTZAJUBS0,2025-12-29,Unknown,Full Sermon,"TT Sunday July 12th, 2020 10 AM Service"
2020-07-15,Success,Unknown Speaker,"TT Wednesday July 15th, 2020 7 PM Service",https://www.youtube.com/watch?v=XM4rkewc6q0,2025-12-28,English,Full Sermon,
2020-07-19,No Transcript,Unknown Speaker,"TT Sunday July 19th, 2020 5 PM Service",https://www.youtube.com/watch?v=Sxwu2ysSvf4,2025-12-29,Unknown,Full Sermon,"TT Sunday July 19th, 2020 5 PM Service"
2020-07-22,No Transcript,Unknown Speaker,"TT Wednesday July 22nd, 2020 7 PM Service",https://www.youtube.com/watch?v=3vr4xsmTeuo,2025-12-29,Unknown,Full Sermon,"TT Wednesday July 22nd, 2020 7 PM Service"
