################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-03-20 - El Senor Tiene Poder 03-20-20 - El Se.txt
Video ID: AsQt5Xvk6aQ
Segments: 1460
URL: https://www.youtube.com/watch?v=AsQt5Xvk6aQ
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Música]
[0:03] 1
[0:09] [Música]
[0:15] no
[0:16] [Música]
[0:23] ah
[0:28] [Música]
[0:47] bueno
[0:52] [Música]
[1:23] y
[1:29] [Música]
[1:47] [Música]
[1:52] y
[1:56] [Música]
[1:59] o
[2:01] [Música]
[2:06] ah
[2:09] ah
[2:14] [Música]
[2:25] ah
[2:29] y
[2:34] ah
[2:34] [Música]
[2:46] y
[2:49] [Música]
[2:57] y
[3:02] [Música]
[3:08] y
[3:12] [Música]
[3:16] no
[3:17] [Música]
[3:36] [Música]
[3:53] [Música]
[4:09] [Aplausos]
[4:10] [Música]
[4:21] a
[4:24] [Música]
[4:31] [Música]
[4:49] [Música]
[5:15] [Aplausos]
[5:19] ah
[5:22] a
[5:24] [Música]
[5:31] ah
[5:33] más
[5:37] ah
[5:39] y
[5:40] [Música]
[5:50] [Música]
[5:55] [Música]
[7:20] [Risas]
[7:23] [Música]
[7:48] y
[7:51] ah
[8:03] [Música]
[8:09] 1
[8:13] y
[8:15] [Música]
[8:22] e
[8:24] [Música]
[8:28] o
[8:56] y
[9:00] [Música]
[9:03] [Risas]
[9:04] [Música]
[9:40] ah
[9:44] [Música]
[9:46] ah
[9:48] [Música]
[10:03] ah
[10:05] [Música]
[10:24] [Risas]
[10:26] [Música]
[10:42] [Música]
[10:47] ah
[10:51] ah
[10:53] hoy
[10:57] [Música]
[11:12] y
[11:14] [Música]
[11:16] no no
[11:17] [Risas]
[11:21] [Música]
[11:27] [Risas]
[11:32] [Música]
[11:42] a
[11:45] [Música]
[11:51] ah
[12:04] [Música]
[12:15] ah
[12:17] bien
[12:18] [Música]
[12:23] bien
[12:29] i
[12:35] [Música]
[13:04] ah
[13:07] [Música]
[13:20] 2
[13:21] [Música]
[13:43] i
[14:03] [Música]
[14:28] [Música]
[14:33] [Aplausos]
[14:34] [Música]
[14:53] [Risas]
[14:53] [Música]
[15:18] ah
[15:28] [Música]
[15:46] y más
[15:59] [Música]
[16:08] ah
[16:11] [Música]
[16:36] ah
[16:39] ah
[16:41] [Música]
[16:45] [Risas]
[16:46] [Música]
[16:52] [Música]
[17:07] i
[17:11] ah
[17:24] i
[17:28] [Música]
[17:35] [Música]
[18:08] y
[18:11] [Aplausos]
[18:11] [Música]
[18:14] ah
[18:19] [Música]
[18:30] ah
[18:36] [Música]
[18:55] y
[19:04] y
[19:06] [Música]
[19:22] e
[19:33] él
[19:36] y
[19:37] [Música]
[19:58] ah
[20:01] [Música]
[20:20] [Música]
[20:24] a
[20:26] [Música]
[21:27] más
[21:32] ah
[21:34] [Música]
[21:37] y
[21:42] ah
[21:46] ah
[21:46] [Música]
[21:48] más
[21:50] [Música]
[22:00] i
[22:07] [Música]
[22:48] bien
[22:50] i
[22:52] [Música]
[23:05] [Música]
[23:20] [Música]
[23:27] [Música]
[23:50] [Música]
[24:02] y ella me valorara madrid y ella va
[24:11] local a marte
[24:14] estábamos bien y el tabaco pages
[24:22] para cada letizia aleluya aleluya
[24:31] o sea de luna
[24:35] aleluya
[24:38] y ella va logrará martín y el alcalde de
[24:47] ti y está clara ya me está mirando la
[24:52] cara baby pasado logró deshacer
[25:00] la cara bella y la perla stewart y eso
[25:07] va lo que el edil se hace aleluya
[25:14] aleluya aleluya aleluya
[25:23] y esa moda local a haití y ella va
[25:31] locatelli
[25:34] y ella no va a bajar la cara os habéis
[25:42] caro más allá
[25:46] y
[25:48] y esta parte y esa alocada l
[25:56] eso sí aleluya aleluya
[26:04] aleluya aleluya ya bomba el órgano para
[26:12] haití y el soho málaga de heller que se
[26:18] llevó muestras de aleluya
[26:22] o sea tuya
[26:26] aleluya aleluya
[26:31] y ella los galos haití y el sábado del
[26:40] eti
[26:44] m
[26:47] m 7 del oriente y más de agua y
[26:51] saneamiento
[26:53] el equipo de laurent en los datos si no
[26:57] se hizo cargo el 20 de agosto
[27:06] a la vez
[27:09] si gasol al ahora pues si tu mano
[27:18] o sea lo que es
[27:21] se valora
[27:23] los hechos van a veces me da
[27:31] m
[27:32] y si esa
[27:35] bueno si tu mano a ver a veces
[27:46] bueno si tu barrio
[27:51] aleluya aleluya y es aleluya aleluya y
[27:57] yo sí tuve vanessa
[28:02] aleluya aleluya aleluya aleluya
[28:08] a vos y tus hermanos a edad
[28:16] si aguas y hermanos a meta
[28:26] de bs
[28:30] pero si tu mano
[28:33] aleluya aleluya aleluya aleluya aleluya
[28:43] a la vera del lugar
[28:46] aleluya aleluya aleluya aleluya
[28:54] barroso
[28:57] m
[29:00] geimer cueste saber si vendía frei mail
[29:04] o vivir sirviendo wireless world o
[29:06] acción especial
[29:10] dime dime visit
[29:13] [Música]
[29:18] ah
[29:21] i
[29:24] [Música]
[29:31] camine por mi camino
[29:40] alejada de tu amor
[29:47] me confié del enemigo en lugar de estar
[29:53] contigo me arrojé a la perdición
[30:02] y ahora vengo a la entidad
[30:10] a suplicar tu perdón
[30:17] dijo que mi pecado tiene si no es
[30:23] demasiado tarde te pido decorar
[30:31] si algo queda algo de mí porque no se
[30:38] corrompió
[30:40] no permitas que se pueda utilizarlo
[30:45] señor ven a vivir en mí
[30:52] y selvas
[30:56] lo todo limpio que quedó en mi corazón
[31:00] si no puedo servir
[31:05] me contó una mujer toma media
[31:11] me decido quieres me dices si no todo
[31:17] está perdido
[31:21] y tepic
[31:25] ven a mí estar entre tus brazos y crecer
[31:30] y en ame de tu dulzura
[31:35] [Música]
[31:39] a mi corazón
[31:48] amargura viene de tu alma pura política
[31:54] mi señor
[31:59] y será un ejemplo tipo
[32:07] de la pesa de amor
[32:15] ya no quiera estar perdida
[32:18] ahora quiero ser tu amiga
[32:23] ya me porta
[32:24] no
[32:28] y aunque algo bueno
[32:32] y algo que no se pronunció
[32:36] cuando terminas que mi piel
[32:39] dell inc
[32:41] no van a vivir en mi alma
[32:52] loco con limpio querido en mi corazón si
[32:57] de algo puede ser me toca mi cultura
[33:04] cuando media
[33:06] si no quieres
[33:09] me dice si no no está perdido
[33:15] y tepito
[33:19] llena mi estar entre tus brazos y crecer
[33:24] si aun quedar con bueno en mí
[33:33] [Música]
[33:36] yo
[33:38] [Música]
[33:45] e mail cuando fue especialmente stein
[33:49] me decidí no tiene mi pequeño delfín un
[33:54] sitio web y mejorar tu pasión es decir
[33:56] ning perfiles en agua en sus cimientos
[33:59] por designación como hogar y me nominó
[34:02] expectiva muy vulgar m
[34:08] mándame expertise
[34:12] etc pero nada más
[34:16] bajar
[34:18] a mí
[34:20] vacas
[34:22] a
[34:23] mi experto
[34:26] y eso pero la familia
[34:31] pagar a mí
[34:34] vargas
[34:42] en esta ley
[34:48] el abogado de un grupo local
[35:01] s
[35:08] después
[35:11] no estamos asustados de autobot
[35:16] desolados
[35:19] efe
[35:21] am expecting
[35:29] experteer
[35:32] pero a pagar
[35:38] para mí bueno me voy a tener menos
[35:43] me expect y elisa pérez de vargas
[35:52] a la boca
[36:02] después
[36:06] el autobús a todos
[36:14] desigual
[36:23] nc
[36:27] fue apretado sobre mí
[36:38] el poder de dios estar con nosotros
[36:42] insistió son hermanos y hermanas
[36:46] estamos contentos de estar en esta noche
[36:51] creo que yo está contento de estar donde
[36:54] usted está en wenchuán holder y multi
