################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-03-22 - Autoridad Delegada Como Reaccionar Cuando Nuestra Fe Es Probada 32220 - Tito Moreira.txt
Video ID: dquVlub4jK8
Segments: 3019
URL: https://www.youtube.com/watch?v=dquVlub4jK8
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:15] 2
[0:17] i
[0:19] y más
[0:22] [Música]
[0:47] ah
[0:48] [Música]
[0:56] [Música]
[1:01] o
[1:03] [Música]
[1:20] no más
[1:25] ah
[1:31] a
[1:32] [Música]
[2:09] ah
[2:12] 2
[2:14] hola
[2:15] [Música]
[2:32] y él
[2:34] ah
[2:36] [Música]
[3:01] bien
[3:03] i
[3:10] [Música]
[3:21] p
[3:23] i
[3:27] i
[3:29] [Música]
[3:40] ah
[3:42] [Música]
[3:48] [Música]
[4:11] i
[4:20] [Música]
[4:33] ah
[4:39] [Música]
[4:53] ah
[4:54] [Música]
[4:57] 2
[4:59] [Música]
[5:09] d
[5:12] [Música]
[5:30] [Música]
[5:39] ah
[5:40] [Música]
[5:48] 2
[5:53] 2
[5:54] [Música]
[5:56] vamos
[5:57] [Música]
[6:00] ah
[6:02] [Música]
[6:23] ah
[6:26] [Música]
[6:37] 2
[6:40] [Música]
[6:43] así
[6:46] a
[6:47] [Música]
[6:55] 2
[6:58] [Música]
[7:06] son
[7:12] [Música]
[7:41] 2
[7:48] [Música]
[8:00] más
[8:03] más
[8:06] y
[8:07] [Música]
[8:17] y más
[8:20] i
[8:22] [Música]
[8:29] así
[8:31] [Música]
[8:44] i
[8:48] [Música]
[8:51] ah
[8:53] [Música]
[9:45] ah
[9:49] más
[9:50] [Música]
[9:53] 2
[9:58] [Música]
[10:09] y
[10:10] [Música]
[10:22] [Música]
[10:28] y
[10:30] [Música]
[10:42] más
[10:44] [Música]
[11:41] y
[11:43] y
[11:44] [Música]
[11:54] e
[12:06] [Música]
[12:53] e
[12:58] o
[13:00] [Música]
[13:23] ah
[13:29] y
[13:33] i
[13:36] i
[13:38] e
[13:47] [Música]
[14:09] más
[14:10] [Música]
[14:24] o
[14:25] [Música]
[14:42] [Música]
[15:02] ah
[15:07] [Música]
[15:32] o
[15:33] [Música]
[15:55] y
[16:30] a
[16:33] [Música]
[17:01] más
[17:03] a
[17:06] ah
[17:08] [Música]
[17:10] e
[17:15] [Música]
[17:23] ah
[17:26] [Música]
[17:35] [Música]
[17:51] ah
[17:52] [Música]
[17:58] ah
[17:59] [Música]
[18:09] 2
[18:10] [Música]
[19:36] i
[19:41] [Música]
[19:57] ah
[20:05] [Música]
[20:08] [Aplausos]
[20:10] i
[20:13] [Música]
[20:24] a
[20:27] [Música]
[20:30] e
[20:39] [Música]
[20:50] ah
[20:54] i
[20:59] [Música]
[21:11] [Música]
[21:17] a
[21:21] aquí
[21:29] bien
[22:07] [Música]
[22:07] [Aplausos]
[22:09] e
[22:23] [Aplausos]
[22:34] [Música]
[22:54] y
[22:57] e
[23:00] [Música]
[23:06] [Música]
[23:18] [Música]
[23:30] sí
[23:41] [Música]
[23:50] [Música]
[23:53] e
[24:05] [Música]
[24:06] e
[24:16] [Música]
[24:25] [Música]
[24:36] [Música]
[24:49] [Música]
[25:00] [Música]
[25:13] [Música]
[25:17] bien
[25:22] [Música]
[25:35] [Música]
[25:41] [Música]
[25:54] [Música]
[26:02] cap disponen del enfado
[26:07] busca puede ven a mamá
[26:13] hay boca pues soy el más
[26:17] el sueño de la luz
[26:21] alconchel
[26:23] en el agua tiene en dallas
[26:29] en ammán y senda nada
[26:34] hirai fue toda lorca tiene nada de nada
[26:41] ángel mario m
[26:45] series and feel en mi madre
[26:50] en la calle
[26:53] mamá
[26:56] sí no
[26:58] igual no me da miedo me da miedo
[27:04] henán efe su bebé salvar darwin pero hay
[27:11] que pensar deshoras más
[27:18] qué pena mamá
[27:23] en a apple en madrid les sigue igual
[27:27] votar
[27:30] desmonte l paralelo ya hay boca puede
[27:35] penar mamá
[27:39] wake up with 6 maestros
[27:45] a los arcos
[27:49] o de nine aguas tienen a la gente sin
[27:56] alma ni senda nada
[28:00] queráis pues su dolor
[28:03] la tipa entiendo que no apele mares
[28:09] aleluya oyes ángeles
[28:13] mi madre
[28:19] mamá
[28:21] funcionó
[28:23] no aguanto
[28:26] pueda medio de nani plus puede salvar
[28:34] that away me he pensado
[28:39] de saramago no haiga gp que penar mama
[28:48] genao telemar y fans que me halle libia
[28:55] dios les bendiga en esta preciosa mañana
[28:59] aleluya allí en sus casitas donde usted
[29:02] esté mirando a través de cualquier
[29:05] sintonía allí en los grupos de hogares
[29:08] dios les bendiga en esta preciosa mañana
[29:10] estamos contentos y honramos la
[29:13] resurrección de nuestro señor jesucristo
[29:16] heim en esta alabanza si se pone de pie
[29:19] ahí donde usted esté vamos alabar el
[29:21] nombre del señor donde quiera que usted
[29:24] a la belle glorifique le ensalza su
[29:27] nombre jaime bien hay tic tac une
[29:32] salchichas m siendo realista con mi
[29:38] maestro maestro pasado aleluya
[29:44] a pesar de miles siguen mostrando buenas
[29:52] acciones quizás
[29:56] en total están con mi maestro
[30:03] paixao aleluya richard josé bm
[30:10] le sigue el hechizo
[30:14] quizás hay goles tema del agua
[30:20] [Música]
[30:22] y seré fan
[30:26] sandy nuestra lucha comentó a mí me lees
[30:33] quizás está más lejos ayer goles de más
[30:39] sol agua
[30:41] yo seguí
[30:43] y ser fan
[30:46] el start up and josh 8,8 cambió el
[30:53] número que dio el número de los
[30:58] redimidos y todos alababan al señor
[31:03] jaime unos lloraban y otros cantaban
[31:10] pero todos alababan al señor cambio el
[31:15] número cuando dio el número de los
[31:19] redimidos y todos alababan al señor unos
[31:25] lloraban y unos lloraban otros cantaban
[31:31] pero todos alababan al señor y gracias a
[31:37] dios
[31:38] puede tomar su lugar ahí donde usted
[31:41] esté de ime
[31:47] [Música]
[31:56] gloria dios salve
[31:58] para que sin hacer nada
[32:01] [Música]
[32:14] y
[32:33] sí
[32:34] mejor
[32:36] me digo
[32:40] al contemplar los cielos
[32:47] y el firmamento
[32:50] hoy las estrellas viven
[32:56] al oír seguro
[33:00] en los potentes truenos
[33:07] y ver brillar
[33:12] al sol en su serie
[33:17] [Música]
[33:20] mi corazón
[33:24] bbb
[33:28] entona la canción
[33:35] cuán grandes
[33:42] cuándo
[33:49] mi corazón
[33:54] el centro no lo es
[34:02] cuán grande
[34:11] antes que solo
[34:17] el rey
[34:20] ocurre
[34:22] los montes y los va
[34:26] [Música]
[34:29] y ver las veces
[34:33] y os flores el pozo
[34:41] al escuchar
[34:44] el canto de los jóvenes
[34:52] y el mundo
[34:54] puro
[34:57] d
[35:00] contigo
[35:06] mi corazón
[35:11] por tanto no lo son
[35:19] [Música]
[35:20] tan grandes
[35:25] cuán grande
[35:32] mi corazón
[35:38] en tu no lo son
[35:45] como an grandes
[35:50] cuán grande
[35:53] d
[35:57] entonces
[35:58] [Música]
[36:01] cuando recuerdo
[36:05] del amor divino
[36:13] quede
[36:15] desde el cielo
[36:19] lo al salvador el envío
[36:25] aquel jesús que por salvarme el vino
[36:36] [Música]
[36:37] en una cruz sufrió y murió
[36:46] x
[36:48] i
[36:51] mi corazón
[36:57] en tanto no lo consigo
[37:05] cuán grande
[37:07] s
[37:10] juan grado
[37:13] eso
[37:16] mi corazón
[37:19] [Aplausos]
[37:21] en tu dolor
[37:26] sí
[37:29] cuán grandes
[37:34] cuán grande
[37:40] él
[37:43] cuando el señor
[37:48] mi amigo siempre
[37:52] 2
[37:54] al dulce
[37:59] sí
[38:01] los reds
[38:03] cuándo
[38:06] le adoraré
[38:11] cantando la grande sol
[38:17] en su poder
[38:21] y de su infinito tu amor
[38:28] me inclino
[38:34] un milk the reader
[38:37] t
[38:41] no sé yo diré
[38:45] cuán grande
[38:50] 2
[38:52] mi corazón
[38:57] el viento no lo son
[39:02] sí
[39:04] cuan grande
[39:07] [Música]
[39:11] cuán grande es
[39:16] y mi corazón
[39:22] en tanto no lo consigo
[39:28] cuán grandes
[39:34] negro
[39:38] es decir
[39:41] de verdad
[39:45] gloria dios aleluya
[39:47] [Música]
[39:51] no
[39:53] su sentido es especial
[39:56] nuestro mano miguel arellano donde
[40:01] ustedes de invitar que se ponga de pie
[40:05] vamos a cantar una alabanza para recibir
[40:09] al predicador de esta mañana
[40:12] nuestro hermano erick sánchez y asimismo
[40:18] vamos a estar tomando esta oportunidad
