################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-04-10 - Profesas o Posees - Vidal Moreno.txt
Video ID: pXH53YmNJEE
Segments: 1722
URL: https://www.youtube.com/watch?v=pXH53YmNJEE
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:24] [Música]
[0:44] [Música]
[1:35] y
[1:36] [Música]
[2:27] ah
[2:31] [Música]
[2:50] [Música]
[3:35] [Música]
[4:01] [Música]
[4:30] a
[4:34] [Música]
[5:04] ah
[5:12] [Música]
[5:59] ah
[6:02] y
[6:09] [Música]
[6:37] e
[6:42] [Música]
[7:06] e
[7:13] y
[7:18] [Música]
[7:48] a
[7:53] [Música]
[8:03] ah
[8:05] [Música]
[8:16] hola
[8:20] [Música]
[9:35] [Música]
[10:16] [Música]
[10:31] ah
[10:35] [Música]
[10:36] a
[10:36] [Música]
[10:52] [Música]
[11:43] ah
[11:46] [Música]
[12:02] a
[12:11] [Música]
[12:33] ah
[12:39] [Música]
[12:43] más
[12:45] ah
[12:48] ah
[12:50] ah
[12:51] [Música]
[13:05] ah
[13:12] ah
[13:15] [Música]
[13:23] ah
[13:27] [Música]
[13:38] [Música]
[13:49] [Música]
[14:35] ah
[14:37] [Música]
[14:55] y
[15:04] a
[15:08] ah
[15:13] [Música]
[15:22] a
[15:26] ah
[15:35] y
[15:39] [Música]
[15:50] ah
[15:54] ah
[15:59] ah
[16:06] ah
[16:13] i
[16:15] [Música]
[16:23] más
[16:26] [Música]
[16:49] ah
[16:49] [Música]
[17:05] ah
[17:15] ah
[17:20] [Música]
[17:24] ah
[17:29] [Música]
[17:55] más
[17:56] [Música]
[18:10] ah
[18:12] a
[18:13] con él
[18:15] [Música]
[18:27] ah
[18:30] [Música]
[18:39] ah
[18:41] ah
[18:43] [Música]
[19:02] [Música]
[19:58] ah
[20:02] i
[20:07] ah
[20:11] ah
[20:21] [Música]
[20:26] y
[20:28] [Música]
[20:34] y
[20:36] [Música]
[21:12] ah
[21:17] [Música]
[21:59] ah
[22:02] [Música]
[22:19] ah
[22:21] [Música]
[22:26] e
[22:32] y
[22:43] [Música]
[23:22] [Música]
[23:36] ah
[23:37] [Música]
[23:42] ah
[23:43] [Música]
[24:50] bien
[24:53] e
[24:54] ah
[25:00] o
[25:01] ah
[25:20] e
[25:30] o
[25:36] él
[25:38] y
[25:40] i
[25:42] e
[26:01] y
[26:03] i
[26:21] e
[26:27] i
[26:34] [Música]
[26:38] ah
[26:41] ah
[26:45] i
[26:47] e
[26:49] y
[26:58] y
[27:06] e
[27:22] i
[27:42] y
[27:44] ah
[27:46] e
[27:52] e
[27:55] i
[27:57] y
[28:18] ah
[28:25] la peña de oro que se está luchando
[28:32] dv
[28:34] [Música]
[28:36] para ti
[28:38] [Música]
[28:41] eso
[28:46] para los hombres
[28:49] sangre carmesí
[28:52] [Música]
[28:54] as
[28:59] [Música]
[29:04] y todo esto
[29:07] triste la niña que está notando
[29:11] [Música]
[29:19] esto da pena de vista
[29:25] agua
[29:27] vida saludable para ti
[29:34] y va llorando
[29:36] [Música]
[29:38] por su sangre carmesí
[29:43] a tomar una dulce que da miedo
[29:47] fresca
