################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-05-31 - Dominion Bro Erik Sanchez & Bro Alex Perez - Erik Sanchez.txt
Video ID: -V-wGrzJRyg
Segments: 1739
URL: https://www.youtube.com/watch?v=-V-wGrzJRyg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] ah
[0:00] [Música]
[0:04] o no
[0:06] ah
[0:07] [Música]
[0:51] e
[0:52] [Música]
[0:56] y
[1:10] [Música]
[2:22] bueno
[2:26] [Música]
[2:35] [Música]
[2:37] i
[2:38] 2
[2:39] [Música]
[2:45] ah
[2:46] ah
[2:49] [Música]
[3:11] ah
[3:11] [Música]
[3:17] y
[3:18] [Música]
[3:27] 2
[3:29] [Música]
[3:39] 2
[3:40] [Música]
[4:08] i
[4:14] i
[4:15] i
[4:20] 2
[4:25] [Música]
[5:23] y
[5:28] [Música]
[5:55] y
[5:56] [Música]
[6:02] y
[6:04] [Música]
[6:12] ah
[6:13] [Música]
[6:29] [Música]
[6:53] i
[6:55] [Música]
[7:10] i
[7:17] [Música]
[7:38] y
[7:46] ah
[7:48] a
[7:49] [Música]
[7:51] [Aplausos]
[7:54] [Música]
[8:05] o
[8:07] [Música]
[8:39] i
[8:40] [Música]
[8:44] i
[8:48] [Música]
[9:20] y
[9:24] [Música]
[9:46] [Aplausos]
[9:47] [Música]
[9:55] y
[9:55] [Música]
[10:00] [Aplausos]
[10:02] [Música]
[10:17] ah
[10:22] [Música]
[10:24] y
[10:26] [Música]
[10:40] [Música]
[10:54] i
[10:55] [Música]
[11:00] i
[11:04] ah
[11:08] [Música]
[11:27] más
[11:29] y
[11:38] [Música]
[11:47] i
[11:54] [Música]
[12:25] bueno
[12:27] [Música]
[13:01] i
[13:11] ah
[13:12] y
[13:16] a
[13:18] i
[13:25] y
[13:30] i
[13:33] d
[13:40] no
[13:42] i
[13:43] [Música]
[13:53] i
[13:58] [Música]
[14:24] a
[14:27] [Música]
[14:38] 2
[14:41] [Música]
[15:14] i
[15:17] y
[15:23] [Música]
[15:33] y
[15:40] [Música]
[15:56] [Música]
[16:05] ah
[16:06] [Música]
[16:25] i
[16:32] [Música]
[17:18] i
[17:20] y
[17:25] i
[17:27] i
[17:31] [Música]
[17:36] bien
[17:44] no
[17:46] [Música]
[17:51] d
[17:53] [Aplausos]
[17:55] [Música]
[18:01] no no
[18:12] [Música]
[19:28] um
[19:32] y
[19:38] [Música]
[19:51] [Música]
[20:36] y
[20:42] [Música]
[20:45] e
[20:50] y
[20:51] [Música]
[21:10] o no
[21:14] [Música]
[21:31] no
[21:35] [Música]
[21:55] ah
[22:08] no
[22:10] 2
[22:19] i
[22:23] [Música]
[22:37] [Música]
[22:55] [Música]
[23:02] i
[23:07] i
[23:09] y más
[23:12] [Música]
[23:30] ah
[23:34] [Música]
[23:59] ah
[24:02] y
[24:15] ah
[24:21] y
[24:24] ah
[24:34] y
[25:10] ah
[25:22] [Música]
[25:30] ah
[25:33] [Música]
[26:11] ah
[26:31] i
[26:39] [Música]
[27:26] más
[27:28] [Aplausos]
[27:29] i
[27:37] [Música]
[28:23] 2
[28:27] 2
[28:32] i
[28:37] sí
[28:38] [Música]
[28:42] no
[28:44] [Música]
[28:48] a libia o día de fiesta día de gozo en
[28:58] la casa de medios cosa o alma canta
[29:02] alegre cantarle a tu salvador
[29:06] únete a los redimidos por la gracia de
[29:10] su amor y lo haremos todos juntos al
[29:14] señor soy de él
[29:18] yo soy d
[29:21] es mi gozo el decir que soy de él
[29:26] o soy de g
[29:29] soy de él
[29:32] es mi gozo el decir que soy de
[29:37] esperamos su venida y el llamado de su
[29:42] voz uniendo los corazones por el fuego
[29:46] de su amor y seremos transformados
[29:52] heyman y lo haremos para siempre al
[29:56] salvador o soy de él
[30:00] yo soy de él o es mi gozo el decir que
[30:06] soy de él
[30:08] yo soy de él
[30:11] yo soy bien
[30:14] testigos al decir que soy de
[30:19] santo espíritu dirige nuestros cantos al
[30:24] señor jun en nuestros corazones llenos
[30:28] de tu grande amor quita toda la tristeza
[30:32] que haya en nuestro corazón y unidos
[30:37] alabemos al señor puede ponerse de pie
[30:41] soy de dios hoy día
[30:45] o es mi gozo el decir que soy de él
[30:50] yo soy d
[30:53] o soy de g
[30:56] es mi gozo que me aguanten aguará de
[31:03] agua nada más para soplar para que se
[31:09] aguanten
[31:11] apanate
[31:14] avanade
[31:17] son cladera que se aguante
[31:22] para nada
[31:25] amo a nadie
[31:27] [Música]
[31:28] lateral que ese agua nada aparte
[31:36] el tubo solar del alcance a un guante
[31:45] un aplauso al señor
[31:48] está contento de estar en la casa del
[31:50] señor
[31:52] hey me es una bendición
[31:55] bendita sea esa gracia
[31:58] porque es la gracia a la que nos ha
[32:00] traído menos
[32:02] [Música]
[32:03] y como no es de amarte con todo mi
[32:08] corazón
[32:10] o como duele amarte mi dios
[32:15] o si me es bendecido con eterna
[32:19] salvación
[32:22] hoy hace bien miedo para mí
[32:27] y además o bendita sea la gracia
[32:34] [Música]
[32:36] de tu palabra señor
[32:41] bendita sea tu sangre que por mí se
[32:46] derramó allá en la cruz y hoy de canto
[32:54] alabanzas
[32:56] [Música]
[32:58] agradecido sr
[33:02] yo merecía la muerte pero cristo el
[33:07] perdón a mí me dio dígale como puede
[33:14] vivir para servirte mi señor aleluya
[33:19] como puede hacerlo con amor
[33:24] cuando estaba preso y corrompido en mi
[33:28] corazón o envías desde el cielo para mí
[33:34] aleluya un salvador
[33:38] oh bendita sea la gracia
[33:43] de tu palabras señor bendita sea tu
[33:51] sangre que por mí se derramó
[33:56] ayala y hoy dejando alabanzas agradecido
[34:07] sr
[34:09] o yo merecía la muerte pero cristo del
[34:14] perdón
[34:16] a mí me dio o bendita sea la gracia
[34:24] de tu palabra señor
[34:30] no merecía la muerte pero cristo al
[34:35] perdón a mí me dio aleluya fue tomar su
[34:42] asiento y decidir
[34:56] los dos bendiga
[35:02] [Música]
[35:13] yo se besaron me den o no
[35:18] sí
[35:21] y uno de mi millones
[35:26] visteis
[35:29] [Música]
[35:30] nada que no
[35:33] [Música]
[35:37] by1
[35:41] lorgio no me habla
[35:45] y si bien si no de limpieza
[35:53] [Música]
[35:57] n
[35:59] a todo ello
[36:01] [Música]
[36:04] efe
[36:06] efe
[36:08] en tiendas y
[36:12] y
[36:12] [Música]
[36:17] ciudad
[36:22] [Música]
[36:24] dónde
[36:26] [Música]
[36:28] entidad
[36:32] [Música]
[36:35] yo
[36:35] [Música]
[36:41] [Aplausos]
[36:43] [Música]
[36:50] watson
[36:52] dicen que mi violín
[36:58] vivirla
[36:59] [Música]
[37:01] estaba en él
[37:05] [Música]
[37:08] en ángel
[37:14] vivió
[37:16] me gusta decir
[37:22] [Música]
[37:23] el peatón
[37:25] [Música]
[37:27] aquí
[37:29] sí
[37:32] aunque nadie
[37:35] e
[37:36] [Música]
[37:40] n
[37:43] [Música]
[37:48] triste
[37:52] [Música]
[37:53] milenio
[37:59] sí sí
[38:03] dice
[38:05] e
[38:08] en youtube
[38:09] [Música]
[38:12] i
[38:18] [Música]
[38:23] la ciudad
[38:28] [Música]
[38:34] hay dos
[38:39] en youtube
[38:46] a mí
[38:49] [Música]
[38:59] no
[39:02] [Música]
[39:10] no
[39:17] [Música]
[39:28] [Música]
[40:05] gloria al señor jaime vergara meant dios
[40:08] bendiga a nuestra hermana mariana carles
[40:11] artista mariana siempre dispuesta a
[40:14] traer su especialmente david gwynn quien
[40:17] es espeso que enseñó la bendiga
[40:20] vamos a recibir la palabra manos bien
[40:23] visibles wilders y con este cantito
[40:26] también vamos a recoger nuestra ofrenda
[40:29] que es algo que implica la actividad
[40:30] freinet web se ha preguntado qué sería
[40:34] de usted a viaje software contado mil si
[40:37] él no lo hubiera alcanzado y figuren en
[40:40] ristre siempre me pregunto eso yo a
[40:42] medias
[40:44] en donde estaría yo huevo baby
[40:51] aleluya que sería de mí no me hubieras
[40:56] alcanzado
[41:00] dónde estaría o no me hubieras perdonado
[41:07] habría un vacío en mi corazón pagaría
[41:12] sin dirección
[41:15] [Música]
