################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-07-31 - Come Out Of The Cave Felix Tapia & Alex Perez - Alex Perez.txt
Video ID: aFR9Iw1TY6k
Segments: 1837
URL: https://www.youtube.com/watch?v=aFR9Iw1TY6k
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:39] [Música]
[0:44] no no
[0:51] [Música]
[0:55] ah
[1:02] [Música]
[1:20] d
[1:25] y
[1:29] [Música]
[2:55] i
[3:06] [Música]
[3:26] i
[3:34] [Música]
[3:58] i
[4:00] ah
[4:09] [Música]
[4:23] y
[4:25] ah
[4:27] [Música]
[4:43] [Música]
[5:20] [Música]
[5:22] ah
[5:25] así
[5:27] [Música]
[5:50] y
[5:54] [Música]
[6:42] i
[6:44] [Música]
[7:01] i
[7:08] vaya
[7:17] [Música]
[7:27] [Música]
[9:48] [Música]
[10:10] i
[10:15] [Música]
[10:35] ah
[10:45] [Música]
[11:04] pero
[11:07] [Música]
[12:01] [Música]
[12:13] [Música]
[12:25] y
[12:27] a
[12:35] [Música]
[13:13] i
[13:14] [Música]
[13:28] [Música]
[13:37] ah
[13:38] ah
[13:39] [Música]
[13:54] no
[14:09] ah
[14:21] [Música]
[14:32] ah
[14:42] i
[14:48] [Música]
[15:12] sí
[15:13] [Música]
[15:24] y tú
[15:31] ah
[15:33] [Música]
[15:56] ah
[16:02] ah
[16:08] [Música]
[16:20] tú
[16:26] i
[16:32] [Música]
[17:02] [Música]
[17:04] ah
[17:06] ah
[17:09] [Música]
[17:14] a
[17:16] [Música]
[17:20] i
[17:25] ah
[17:32] i
[17:38] [Música]
[17:40] a mí
[17:46] [Música]
[18:06] y qué
[18:08] [Música]
[18:13] a
[18:14] [Música]
[18:25] i
[18:26] [Música]
[18:58] y
[19:04] él
[19:07] ah
[19:09] ah
[19:11] [Música]
[19:23] [Música]
[19:34] a
[19:34] [Música]
[21:58] a
[21:59] [Música]
[22:02] hola
[22:09] [Música]
[22:32] [Música]
[22:34] sí
[22:37] [Música]
[22:44] así
[22:46] [Música]
[22:53] i
[22:54] [Música]
[23:01] i
[23:04] [Música]
[23:15] y
[23:17] [Música]
[23:27] a
[23:34] ah
[23:39] [Música]
[24:09] ah
[24:14] [Música]
[24:55] y
[25:19] y
[25:20] y
[25:23] [Música]
[25:41] y
[25:42] [Música]
[25:45] i
[25:52] [Música]
[26:00] y
[26:06] [Música]
[26:19] i
[26:20] [Música]
[26:24] i
[26:27] y
[26:29] [Música]
[26:39] no
[26:41] [Música]
[26:43] y
[26:45] [Música]
[27:07] [Música]
[27:23] [Música]
[27:49] [Música]
[27:55] [Música]
[28:08] no
[28:09] [Música]
[28:21] y
[28:22] [Música]
[28:33] [Música]
[28:41] i
[28:45] [Música]
[29:04] 1
[29:06] [Música]
[29:18] [Música]
[29:30] [Música]
[29:42] [Música]
[29:48] babe en esta web mm en cuestión el valor
[29:53] pero tras ser públicos brote jugase viva
[29:59] pero la web
[30:03] leer es militar o periódicos ya se vive
[30:10] cuando oigo cantar
[30:13] hasta ser igual
[30:16] brno la defensa sigue vamos a mirar
[30:22] atrás heroicos jugase bbva el muy este
[30:28] cuento because the fire tiene movilidad
[30:33] o prefiero juegos pero ya se me va
[30:39] causa
[30:41] subastas de ritmos
[30:44] desde después habrá derbi
[30:49] quedan schouler hoy y se hace mi me voy
[30:54] a jugar mis listas en mi vida voy a
[31:01] jugar
[31:02] quizás en mil veces y quizá se me quiera
[31:11] software
[31:13] quizás leterme
[31:16] a sobrar y es quizás meterme yo a sobrar
[31:24] quizás decirle se quejó de aleluya
[31:29] james baldwin abenámar mark webber y él
[31:34] sabrá mejor y la más buena
[31:39] o sea ahora invicto vez jamás mauer a
[31:44] ver si ahora que estuve sigue novia le
[31:49] luya risas
[31:52] era su hogar
[31:55] quizás se me fui a jugar
[32:00] quizás se me fui ya será su hogar quizás
[32:07] te dije novia le doy a risas
[32:15] m
[32:16] [Música]
[32:19] tal vez everyone
[32:29] en el certamen
[32:32] me diste
[32:34] [Música]
[32:35] descubierta
[32:38] eres
[32:42] los sabores
[32:48] valles green dam agua
[32:53] esos güeyes
[32:59] igual lo veis weiwei boca me van a
[33:03] bailar
[33:08] tenis
[33:11] [Música]
[33:15] minister's
[33:17] descubierta
[33:20] hoy no abonaron sabores de
[33:27] y los valores
[33:30] españa estaba mal visto
[33:35] y si estás erge largo y estrecho
[33:41] yo no estoy vivo nada en los sabores de
[33:48] y dios la web
[33:51] [Música]
[33:54] antes de ser descubierto
[34:02] derecho
[34:04] [Música]
[34:06] sabores de
[34:08] [Aplausos]
[34:09] lowe
[34:11] valles
[34:13] [Música]
[34:13] [Aplausos]
[34:15] en esto
[34:17] bueno por mí
[34:24] quizás te pones
[34:27] por fin
[34:30] y me da bien también la uach en sastre
[34:35] por me voy a ser titular
[34:41] [Aplausos]
[34:43] wuaki to the car en general
[34:48] somos de salud luisa huertas
[34:53] su actitud a cara
[35:00] y en eso
[35:23] a
[35:27] [Música]
[35:35] espero que este canto
[35:39] [Música]
[36:04] un hombre que canta todo tengo un amor
[36:11] que consuela el más inmenso dolor es
[36:16] fiel a sus promesas y este cuidado
[36:22] de mi fe es el anc nunca fallará
[36:28] todo está bien
[36:31] el estudio va
[36:35] el mundo suelo estar
[36:37] tomamos humanos
[36:40] el creador del universo
[36:44] con ansiedad
[36:46] como no suman hasta que todo está bien
[36:52] no
[36:56] todo va a estar bien
[36:58] no
[37:01] todo hasta el agua
[37:06] el amor
[37:08] fue el agua
[37:11] la bala
[37:20] no
[37:26] i
[37:29] hola
[37:39] todo lo que una vez tuvo
[37:45] algunos humanos están con mucho malestar
[37:50] el creador del universo nació todo
[37:55] ansiedad nos sobra mostrar que todo va a
[38:01] estar bien
[38:02] [Música]
[38:06] como más tarde
[38:09] no
[38:12] [Música]
[38:15] poco más tarde
[38:18] un ambiente emocional
[38:24] no eso no
[38:26] [Música]
[38:29] la ansiedad
[38:33] [Música]
[38:35] [Aplausos]
[38:38] no
[38:42] todo va saliendo
[38:44] [Música]
[38:48] todas alguien
[38:52] sí
[38:59] aquí
[39:00] ah
[39:04] bien
[39:05] pero es pasión y más hermosos últimos
[39:10] [Música]
[39:14] con esta canción
[39:20] [Música]
[39:21] mis inglés
[39:24] i
[39:26] [Música]
[39:27] sí
[39:32] negras
[39:35] sea de
[39:39] señor
[39:43] un
[39:46] y pelé
[39:50] salvo
[39:53] [Música]
[39:57] yo quiero
[40:00] [Música]
[40:01] yo fui
[40:04] y más
[40:08] migoya
[40:11] y piel
[40:14] no
[40:18] mira yo
[40:22] [Música]
[40:24] a mí
[40:29] e
[40:32] de soja
[40:36] [Música]
[40:40] sí
[40:43] pobres
[40:45] es la mía
[40:48] [Música]
[40:53] igual
[40:56] as
[41:00] cubanas
[41:04] aunque
[41:05] [Música]
[41:07] el guau
[41:10] para
[41:14] ah
[41:17] a mí
[41:21] sí
[41:23] [Aplausos]
[41:25] sweet
[41:28] dudosa
[41:32] s
[41:35] a ver
[41:38] a mí
[41:40] [Música]
[41:43] más
[41:46] agua
[41:52] bah
[41:53] [Aplausos]
[41:55] ay
[41:56] [Aplausos]
[41:57] [Música]
[42:11] hablé ciudades en sisters los bendiga
[42:13] hermanos y hermanas
[42:15] viguer estoy contento de estar aquí en
[42:17] esta noche a grito en the name el dolor
[42:19] y se escribe soy la bienvenida en el
[42:21] nombre del señor me sometería pervierten
[42:24] eventos están contentos de estar aquí en
[42:26] esta noche deténgase de salvación y
[42:28] lento y agradecido con dios por esta
[42:30] oportunidad en el estigma de pasteur
[42:32] porque de mí detrás tienes pop y también
[42:34] le doy las gracias a mi pastor toda la
[42:36] confianza de usar su púlpito mediación
[42:39] que yo vi escriptors si son tan amables
[42:42] y pudieran abrir sus escrituras conmigo
[42:44] el first against online banking serie en
[42:48] primera primera de reyes capítulo 19
[42:52] personalmente en capítulo 9 y 10
[42:55] versículo 9 y 10
[43:01] geim de líder en su declive en louder en
[43:06] beyond the world el dolor que surgen en
[43:09] ser anti gente y ahí se metió en una
[43:13] cueva donde pasó la noche y vino a la
[43:16] palabra de jehová el cual le dijo qué
[43:19] haces aquí elías web
[43:22] puedes elegir el aire que haces aquí
[43:26] elías en yisr al jardín baby ya les fue
[43:31] dolor ver el post
[43:35] él respondió el sentido un vivo celo por
[43:38] jehová dios de los ejércitos y por
[43:41] desorden el error for second coming from
[43:46] down the elders antes lane del profit
[43:50] web del sur en even you need and left
[43:56] and death in my life to take away porque
[44:00] los hijos de israel han dejado tu pacto
[44:02] han derribado sus altares y han matado
[44:05] es para tus profetas y solo yo he
