################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-08-02 - A New Thing Pastor Tito Moreira - Tito Moreira.txt
Video ID: xrc9Kshj8Ao
Segments: 1551
URL: https://www.youtube.com/watch?v=xrc9Kshj8Ao
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:10] y
[0:14] [Música]
[1:46] ah
[1:50] [Música]
[2:11] [Música]
[3:06] i
[3:09] [Música]
[3:10] e
[3:23] y
[3:25] [Música]
[3:55] ah
[3:59] [Música]
[5:30] ah
[5:33] ah
[5:38] d
[5:46] ah
[5:51] [Música]
[6:30] [Aplausos]
[6:32] [Música]
[6:59] ah
[7:04] [Música]
[7:14] [Música]
[7:34] más
[7:35] [Música]
[7:43] ah
[7:45] no
[7:51] i
[7:52] 2
[7:54] [Música]
[7:58] más
[8:03] [Música]
[8:22] y
[8:25] [Música]
[8:27] y
[8:30] ah
[8:37] y
[8:41] i
[8:45] e
[8:47] i
[8:50] ah
[8:56] [Música]
[9:01] ah
[9:02] [Música]
[9:11] ah
[9:29] [Música]
[10:05] bueno
[10:17] a
[10:27] ah
[10:32] i
[10:37] ah
[10:40] y
[10:51] [Música]
[11:30] y
[11:33] ah
[11:38] ah
[11:44] [Música]
[11:50] e
[11:52] [Música]
[12:15] l
[12:19] [Música]
[12:47] y
[12:48] [Música]
[12:51] y
[12:54] [Música]
[13:02] y
[13:05] [Música]
[14:05] [Música]
[14:32] a
[14:39] más
[14:42] [Música]
[14:52] ah
[14:54] [Música]
[15:01] ah
[15:06] ah
[15:12] [Música]
[15:17] las más
[15:22] [Música]
[15:31] y
[15:40] y
[15:44] i
[15:46] [Música]
[15:48] y
[15:52] y
[15:54] [Música]
[15:58] y
[16:02] hola
[16:02] [Música]
[16:15] i
[16:16] hola
[16:22] ah
[16:26] y
[16:56] i
[16:57] [Música]
[17:01] i
[17:06] [Música]
[17:12] ah
[17:13] [Música]
[17:20] i
[17:23] [Música]
[17:25] i
[17:27] i
[17:29] [Música]
[17:34] y
[17:39] ah
[17:43] y
[17:45] i
[17:47] [Música]
[17:55] [Música]
[18:02] y
[18:04] y
[18:05] [Música]
[18:10] y
[18:13] [Música]
[18:16] i
[18:25] [Música]
[18:29] y
[18:31] y
[18:33] i
[18:33] [Música]
[18:40] ah
[18:47] i
[18:50] [Música]
[19:33] y
[19:37] y
[19:40] [Música]
[20:07] y
[20:08] [Música]
[20:31] i
[20:32] [Música]
[20:50] [Música]
[21:02] adiós
[21:06] señor bendiga hermanos noble siempre
[21:09] sean bienvenidos a la casa del señor
[21:12] igualdad de género y bueno bien
[21:14] trabajado su dolor no es este canto de
[21:17] eso antes por la mañana yo dirijo mi
[21:20] alabanza un tumor y no hay tren con el
[21:23] dios que ha sido y es mi única esperanza
[21:26] de poder es mayor
[21:28] nuestra única esperanza unión vamos a
[21:32] darle pero su versión por la mañana yo
[21:37] dirijo mi alabanza
[21:39] al dios que ha sido y es mi única
[21:43] esperanza
[21:45] por allá
[21:48] con el alma
[21:51] y les suplico
[21:55] piel no se escucha el no se escucha
[21:58] juegos a matando y nos alivia de
[22:04] cualquier quebrando nos da su mando
[22:10] poderoso
[22:11] soy fuerte para librarnos de la misma
[22:17] muerte
[22:19] cuando la noche se aproxima tenebrosa
[22:23] puede ponerse de pie y triste
[22:27] [Música]
[22:29] o siendo su fascina agotable no es grata
[22:35] porque temores y ansiedad cristo los
[22:39] matamos
[22:41] o también el dejo mi cantar
[22:46] cuando a la tierra la carne
[22:51] el sol se oculta pero aunque a cristo
[22:58] aleluya
[23:03] y al despertar por la mañana
[23:06] siento que dios me embalé mi alma y
[23:12] pensamiento no veo a jesús mi redentor
[23:17] amado por mis pecados de la cruz lavado
[23:25] veo la sangre de sus manos que ha
[23:28] brotado veo la sangre por rotando en su
[23:34] costado una corona de espinas en su
[23:40] frente o la multitud es carne siéndole
[23:45] insolente pero que dicha me lleno de
[23:53] memoria
[23:57] y nos promete por regresar de nuevo
[24:03] para llevar
[24:05] a vivir al cielo
[24:09] e
[24:11] qué promesa me fuera probable si están
[24:15] contentos por eso hermano de pink floyd
[24:17] en la tumba y que siendo el reto y
[24:21] brownie un día nos levantaremos
[24:23] andy murray sexual o al señor yo le
[24:29] quiero servir le quiere servir porque sé
[24:35] de hardware
[24:36] no pues promete llevar a beber
[24:42] con todo de siempre
[24:48] vivo pensando
[24:50] [Música]
[24:53] como mejores
[25:00] también me guardando la vida
[25:04] sí
[25:10] con aquellos que no tienen
[25:15] tendré que luchar
[25:17] [Música]
[25:21] shindo nacido de
[25:24] e
[25:25] de su amor
[25:28] no me puedo perder
[25:32] he peleado la batalla
[25:43] y también de guardado
[25:48] solo espero me vea
[25:52] todo lo que tendré todo lo que tendré
[25:59] no se compara
[26:01] [Música]
[26:04] con la gloria
[26:08] al venir
[26:16] a la batalla
[26:20] con él
[26:23] en mi carrera
[26:24] de ventas
[26:28] [Música]
[26:33] pero
[26:35] para llevar la corona la corona de
[26:39] justicia ya está preparada
[26:46] de lucha libre o el señor
[26:50] esto le dará
[26:54] en un día que tenga que venir fue tomar
[26:59] asiento he peleado la batalla
[27:04] por la vida
[27:12] en igualdad
[27:16] solo espero que me venga
[27:19] al agua
[27:22] [Música]
[27:40] álvarez
[27:45] y
[27:48] y
[27:59] bien
[28:01] bien
[28:09] seguro esa mayor
[28:12] yo sé que tendría su mar
[28:15] y secarme isla
[28:18] y salvar este
[28:21] y una vez más
[28:24] yo digo amén pero ahora yo
[28:28] efe
[28:30] los truenos fuertes son apenas oigo
[28:35] decir por la lluvia contigo
[28:42] y alberto con pasión
[28:45] mis manos saltó al agua dios queda
[28:55] el doctor me dejó
[28:59] mis manos
[29:01] porque tú eres que te des
[29:05] de todo lo que yo
[29:09] puede hacer tus manos tu clave de caras
[29:15] así que ha plantado
[29:20] en la tormenta
[29:29] recuerdo cuando el viento
[29:32] es otro pesar
[29:38] levantarte
[29:42] a mayor
[29:44] cómo puedo seguir
[29:47] encuentro
[29:50] los dos muertos
[29:54] en azul con éxito
[29:56] la lluvia
[30:02] y alberto con pasión
[30:05] manos alto y alabó al dios que da
[30:14] el actor me callo levantaremos
[30:19] porque puede que te de recortadores
[30:25] todo lo que he llorado que tienen
[30:32] cara
[30:33] que ha plantado
[30:35] [Música]
[30:40] en álava
[30:48] de la tormenta
[30:50] de mis manos
[30:53] porque tú eres
[30:56] en la portada
[30:59] todo lo que he dado lo que antes
[31:05] para de lara
[31:08] y que el plan está bien
[31:13] en la torpe tala
[31:21] [Música]
[31:23] [Aplausos]
[31:32] y
[31:40] y lo puedes sentir usted en el filet lo
[31:46] que creamos esa bonita atmósfera
[31:50] yo creo que nos levantamos con ganas de
[31:53] venir a adorar el señor
[31:58] su palabra
[32:03] tengo muchas ganas de vivir en esta
[32:06] mañana
[32:06] wang ayer gente lee desmon y él puede
[32:09] hablarme a mi corazón méxico fic mayor
[32:12] que yo necesito
[32:16] pérez de arán y se identifica conmigo
[32:20] vamos a recibir a nuestro pastor
[32:25] [Música]
[32:29] sabes de gatito era uno de los
[32:32] preferidos nuestros de nuestro manu
[32:33] garcía garcía
[32:37] [Música]
[32:49] suavecito
[32:52] [Música]
[32:54] sobre él
[32:55] beckham
[32:57] yo fui a
[33:00] jesús
[33:02] seguimos fieles lineal y dolor
[33:08] i
[33:09] perdí
[33:13] [Música]
[33:14] su luz
[33:17] dijo
[33:20] en su amor
[33:23] suave suave
[33:25] de la cruz en la cruz
[33:29] todo bien
[33:30] mi lado
[33:33] y las manchas de mí
[33:35] calma el clavo
[33:37] [Música]
[33:42] y por qué
[33:43] no
[33:49] hombre feliz con el pse
[33:55] sobre una cruz me voy
[34:02] o
[34:05] en de brazos
[34:08] puede decir por este tumor
[34:14] por qué
[34:19] así
[34:25] tensión
[34:27] la fuerte
[34:29] con él
[34:30] hoy al cielo
[34:35] el tango
[34:38] comprar
[34:43] y hacer
[34:47] [Música]
[34:51] ah
[34:53] ah
[34:56] [Música]
[34:57] sólo estoy a tu lado
[35:07] d
[35:08] [Música]
[35:12] gritos
[35:13] [Música]
[35:15] me da
[35:18] a mí
[35:22] la cruz
[35:24] [Música]
[35:28] y la luz y las manchas de mi alma
[35:36] bueno
[35:38] [Música]
[35:41] ya ves
[35:45] siempre feliz
[35:50] fue allí
[35:53] por mes
[35:59] siempre feliz
[36:05] señor valor
[36:10] [Aplausos]
[36:12] gracias a los músicos cuantos más
[36:14] lugares y vamos a abrir nuestra biblia
[36:18] aprender párvulos with me al libro de
[36:21] josué capítulo 19
[36:25] es bueno está en la casa del señor gates
[36:28] bien haussler nos da gusto mirarlos a
[36:31] todos
[36:33] es un placer que estamos aquí para
[36:35] adorar holy name
[36:39] el beneficio es para nosotros es nuestro
[36:45] beneficio
[36:47] vamos a aprovecharlo
[36:50] no es solamente para dios
[36:53] bueno lo vengo a hacer para dios
[36:56] sí pero pero lo hacemos por nosotros
[37:00] venimos aquí
[37:02] para aprovechar el tiempo así que
[37:06] aproveche lo observan espriella y
[37:09] escalaba su entendimiento scart se
[37:11] extendió understand y si algo le pido a
[37:14] dios
[37:15] carson es dios es guarda abre el
[37:19] entendimiento de la gente señor
[37:21] understanding the people que nos ayude
[37:24] en esta mañana en mejor japonés demonio
[37:26] costo de capítulo 1 artículo 9 george
[37:29] chavel wanderers no dice mira que te
[37:31] mandó que te esfuerces y seas valiente
[37:33] no temas ni desmayes porque jehová tu
[37:35] dios estará contigo en donde quiera que
[37:37] vayas cámara de comando división en el
[37:41] burger espinal frente de la vida de
[37:44] smith fue dolor de gales
[37:46] wilson alcoholes
[37:50] quiero leer josué después vamos a
[37:53] revisar pero el capítulo 5
[37:56] después ya su perfil
[38:00] no soy capítulo 5
[38:07] sporting
[38:09] perdón vamos a ver el versículo 13
[38:13] perdón converse sting dice estando josué
[38:16] cerca de jericó alzó sus ojos y vio un
[38:19] varón que estaba delante de él el cual
[38:22] tenía una espada desenvainada en su mano
[38:24] y josué yendo hacia él le dijo eres de
[38:28] los nuestros o de nuestros enemigos en
[38:31] el quinto cuando sólo es parte
[38:33] recordarle terapies en los mejores
[38:36] términos bergantes nuestras órdenes and
[38:40] angels o bueno entonces en ser ante el
[38:43] forest
[38:44] horford por forjar ver services el lema
[38:47] que estamos siguiendo
[38:50] el libro de josué esto porque yo suelo
[38:53] ahora vamos a hablar con el título del
[38:55] trébol bilingüe de soft reales dios hace
[38:58] algo nuevo para el insomnio vamos a
[39:01] hablar claro señor jesús
[39:04] lo dice somos en tus manos está con
[39:08] nosotros en esta mañana y huesos en este
[39:10] mundo y creo que tienes algo
[39:12] tu pueblo hudson team for people
[39:16] ayúdanos a poder recibirlo de la mejor
[39:18] manera posible
[39:20] nos ponemos en tus manos al señor gente
[39:23] habla nuestros corazones medios víctor
[39:25] jara se lo pedimos en el nombre del
[39:27] señor jesucristo nos los escribe
[39:30] envuelto más lugares de manabí y del
[39:32] perdón
[39:37] estaba pensando un poco en josué house
[39:40] marketing and household y estaba viendo
[39:43] que tan gran líder él era en agua sin
[39:46] muro grade líder igual repita después de
[39:48] mi hijo sue grafton y joshua era un
[39:51] líder
[39:53] ahora cuando hablamos de un líder
[39:56] estamos hablando de alguien me explico
[39:59] aunque tiene cualidades
[40:02] que mucha gente no tiene doctores stones
[40:05] a un líder el lille está dispuesto es
[40:08] willy a ir a lugares donde los demás no
[40:11] están dispuestos a irse
[40:13] y sobre todo un líder está dispuesto a
[40:20] ir a lugares nuevos
[40:22] en new songs air por bereberes o por
[40:26] lugares que tal vez no han sido
[40:28] caminadas antes construye
[40:30] a enfrentarse con cosas que son
[40:34] espantosas 6 things
[40:36] porque nadie las ha hecho antes nadie le
[40:40] ha enseñado cómo hacerlo buen gestor
[40:43] pero de eso se trata ser un líder
[40:47] en este tiempo que estamos viviendo
[40:50] estamos tan falta estamos tan faltos de
[40:55] liderazgo
[40:57] en nuestro país
[41:00] no tiene liderazgo
[41:03] miramos lo que está sucediendo con el
[41:05] coronavirus y miramos a un presidente
[41:10] que no está dispuesto a tomar liderazgo
[41:13] en wheeling querer pretender de que todo
[41:16] está bien
[41:17] cuando hay gente sufriendo por un lado y
[41:20] por otro time laporta en la 2a gente
[41:22] muriendo
[41:24] el presidente quiere aparentar está bien
[41:29] en vez de enfrentarse a la cosa pero si
[41:33] saben que en sí no necesitamos tomar
[41:36] riesgos grandes necesitamos a nosotros
[41:42] ser líderes en el mundo y vivir soft es
[41:45] pero en este caso los estados unidos en
[41:49] sí está muy
[41:50] comparado con otros países que han
[41:54] tenido buen liderazgo que casi no tienen
[41:59] casos en el país pueden estar sin
[42:02] cubrebocas es con sus 6 que me gustaron
[42:04] más porque tuvieron un buen líder que
[42:07] dejar que alguien que decidió tomar
[42:10] riesgos grandes como necesarios y hoy de
[42:14] acciones espantosas
[42:18] pero lo hizo
[42:21] en este tiempo antes está la verdad nos
[42:24] hacen falta líderes y chulin y twitters
[42:26] personas que no simplemente me pudieron
[42:29] simple
[42:31] hagan lo mismo y lo mismo lo mismo
[42:35] en su casa saben de que hay cosas que no
[42:39] están bien de no distinguieron pero
[42:41] nadie se mojaran y dicen hasta aquí
[42:43] llegó esta cosa digna de estar en sedes
[42:45] y divulgar las cosas van a cambiar en
[42:47] nuestro hogar en 65 simpson hermosas
[42:50] películas que mirábamos antes dos films
[42:53] ya no las vamos a mirar
[42:55] esta actitud que tenemos aquí
[42:59] y esto tiene que cambiar necesitamos
[43:02] líderes en nuestro hogar
[43:04] necesitamos líderes en nuestras iglesias
[43:07] hay gente que no está dispuesta y podrán
[43:11] cambiar sus intercambios y todo el libro
[43:15] de josué trata acerca de algo nuevo que
[43:19] ahora ni uno quiere hacer algo nuevo
[43:22] pero lo nuevo es difícil o tenido
[43:25] estéticos espantosos porque nunca se ha
[43:28] hecho
[43:30] pero un líder por el líder está
[43:33] dispuesto a ir a lugares donde los demás
[43:36] no están dispuestos a irse con supuestos
[43:39] weller stonewall inn cuando cuando yo
[43:41] salí de california o en night lights'
[43:43] california algo muy espantoso para mi
[43:45] ilusión timbers que el informe ya
[43:46] teníamos la iglesia
[43:48] jolie heart yo era el pastor hay un
[43:50] sórdido pastor
[43:53] y dios nos dice
[43:55] situación nos dice me dice necesitas
[43:58] moverte de aquí corto
[44:01] y diosa habló a mi vida
[44:04] habló a mi corazón y yo tomé ese paso
[44:10] con mucho mucho cuidado pero cuando yo
[44:13] estaba convencido buen awards con que
[44:15] era dios el que me estaba diciendo de
[44:17] show les corts speaking son mil de todas
[44:20] maneras era muy espantoso
[44:21] agustín es muy riesgoso behring en la
[44:25] lxi qué tal si nadie quiere venir un es
[44:27] normal sensación que tal si ella me va
[44:30] muy mal qué tal si todo sale mal
