################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-09-19 - Preparing For The Attack Samuel Gonzalez & Vidal Moreno - Vidal Moreno.txt
Video ID: kzkbGR5WD10
Segments: 1620
URL: https://www.youtube.com/watch?v=kzkbGR5WD10
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:09] no
[0:11] [Música]
[0:21] ah
[0:28] i
[0:41] [Música]
[0:47] i
[0:48] [Música]
[1:08] ah
[1:15] [Música]
[2:12] no no
[2:16] [Música]
[2:20] ah
[2:23] aquí
[2:29] ah
[2:30] [Música]
[2:33] a
[2:35] no no
[2:39] no
[2:44] [Música]
[2:49] ah
[2:52] [Música]
[2:56] y
[2:59] y
[3:08] i
[3:13] [Música]
[3:25] ah
[3:33] a
[3:34] [Música]
[3:43] a
[3:46] [Música]
[3:49] i
[3:51] [Música]
[3:54] pero no
[3:56] [Música]
[4:04] ah
[4:06] ay
[4:08] [Música]
[4:22] 2
[4:26] [Música]
[4:28] a
[4:29] [Música]
[4:45] i
[4:49] [Música]
[4:53] ah
[4:56] e
[5:05] ah
[5:08] [Música]
[5:24] bueno
[5:26] a
[5:29] ah
[5:37] ah
[5:37] [Música]
[5:41] i
[5:46] ah
[5:52] aquí
[5:54] [Música]
[6:01] i
[6:01] [Música]
[6:05] i
[6:08] i
[6:10] no
[6:22] [Música]
[6:36] [Música]
[6:42] y
[6:47] [Música]
[6:54] i
[7:10] bueno
[7:22] i
[7:23] [Música]
[7:53] por qué
[8:04] [Música]
[8:46] a mí
[8:52] [Música]
[9:24] [Música]
[10:13] i
[10:14] [Música]
[10:19] yo
[10:20] [Música]
[10:26] no
[10:28] i
[10:33] i
[10:42] o no
[10:51] ah
[11:05] ah
[11:22] [Música]
[11:30] a
[11:36] [Música]
[11:55] ah
[12:03] a
[12:04] 2
[12:07] [Música]
[12:44] 1
[12:46] 1
[12:48] i
[12:56] 2
[13:05] i
[13:07] 3
[13:14] i
[13:23] [Música]
[13:33] aquí
[13:43] no
[13:50] ah
[13:59] y
[14:06] [Música]
[14:20] y
[14:23] [Música]
[14:26] [Aplausos]
[14:33] [Aplausos]
[14:34] [Música]
[14:41] y
[14:43] por qué
[14:48] i
[14:54] i
[14:56] ah
[14:58] [Aplausos]
[15:06] [Aplausos]
[15:11] i
[15:19] [Música]
[15:26] e
[15:28] [Música]
[15:34] [Aplausos]
[15:35] [Música]
[15:51] [Aplausos]
[15:55] [Música]
[15:59] e
[16:01] [Música]
[16:06] y
[16:08] e
[16:13] [Música]
[16:22] ah
[16:27] [Música]
[16:31] [Aplausos]
[16:33] [Música]
[16:58] [Música]
[17:11] [Aplausos]
[17:15] [Música]
[17:23] i
[17:26] y
[17:32] [Música]
[17:38] [Música]
[17:46] [Música]
[17:52] 2
[18:00] [Música]
[18:09] [Música]
[18:10] llevamos menos de dos horas
[18:22] está todo de micros
[18:29] es
[18:31] [Música]
[18:35] [Aplausos]
[18:39] 2
[18:41] no
[18:50] hoy
[18:55] si vienes
[19:03] más
[19:06] sí
[19:16] sí no
[19:29] de doble
[19:34] con muy bien
[19:48] en el espejo
[19:55] pero
[19:59] sin que nadie debe morir
[20:14] mejor vivir
[20:22] sí
[20:26] por el amor de un vengador que no se me
[20:33] dio
[20:37] qué tal
[20:41] el vino único nuevo
[20:47] subiendo
[20:53] sí
[20:55] de perfil
[20:58] y por qué
[21:10] sí no
[21:14] de hecho su rueda
[21:22] buscando
[21:24] sí
[21:36] han sufrido
[21:43] también
[21:52] y estar aquí en esta noche le damos la
[21:59] bienvenida a cada uno de ustedes y
[22:01] también de los que los miran por
[22:02] internet
[22:08] después
[22:11] no no
[22:19] como tal
[22:22] españa estaba más bien de esto
[22:37] quiero ver
[22:40] por las palabras del mismo
[22:55] no me vaya
[23:09] de sus casas
[23:20] son obvias
[23:23] bien
[23:31] este mismo martes
[23:41] son flores
[23:44] yo valoro
[23:54] s
[23:59] el dolor
[24:08] promesa de no comentar también hola
[24:23] no lo sé
[24:29] [Música]
[24:48] 8
[24:51] pero no me da nada
[24:56] i
[25:07] 2
[25:19] 8
[25:23] sí no
[25:27] en mi proceso
[25:41] le puede dar un aplauso a nuestro señor
[25:43] jesucristo
[25:44] [Música]
[25:46] con esta canción vamos a recibir la
[25:48] palabra
[25:48] [Música]
[25:50] a nuestro hermano samuel
[25:54] nuestro hermano vidal moreno
[25:59] piense de su amor al ente
[26:02] un bote local
[26:07] [Música]
[26:14] [Música]
[26:16] yo
[26:19] as
[26:37] nunca bajé islas
[26:41] i
[26:46] y
[26:48] no no no
[27:05] más
[27:07] d
[27:10] [Música]
[27:19] [Música]
[27:20] t
[27:23] [Aplausos]
[27:26] e
[27:27] [Música]
[27:31] y es así
[27:35] en este
[27:38] cermi
[27:40] no sé por qué
[27:45] amante vidas
[27:48] el empleado
[27:58] siempre
[28:02] sí
[28:08] en estas
[28:14] en este tour
[28:18] sí
[28:25] 2
[28:29] y tú
[28:38] me besas
[28:45] no
[28:46] más
[28:48] [Música]
[28:51] bien
[28:55] sí
[29:02] [Música]
[29:07] estoy tan contento de estar aquí
[29:14] espero que todos estén en sus corazones
[29:20] y mentes listos a seeger teixidó mis
[29:23] decisiones son gracias a los cantos los
[29:26] que cantan en los que tocan jardines del
[29:27] iab haciendo un gran trabajo es decir
[29:29] límite que si suena de los músicos
[29:31] pueden tomar sus lugares al 70 también
[29:34] quiero agradecerle a dios y acaso es
[29:36] igual de mal a fernando si él no
[29:37] estuviera en mi vida ahorita a bueno
[29:39] pero yo no estuviera aquí pues ese agua
[29:42] ni centeno por eso le quiero dar gracias
[29:43] y me sigan antes te mataste tito también
[29:47] le quiero dar gracias a mi pastor
[29:48] hermano tito fue que me echaste facebook
[29:50] disculpe por darme la oportunidad de
[29:52] predicar detrás de su púlpito es sólido
[29:54] blazing es sinceramente es una bendición
[30:01] y luego invitar que abra su bible
[30:04] proverbios capítulo 16 versículo del que
[30:07] no lo pueden poner aquí en las pantallas
[30:10] hija de limpieza
[30:12] cuando usted lo tenga puede decir un
[30:13] amén
[30:16] en exactas dice así operation of the
[30:20] heart men
[30:23] el nombre del nombre son las
[30:25] disposiciones del corazón o las
[30:27] preparaciones del corazón en share of
[30:30] the tongue más de jehová es la respuesta
[30:32] de la lengua strong dolor es de jehová
[30:36] el hueso formentor clean en es una es
[30:40] todos los caminos del hombre son limpios
[30:42] en su propia propia opinión para tomar
[30:45] with the spirits pero jehová pesa los
[30:49] espíritus comet agresión titular
[30:52] encomienda tea jehová tus obras en
[30:56] deidad soviets tardes y tus pensamientos
[30:58] serán afirmados en maneras papers vamos
[31:02] a hablar del origen y filer padre
[31:05] celestial cristian y fue presenció
[31:07] estamos parados ante tu presencia
[31:10] taking new yort en quilín los regímenes
[31:13] tras de 10 life for dándote gracias por
[31:15] darnos la oportunidad de un día más
[31:16] seguidor friki binacional de ser de este
[31:18] final que son gracias por darnos un
[31:20] servicio más donde podamos enfocarnos a
[31:23] yasky tenedor te doy gracias y te agrade
[31:25] te pido que me exterior que yo me pueda
[31:27] ser un lado n de djs speaking y que yo
[31:30] pueda ser usado ley waxman let's cuida a
[31:33] mis labios mainz en acíndar yo no puedo
[31:36] decir nada malo me violan satinga frank
[31:38] descripción y que podamos aprender algo
[31:40] bueno de esta predicación ha escalado 16
[31:43] net
[31:43] todo esto lo pido en el nombre de
[31:44] jesucristo
[31:45] en el ejército pueden tomar sus lugares
[31:48] hermanos solas tú y cartas textito así
[31:52] la semana pasada nuestro pastor hermano
[31:54] tito star news
[31:56] preference jong-il trajo una nueva
[31:58] predicación a un nuevo tema llamado
[32:01] preparación de 10 cosas relacionadas a
[32:08] este tema la guacamaya tang jing lo que
[32:11] tomó y captó mi atención
[32:14] en el cual voy a estar hablando en esta
[32:16] noche es harvey verified es como estar
[32:19] preparados para cuando llegue el mal hay
[32:21] shows de esta técnica
[32:23] yo me gusta y quiero hablar de este de
[32:26] este mensaje porque muchos de nosotros
[32:32] hablando mejores todos como cristianos
[32:35] la granja del habla o actuamos a veces
[32:38] como que estamos en el cielo
[32:39] como que ya lo resumió todo el fin del
[32:46] camino va a ir bien
[32:47] wilders o hermano suyo reinaron field
[32:50] estamos en
[32:51] en campo de batalla y tenemos que estar
[32:54] preparados para cuando el enemigo venga
[32:58] cuando el nos ataque primeramente
[33:02] hermanos mismos son standard life is
[33:04] burning tenemos que aprender de que la
[33:06] vida es una jornada winston de ningún
[33:10] siervo no empezamos la jornada cuando
[33:12] fuimos o nacimos desnudo drafting no hay
[33:14] otra opción es life así es la vida
[33:17] we say tensión y tenemos que tomar la
[33:20] jornada from the tv web board desde el
[33:22] día en que nacimos su de llegar cons
[33:24] hasta el día que venga jesucristo con
[33:26] nosotros es otra lección y código
[33:29] entonces a través de esta jornada el
[33:31] el enemigo es otro adhesión y
[33:34] cold life perdona a través de esta
[33:36] jornada llamada vida y vos grandas la
[33:39] maldad nos rodearán la mitad yo players
[33:42] déjeme decirle decisión ningún ápice
[33:44] esta jornada no será fácil es quiere
[33:47] viajar será muy difícil pero sepa que
[33:51] dios estará con usted
[33:52] dios nos está ayudando nos está
[33:56] preparando
[33:57] la batalla y vamos a rendir la maldad
[34:01] nos rodearán 633 en francia y el
[34:04] tratará de mandar sus trucos y trampas
[34:07] hacia nosotros y más nada pero tendremos
[34:09] que saber nosotros para que dios está
[34:11] universal está de nuestra parte fuimos
[34:14] mi preferido tenemos que estar
[34:16] preparados para la manta de su fin
[34:18] elegir su team pero aquí está la cosa en
[34:20] órbita perforin para estar preparados
[34:23] para cuando llegue el hoy nuestro
[34:25] hijo works tenemos que saber cómo
[34:27] trabajar la maldad el dinero mejor que
[34:29] cómo trabaja el enemigo de babosas en
[34:31] yonkers extintores 33 la biblia nos dice
[34:34] en juan capítulo y esperando muertos
[34:42] en estas actas inicio así
[34:46] distingue hojas porque no han sido estas
[34:50] cosas les he hablado a nosotros ya en mí
[34:52] y my heart is
[34:55] que me tengan paz en the world vision of
[34:58] revelation en el mundo tendréis
[35:00] aflicción capi óscar díaz pero confía
[35:04] dejado ver con the world porque yo he
[35:07] vencido en donde emana de guarecer en
[35:09] john es lo que dice juan picas john
[35:11] waste ubican flex porque vendrán
[35:14] conflictos de bobby cox al frame vendrán
[35:17] a cosas que nos agrandan yo debo vivo
[35:20] tendrá maldad bigote no dakar tenemos
[35:24] que entender que mirar rola stats nunca
[35:26] nos ha dejado quienes webs fáciles para
[35:28] con nosotros y huesos obrar y vueltas y
[35:30] fue bastante hacia abajo nosotros decir
[35:32] y escribir pero ciudad es nos ayudará a
[35:35] vencer esas cosas guays kaiser como dije
[35:38] uy casting o joven y muerte tenemos que
[35:40] trabajar y saber como el enemigo trabajo
[35:42] en hard with you y cómo lo hacemos el
[35:44] hardware con la palabra de dios
[35:47] ward warehouse us vivió la palabra de
[35:50] dios nos ayudará revela
[35:52] 40 cuáles son nuestros derechos y nos
[35:56] ayuda a revelar sus trucos y trampas
[36:00] topal causas nos dice todavía destruyan
[36:04] tenemos tres enemigos la destruyan en mi
[36:07] suerte tres enemigos tar sands ruina
[36:09] life si están tratando de arruinar o
[36:11] terminar nuestra iguales erwin a phoenix
[36:14] tienen arruinar nuestras familias de
[36:16] guantes nadie ingersoll quieren robar
[36:19] nuestras almas de guayaquil bien formado
[36:22] soy script y quieren detenernos que
[36:25] nosotros no tengamos el gozo como
[36:27] cristianos visto en el míster cold estas
[36:30] tres esos tres enemigos son the world el
[36:33] mundo al flash nuestra carne aceite y el
[36:38] the world cancer round y el
[36:41] tiene alrededor 6 del cáncer game
[36:45] perdón el mundo bien alrededor el
[36:47] viene contra usted ante paraguay
[36:49] suicidio y la guerra está dentro de
[36:52] nosotros
[36:53] wimax lo instruían entenderemos tenemos
[36:55] que saber estos tres enemigos es de
[36:57] without porque si no también tengo al
[36:59] primer no estuvimos preparados hemos
[37:01] tambo y vamos a tropezar en google no
[37:05] web
[37:05] y no sabremos qué hacer
[37:07] vivo una vergüenza pero nunca ganaremos
[37:09] la batalla y vamos a ir a través de la
[37:13] vida derrotados por ayudar me snap site
[37:17] en nuestro en si nuestro primer enemigo
[37:20] no es el estás somos nosotros
[37:24] un flash es nuestra propia carne los
[37:26] varones escenas nuestra batalla está
[37:28] dentro de nosotros
[37:30] wii más nada y gobiernan tendremos que
[37:32] saber que el día o perdón es el
[37:35] incentivo la maldad está dentro de
[37:37] nosotros ahora mismo tendremos tenemos
[37:40] una parte de lo que es la maldad y no
[37:44] hay cosas que sabemos ya que las que son
[37:47] buenas para nosotros con cifras son
[37:49] saludables para nosotros las esferas que
[37:52] son lo mejor para nosotros subieron dv
[37:54] pero no lo hacemos
[37:56] pero sabemos las cosas también que son
[37:58] malas que no son saludables para
[38:02] nosotros aquí en esta por las que nos
[38:04] pueden arruinar nuestra propia vida
[38:06] y aún así lo hacemos
[38:09] porque porque eso viene de nuestra vieja
[38:12] naturaleza
[38:14] nuestra vieja naturaleza quiere que
[38:16] usted se divierta
[38:18] y haga las cosas que son fáciles
[38:22] king dijo que viene el y empieza
[38:24] a darle con sus trucos de thinking para
[38:28] que usted empiece a pensar esto quiere
[38:30] decir bueno eso está bien que usted lee
[38:32] ve que thinking eso tratado en la
[38:37] empieza a tratar de que usted empiece a
[38:38] pensar y bienes indios en e incluso
[38:41] cuando usted ve que no van a haber
[38:44] consecuencias pero déjeme decirles si
[38:47] habrá consecuencias y usted responsable
[38:50] por sus propias acciones
[38:52] wisin suavice stadler in goal 2 entonces
[38:55] es por eso tenemos que empezar a dejar
[38:56] soltar esas cosas tyler y nodos y multi
[38:59] de agua de esta forma tenemos que soltar
[39:02] esas cosas malas que nos detienen para
[39:04] seguir hacia delante agua
[39:06] y no podemos dejar que nos afecten en
[39:08] una manera mala soy que no llegar para
[39:11] poder voltear adiós en gente y decirle
[39:14] ayúdame a mi dirección
[39:20] me gustó lo que el pastor tito habló
[39:23] hablando de que vivimos en un mundo un
[39:26] poco terrible cambia porque es verdad
[39:28] estamos viendo un este terrible haces
[39:31] nacer la vida o la vida no es justa a
[39:34] veces llamada tipo cita la desbordan a
[39:36] muchos y se piensan que la vida es
[39:38] aburrida life is many things la vida
[39:40] puede ser muchas cosas para ti pero
[39:44] imagina pero usted debe saber de nothing
[39:49] is worth en nothing en el zinc emitting
[39:53] usted debe saber que esa cosa pequeña o
[39:56] casi nada es wes nacen
[40:00] vale nada de lo que usted vale o lo que
[40:04] le pone atención a lo poco eso a veces
[40:06] no vale nada sin dios
[40:12] me gustó cuando el pastor título de cómo
[40:15] saber enfrentar en la maldad y también
[40:19] cuando lo el sufrimiento
[40:22] porque tendremos y tendremos que
[40:25] enfrentar lo que es la maldad pero
[40:28] tendremos que sufrir white pero y vendo
[40:32] winston aún si tropezamos levantará una
[40:36] vez más
[40:39] no importa en lo más bajo que usted se
[40:41] encuentre
[40:43] dios lo puede levantar otra vez
[40:47] otra cosa que nuestro pastor predicó
[40:50] desde que nuestros padres quieren
[40:52] protegernos france a fin para no sufrir
[40:57] y enfrentar la maldad
[41:00] déjeme decirles eso solamente no ellos
[41:05] nos pueden proteger sola
[41:06] en un periodo de tiempo no van a poder
[41:10] proteger para siempre actos festivos
[41:13] tarde o temprano tendremos que enfrentar
[41:15] lo que es malo o la verdad tendremos que
[41:18] enfrentar el sufrimiento y beneficiosa e
[41:21] incluso es si sufrimos del cambio
[41:24] washington soft puede haber una
[41:26] bendición en el sufrimiento
[41:29] geimer brothers amén hermanos y benefit
[41:31] viven y beneficia frame aun si nos
[41:35] enfrentamos con el sufrimiento y si
[41:38] tenemos que caminar por ese fuego que
[41:41] nos ayudará para poder pasar por esa
[41:44] narrativa él nunca nos va a dejar en
[41:46] manos de néstor kirchner working aun
[41:49] cuando se mire que no está trabajando
[41:51] yes work él está trabajando y él sigue
[41:55] trabajando y él sigue trabajando quiero
[42:02] compartir un pequeño testimonio con
[42:04] ustedes hermanos censados bueno
[42:06] cuando yo nací desde que yo nací perdón
[42:12] mis padres me han estado protegiendo
[42:14] para poder pero mientras yo crecí en
[42:19] edad en ag - ccoo y llegué a la escuela
[42:23] primaria
[42:26] ahí es donde cuando llegué a la escuela
[42:28] tuve que enfrentarme con lo que es mal
[42:31] empezó tuve que enfrentar con el
[42:34] sufrimiento
[42:35] tuve que enfrentar con la crítica
[42:39] tuve que enfrentar con bullying
[42:42] la gente me empezó a criticar
[42:45] porque por mi altura
[42:50] me enseñó o puede ver cosas en lo que es
[42:53] en las redes sociales a pipo comida y la
[42:56] gente me ponía hacia abajo tipo la gente
[43:02] se empezó a burlar de mí y mi padre no
[43:06] estaba ahí para protegerme mamá mi madre
[43:09] no estaba ahí para proteger más estrés
[43:11] mis hermanas no estaban ahí para
