################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-10-10 - No Gastes Tu Tiempo Pastor Tito Moreira & Diego Moreno - Tito Moreira.txt
Video ID: jqSMYqdYYrw
Segments: 1748
URL: https://www.youtube.com/watch?v=jqSMYqdYYrw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:06] no
[0:10] [Música]
[0:15] e
[0:24] a
[0:26] e
[0:28] [Música]
[0:35] ah
[0:42] y
[0:46] [Música]
[0:56] e
[1:04] el canto
[1:08] [Música]
[1:09] a él
[1:11] ah
[1:23] ah
[1:24] [Música]
[1:45] pero
[1:46] [Música]
[2:01] [Música]
[2:22] e
[2:23] y
[2:25] igual
[2:28] [Música]
[2:31] no
[2:33] [Música]
[2:44] [Música]
[2:47] ah
[3:01] [Música]
[3:16] [Música]
[3:20] i
[3:35] [Aplausos]
[3:36] [Música]
[3:41] o no
[3:48] [Música]
[3:53] [Música]
[4:01] y
[4:08] [Música]
[4:14] [Música]
[4:18] con él
[4:20] y mira
[4:24] [Música]
[4:38] e
[4:39] ah
[4:43] [Música]
[4:45] ah
[4:46] [Música]
[4:53] i
[4:55] [Música]
[4:59] e
[5:02] ah
[5:09] a
[5:11] bueno
[5:12] [Música]
[5:19] [Música]
[5:29] [Música]
[5:38] [Música]
[5:40] ah
[5:42] [Música]
[5:50] [Música]
[6:00] [Música]
[6:11] i
[6:14] i
[6:32] ah
[6:34] [Música]
[6:38] no
[6:44] [Música]
[6:47] bien
[6:51] a mí
[6:55] [Música]
[6:58] no
[6:59] [Música]
[7:07] bueno
[7:12] ah
[7:14] [Música]
[7:24] y
[7:35] [Música]
[7:41] ah
[7:44] [Música]
[7:57] ah
[7:58] ah
[8:03] ah
[8:06] ah
[8:08] i
[8:21] ah
[8:31] ah
[8:40] ah
[8:50] y
[8:51] [Música]
[9:01] [Música]
[9:10] [Música]
[9:24] i
[9:27] [Música]
[9:29] e
[9:31] y
[9:34] [Música]
[9:37] [Aplausos]
[9:39] [Música]
[9:49] i
[9:51] [Música]
[9:58] [Música]
[10:04] [Música]
[10:11] y
[10:15] [Música]
[10:28] mira
[10:30] [Música]
[10:37] ah
[10:42] [Música]
[10:45] no
[10:49] e
[10:55] [Música]
[11:12] ah
[11:16] ah
[11:21] a
[11:29] ah
[11:30] [Música]
[11:34] no
[11:35] [Música]
[11:58] y él
[12:02] [Música]
[12:13] y
[12:14] [Música]
[12:21] bien
[12:28] [Música]
[12:44] [Música]
[12:50] [Música]
[12:58] [Aplausos]
[13:02] e
[13:04] [Música]
[13:18] e
[13:22] ah
[13:24] ah
[13:26] y
[13:28] [Música]
[13:35] ah
[13:36] [Música]
[13:52] [Música]
[13:55] ah
[13:59] [Música]
[14:14] e
[14:16] [Música]
[14:21] e
[14:27] [Música]
[14:36] [Música]
[14:52] a
[15:14] y
[15:19] ah
[15:59] y
[16:22] ah
[16:27] [Música]
[16:32] i
[16:45] i
[16:52] [Aplausos]
[16:53] [Música]
[17:04] y
[17:16] [Música]
[17:23] [Aplausos]
[17:24] ah
[17:38] y
[17:45] bien
[17:46] [Música]
[17:53] [Aplausos]
[17:58] i
[17:59] [Música]
[18:27] ah
[18:45] i
[18:47] [Música]
[18:51] bueno
[18:59] sí
[19:10] sí
[19:12] [Música]
[19:35] por favor
[19:37] [Música]
[19:40] esto
[19:42] [Música]
[19:45] ayer yo no por nada
[19:50] son moix
[19:53] no soy yo
[19:56] [Música]
[20:05] sí
[20:08] no
[20:09] [Música]
[20:12] solo eso
[20:17] e
[20:20] [Música]
[20:26] voy a estar
[20:28] [Música]
[20:32] no
[20:35] pero fuera
[20:37] fue hasta allá
[20:42] audio
[20:47] cristo
[20:50] [Música]
[20:52] todos
[20:54] en el noreste
[20:59] 10
[21:01] el espai es grave para la web de destino
[21:07] a veces pasa
[21:09] [Música]
[21:18] son flores
[21:20] con 0
[21:23] esto es una bendición
[21:32] yo los saludamos en el nombre del señor
[21:37] jesucristo
[21:38] le damos la bienvenida y le damos la
[21:44] bienvenida a los que los miran por el
[21:45] internet
[21:46] swissinso por cantar esta canción
[21:48] conmigo
[21:52] 2
[21:55] no
[21:59] bajo
[22:00] [Música]
[22:03] poderes
[22:06] está lleno de cosas pero la cerró bajo
[22:10] los cuantos amigos constan
[22:17] todas mis obras
[22:21] mire
[22:25] ese trabajo
[22:28] [Música]
[22:34] está lleno de cosas
[22:37] hago
[22:38] [Música]
[22:40] supachai se firma
[22:44] eso es obra de ti
[22:48] [Música]
[22:51] a la habana
[22:55] [Música]
[22:59] a la pared
[23:02] álvarez
[23:07] mi señor cuando el número de guardias el
[23:12] número de los redimidos todos
[23:21] unos ahora vas y otros cantaban t
[23:29] el señor
[23:30] [Música]
[23:37] al mar
[23:39] mi señor
[23:41] [Música]
[23:45] loco
[23:46] [Música]
[23:59] vamos a recibir la palabra de esta noche
[24:03] ustedes están listos para la palabra
[24:06] carazo de instancia yo creo que dios
[24:08] tiene algo especial para nosotros
[24:10] [Música]
[24:14] con ésta con este canto vamos a recibir
[24:16] la palabra vinculante y neutrales y
[24:17] nosotros también vamos a estar
[24:19] recogiendo la ofrenda y los riesgos
[24:23] [Música]
[24:28] de un saco
[24:33] no
[24:39] el choque
[24:43] no mortal
[24:47] en dos caras
[24:50] una noche
[24:52] [Música]
[24:57] todo describe
[25:00] fue su amor
[25:02] [Música]
[25:12] h
[25:14] todo esto
[25:18] vi
[25:21] [Música]
[25:25] huarte
[25:27] [Música]
[25:32] wen machine
[25:36] sí
[25:40] no no
[25:43] aparece
[25:45] es dulce
[25:49] me vallés ue
[25:54] nietzsche
[25:56] me perdones
[26:00] me dice
[26:03] la promesa
[26:05] [Música]
[26:07] fuerte
[26:10] cómo viste
[26:14] ya vi que glorioso día será
[26:19] [Música]
[26:22] gloria
[26:24] si al día
[26:28] cuándo
[26:29] [Música]
[26:31] jesús veres
[26:35] y me llevé
[26:39] temblar
[26:42] una
[26:45] ya me salvó
[26:47] [Música]
[26:52] me tomara
[26:54] [Aplausos]
[26:56] esa tierra
[26:59] la cara
[27:03] qué gran día
[27:05] [Música]
[27:06] glorioso día
[27:10] sera
[27:13] [Música]
[27:19] y les bendiga
[27:23] es bueno estar en la casa de dios
[27:27] enrique árboles wifi se pudieran abrir
[27:30] sus escrituras conmigo voy con marcha en
[27:33] el marco del capítulo 10 persiste en
