################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-01 - Arrancalo Pastor Tito Moreira - Tito Moreira.txt
Video ID: nscHDRcPOiI
Segments: 1772
URL: https://www.youtube.com/watch?v=nscHDRcPOiI
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:15] ah
[0:19] a
[0:30] i
[0:35] no
[0:37] i
[0:43] ah
[0:45] ah
[0:56] ahora
[1:04] ah
[1:13] a
[1:15] ah
[1:18] ah
[1:20] ah
[1:28] ah
[1:37] ah
[1:41] [Música]
[1:58] ah
[2:01] i
[2:09] [Música]
[2:49] y
[2:51] i
[3:06] i
[3:14] ah
[3:34] [Música]
[3:42] a
[3:47] ah
[3:57] [Música]
[4:10] i
[4:12] no
[4:13] i
[4:15] ah
[4:18] ah
[4:19] ah
[4:23] y
[4:27] i
[4:31] y
[4:34] as
[4:37] ah
[4:39] ah
[4:43] i
[4:45] y
[4:47] ah
[4:55] ah
[4:58] [Música]
[5:14] y
[5:27] [Música]
[5:31] [Aplausos]
[6:07] y
[6:34] ah
[6:39] y
[6:45] [Música]
[7:05] ah
[7:22] ah
[7:25] e
[7:28] [Música]
[7:40] ah
[7:48] ah
[7:49] [Música]
[8:14] y nada
[8:40] ah
[8:46] a
[9:18] ah
[9:20] ah
[9:47] [Música]
[9:50] [Aplausos]
[9:56] [Música]
[10:25] [Aplausos]
[10:29] [Música]
[10:49] i
[10:57] y
[11:02] ah
[11:10] a
[11:28] e
[11:41] [Música]
[11:49] a
[11:53] y
[11:56] i
[12:01] bien
[12:27] [Aplausos]
[12:43] e
[12:44] [Música]
[12:56] ah
[12:59] ah
[13:16] ah
[13:18] a
[13:20] a
[13:32] ah
[13:36] ah
[13:42] y
[13:44] i
[13:48] ah
[14:02] y
[14:05] ah
[14:07] i
[14:20] a
[14:22] 1
[14:31] a
[14:38] y
[14:40] [Aplausos]
[14:55] ah
[15:08] y
[15:25] y
[15:32] ah
[15:37] ah
[15:44] ah
[15:49] y
[16:07] [Música]
[16:49] no
[16:51] ah
[16:54] ah
[16:58] a
[17:06] ah
[17:14] [Música]
[17:21] ah
[17:23] ah
[17:25] ah
[17:40] [Aplausos]
[17:58] ah
[18:00] ah
[18:02] e
[18:05] ah
[18:09] [Música]
[18:41] ah
[18:50] [Aplausos]
[19:07] a
[19:10] vale
[19:17] ah
[19:34] ah
[19:38] a
[19:42] ah
[19:56] ah
[20:01] i
[20:03] más
[20:05] [Música]
[20:14] y
[20:17] i
[20:19] y
[20:29] bien
[20:58] y
[21:04] y
[21:21] ah
[21:25] a
[21:33] y
[21:40] i
[21:45] i
[21:48] y
[21:53] ah
[22:20] ah
[22:35] y
[22:45] no
[23:09] i
[23:11] ah
[23:15] i
[23:19] ah
[23:24] ah
[23:27] a
[23:31] i
[23:33] ah
[23:39] a
[23:42] ah
[23:44] ah
[23:50] ah
[23:52] ah
[24:00] a
[24:02] ah
[24:06] a
[25:24] a
[25:30] [Música]
[26:40] y
[26:44] [Música]
[27:02] ah
[27:06] ah
[27:10] y
[27:18] a
[27:26] ah
[27:30] a
[27:31] [Música]
[28:27] i
[28:40] ah
[28:45] [Música]
[29:27] [Aplausos]
[29:32] [Música]
[30:00] con mi padre celestial
[30:15] tan sólo el poder en mi jesús
[30:23] me gusta santidad
[30:27] solo el poder
[30:33] d
[30:34] el poder
[30:37] [Música]
[30:39] en esos por qué murió hoy de sus vientos
[30:45] el poder poder
[30:48] al poder en la sangre
[30:53] el vertido
