################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-23 - A La Amada Memoria de Maria Hernandez Salazar - Unknown Speaker.txt
Video ID: bTZ9Ir76Zzg
Segments: 2315
URL: https://www.youtube.com/watch?v=bTZ9Ir76Zzg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:11] i
[0:21] y
[0:29] [Música]
[0:51] y
[0:58] y
[1:04] y
[1:06] [Música]
[2:03] i
[2:11] hola
[2:27] i
[2:44] y
[3:07] i
[3:21] y
[3:27] [Música]
[4:03] i
[4:13] y
[4:28] a
[4:31] [Música]
[4:34] bien
[4:38] y
[4:42] y
[4:50] y
[4:56] y
[5:08] ah
[5:39] i
[5:55] y
[6:04] y
[6:18] i
[6:35] i
[6:55] y
[6:59] i
[7:12] y
[7:30] i
[7:46] i
[7:55] a
[8:07] y
[8:15] [Música]
[8:18] y
[8:20] [Música]
[8:48] [Música]
[9:03] y
[9:05] y
[9:08] ah
[9:11] [Música]
[9:16] ah
[9:18] [Música]
[9:23] ah
[9:27] ah
[9:32] y
[9:36] [Música]
[9:38] y
[9:41] y
[9:44] [Música]
[9:46] y
[9:51] ah
[9:54] y
[9:55] [Música]
[10:03] e
[10:05] a
[10:08] i
[10:13] y
[10:25] ah
[10:31] ah
[10:33] ah
[10:39] ah
[10:43] a
[10:46] y
[10:49] ah
[10:54] ah
[10:58] ah
[11:00] a
[11:01] ah
[11:13] i
[11:25] e
[11:29] ah
[11:35] ah
[11:39] [Música]
[11:48] a
[11:50] no
[12:01] i
[12:03] a
[12:04] ah
[12:34] y
[12:44] ah
[12:46] ah
[13:07] [Música]
[13:24] i
[13:28] [Música]
[13:40] [Música]
[13:55] ah
[13:57] y
[14:04] y
[14:09] [Música]
[14:13] y
[14:15] y
[14:21] [Música]
[14:32] y
[14:34] y
[14:42] y
[14:46] [Música]
[14:50] ah
[14:58] [Música]
[15:09] ah
[15:30] [Música]
[15:55] y
[16:01] [Música]
[16:16] y
[16:31] y
[16:34] [Música]
[16:37] bien
[16:45] i
[16:53] [Música]
[16:59] y
[17:01] [Música]
[17:19] y
[17:29] [Música]
[17:47] ah
[17:50] ah
[18:00] y
[18:19] y
[18:28] ah
[18:34] m
[18:37] bueno
[18:42] tuvieron
[18:45] es mayor
[18:48] me voy
[18:57] eres
[19:03] y si eres bueno
[19:11] eso
[19:16] o
[19:17] y
[19:21] y vice
[19:24] o
[19:27] my
[19:33] no
[19:38] [Música]
[19:42] 9
[19:44] maestro omar chabán quiso ver
[19:50] en ti
[19:53] hola
[19:57] [Música]
[20:00] my way
[20:04] piensa
[20:11] o no
[20:16] [Música]
[20:24] y tú
[20:30] with my suárez webó
[20:36] hoy
[20:40] [Risas]
[20:42] [Música]
[20:45] [Risas]
[20:47] maison
[20:50] [Música]
[20:55] y después
[20:58] quiere
[21:01] [Música]
[21:03] más
[21:06] [Música]
[21:12] recibido como la combinación de la
[21:14] bienvenida en esta noche 20 vueltas no
[21:17] puede estar aquí con nosotros en medio
[21:19] de tribulación que los vendía únicamente
[21:23] a elegir estamos aquí antes celebrities
[21:27] para celebrar
[21:29] nada just in love life no cualquier tipo
[21:34] de vida life de the cardigans pero una
[21:37] vida dedicada para dios a light that
[21:39] really
[21:42] el barril y derek jeter son una vida que
[21:46] realmente se dedicó el cuarto valor para
[21:50] la obra del señor se obliga es christian
[21:54] schmid si pudieran pararse conmigo
[21:59] para comenzar el servicio llega mi padre
[22:02] padre celestial withings damos las
[22:05] gracias a los frailes por el privilegio
[22:07] de vivir que nos ha concedido
[22:12] online tener una persona tan especial en
[22:15] nuestra línea de now que tal vez muchos
[22:18] no conocieron lo que dice el señor law
[22:22] center pershing usted envía una persona
[22:24] al virus
[22:25] granma una abuela ambou el virus
[22:30] programa una abuelita agrama por ser una
[22:34] persona que requiere de la que dedicó su
[22:37] vida a usted
[22:40] estamos agradecidos por eso
[22:43] todo este servicio en sus manos no ya es
[22:46] que pedimos esto y mejor pues vivimos
[22:49] que nos ayude pero ponemos todo esto en
[22:52] sus manos
[22:53] [Música]
[23:04] habrá en el cielo una gran fiesta
[23:09] [Aplausos]
[23:11] será una gloriosa reunión
[23:18] cerré
[23:20] mirando todas las
[23:26] solo los redimidos del señor
[23:35] y cantarán canciones de alegría
[23:43] lágrimas de gozo brotarán
[23:49] sera
[23:51] una fiesta de victoria
[23:58] [Música]
[24:04] no tiene nadie
[24:09] t
[24:11] la voy a perder
[24:14] es
[24:16] lo dejo
[24:26] habrá en el cielo haga bien
[24:32] era una gloriosa reunión
[24:38] de toda raza
[24:41] sólo de tímidos
[24:46] cantarán cantarán canciones de alegría
[24:57] era
[25:00] gloria sólo lo redime
[25:05] para
[25:07] ahora
[25:09] estaré los decidores
[25:14] no me
[25:15] la voy a mí
[25:20] de donde me hundo
[25:25] alegría
[25:26] cantaré una vez más te vi no habrá en el
[25:35] cielo un artista
[25:39] [Música]
[25:45] de todas las razas
[25:49] no solo los redimidos te estarás
[25:54] y cantarán canciones de alegría
[25:59] de lágrimas de gozo notarás
[26:07] [Música]
[26:16] en contra de lo que te dure
[26:21] no me la voy a perder
[26:29] y 2
[26:31] con alegría
[26:33] en canarias
[26:36] con alegría
[26:41] [Música]
[26:55] ya me visiten
[27:04] [Música]
[27:11] de la serva bingo volverse billings
[27:16] nuestra mattia última en sobrevivir de
[27:18] toda su ser sus hermanos es promover el
[27:21] super life on sunday september september
[27:25] con el forfait y ford
[27:31] en the moon y fue promovida mejor vida
[27:33] el domingo 20 de septiembre a las 4 54
[27:36] de la mañana a 10 el icex en el sheriff
[27:40] de texas a la edad de 86 años en la
[27:43] ciudad de dallas texas star band por el
[27:46] verdor de su vida fernández
[27:51] son en longitud venegas le sobreviven su
[27:54] hija elizabeth hernández y guillermo
[27:56] joel venegas
[27:59] brandon pamela elizabeth venegas en
[28:03] jasper juan carlos nieta pamela
[28:07] elizabeth venegas y esposo juan carlos
[28:09] gran dolor y virginia el joven daniel
[28:14] [Música]
[28:18] bolivia enfrente nieta novia virginia y
[28:22] esposo daniel y bisnieto valeria y
[28:25] fernando grandón blanca paloma
[28:31] [Música]
[28:33] ángel a newsday nieta blanca paloma y
[28:37] esposo ricardo y bisnietos ángel y josé
[28:40] antonio esteban venegas nieto huggel
[28:44] esteban venegas
[28:46] brother ok
[28:49] mis putts fusión en los 20 ángel vázquez
[28:54] familia de su hermano josé sobrina
[28:57] patricia esposa daniel vázquez net field
[29:00] house day
[29:01] el gel y el líder en wife corina en
[29:06] turín entre encima y fernández sobrino
[29:09] josé la serie esposa corinna e hijos
[29:12] android timothy hernández jefe y no
[29:15] fernández en wife cristina en doler
[29:19] hannia
[29:21] sobrino enoc hernández y esposa kristina
[29:23] egaña
[29:25] anís yunís el esposo marc anthony
[29:32] edwards tóners anahi
[29:35] en girona
