################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-26 - Servicio De Accion De Gracias 2020 - Accion de Gracias.txt
Video ID: g9fBQDCMHgA
Segments: 1797
URL: https://www.youtube.com/watch?v=g9fBQDCMHgA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:00] 2
[0:05] i
[0:07] y
[0:08] [Música]
[0:44] ah
[0:54] ah
[1:03] y
[1:06] ah
[1:08] ah
[1:18] ah
[1:24] ah
[1:27] ah
[1:30] [Música]
[1:35] ah
[1:36] [Música]
[1:39] ah
[1:52] i
[1:57] ah
[2:10] a
[2:13] i
[2:17] ah
[2:35] y
[2:42] y
[2:53] bien
[2:56] más
[3:00] y
[3:02] i
[3:12] i
[3:15] a
[3:26] i
[3:30] y tal
[3:37] [Música]
[3:41] ah
[3:58] ah
[4:01] y
[4:05] a
[4:11] a
[4:17] a
[4:22] i
[4:23] [Música]
[4:39] ah
[4:42] [Música]
[4:57] ah
[5:10] ah
[5:16] y
[5:18] ah
[5:26] i
[5:29] ah
[5:34] ah
[5:46] ah
[5:48] ah
[5:50] y
[5:54] ah
[5:59] ah
[6:04] y
[6:06] ah
[6:11] ah
[6:15] i
[6:18] ah
[6:26] hoy
[6:27] [Música]
[6:29] ah
[6:42] ah
[6:45] ah
[6:49] ah
[6:51] ah
[6:55] ah
[7:00] ah
[7:02] [Música]
[7:08] ah
[7:20] ah
[7:24] a
[7:27] y
[7:34] i
[7:37] ah
[7:40] i
[7:42] i
[7:44] [Música]
[7:50] ah
[7:55] ah
[7:58] y
[8:04] [Música]
[8:15] a
[8:20] ah
[8:24] a
[8:29] ah
[8:32] [Música]
[8:39] y
[8:46] ah
[8:48] ah
[8:55] roll
[8:59] ah
[9:01] [Música]
[9:08] ah
[9:11] ah
[9:22] ah
[9:32] y más
[9:35] ah
[9:38] [Música]
[9:50] 2
[9:51] [Música]
[10:06] aquí
[10:10] i
[10:13] ah
[10:18] no
[10:23] ah
[10:30] [Música]
[10:43] ah
[10:48] ahora
[10:59] [Música]
[11:03] ah
[11:10] a
[11:14] ah
[11:16] ah
[11:19] no no
[11:25] [Música]
[11:30] i
[11:31] a
[11:34] bueno
[11:36] bueno
[11:42] [Música]
[11:53] [Aplausos]
[11:55] i
[11:57] hoy
[11:59] a
[12:04] [Aplausos]
[12:04] [Música]
[12:18] i
[12:19] [Música]
[12:34] a
[12:38] [Música]
[12:52] ah
[12:56] ah
[12:59] ah
[13:04] i
[13:07] ah
[13:14] más
[13:15] [Música]
[13:25] ah
[13:29] a
[13:29] [Música]
[14:27] ah
[14:31] a
[14:35] se pone de pie
[14:37] [Música]
[14:44] tiempo tránsito
[14:49] sí
[14:50] [Música]
[14:56] a ti
[14:58] [Música]
[15:00] e
[15:02] en el icam viable
[15:06] y
[15:09] yo entiendo
[15:13] e
[15:15] cambiable dios
[15:19] por qué
[15:21] para que yo tenga
[15:26] [Música]
[15:28] cambiable
[15:32] en él nunca te dijo
[15:37] pues eso
[15:39] vivo siempre fiel
[15:42] e
[15:44] y si fuera vida
[15:49] y para ser padre
