################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-20 - La estrella de Belen Pastor Tito Moreira - Tito Moreira.txt
Video ID: VcB6Tbv09aA
Segments: 1643
URL: https://www.youtube.com/watch?v=VcB6Tbv09aA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:57] [Música]
[1:07] y
[1:11] [Música]
[1:18] e
[1:25] ah
[1:29] y tú
[1:33] [Música]
[2:00] y
[2:03] hola
[2:08] [Música]
[2:11] y
[2:15] ah
[2:21] i
[2:22] i
[2:28] i
[2:33] ah
[2:43] ah
[2:46] y
[2:49] a
[2:52] [Música]
[3:01] ah
[3:03] a
[3:08] y
[3:11] a
[3:16] [Música]
[3:30] [Música]
[3:36] ah
[3:39] ah
[3:45] [Música]
[3:47] no
[3:49] ah
[3:55] [Música]
[4:07] y
[4:10] i
[4:12] ah
[4:16] [Música]
[4:29] 2
[4:34] no no
[4:37] no
[4:39] hola
[4:41] [Música]
[4:51] no
[4:53] ah
[4:58] ah
[5:04] [Música]
[5:09] i
[5:11] [Música]
[5:24] ah
[5:28] i
[5:40] [Música]
[5:46] y
[5:47] [Música]
[5:58] y
[6:08] [Música]
[6:21] y
[6:28] [Música]
[7:05] y
[7:07] [Música]
[9:08] [Música]
[9:22] ah
[9:22] [Música]
[9:35] ah
[9:38] ah
[9:38] [Música]
[9:44] ah
[9:49] y
[9:51] ah
[9:53] ah
[9:55] [Música]
[10:01] y
[10:08] [Música]
[10:30] ah
[10:33] [Música]
[10:44] ah
[10:48] [Música]
[11:02] y
[11:04] a
[11:10] a
[11:12] y
[11:18] y
[11:19] a
[11:22] a
[11:28] ah
[11:33] y
[11:38] [Música]
[11:43] y
[11:46] [Música]
[11:56] [Música]
[12:08] [Música]
[14:10] [Música]
[14:22] [Música]
[14:32] [Música]
[15:12] a
[15:15] [Música]
[15:32] bueno
[15:37] ah
[15:40] [Música]
[15:51] a
[15:57] ah
[16:06] [Música]
[16:25] i
[16:36] ah
[16:42] e
[16:52] ah
[17:13] a
[17:51] [Música]
[17:58] i
[18:10] e
[18:13] ah
[18:14] a mí
[18:24] y
[18:28] i
[18:30] x
[18:36] ah
[18:40] [Música]
[18:48] ah
[18:50] [Música]
[18:57] bien
[18:59] [Música]
[19:09] [Música]
[19:16] no
[19:22] [Aplausos]
[19:26] a
[19:28] [Música]
[19:37] ah
[19:40] ah
[19:41] [Música]
[19:47] [Aplausos]
[19:47] [Música]
[19:57] a veces
[20:00] ah
[20:06] [Música]
[20:07] o no
[20:11] y
[20:13] a mí
[20:16] [Música]
[20:22] i
[20:22] [Música]
[20:51] [Aplausos]
[20:52] [Música]
[20:58] para mí
[21:07] [Música]
[21:12] con el mendigo hermanos entramado de
[21:15] ponerse de pie vamos a cantarle a
[21:18] nuestro señor amén de que el pecado ya
[21:25] jesús
[21:27] muéstrele mi dolor
[21:32] perdí
[21:34] de ovi sólo vendí como su amor en la
[21:44] cruz en la cruz
[21:46] primero vi la luz y las manchas de mi
[21:51] alma
[21:53] tuve la ley porque todavía jesús y
[22:00] siempre feliz con él
