################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-27 - Scriptures Footprints Is Possession Bro. Jose Eliezer Hernandez - Scriptures Footprints.txt
Video ID: DlT5_apIqBU
Segments: 1963
URL: https://www.youtube.com/watch?v=DlT5_apIqBU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:10] e
[0:14] ah
[0:20] [Música]
[0:28] y
[0:30] [Música]
[0:55] más
[1:00] y
[1:03] i
[1:07] i
[1:11] ah
[1:18] ah
[1:37] i
[1:59] y
[2:03] ah
[2:08] ah
[2:12] y
[2:23] y
[2:28] ah
[2:30] ah
[2:35] [Música]
[2:47] y
[2:51] no
[2:52] [Música]
[2:59] y
[3:01] [Música]
[3:09] y
[3:14] [Música]
[3:43] más
[3:49] [Música]
[3:57] ah
[3:58] [Música]
[4:05] y
[4:13] [Música]
[4:38] y
[4:41] [Música]
[4:50] i
[4:53] [Música]
[5:06] ah
[5:08] y
[5:09] ah
[5:10] [Música]
[5:39] y
[5:40] ah
[5:42] más
[5:50] ah
[6:07] i
[6:09] ah
[6:12] y
[6:16] bien
[6:21] ah
[6:22] [Música]
[6:31] a
[6:49] ah
[6:57] [Música]
[7:14] ah
[7:15] y
[7:21] a
[7:23] un
[7:26] i
[7:27] bueno
[7:29] a
[7:31] [Música]
[7:35] i
[7:36] [Música]
[7:40] i
[7:43] y más
[7:46] y
[7:52] [Música]
[7:58] y
[8:02] 1
[8:03] a más
[8:12] [Música]
[8:38] i
[8:38] [Música]
[9:28] i
[9:30] ah
[9:40] y
[9:59] ah
[10:15] [Música]
[10:26] y
[10:28] i
[10:29] ah
[10:32] i
[10:35] y
[10:45] y
[10:48] e
[10:52] ah
[10:53] y
[10:53] [Música]
[10:57] ah
[10:59] ah
[11:02] i
[11:05] i
[11:09] i
[11:14] ah
[11:16] [Música]
[11:21] y
[11:22] ah
[11:23] [Música]
[11:28] o no
[11:35] ah
[11:41] i
[11:45] i
[11:48] i
[11:49] i
[11:51] [Música]
[11:57] ah
[11:58] ah
[12:00] [Música]
[12:26] y
[12:40] a
[12:46] y
[12:56] ah
[13:00] i
[13:02] i
[13:18] i
[13:20] ah
[13:28] i
[13:30] [Música]
[13:41] i
[13:43] i
[13:45] ah
[13:53] ah
[14:03] y
[14:08] i
[14:16] y
[14:17] ah
[14:22] bueno
[14:23] ah
[14:27] i
[14:29] y
[14:31] [Música]
[14:44] [Música]
[14:49] ah
[14:52] [Música]
[15:00] ah
[15:06] y
[15:07] [Música]
[15:18] ah
[15:23] [Música]
[15:40] i
[15:43] ah
[15:44] ah
[15:49] [Música]
[16:09] ah
[16:11] ah
[16:14] y
[16:21] ah
[16:33] [Música]
[16:40] y
[16:42] [Música]
[16:43] i
[16:46] [Música]
[17:43] [Música]
[18:41] [Risas]
[18:43] [Música]
[20:00] [Música]
[20:10] y
[20:13] 1
[20:18] i
[20:20] [Música]
[20:26] a
[20:29] [Música]
[20:36] ah
[20:41] o no
[20:45] [Música]
[20:52] no
[20:53] i
[20:56] bueno
[20:58] i
[21:02] i
[21:04] [Música]
[21:10] ah
[21:13] 1
[21:19] ah
[21:22] bueno
[21:23] [Música]
[21:27] i
[21:36] a
[21:38] ah
[21:39] y
[21:41] no
[21:44] a
[21:50] y
[21:53] ah
[21:54] ah
[22:05] ah
[22:17] [Música]
[22:22] ah
[22:29] ah
[22:33] i
[22:35] ah
[22:37] más
[23:03] él
[23:08] no
[23:13] no
[23:15] [Música]
[23:17] e
[23:21] a
[23:26] [Música]
[23:29] ah
[23:34] [Música]
[23:38] ah
[23:44] [Música]
[24:01] [Aplausos]
[24:02] [Música]
[24:16] [Música]
[24:22] pero no
[24:25] [Música]
[24:32] no no
[24:36] [Música]
[24:42] [Música]
[24:45] para mí
[24:56] no
[24:57] [Música]
[25:01] e
[25:05] [Música]
[25:06] o
[25:08] [Música]
[25:17] [Música]
[25:19] pero
[25:21] [Música]
[25:35] e
[25:39] [Música]
[25:49] [Música]
[25:53] bueno
[25:55] la vida
[25:57] con un poco verde
[26:03] [Música]
[26:14] aquí
[26:20] [Música]
[26:27] y
[26:31] [Música]
[26:37] no
