################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-01-01 - Servicio De Ano Nuevo 2021 - Unknown Speaker.txt
Video ID: 6FwPjvlmLJY
Segments: 3589
URL: https://www.youtube.com/watch?v=6FwPjvlmLJY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:05] ah
[0:11] ah
[0:14] ah
[0:18] y
[0:19] [Música]
[0:37] um
[0:43] [Música]
[1:03] i
[1:07] ah
[1:10] ah
[1:13] ah
[1:18] ah
[1:23] ah
[1:26] ah
[1:30] ah
[1:34] y
[1:35] ah
[1:43] ah
[1:52] ah
[1:58] ah
[2:10] a
[2:19] [Música]
[2:35] [Música]
[3:50] a
[3:57] las
[4:03] [Música]
[4:13] y
[4:19] [Música]
[4:41] [Música]
[5:10] i
[5:19] ah
[5:21] ah
[5:24] ah
[5:27] [Música]
[5:56] i
[6:00] y
[6:06] i
[6:13] ah
[6:26] [Música]
[6:45] [Música]
[7:46] [Música]
[8:13] i
[8:17] y
[8:20] [Música]
[8:41] ah
[8:45] [Música]
[9:16] y
[9:20] ah
[9:26] ah
[9:27] [Música]
[9:51] ah
[9:53] ah
[10:04] ah
[10:08] ah
[10:14] ah
[10:18] ah
[10:20] ah
[10:24] a
[10:40] ah
[10:47] [Música]
[11:00] ah
[11:04] y
[11:08] ah
[11:14] [Música]
[11:32] ah
[11:34] [Música]
[11:40] ah
[11:43] vale
[11:47] a
[11:48] ah
[11:52] y
[11:56] [Música]
[12:13] ah
[12:16] ah
[12:19] [Música]
[12:29] y
[12:50] [Música]
[13:11] ah
[13:20] ah
[13:22] ah
[13:25] ah
[13:31] ah
[13:34] ah
[13:36] ah
[13:38] ah
[13:42] ah
[13:44] ah
[13:47] ah
[13:53] ah
[13:54] ah
[13:58] y
[14:04] ah
[14:07] ah
[14:09] ah
[14:13] ah
[14:16] i
[14:20] y
[14:26] ah
[14:28] [Música]
[14:35] ah
[14:41] dale
[14:56] ah
[15:01] ah
[15:18] ah
[15:19] ah
[15:21] a
[15:24] y
[15:27] a
[15:30] ah
[15:41] y
[15:44] ah
[15:46] ah
[15:55] ah
[16:02] ah
[16:06] y
[16:08] ah
[16:24] ah
[16:28] y
[16:34] [Música]
[16:44] i
[16:58] ah
[17:01] ah
[17:04] ah
[17:10] ah
[17:13] y
[17:20] ah
[17:23] ah
[17:26] ah
[17:36] ah
[17:38] ah
[17:42] ah
[17:46] ah
[17:48] ah
[17:54] ah
[17:56] ah
[18:11] ah
[18:15] ah
[18:20] ah
[18:28] [Música]
[18:57] [Música]
[19:08] ah
[19:11] a
[19:13] y
[19:19] ah
[19:25] ah
[19:37] ah
[19:43] ah
[19:46] y
[20:01] ah
[20:06] vale
[20:08] a
[20:11] y
[20:18] ah
[20:22] a
[20:26] ah
[20:32] ah
[20:35] ah
[20:38] ah
[20:52] ah
[20:57] ah
[21:01] ah
[21:04] ah
[21:06] ah
[21:07] ah
[21:10] ah
[21:13] i
[21:19] una
[21:33] y
[21:36] [Música]
[21:47] ah
[21:54] a
[22:00] y
[22:04] ah
[22:06] ah
[22:12] ah
[22:16] ah
[22:19] [Música]
[22:27] ah
[22:33] [Música]
[22:54] ah
[23:14] [Música]
[23:43] [Música]
[24:05] [Música]
[24:09] ah
[24:14] ah
[24:16] y
[24:24] ah
[24:27] ah
[24:29] y
[24:44] y
[24:47] ah
[25:03] [Música]
[25:08] ah
[25:11] ah
[25:20] ah
[25:32] ah
[25:42] y
[25:50] sí
[25:58] ah
[26:01] ah
[26:03] a
[26:08] [Música]
[26:15] i
[26:17] [Música]
[26:27] y
[26:30] ahora
[26:35] él
[26:37] [Música]
[26:47] ah
[26:50] pero no
[26:53] [Música]
[27:07] no
[27:09] aquí
[27:10] [Música]
[27:14] cómo
[27:16] [Música]
[27:26] i
[27:27] bueno
[27:29] [Música]
[27:51] i
[27:53] [Música]
[28:02] i
[28:06] [Música]
[28:17] [Música]
[28:25] e
[28:27] hola
[28:29] [Música]
[28:37] [Aplausos]
[28:39] [Música]
[28:53] o
[28:59] [Música]
[29:05] i
[29:08] [Música]
[29:14] no no
[29:17] [Música]
[29:31] 2
[29:33] ah
[29:39] r
[29:42] [Música]
[29:51] y
[29:52] [Música]
[30:32] [Música]
[30:37] geim en el señor les bendiga hermanos a
[30:40] perder su fe
[30:44] [Música]
[30:45] para ustedes
[30:48] y también para aquellos que nos ven a
[30:49] través del internet todos
[30:51] el señor derrame bendiciones allá donde
[30:54] ellos están amén
[30:55] vamos a mandar bendición a esta vallejo
[30:58] california y les entran lejos no méxico
[31:01] gastan hasta que apuntó no está mirando
[31:04] vamos a mandarle seguramente con ese
[31:07] viejo y kristen está listo para
[31:09] hablarles y reyero washington a ver si
[31:12] aguantan del mundo y de las vamos a
[31:16] darle con todo el corazón por siempre en
[31:18] cuanto al amor y más allá
[31:21] de esta vida hay un mundo que se bebe
[31:28] del cielo nuevo y una nueva tierra un
[31:36] nuevo día ya muy pronto llegarán y yo me
[31:42] iré
[31:44] en la caldera
[31:48] al ver que tú conmigo estás llorar
[31:55] de alegría cuando juntos a jesús veamos
[32:02] yo sé bien yo sé bien cerca hasta el día
[32:09] que las puertas de la gloria se abrirán
[32:14] hoy sé también
[32:17] pero soy parte de los actos que
[32:22] aprendices y entraremos en el aire
[32:28] en aquel día le tiré
[32:33] porque tú conmigo estás llorar
[32:39] de alegría
[32:42] o cuando juntos una vez más yo reír y
[32:48] reír
[32:51] [Música]
[32:53] por reír al ver que tú conmigo estás
[32:58] [Música]
[33:01] d
[33:02] alegría
[33:05] cuando juntos
[33:10] [Música]
[33:11] gloria al señor imán
[33:14] si me puede dar poquito monitor aquí
[33:17] hermano no me escucho sabe estamos aquí
[33:23] y muchos de nosotros no lo podemos creer
[33:26] me digas que no hable de jaime pero ha
[33:29] sido por su gracia nada más
[33:32] podemos decir gracias señor espectacular
[33:36] por esa gracia
[33:39] y como no de llamarte señor a cuidarla
[33:42] 1.009 amarte
[33:44] con todo mi corazón
[33:48] como 9 a marte medios
[33:51] [Música]
[33:53] si me ha bendecido por eterna salvación
[33:58] y ya esté dividido para mi alma
[34:04] [Música]
[34:07] jovencita
[34:09] gracias
[34:12] d bendita sea
[34:20] sangre que por mí se derramó un día la
[34:24] sangre de la morena
[34:28] y yo tenga no soy cárcel hermano
[34:33] [Música]
[34:36] cuando están agradecidos yo merecía
