################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-01-24 - Dying In Order to Live Guillermo Avila - Guillermo Avila.txt
Video ID: 3HuLqGAj_K4
Segments: 1453
URL: https://www.youtube.com/watch?v=3HuLqGAj_K4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[3:03] [Música]
[3:05] bueno
[3:06] [Música]
[3:13] y
[3:16] y
[3:22] [Música]
[3:41] ah
[3:47] i
[3:49] [Música]
[3:54] a
[3:56] [Música]
[4:13] ah
[4:22] y
[4:28] [Música]
[4:37] [Música]
[4:45] [Risas]
[4:47] [Música]
[4:49] i
[4:53] [Risas]
[4:58] i
[5:02] [Música]
[5:13] y
[5:15] [Música]
[5:21] um
[5:22] i
[5:24] y
[5:27] ah
[5:30] y
[5:31] [Música]
[6:17] um
[6:19] [Música]
[6:24] bueno
[6:25] [Música]
[6:30] ah
[6:31] i
[6:33] bueno
[6:34] [Música]
[6:40] no
[6:42] él
[6:45] un
[6:47] [Música]
[7:02] a ellas
[7:06] [Música]
[7:13] a
[7:14] [Música]
[7:22] e
[7:24] [Música]
[7:38] i
[7:40] y
[7:43] [Música]
[7:51] i
[7:52] [Música]
[7:58] a
[8:03] um
[8:05] [Música]
[8:17] y
[8:23] ah
[8:28] [Música]
[8:33] i
[8:35] [Música]
[8:40] la ley
[8:42] [Música]
[8:45] 2
[8:48] ah
[8:52] bueno
[8:55] [Música]
[9:09] y
[9:12] ah
[9:15] ah
[9:19] no no
[9:27] i
[9:28] y
[9:32] a
[9:38] bueno
[9:39] [Música]
[9:42] o
[9:43] [Música]
[9:45] no
[9:47] bien
[9:50] [Música]
[9:52] ah
[9:54] [Música]
[9:55] y
[10:03] ah
[10:04] [Música]
[10:07] i
[10:08] [Música]
[10:17] i
[10:19] y
[10:25] [Música]
[10:29] i
[10:32] [Música]
[10:36] i
[10:40] y
[10:46] y
[10:49] i
[10:52] [Música]
[10:55] i
[11:01] i
[11:04] i
[11:08] y
[11:11] bueno
[11:12] ah
[11:17] y
[11:19] i
[11:22] bueno
[11:25] no
[11:27] um
[11:34] 1
[11:36] o
[11:38] d
[11:41] cómo
[11:44] ah
[11:45] [Música]
[11:51] y
[11:54] a
[11:58] no no
[12:00] e
[12:03] [Música]
[12:09] e
[12:13] ah
[12:15] [Música]
[12:17] hoy
[12:18] [Música]
[12:37] ah
[12:38] [Música]
[12:43] y
[12:48] [Música]
[12:55] a
[12:58] no
[13:02] i
[13:03] [Música]
[13:12] ah
[13:15] [Música]
[13:17] i
[13:21] e
[13:23] [Música]
[13:27] i
[13:34] y
[13:39] [Música]
[13:53] a
[13:57] [Música]
[14:03] i
[14:05] [Música]
[14:17] ah
[14:21] [Música]
[14:26] ah
[14:29] [Música]
[14:36] i
[14:39] i
[14:41] y
[14:43] ah
[14:50] [Música]
[15:05] ah
[15:08] [Música]
[15:19] [Música]
[15:38] ah
[15:40] [Música]
[16:19] [Música]
[16:31] [Música]
[16:37] [Música]
[16:52] ah
[16:55] [Música]
[17:10] [Música]
[17:14] cómo
[17:17] 1
[17:20] y
[17:22] [Música]
[17:26] i
[17:36] i
[17:37] y
[17:39] ah
[17:41] [Música]
[18:02] i
[18:05] ah
[18:07] [Música]
[18:25] ah
[18:29] [Música]
[18:35] bueno
[18:38] [Música]
[19:00] no
[19:02] i
[19:09] i
[19:14] ah
[19:16] [Música]
[19:33] e
[19:46] [Música]
[19:59] i
[20:02] [Música]
[20:03] ah
[20:30] ah
[20:39] [Música]
[20:48] i
[20:57] [Aplausos]
[20:58] [Música]
[21:09] [Aplausos]
[21:22] [Música]
[21:34] i
[22:19] i
[23:30] llevo conmigo de hermano puede cambiar
[23:33] a mí sí le deseo mal
[23:36] dios creador
[23:39] pérez yoma
[23:45] pasando décadas
[23:52] adiós
[23:56] d
[24:01] a que no
[24:09] [Aplausos]
[24:13] desovar
[24:15] expulsado
[24:18] d
[24:22] y
[24:28] [Música]
[24:35] sí
[24:36] dios nos ha dado que descargando soy
[24:42] pero de nada no va a salir
[24:49] yo sí
[24:53] de verdad
[25:04] [Música]
[25:05] pero ya
[25:07] a dedo
[25:11] ya me despido
[25:20] pensaba
[25:23] a nadie
[25:26] cantaré
[25:41] [Aplausos]
[25:45] no me des tu nombre
[25:48] y yo te la salvación los que empiecen
[25:58] ahora sí
[26:00] el slovan
[26:14] a
[26:23] [Aplausos]
[26:30] camps a dedo
[26:33] la de nuria
[26:39] así
[26:44] reservados
[26:48] y habrá teniendo una gran riqueza será
[26:54] de la reunión
[27:00] eran de toda la vida
[27:04] no no
[27:07] sí
[27:10] nunca paran caso
[27:16] con lágrimas de por sí no para
[27:19] [Aplausos]
[27:24] ya
[27:28] 12
[27:37] [Aplausos]
[27:43] [Aplausos]
[27:44] m
[27:48] a de río
[27:53] abra el del cielo
[27:59] una gloriosa bello
[28:05] de moda
[28:09] por qué
[28:15] caracas
[28:25] sí
[28:30] pero solo los redimidos
[28:35] la mujer
[28:41] [Música]
[28:51] m
[28:57] esta vez
[29:02] [Música]
[29:12] con alegría la cámara
[29:18] al cantar
[29:23] la alegría cantaré
[29:29] pueden sentarse y me decís
[29:32] [Música]
[29:38] dentro de dos
[29:43] [Música]
[29:59] i
[30:01] [Música]
[30:04] sueño
[30:07] me dijo
[30:11] [Música]
[30:12] al contemplar los cielos
[30:19] [Música]
[30:23] firmando
[30:25] hoy lo
[30:27] estrellas
[30:31] a los tumores
[30:35] en los potentes truenos
[30:42] y ver vivo
[30:47] al sur
[30:49] en su serie
[30:53] [Música]
[30:56] mi corazón
[31:02] el tiempo
[31:06] tránsito
[31:09] cuán grande
[31:12] [Música]
[31:15] cuán grande
[31:20] [Música]
[31:23] mi corazón entona la canción
[31:35] [Música]
[31:37] cuán grande es
[31:43] cuán grande
[31:52] al recorrer
[31:56] los montes y los valles
[32:04] y ver las ve y asumir al pasar
[32:16] al escuchar
[32:22] el canto de las aves
[32:29] y el murmurar
[32:34] del claro manantial
[32:43] mi corazón
[32:49] en tonalá
[32:54] canción
[32:58] cuán grandes
[33:05] cuán grande
[33:12] mi corazón
[33:17] en torno a la transición
[33:25] cuán grande
[33:32] cuán grandes
[33:39] [Música]
[33:42] cuando recuerdo
[33:46] del amor divino
[33:53] que desde el cine
[33:58] pero el salvador el envío
[34:06] al buen jesús
[34:10] que por salvar el vino
[34:18] si en una cruz
[34:24] sufrió y murió por mí
[34:30] [Música]
[34:32] mi corazón
[34:39] en cuanto a la canción
[34:47] cuán grandes
[34:54] cuán grandes
[35:00] mi corazón
[35:06] en toda la canción
[35:14] cuán grandes
[35:20] cuán grande
[35:26] [Música]
[35:29] cuando el señor
[35:34] me lleva a su presa
[35:41] al dulce hogar
[35:45] al cielo resplandor
[35:51] me inclinaré
[35:57] humilde
[36:03] [Música]
[36:05] entonces yo
[36:08] mire cuán grande
[36:16] mi corazón
[36:23] entona la canción
[36:29] cuán grande
[36:35] cuán grande
[36:41] es
[36:43] mi corazón
[36:48] me siento no lo consigo
[36:57] una grande
[37:04] cuándo
[37:11] d
[37:26] por qué
[37:31] vamos a estar recibiendo la palabra de
[37:33] dios hermanos puede ser el primero para
[37:36] enlistar
[37:38] [Música]
[37:44] [Música]
[37:46] escuchar
[37:51] [Música]
[37:55] señor llévame a tu sangre
[38:01] al lugar santo
[38:05] al altar de bronce señor tu rostro
[38:10] quiero ver
[38:13] pásame esa muchedumbre
[38:16] por donde el sacerdote canta
[38:21] tengo hambre sed de justicia y sólo
[38:25] encuentro lugar lleva
[38:30] luca
[38:32] antes hemos
[38:36] por la sangre del cordero de dentro
[38:44] llévame al lugar
[38:48] santísimo
[38:51] todo cambio dice a mí me aquí
[38:59] señor llévame a tu sangre
[39:04] al lugar santo al estar de bronce señor
[39:11] tu rostro yo quiero ver
[39:14] pasable en la muchedumbre por donde
[39:19] sacerdote cantar yo tengo crisis de
[39:24] justicia y solo encuentro
[39:28] lugar
[39:29] amén
[39:31] a dudas
[39:33] xavi cesc m
[39:35] [Música]
[39:36] por la sangre del cordero redentor
[39:44] llévame al lugar
[39:48] s
[39:51] también limpia mi
[39:56] aquí
[39:59] señor llévame a tu sacro
[40:04] al lugar santo
[40:07] al altar de bronce señor tu rostro lo
[40:12] quiero ver
[40:14] más atenta que lumbre cuerda del
[40:18] sacerdote cantar tengo hambre y sed de
[40:23] justicia y solo encuentro un lugar que
[40:28] mande al lugar santísimo
[40:34] por la sangre del cordero
[40:39] en todo
[40:44] el lugar
[40:46] antes de morir
[40:49] tócame de inviable
[40:57] tócame límpiame heme aquí
[41:05] toca a mí
[41:18] al lugar
[41:20] santísimo
[41:22] [Música]
[41:23] por la sangre del cordero reventó
[41:29] [Música]
[41:31] no llevamos a ese lugar standing
[41:38] [Música]
[41:40] tócame
[41:44] [Música]
[41:50] tocamos en esta mañana señores
[41:54] les bendiga a ustedes
[41:57] cuantos están contentos estar en la casa
[41:59] del señor rapid viena house edwards
[42:02] cuantos vinieron con una expectativa de
[42:05] recibir
[42:07] el latino omb hijazo automor sabía que
[42:11] él quiere darnos el espíritu santo
[42:16] aún más de lo que usted lo anhela el
[42:19] mote de niu desire amén
[42:23] queremos dar gracias en esta mañana
[42:28] vittek primeramente a nuestro señor
[42:31] jesucristo
[42:33] es sprays por su gracia y su amor es
[42:35] gration es nuevo
[42:38] por este privilegio tan grande que él me
[42:42] da a mí de escribir
[42:44] no hay privilegio más grande pero es
[42:46] nada grave edwidge que hablar su palabra
[42:49] de speak in war y no solamente de este
[42:51] púlpito
[42:53] jain despu pero cuando usted le habla a
[42:55] alguien a su vecino a un amigo y speak
[42:58] to ofrendaron y ver la palabra del señor
[43:00] de word autonorte ese es el privilegio
[43:03] más grande que usted tiene eres the
[43:05] greatest producto
[43:06] por eso estoy contento en esta mañana en
[43:08] happy this morning quisiera
[43:12] leer una escritura aburrir a escribir
[43:16] ahí en san juan capítulo 3 versículo 3
